8/r6p/2k3p1/1pp5/8/P4RP1/2K4P/8 b - -,a7e7
r1bqk1nr/pp3ppp/2n5/2ppP3/3P4/P1P5/5PPP/R1BQKBNR w KQkq -,g1f3
r3kb2/1p4pr/2pnqp2/p3p3/P3P1P1/N3B3/1PP1Q1PP/R2R2K1 w q -,e3f2
6r1/2pk4/1p2p3/p2p1pn1/P2P1N2/2PKR1P1/5P1r/5R2 w - -,e3e5
r1bqk2r/pppnnpbp/3pp1p1/8/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
3K4/5p1R/4bk2/4r3/8/8/8/8 b - -,f6g5
3R1bk1/pr6/5pp1/2p4p/2Np1P2/P2P2P1/1P2K2P/8 b - -,g8f7
R2r1nk1/1Q4p1/4pp1p/8/4PP2/7P/3q2P1/6BK w - -,f4f5
r1bq1rk1/pppn1ppp/8/4p3/2PpB3/3P2P1/PP1QPP1P/R3K1NR w KQ -,f2f4
8/5p2/p5kp/8/2b5/4R3/5KPP/8 w - -,f2g3
2rq1rk1/p2nbppp/b1p1pn2/8/2pPP3/2N1BNPP/P1Q2PB1/1R1R2K1 b - -,d8a5
r3k2r/pp1qppb1/2bp3p/6pn/4P3/2N1QNB1/PPP2PPP/2KR3R w kq -,f3d4
8/5q2/8/p4rkp/1p1Q1p2/1P6/P1P5/1K4R1 b - -,g5h6
8/Q7/6pp/5p1k/4p2P/5qP1/5P1K/8 b - -,h5g4
3r2k1/5pp1/2p5/1pP1P2p/pP5P/Pb1qQPPB/8/4R1K1 b - -,b3e6
6k1/2p3np/2p1Qpp1/2Pp4/3P3P/1P4P1/5PK1/4N3 b - -,g7e6
3qk2r/4bp2/p2pbnp1/r3P2p/1p2P3/1P2B1PP/2P1N1B1/R2Q1RK1 b k -,a5e5
4rk2/1R6/3P2np/8/1P6/6N1/6PP/6K1 b - -,e8e1
2r3k1/5pbp/1p1p2p1/3P4/1pNn1P2/3B4/P2K2PP/5R2 w - -,f1b1
r7/pp3Q2/2kb2p1/2q1p3/1PB3PP/P1B5/K4P2/8 b - -,a8f8
1r3q1k/R2b2p1/2p1pn1p/2P1Q3/1P5P/3B2P1/5P2/4B1K1 w - -,e1d2
5k2/p3r2p/6p1/1Np2p2/1P6/P7/4BK1P/8 w - -,b4c5
r4rk1/1pp1nppp/p3b3/1P6/3QP1q1/2N1B2P/1P3PP1/2KR3R b - -,g4g6
2r2r1k/pbq1n1b1/1pnpp1pp/2p2p2/4PP2/2PPNNP1/PPQ2BBP/2RR2K1 w - -,d1e1
3qr1k1/4r1pp/p1p2pn1/1pbpPQ2/5P2/1BP3BP/PP4P1/3RR2K b - f3,f6e5
5r2/5k2/1p1q2p1/p1pP3p/P1P1Q3/5p1P/5KP1/4R3 w - -,g2g3
r6k/3Q1ppp/p3p3/3pP2q/5P2/BP6/P5KP/2R1R3 b - -,h5g4
r2q1rnk/1pp3p1/3p3p/p2Ppb2/1P6/2P2N1P/P1B1QPP1/2R1R1K1 w - a6,c2f5
r4rk1/pp3p1p/1n2p1p1/8/3Q1P2/b2B3P/2P3P1/1R4K1 w - -,g2g3
5r1k/5p2/pR1p1q1p/3P4/2P2p1n/4r3/PP3Q2/3B1RK1 w - -,f2f4
3r2k1/p5pp/1nr5/2Bp1p2/2p5/6P1/PPRRPPKP/8 w - -,c5d4
r1b2rk1/1ppn1p1p/6pq/p2P4/3R4/2PB1N2/PP3QPP/1K2R3 b - -,d7f6
2r4k/p6p/1p2pbq1/8/1Q3P2/1P2BN2/P1rRKP1P/8 b - -,c2d2
8/8/R3k3/5p1p/3P4/3r2P1/5P2/5K2 b - -,e6d5
r1b2rk1/ppp2ppB/4pn2/8/3P4/q3Q3/P1PN1PPP/R4RK1 b - -,f6h7
1k4r1/1p3pr1/p2bp3/P2pNp2/1P1P1P1p/2P2R1P/1R4P1/3b1BK1 w - -,f3f2:f3d3
r1bqrbk1/pp3ppp/2n2n2/1Np1p3/5P2/2N2B2/PPP3PP/R1BQ1RK1 w - -,d1d8
r4r1k/pp2Npbp/2n1bBp1/4q3/2Pp2B1/5Q2/P5PP/R4RK1 w - -,f6e5
r1bq1rk1/1pp4p/p2bnpp1/2p1p3/2N1P2N/1PPP3P/P4PP1/R1BQR1K1 b - -,d8e7
8/8/4pk1r/1R4p1/P7/1P3K2/8/8 b - -,h6h2
r2r2k1/p3qppp/2n5/1p1p4/2pP2P1/P1P1PP2/1BQ2KP1/R6R b - -,h7h6
3rr3/6qk/p1P3p1/1p1p3p/4p1bP/P1R5/1P1Q1PP1/1B2R1K1 b - -,d5d4
1q3rk1/4nbb1/2pp2p1/Q3p2p/2P5/2NPP1P1/3N2BP/2R3K1 w - -,c1b1
r4rk1/pp4bp/3p1n2/2pPp3/2P2p2/2BB3P/PP3PP1/1R2K2R b K -,a8e8
1rq2r2/p2bp1kn/2np2p1/2p2pPp/1p2PP2/3PN2P/PPPQN1BK/R4R2 w - f6,e4f5
8/4p3/3p4/1b2k1p1/8/r3PBP1/8/4R1K1 w - -,g1f2
r4rk1/1p3p1p/p2p4/2pPPb1p/P4PP1/2N4P/1P5K/R4R2 b - g3,h5g4
5rk1/3nq1pp/r1p1pp2/2P5/1p1P1n2/5N2/P2Q1PPP/R4RK1 w - -,d2f4
rr4k1/3q1p1p/b3pPp1/3n4/2p2P2/2B2Q1P/2PN2PK/2R1R3 w - -,c3e5
7r/8/8/6P1/3kp1K1/R4p2/5P2/8 w - -,g5g6
6rk/p1r1q3/1p1bpn1p/1P1pN1p1/2pP1P2/2P3P1/R1BQ3P/4R1K1 w - -,a2a1
5r2/4qpk1/5npp/ppr1p3/6P1/1P1QP2P/1P1R1PB1/3R2K1 w - -,d3d6
2r4k/6p1/p2r1qn1/P1p1p2p/2Q5/3BRPP1/1P5P/4R1K1 b - -,c8d8
2r3k1/1br2pbp/1p2n1p1/pP1p2q1/3Pn3/PB2Q3/1B1NNPPP/R2R2K1 b - -,g5e3
r7/6pk/7p/2b1pP2/8/3P4/1P2NRPP/2B4K b - -,c5f2
8/8/5b1R/5k2/3p1P1p/5K2/8/8 w - -,h6h5
8/4k1p1/7p/p1p2p2/PpPbp1PP/1P1R1P2/1r2B3/5K2 w - -,f3e4
8/3R1p2/1r1np3/8/2k1N3/5KP1/1P3P2/8 b - -,d6e4
6rk/pp3prp/5Q2/2pP4/qnB2PR1/8/PP4PP/4R1K1 w - -,g4g7
3rkb1r/pp3ppp/2n1p3/q1pnP3/5P2/2PP1N1P/P2QBBP1/2R1K2R b Kk -,c5c4
4r1k1/pr3p1p/1p1p1qp1/2pP3n/PnP1P3/4RNPP/5P2/2RQ1BK1 b - -,b7e7
2rr2k1/pb2qp1p/1p1pn1p1/4p3/2P1P3/5P2/PP2Q1PP/1N1RRBK1 w - -,b1c3
2rqr2k/pp3Q1p/2b3pB/3Bb3/3P4/P7/1P3PPP/R5K1 w - -,d4e5
r1bqk1nr/5p1p/2pp2p1/ppb1p3/P2nPP2/1BNP2Q1/1PP3PP/R1BK2NR b kq a3,d4b3
5rk1/1p4p1/p4p1B/Q1rbq3/P7/8/1PP2RPP/4R1K1 w - -,a5b4
r3r1k1/pp1q1ppp/2p1bbn1/2P2p2/PP1P4/R2BB2P/4NPP1/1Q1R2K1 b - -,g6e7
1r2nbk1/3bqr1p/3p2p1/1pnPppPP/p3P3/P3BP2/NP1NBK2/2R3QR w - -,g1h2
rn1q1r2/pR1n1p1k/2p3p1/6Pp/2PPB2P/4B3/2Q5/5RK1 b - -,f7f5
6k1/pb2qp1p/4p1p1/2p5/2B5/1PPr4/P4PPP/3Q2K1 w - -,c4d3
rbbq1rk1/p4p2/2p2np1/2Ppp2p/1P6/P2BPPN1/1B4PP/R2Q1RK1 b - -,c8e6
r1b1k2r/1pp1qp1p/1n1p1np1/p2Pp3/2P1P3/1PN3PP/P2QNPB1/R3K2R b KQkq -,b6d7
r1bq1rk1/pp2bppp/2p1p3/8/3P4/2NQPNP1/PP3PP1/R4RK1 b - -,c6c5
8/p3npkp/1p2q1p1/8/3Q4/1N3PP1/PPP3KP/8 b - -,g7g8
1R6/2p1Q2p/p1q2pk1/4p3/3rP3/P4BP1/P4P1P/2q3K1 w - -,g1g2
r1b1kbnr/ppqp1ppp/2n1p3/2p5/4P3/2NP2P1/PPP2PBP/R1BQK1NR b KQkq -,a7a6
8/2b4p/5qpk/8/8/P2QP2P/4K3/5B2 b - -,f6b2
2r4k/1bp3p1/p3N1rp/1p1n4/8/P5PP/BP3P2/R3R1K1 w - -,a1d1
1Rr1k3/r2bn1pp/p4p2/3Bp3/P3P3/B7/4NPPP/1R4K1 b - -,a7c7
rnbq1rk1/1p2ppbp/2p3p1/p2n4/P1pP4/2N2NP1/1P1BPPBP/R2Q1RK1 w - a6,f3e5
3rk2r/1bq2pp1/p7/2b1PpN1/1p2pPQp/7P/PPP3P1/R1B1R2K w k -,g4f5
r3kb1r/1b3pp1/2n1p3/1q1pPn1p/pppP1PP1/2P2N1P/PPQ1N1B1/R1B2RK1 b kq -,h5g4
3R2k1/5pp1/1p3n1p/7r/1P3P2/5K1P/6P1/5N2 b - -,g8h7
2k4r/pp5p/2p2p2/4qbp1/Pb1r4/6PP/QP2PPB1/R2N1K1R b - -,h8d8
r1r3k1/1q2bppp/pp2pn2/4p3/Q1P1P3/2N2PP1/PP1N2KP/2RR4 b - -,h7h5
8/pp3k2/3bqp2/3p2pp/1P1P3P/P1Q3P1/3N1PK1/8 w - g6,h4g5
3k4/1p2bp2/4b1p1/3pPp1p/3P1P1P/3K2P1/rPNB4/1R6 b - -,a2a4
