8/p7/1p6/4k3/5PP1/r1N1K3/8/8 b - -,e5f6
rn1q1rk1/pp4bp/2ppbnp1/1P3p2/2P2P2/2NPPB2/P3N2P/R1BQ1RK1 b - -,d6d5
5r2/pQ3pk1/3qp1p1/2R1N3/P2P2np/4P1P1/5PKP/8 b - -,g4e5
3r4/5qpk/3PRb1p/2pQ4/1p3PP1/5N2/6KP/8 b - -,f7g6
r2qr1k1/pp3pb1/2p1b2p/1PPp1pp1/2nP4/2NQP1P1/P3NPBP/1R3RK1 b - -,a7a6
r1bqk2r/pp3p1p/2pb1np1/3p4/3N4/2PBPN1P/PPQ2PP1/R3K2R b KQkq -,e8g8
rbbq1rk1/1p3ppp/p2ppnn1/8/4PP2/1NN1B1Q1/PPP1B1PP/R2R2K1 b - -,d8e7
8/r4n2/3p2k1/4p3/6PB/P1R5/3n1P1N/6K1 b - -,d2b1
r1bk3r/pppp1ppp/8/3Pn2P/3N1pn1/8/PPP3P1/R1B1KB1R w KQ -,c1f4
8/5pk1/6p1/6P1/4KP2/r2RP3/8/8 b - -,a3a7
8/R7/5kp1/p4r2/4K3/8/8/8 w - -,a7a6
r1b1k2r/pp1n1ppp/4p3/1N1pP3/3q1P2/8/PPP3PP/R3KB1R w KQkq -,b5d4
r1b2rk1/1pqnb1pp/p1n1pp2/3pP3/3P1P2/P2B1NP1/1P1BN1KP/R2Q3R b - -,b7b5
3r4/pp2k1pp/2prn1b1/5p2/2N2PP1/2P4P/P3R1B1/4R1K1 w - -,c4d6
1r2k2r/pp1n1ppp/3b1n2/2p1p3/3pP3/2PP3P/PP2BPPB/RN3RK1 w k -,b1d2
2r1r1k1/1p1b1p1p/1q1p1bp1/2nPp3/p3P3/2N2N1P/PP1Q1PP1/R3RBK1 b - -,f6g7
rn1k3r/pppb1p1p/6p1/3NP3/4P1n1/8/PPP3PP/3RKBNR w K -,g1f3
r2qk2r/pp3pp1/1nb1p2p/4Pn2/6Q1/1BN1B3/PP3PPP/R3K2R w KQkq -,b3e6
8/4p3/8/r5P1/3P1K1k/5B2/8/8 w - -,g5g6
2r2rk1/3qppbp/1nnp2p1/p1p5/1p1PP3/1PP1BN1P/P3QPP1/1BR2RK1 b - -,b4c3
r1b1r3/3n4/p3p1k1/3p2p1/2pB4/P1P2BP1/1RP2P2/4K2R b K -,d7f6
5b1r/3k1pp1/2p1p3/1p1nPb1p/q2P1P2/5R2/1B1N2PP/2Q1N1K1 b - -,f5g4
7k/1Q4pp/p7/4r3/4p2P/2P2qPK/PP6/2R5 b - -,e5e8
r3k2r/4qppp/p1p1b3/4p3/4P1n1/3B2Q1/PPP3PP/R2N1R1K b kq -,h7h5
4rrk1/2p2qpp/1pNp4/p1nP1p2/2bR4/4P1P1/P4PBP/1Q2R1K1 b - -,c4a6
r3r1k1/1p1n1pbp/p2p1np1/q1pP2B1/P1P5/2N2B1P/1P1Q1PP1/R4RK1 w - -,d2f4
r3k2r/pp3ppp/2pqpn2/8/3P2b1/2P2N2/PP2BPPP/R2Q1RK1 b kq -,e8g8
r2qk2r/ppp3pp/2nb1n2/3ppp1b/7N/2PP2PP/PP2PPB1/R1BQKN1R b KQkq -,d8d7
8/2br1qpk/p6p/5p2/p1rBp3/6P1/Q4P1P/3R1R1K w - -,d4e3
1B6/P3n1kp/5b1P/8/2B5/rN3R1K/8/8 b - -,g7g6
2rr2k1/p3ppbp/1pn1bnp1/2pN2B1/2P5/5NP1/PP2PPBP/3R1RK1 w - -,g5f6
6k1/3n1p1p/4b1p1/p1pp4/3P4/1P1BQ1PP/P3N1PK/4q3 b - -,c5c4
8/1B1r4/P7/2p1kp1P/1p3N2/4P3/4K3/8 w - -,a6a7
8/8/5pp1/2r1k3/P5P1/5RK1/5P2/8 b - -,c5a5
6k1/8/2r4p/p2R2p1/8/P1p1P1P1/5PP1/5K2 w - -,d5d1
8/b7/P7/5K1B/2pk2PP/R2p4/1r6/8 b - -,c4c3
rn4k1/8/2p1p3/NqPpPp1p/1Pb2Pp1/2Q1P1P1/6BP/R5K1 w - -,a1a3
r1b2rk1/p4pp1/4p3/q2pP2Q/2pp1P2/8/P2N2PP/R4RK1 w - -,d2f3
8/5r2/4p1kp/3pP1bN/3P2P1/7P/8/3R2K1 w - -,g1g2
8/R5k1/2r5/6PK/8/8/8/8 b - -,g7g8
6rk/ppn3q1/4P2p/3p1Q2/P4N2/1P6/7P/4R2K w - -,e6e7
1r1r2k1/2RP1ppp/1n1R4/1b2P3/1p6/1P4PB/PB3b1P/7K b - -,g8f8
2r3qk/p1r4p/1p3p2/4p3/1P2Pn1R/3P1PN1/1RPQ1P2/5K2 b - -,g8g5
r2qkn2/pbp2p1p/1p2pnr1/8/P2Pp3/2P3NQ/2P1BPPP/R1B2RK1 b q -,d8d7
r2r4/pp3qpk/1bb1p2p/4Bp2/3P4/PB4R1/1P3PPP/3Q1RK1 b - -,d8g8
3rk1r1/1pp1nppp/p1p5/6B1/4P3/2P2P2/P1P1KP1P/R5R1 b - -,f7f6
3rk3/1p6/p1p2B1p/P1b4Q/2P5/1P4PP/r4PK1/8 b - -,e8d7
rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq -,g8f6
3rr2k/2R4p/6p1/p2P2P1/p3P3/2R5/1P6/1K6 w - -,c3c4
r2qk2r/1pp2ppp/p1pb1n2/4p1Bb/4P3/2NP1N1P/PPP2PP1/R2Q1RK1 b kq -,h7h6
r1bq1bk1/5r2/3p1nn1/1N1Pp1pp/1N2Pp2/5P2/4BBPP/2RQ1RK1 w - h6,b4c6
5r2/6R1/p6p/r6k/1ppR4/2P2KP1/8/8 w - -,f3g2
r1bqk2r/ppp1bppp/3p1n2/4n3/3NP3/1BN4P/PPP2PP1/R1BQK2R b KQkq -,e8g8
3k4/7R/4P3/p1N5/PpP3b1/1P2r2p/8/6K1 b - -,d8e8
6k1/1q3b2/3pp3/1p6/1P1bPQ2/P5B1/B5PK/8 b - -,e6e5
8/8/P7/2bb4/7k/8/3N3K/8 w - -,a6a7
8/1B6/8/pNp1k3/2P2n2/1P6/P1K5/4b3 w - -,c2d1
r4rk1/5ppp/1pp1b3/8/1n6/5NB1/PPP2PPP/R4RK1 b - -,b4c2
r2q1rk1/p1p2ppp/5n2/3p4/1b3Qb1/2N5/PPPB1PPP/2KR1B1R b - -,g4d1
R3n1k1/4qp2/1p1r3p/1P1p1P2/2pP2p1/6N1/3Q1KPP/8 b - -,g8h7
4kn2/2Bn4/B2p1b2/2pPp1pp/2P1Pp2/5P1P/P4NP1/6K1 b - -,f6d8
rnb2rk1/ppppqppp/4pn2/8/2PP4/2b1PN2/PP1B1PPP/R2QKB1R w KQ -,d2c3
1r3rk1/2q1bpp1/p2pbn1p/1P2p3/4P3/1P1QN1PP/2PB1PB1/R3R1K1 b - -,a6b5
r5k1/1p3pp1/p3b2p/1q2Q3/2p3PP/5B2/PPP2P2/1K2R3 b - -,b5e5
2r2b1r/1bknnp2/1q2p1p1/1p1pP2p/pPpN1P2/B1P1NBP1/P2PQ1KP/1R3R2 b - -,c7b8
1r6/3k1b2/6p1/rPp1p3/P1Pp4/1K1B4/R5PP/4R3 w - -,e1e5
r1b1k2r/pp3p2/6p1/q2p1p2/3Pn2p/bPN1P1P1/P1R1NPBP/Q4RK1 b kq -,h4g3
8/5n2/2Np1kp1/p1pP4/2P1P1K1/1P6/3bB3/8 w - -,g4h4
5b2/1b3pkp/3q2p1/2pN4/1p4P1/1P2P2P/2R2P2/3R1BK1 w - -,c2d2
1kb5/p6N/1pQ1r1p1/2b2p2/8/2P2N2/PP4qP/KR6 w - -,c6d5
r4rk1/1bqnbppp/p2ppn2/1p4P1/3NP2P/2N1BP2/PPPQ4/1K1R1B1R b - -,f6h5
r5r1/2p5/4p1k1/pp1nBp2/3P2pP/2PR4/P5P1/5RK1 w - -,g2g3
5r2/8/5bk1/7p/3Q2p1/3P4/6KP/8 w - -,d4e4
r1b1r1k1/pp3pbp/1q1p1np1/P1nP4/2p1P3/2N2N1P/1PB2PP1/R1BQR1K1 b - -,b6a6
r1b4k/p7/4p3/1p5r/2PP1B2/5p2/5P2/1B2R1K1 b - -,c8b7
4r3/1p3k2/p2p4/Pb1PRp1P/2p3p1/2Pn2P1/3RBB2/6K1 b - -,d6e5
r2q1r1k/1p1nbppp/p1bp4/4p3/4PP2/2NBB3/PPP1Q1PP/3R1R1K w - -,d3c4
r3k2r/1b1p1ppp/3b4/8/1pB5/4PN2/Pq3PPP/R2QK2R w KQkq -,e1g1
rnbqk2r/pp2ppbp/6p1/2p5/3P4/2B2N2/PP2PPPP/2RQKB1R b Kkq -,c5d4
3q4/1pnr1k2/2pp2p1/p3b1Bp/P7/1P4PP/2P2P2/3RR1K1 w - -,g5d8
2kr4/1p1r1b1p/pb3p1p/2p5/4PP2/PN1N2P1/1KP4P/3R1R2 w - c6,d3f2
3rk2r/5p1p/p1p5/3pp3/8/P5Pq/4PP1P/2RQ1RK1 w k -,c1c6
2r1kb1r/2qb1ppp/p2p1n2/1p2p3/2P1P3/BP1Q2P1/P3NPBP/R4RK1 b k -,b5c4
8/2p1k3/3p3p/3P4/5PP1/r2BK1N1/8/8 b - -,e7f6
