n7/8/3p4/2pP2k1/2P1K3/8/8/3B4 b - -,a8b6
rn2kb1r/ppq2ppp/4pn2/3p1b2/3P4/1QN1PN2/PP3PPP/R1B1KB1R w KQkq -,c1d2:f3e5
8/1p3pk1/rp3np1/3p3p/3N1qP1/2P2P2/rP2Q1P1/3RR2K w - -,e2e7
r7/8/p1R1pkp1/1p6/1P5P/5PK1/P4P2/8 w - -,a2a3
r3kb1r/pp2pppp/2p2n2/3q4/3P2b1/2P2N2/PP2QPPP/R1B1KB1R w KQkq -,h2h3
rn3r1k/pb2q1pp/1ppb4/3pNp2/3PnP2/1QN3P1/PP2P1BP/R1B2RK1 w - -,c3e4
r3k2r/1ppnqppp/p1pbb3/4p3/2N1P3/3P1N2/PPP1QPPP/R1B1K2R w KQkq -,c1d2
2rr4/pp4k1/6p1/7p/8/P1N1n3/1P4PP/3R1RK1 w - -,d1d8
5k2/1R3p2/3q4/7P/p2n4/P1Q3P1/1P2r3/KB6 w - -,c3c4
r4r1k/5B2/1p2P2b/p2P2q1/P1PQ2p1/1P6/7R/6RK b - -,h8h7
2B5/4r1k1/7p/2b5/1p4p1/6P1/1RN4P/5K2 b - -,e7f7
3r1rk1/p1pp2pp/1p2p1q1/2b5/2P1P3/1P1Q2P1/PB3PKP/R4R2 w - -,a1d1
8/1p1rkp1p/p4np1/Pb1p1p2/3P1P2/1PP1NB2/6PP/3RK3 b - -,b5c6
2nq1rk1/3b1pnp/3p2p1/2pPp3/1pP1P3/1P5P/2BQNPPN/R5K1 b - -,f7f5
8/1p3r1k/p4qp1/3p3p/1P1Pp1bP/P2r2P1/RQ3PBK/4R3 w - -,e1e3
r1br2kB/1p3p1p/5Q2/bp6/P3B1q1/6PP/1P3P2/5RK1 b - -,a8a6
r4k1r/ppN2ppb/2n5/4q2p/2B3nN/P7/1P2QPPP/3RR1K1 w - -,e2e5
6k1/p4pp1/5q2/Pr3P2/2Np2P1/1BbR4/8/R5K1 w - -,a1b1
r1b2rk1/1p4pp/2p2q2/4p3/2PnB2P/P3Q3/1B3P2/1K2R2R b - -,c6c5
r4r2/4npbk/pq1p2pp/n7/PppPP2P/4Bb2/1PBQNPP1/R4RK1 w - -,g2f3
r3r1k1/ppq2pp1/4bn1p/2pp4/8/2PBPN1P/PP3PP1/R2Q1RK1 w - -,f1e1
r4rk1/ppqn1ppp/2p1p3/3pP3/2P5/1P2PPnP/PB2Q1P1/RN1R2K1 w - -,e2e1
2kr3r/pp1b2pp/4p2n/2b1P3/3p1P2/PnN3PB/RB2K2P/7R w - -,c3e4
8/5pk1/6p1/R6p/4PKPP/1r3P2/8/8 b - -,h5g4
8/5p1k/1K3Qbp/2R5/5P2/1q6/8/8 w - -,b6c7
1k1r4/1p2b2p/p4pp1/4p3/2P5/1PPrB3/4KPPP/R3R3 w - -,e3d4
r2q1rk1/1p1bppbp/3p1np1/p7/2PBP3/1PN2P2/P3B1PP/R2Q1RK1 b - -,d7c6
r2q1rk1/pb1p2pp/1p2nn2/3p1NQ1/8/1P6/PB2PPPP/2R1KB1R w K -,g5h4
8/8/8/5k2/2KB4/8/4R3/1r6 w - -,c4d5
8/4Q3/1pq2rkp/3R4/3P4/P4p1P/1P3P2/6K1 w - -,e7d7:e7e4
r1b2rk1/p1q1ppbp/5np1/nN6/2p5/4PN2/PPQBBPPP/R2R2K1 b - -,c7b6
3r1bk1/1bq2ppp/pB6/8/4pPP1/2P4P/1PN2nB1/R5K1 w - -,b6c7
4rr1k/1p2qppp/p1pnb3/P7/2B1PR2/Q7/1PPN2PP/5RK1 w - -,c4d3
5r2/b2b2p1/P2Np2k/4P3/P5pp/2R1P3/2B3KP/8 w - -,c2d1
8/rp1qrp1k/2p3p1/P2pP1Qp/3P3P/1R4P1/P4PK1/1R6 w - -,g5d2
3r2k1/1p3ppp/1np5/p1n5/P7/2N5/1PPN1PPP/R3K3 b - -,c5a6
r7/3qppk1/1p1n3p/3P1p2/2nP1N2/1Q3B1P/1P3PP1/3R2K1 w - -,f3e2
2rr2k1/5pp1/7p/R1n2P2/3Np1Pb/2P5/1P4K1/2B2R2 w - -,c1e3
8/pp1b4/3kp1p1/3pnpp1/2p3Br/2P4P/PPP1R2P/2K2R2 w - -,f1e1
2k5/pp2pp2/r5pr/3p4/P2P3P/2P3P1/3K1P2/R3R3 b - -,e7e6
4r2k/1p2q2p/p2p4/8/5P2/6QP/P5RK/8 b - -,e7f7
2k3r1/1p3p2/p1b1p3/3n4/1P2q3/P6P/2P4P/2Q1RR1K w - -,e1e4
1r1qk2r/b1p2ppp/p1p1bn2/P7/1P1pP3/5N2/1B1N1PPP/R2Q1RK1 w k -,d1c2
4rk2/8/6K1/5P1p/8/2R5/6p1/8 w - -,c3g3
rn1qk2r/ppp1bppp/4p3/3p4/4nPbP/1P2PN2/PBPP2P1/RN1QKB1R w KQkq -,d2d3
r3r1k1/2q2pbp/pp4pQ/3p4/P3nPb1/1N1B1N2/1PP3PP/3R1R1K w - -,h6h4
2r2qk1/p1r2p1p/1p4p1/n2p4/6NQ/P1P1R3/5PPP/R5K1 b - -,c7c6
r4rk1/pp2nppp/4pn2/q1p1N3/b2P4/P1PBP3/2Q2PPP/R1B2RK1 w - -,c2e2
1R6/8/8/3k4/P2p4/2r1p3/2K5/8 w - -,c2d1
2r2rk1/p2nq2p/1p2p3/3p1pp1/3Pn3/1P1bN1P1/PQ2PPBP/2R2RK1 w - -,e2d3
r1bqr1k1/1p1n1pbp/p2p1np1/3P4/P1p1PB2/2N2N1P/1PB2PP1/R2Q1RK1 b - -,d7c5
r4r1k/1p1q2bp/p1p2pp1/P4b2/3P4/2PBBR1P/2PQ2P1/1R4K1 b - -,f5e6
r1q2rk1/pb2bpp1/1p2p2p/4P2Q/3N4/P1Pn4/5PPP/R1BR2K1 w - -,d1d3
3qnr1k/8/p1R1Qp1p/3P1N2/1p6/3P4/PP5P/7K b - -,e8c7
r1b1nrk1/1p4bp/p2p2p1/q1pP1p2/P3P3/2NQB2P/1P2NPP1/R4RK1 w - -,e2f4
7k/6b1/3R3p/5P2/b7/2pN4/8/2r2BK1 b - -,c1d1
8/4kpp1/p3p3/1pn1P1P1/2p5/2P2K1P/PP1rB1P1/1R6 b - -,c5d7
r1b2k2/p1R1nq1p/1p2p2R/3p2Q1/3P1P2/6P1/PP4K1/8 b - -,f7g7
3q2k1/p2r1pp1/1p5p/1R1p1Q2/P2P4/4P1P1/5PKP/8 b - -,d7d6
5rk1/pB3p2/np3bpp/4p3/2P5/6P1/PP1B1P1P/4R1K1 b - -,a6c5
3R4/7p/4p3/1pk1P2P/1pp1K1r1/1P6/P7/8 w - -,e4e3
7k/3R4/3pB2r/2pP4/2P5/1r6/7P/7K w - -,d7d6
r4rk1/3qppbp/p4np1/1p1p1B2/3P4/BPN1P3/P1Q2PPP/R1R3K1 b - -,g6f5
1r6/Rb4k1/3b2p1/2p1pp1p/1pPpP3/1P1P1PPP/3N1NK1/8 w - f6,e4f5
1r3rk1/R6p/3p2p1/2nP1pb1/2P1p3/3q4/4QPPP/R2B1NK1 b - -,d3e2
r1bq1rk1/pp1nbppp/2pp4/4p3/4Pn2/1BPP1N1P/PP3PP1/R1BQKN1R w KQ -,c1f4
1r3n1k/4q1b1/2n3p1/p3p3/4P1B1/1PP1BQ2/P5PP/3R1R1K b - -,e7a3
r1r3k1/p2b1pbp/1q2p1p1/3p4/3P4/1B2B3/PP1Q1PPP/R1R3K1 w - -,b3d1
r4rk1/ppq2ppb/2p1nn1p/2b1pN2/2P1P3/1P4P1/PBQ1NPBP/R4RK1 b - -,a8d8
r5k1/pR3pp1/3r4/8/2P5/5B1R/P7/5K2 b - -,d6f6
6k1/pbrrqppp/1p2n3/3p4/6QP/1P2P1P1/PB3PB1/2RR2K1 w - -,c1c7
8/4k3/5p1p/3pP3/2q5/1p2PK1P/1P1Q2P1/8 b - -,f6e5
2r1nrk1/1q2p1bp/2pp4/p4N2/2P1pP2/1P2B3/P5PP/1R2QRK1 w - -,f5g7
8/7R/pr3Pk1/8/1p6/5KP1/7P/8 w - -,h7c7
3brrk1/1p1q2pp/pB1ppn2/n3p3/N3P3/5N2/1PP2PPP/R2QR1K1 w - -,a4c5
8/8/7p/7R/k2N4/6r1/3K4/8 w - -,h5h6
3R4/p3r1k1/8/1P2Pp1p/2r2Pp1/4K1P1/P2R3P/8 w - -,d2d7
3Qrkq1/8/3p1p2/8/p2r1P2/3N4/P5BK/8 w - -,d8f6
2k5/7p/3b2p1/3r2N1/Rp3p1P/8/P3KPP1/8 w - -,g5h7
rn1q1rk1/3bppbp/p4np1/1pp5/3PP3/1QN2N2/PP2BPPP/R1B1K2R w KQ c6,d4c5
8/8/p7/1q4P1/5P2/4k1P1/2Q4K/8 b - -,a6a5
3qkb1r/1b3ppp/p2pp3/1p4PP/2r1PP2/P1N1B3/1PPQ4/2KR3R w k -,e3d4
r2r2k1/pb1qbppp/1p2p3/2p5/3PP3/2P3P1/P4PBP/R1BQR1K1 w - c6,c1e3
rn3rk1/pbp1bppp/1p1qp3/8/3P1N2/PP2P3/1B3PPP/R2QKB1R w KQ -,f1d3
1nr3k1/5p1p/1pq3p1/p1pQp3/7P/4PnP1/PP3P2/2RR3K w - -,h1g2
5r1k/1p4rp/p3Q3/4p3/PP3p2/2q2Pb1/B3R1P1/3R3K w - -,e6f6
6k1/2b5/2B1p1pp/1P6/4N1P1/5K1P/2r5/8 b - -,g6g5
