8/8/8/2K5/8/2n4k/1p6/6R1 b - -,h3h2
2kr1b2/1b3pp1/p3p3/1p2P2N/1n1q1PP1/3p4/PP1B2BP/2RQ3K b - -,b4c2
8/5nk1/8/2pP2pK/2P2P2/3B4/8/8 w - -,f4g5
4r2k/2q3pp/5p2/2n2N2/3QP3/5PP1/6KP/3R4 b - e3,c5e6
r1b2rk1/pp4pp/1bn1p1q1/3p4/8/1N3NB1/PPP2PPP/R2Q1RK1 w - -,c2c3
r1b2rk1/ppp1qppp/2n2n2/2b1p3/4P3/1BP2N2/PP1N1PPP/R1BQ1RK1 b - -,c8e6
5rk1/2Q3bp/1R4p1/5p2/5P2/4P1PK/1qpB3P/8 b - -,b2b1
2r2bk1/1b1n2p1/pp1p1q2/4p1N1/P7/2P5/1P1Q1PPP/3RR1K1 w - -,h2h4
3r3k/6bp/p7/1p4B1/5p2/1P6/1P4PP/2K5 w - -,g5d8
r2q1rk1/pp2ppb1/4b1p1/2ppP2p/3P2n1/1P2P1P1/P1P1N1BP/R1BQ1RK1 b - -,d8b6
3r1rk1/1b1p1pp1/p1q1p2p/2b1P2P/2p2BP1/2N5/PP1RQP2/4K1R1 w - -,g4g5
3rrk2/ppp3p1/2n2p1p/3bp2P/6P1/1PB1PP2/P1P1B3/2K2RR1 b - -,f8g8
8/5n2/1P3k2/8/3K4/R7/P1r3p1/8 w - -,a3g3
1rbq1rk1/Q2pppbp/6p1/4P3/5P2/4B3/PPP3PP/2KR1B1R b - -,c8b7
8/p1r5/4p2p/1Rr1kpP1/2P2R2/P5P1/5PK1/8 b - -,h6g5
3r2k1/pp3pp1/2p1p2p/2P5/6P1/3b1rBP/PK3P1R/3R4 b - -,d8d5
r2qkb1r/ppp2ppp/2n5/3BPb2/4n3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1g1
6k1/4pp1p/1q1p2p1/8/PPr1P3/5P1P/3Q2P1/1R5K b - -,b6c6
r4rk1/1pq2pp1/1np2b1p/2NbN3/p2P4/P2B3P/1PQ2PP1/3RR1K1 b - -,f8e8
2r1r1k1/q2n1pp1/p3pnp1/1pb5/2P5/PP1Q2N1/1B1N1PPP/2R1R1K1 w - -,d3f3
8/8/5p2/p1pb4/2p1k1B1/P1Pp2P1/1P1K4/8 w - -,g4d1
6r1/pp1q4/3bppk1/3p1pr1/2P4R/1PQ1PB1P/P4PP1/5R1K w - -,c4d5
2r5/2R4R/8/4r1p1/1p4P1/1P4kP/1KP5/8 b - -,c8c7
8/2p3k1/1p1pn3/p2NpK1b/2P1P3/P5P1/7r/1B3R2 b - -,h5e2
r4rk1/2qnbp1p/p1n3p1/1pp1p1N1/3P4/2P2N1P/PPQ2PP1/R1B1R1K1 w - -,d4e5
6k1/5pp1/7p/3qP3/1Q1n3N/1P4P1/5P1P/r3R2K w - -,h4g2
r1b2rk1/1pq1bppp/p2ppn2/8/3BPP2/2N3Q1/PPP1B1PP/R4RK1 b - -,b7b5:f8d8
r4b1r/1p1k1pp1/n1n1p2p/1N1pP3/3P4/P4N2/1P1B1PPP/R1R3K1 b - -,f8e7
r1b1kb1r/pp2pppp/2n5/2pq4/8/5NP1/PP1PPPBP/R1BQK2R b KQkq -,e7e5
8/6p1/7k/4KPp1/5r2/8/8/R7 b - -,h6h5
5k2/pp2p3/b5Qp/4r3/6P1/6K1/7P/8 w - -,g3f4
4r1k1/2pr1bbp/1p2qpp1/p7/2P1P1P1/3P2RP/1BP1QN2/3R2K1 w - -,d1e1
6k1/p4pp1/2r1p1bp/1p6/2PP4/1P3P2/rB1R1KPP/4R3 w - b6,e1c1
4kb1r/pp3ppp/2q1p3/3rP2b/5B2/5N1P/PP3PP1/R2Q1RK1 w k -,d1e2
rnbqk2r/p2nbppp/1p2p3/2ppP3/3P1P2/P1N1B1P1/1PP1N2P/R2QKB1R b KQkq -,b8c6
2r4k/1pR1p2p/pq3npb/n2p1p2/P2P4/1P1QPPP1/1B4BP/N2R2K1 b - -,c8c7
r5k1/ppq1nrp1/4bp1p/8/P2P2N1/2P4R/4QPPP/R5K1 w - -,e2e6
r2q2k1/2n1r1b1/3p1p1p/pPpPnPp1/P3B3/1PN4P/3BQ1P1/1R3RK1 w - -,g1h1
r4rk1/1bqnbppp/p2pp3/1p4P1/3BPP2/P1N2B2/1PP2Q1P/R3K2R b KQ -,e6e5
8/2Rk1p2/1P3b1p/5N2/4K3/2p5/1r6/8 b - -,d7d8
r2qr1k1/ppb2ppp/8/3n4/2Nn4/4P2P/PB2QPP1/R4RK1 w - -,b2d4
4N3/6R1/2p1p2k/p2pn3/P5P1/2b1K3/2b5/8 w - -,g4g5
2r3k1/2q2bp1/7p/pp1p4/2pQpPP1/P3P2P/1P1R1K2/6R1 b - -,f7e6
1r3rk1/pR3ppp/3p4/8/2PQ3P/6P1/qP3PK1/4R3 w - -,e1e7
3r1rk1/1pq2ppp/1bb1p1n1/p3P3/P1R3P1/1NB2N2/1PP1QPK1/7R b - -,c7e7
4r1k1/p4p1p/1p2r3/4P1p1/2PQ1P2/3R1qP1/P6P/R5K1 b - -,f3g4
r1bq1rk1/p2nbppp/1pn1p3/2ppP3/3P1P2/2N1BN2/PPPQB1PP/R4RK1 b - -,c8b7:f7f6:f7f5
1rb1kb1r/3qnppp/3p4/p3pN2/1pP1P3/1P6/P1NB1PPP/R2QR1K1 w k -,f5e7
2r3r1/1p1knp1p/p4p2/5b2/3Pp3/2N1P3/PP1KBP1P/2R4R w - -,h1g1
8/3k4/p3pp1p/1p1n3P/nP1N2P1/P4PB1/4K3/8 b - -,a4b2
2k5/1p4K1/1P1R2P1/r7/8/8/8/8 w - -,g7g8
Rr1r2k1/5ppp/2p1q2n/1p1pP3/3P1P2/2P2BPb/3Q1B1P/R5K1 w - -,a8b8
7R/8/7P/2kbp3/8/7K/4r3/8 w - -,h8c8
2q2nk1/4b3/p3p1P1/n2p1p2/Pp1P1N2/1P1Q1N2/3B1PK1/8 b - -,a5c6
6k1/3p4/4p3/5p1p/4bP1B/2P3P1/r1P1RK1P/8 w - -,f2e3
r7/2pb1pkp/2pp4/p7/1r1PP3/R2BK1P1/P1R4P/8 b - -,a5a4
r1b1k2r/ppp2pp1/7q/3ppP2/3P2Q1/2PB2P1/PP1N1PnP/R4K1R w kq -,f1g2
4r2r/pp1b1kpp/1q1b1p2/3pn3/3N4/1NP4P/PPQB1PP1/1R2R1K1 b - -,d6b8
r2q1rk1/5p2/1p2p2Q/p3N1n1/3P4/P5R1/1P3PPP/6K1 b - -,f7f6
7k/pp2r1p1/6bB/2P4p/1P1Q4/P7/4q1P1/3R3K w - -,h6g5
8/1q5k/6p1/8/6PP/4Q2K/8/8 b - -,b7d7
8/pb1kb3/2p1p1QP/1pP1q3/8/4P1P1/2B2P1K/8 b - -,e5c5
r2qrbk1/2p2ppp/b1np1n2/1p2p3/p3P3/2PPNN2/PPB1QPPP/R1BR2K1 b - -,c6a5
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/P1NPN3/BPP2PPP/R1BQK2R b KQ -,c8e6
1r1rn1k1/2q1bppp/pp6/n1pPP3/6b1/N4NP1/PBQ2PBP/2RR2K1 b - -,c7d7
2rqk2r/5pp1/p1bp4/2p4p/1pPnPPnP/1PbP1NQ1/PN2R1B1/2B2R1K w k -,f3d4
2kr1b1r/ppq3pp/2p2p2/4nb2/P4B2/1QN3P1/1P2PPBP/R4RK1 b - -,c7f7
8/8/b4q2/1p5B/4Q3/2P3k1/2K5/8 b - -,a6c8
2r2rk1/1n1R2pp/p3pb2/8/2PN4/2N3P1/P4PKP/4R3 b - -,b7c5
r2q1r1k/ppbn2pp/2p5/4pP2/5P2/1B4Q1/PPP3PP/R1B2R1K b - -,f8f5
8/8/8/7p/1R2kprP/8/7K/8 b - -,e4d3
2r1k2r/pp1n1ppp/8/2bRp3/4P3/2N1B3/PPK2PPP/7R w k -,h1d1
2r5/3r1pkp/1R3p2/3p1N2/8/2bR2P1/4PP1P/6K1 b - -,g7g6
2r5/5p2/p2P1kp1/1RP1p2p/8/4K1PP/8/8 b - -,a6b5
r1bqkb1r/ppp2ppp/3p1n2/4n3/3NP3/2N4P/PPP2P2/R1BQKBR1 w Qkq -,c1e3
r2q1rk1/1pp1bppp/2np4/p1n1p3/P1P1P3/2P2N2/1PQN1PPP/R1B1R1K1 w - -,d2f1
r1bqk2r/pp1pppbp/6p1/8/2PnP1Q1/2N1B3/PP3PPP/R3KB1R w KQkq -,g4d1
r1bqr1k1/pp2npbp/3pp1pB/2p5/2PnP3/2NP1NP1/PP1Q1PBP/R4RK1 b - -,d4f3
6r1/5p1k/3q1P1p/2p1n3/2Ppb3/1P4RP/5Q1K/5BR1 w - -,g3g7
5bk1/p3q2p/1pQ2pp1/3P4/6PP/5N2/PP3PK1/8 w - -,c6c4
r1b1qrk1/pp4bp/n1pp1np1/4pp2/2PP4/P1N2NP1/1PQ1PPBP/R1B1R1K1 w - e6,d4e5
8/3n3p/2Np1kp1/1B1P1p2/1P2P3/5PP1/7P/b5K1 w - -,g1f1
8/4kp2/4p1p1/3pPb1p/pP1P1P2/Pp2KNP1/1Pr4P/4R3 b - -,c2b2
r3kb1r/3q1pp1/p1n1p2p/1pPnP3/4b3/4BN2/PPN1BPPP/2RQ1RK1 b kq -,d5e3
r7/1p3k1p/2n1p1n1/p2pPp2/P2P1P2/2B1Q3/1P1N3P/3q2RK b - -,d1h5
r3rbk1/pbqn1pp1/1p1p1n1p/2pPpN2/1P2P1P1/P1PBB2P/3NQP2/R4RK1 b - g3,g8h7
