8/5ppk/7p/B3R3/2pn3P/3r2P1/5PK1/8 w - -,e5e4
2r2k1r/pR3p2/4bq1p/8/3N1P2/P1P2Q1P/6P1/4R2K b - -,e6c4
3r4/1p1n1k2/2b1p1p1/R7/1P1p1P1P/6P1/1P2RK2/8 w - -,b4b5
8/1R4B1/p2pk1p1/P1b5/6P1/7P/1P3PK1/1r6 w - -,h3h4
r2r3Q/pb1q1k1p/1p4p1/3P4/2R5/6P1/PB3bBP/3R3K w - -,h8g7
2b5/p4k2/1p2ppp1/3pP2P/P2P1PK1/1P1B4/8/8 b - -,g6h5
3r2k1/5p2/2p1nbp1/pp2p2p/4P3/1PP1NPP1/P3KB1P/3R4 w - -,d1a1
r7/2pb1q1k/pp1p3p/3P1n2/2P1NP2/1P6/P2QB2P/6RK b - -,a8g8
4Rbk1/5p2/r5p1/2p4p/8/2B3PP/1P3P2/6K1 w - -,b2b4
4B3/p7/8/3Kp1kP/3b3r/8/8/2R5 b - -,g5f4
6k1/6p1/p6p/7P/1r6/6K1/1P2R3/8 w - -,e2f2
5n2/2R5/P1p4k/2Nn4/1P6/7P/r4PPK/8 w - -,c7c6
r1r3k1/6p1/p3pp1p/R2b4/5B1P/P4NP1/5PB1/6K1 b - h3,c8c3
r2q1rk1/p3ppbp/bp4p1/2pPn3/2P1P3/1B2B3/P3NPPP/2RQ1RK1 b - -,e7e6
r1bq1rk1/pp3ppp/1bp5/3nn3/B7/2PP3P/PP3PP1/R1BQRNK1 w - -,e1e5
3r2k1/bp3pp1/p1p4p/P1n5/2PPR3/1PB2N1P/3K2P1/8 w - -,e4e7
8/5k1p/p4b2/6p1/r7/4B1P1/P1R2PKP/8 b - -,h7h5
2r3k1/5p1p/1p1B4/4Pb2/5P1b/PR1N4/3K3P/8 b - -,h4d8
rn1q1rk1/pbppppbp/1p3np1/8/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 b - -,d7d5
2kr4/1pp1r3/3p1pq1/1P2n1p1/4b1P1/2Q1B1R1/PKP1BP2/3R4 b - -,g6f7
2rr2k1/pp1bbppp/3qpn2/3nN3/3P4/2N1BB2/PP3PPP/1QR2RK1 w - -,f1d1
r1b1r1k1/pp2qppp/2p2n2/4p3/2PPp3/2Q1P3/PP1NBPPP/2KR3R w - -,h1e1
r1b2rk1/pp3p1p/q1n2np1/3p4/1bpP4/1PN1PNP1/P1QB1PBP/R4RK1 w - -,a2a3
r1b1kb1r/pp1n1p2/1q2pn1p/2pp3P/3PPBp1/2PB1P2/PP1NN1P1/R1Q1K2R b KQkq -,g4f3
1rr3k1/1bqn1ppp/pp1p4/3Pp3/1PP1n3/1Q2PNP1/2RN1PBP/2R3K1 b - -,e4d2
4r1k1/p5pp/bpp2r2/3p4/2P3q1/N7/PPQ2PPP/R3R1K1 b - -,f6e6
1k6/p1p1Q3/1p2P2p/7P/3q1P2/3B1br1/PPP5/2KN4 w - -,f4f5
1rr5/4npk1/3p3p/p3p1p1/3nP3/1P2NPP1/P2R3P/4RQK1 w - -,f3f4
r1k4r/2p2pp1/1pp4p/p2bPn2/P3N3/1PB2P2/2P2KPP/R2R4 b - -,h6h5
2r5/5p2/p2k2pp/2p1p3/P2rP1Pb/1P1B4/2R1K2P/2R5 w - -,c1f1
r3k2r/5pp1/2R1p3/1p2P2p/1p1p1P2/3P1Rq1/PP2Q1P1/6K1 b kq -,g3g4
r4rk1/1b2qpbp/1p2p1p1/3nN3/p2PNP2/P7/BP1Q2PP/3RR1K1 w - -,d2f2
8/5p2/4p1k1/pp6/2pP1bP1/P1P2N2/1P3KR1/7r w - -,f3e5
1r3k2/5p2/2np2pp/Pp1N4/1P2N3/b5P1/4RPKP/8 w - -,e4d6
2q3k1/1p4p1/p6p/b2pP2Q/3P4/2r2R2/7P/4N2K w - -,h5f7
1r3k2/1qr1ppbp/3p1np1/1p1P2B1/8/1B1Q3P/RPP2PP1/4R1K1 b - -,h7h6
5n1r/2r3b1/1ppk4/p2p4/P2P1R2/1P1NP1R1/3K2B1/8 w - -,f4g4
4kb1r/r2nq1pp/1p2b3/1Bp1p1B1/8/2Q5/PPP2PPP/4R1K1 w k -,g5e7
8/8/R2bk3/3p4/3P4/3KP3/7r/3N4 b - -,e6d7
rn1qk2r/pbp2ppp/1p1b1n2/3p4/3P4/1P1BPN2/P4PPP/RNBQ1RK1 b kq -,e8g8
8/6p1/p4p1k/2p4p/P6n/4P2P/3N1qPK/B2Q2n1 w - -,d1g1
r1b1rk2/3n1p1p/1qp2np1/pp2p3/2P1P3/1P3NPB/P1QN1P1P/3RR1K1 b - -,f8g7
1rb2knr/2qn2bp/pp1p1pp1/2pPp3/1PP1P3/Q1N1BN1P/P3BPP1/1R2K2R w K -,e1g1
8/3k2p1/1pp2p2/pPb5/3pr2P/5N2/P2B2K1/R7 w - -,a1e1
8/pp4p1/2pnkp2/3p2p1/1P1P4/1P2KPN1/2P3PP/8 w - -,c2c3
5R2/8/3p2k1/p5pp/P3n1P1/1P3N1P/2P4K/3r4 b - g3,h5h4
4rk2/p4p2/1p1r1np1/2p3Q1/3q4/3BN2P/P1P1R3/7K b - -,e8e5
r4rk1/1ppb1ppp/3p4/p3nP2/P3PR1P/1RBBq1P1/2P3K1/3Q4 w - -,d3e2
r3k2r/pp1b1pp1/1qpbpn1p/8/PP1P4/3B1N1P/2PB1PP1/R2Q1RK1 b kq b3,a7a5
6k1/8/4r1p1/pp3p1p/2r2P2/2P5/PPR5/1K3R2 b - -,c4e4
3r2k1/pp3pp1/1q6/4Rp2/1P1p1P2/P3BQ2/2P3PP/7K b - -,d4e3
1r1r1k2/b1p1R2p/n2p1p2/P7/B1p2P2/6PP/6K1/4R3 w - -,e7h7
1r4k1/3b1pbp/p2p1np1/qp1Pr3/2N1P3/1QN4P/P3BPP1/4RRK1 b - -,b5c4
2r1r1k1/p2n1pb1/1q3npp/1p1Pp3/4P3/BPP2N2/3N2PP/R3QR1K b - -,a7a5
8/8/p2Pk3/Bp1n1p2/3P2p1/3K4/P4PP1/8 w - -,a5d2
r1bqkb1r/pppnpppp/3p1n2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,f1g2
2r3k1/1p3rpp/p1q5/4QPB1/4n3/2P2R1P/P1P3P1/R6K w - -,g5h4
r4rk1/pp4pp/2n5/2Ppp3/3P4/2NR4/PP4PP/5RK1 w - -,d4e5
4k3/p5Q1/1p6/r6P/P1q5/6P1/3R1P1K/8 w - -,g7h8
8/2R3pk/2p2p1p/1p6/5PPP/rPP1K3/8/8 w - -,c7c6
r7/r5k1/2qP1p2/4p1pp/4P3/1P2R3/6P1/3RQ2K b - -,a7d7
6k1/7p/3p3Q/p1pPq1pN/P2nP3/8/1P4P1/7K b - -,d4e2
r4rk1/1pqnbppp/n2pb3/p3p1P1/P3P3/1NN1BQ1P/1PP2P2/1K1R1B1R b - -,a6b4
8/8/4k3/7R/5pK1/2r3bP/3N2P1/8 b - -,c3c2
5Q2/6r1/kpp4p/n7/P2qN2p/3P4/5P2/1R5K b - -,a6a7
8/1R2Np1k/4pn1p/6pb/4P3/3P1PPP/2r1BK2/8 w - g6,f2e3
r1r3k1/1bpnqp1p/pp1b1np1/3p4/3P1P2/1P1BP2P/PBRNQ1P1/2R2NK1 b - f3,c7c5
rn2kb1r/pp2pppp/2p2n2/q7/6b1/2N3P1/PPPPNPBP/R1BQK2R w KQkq -,e1g1:h2h3
5rk1/pp4rp/2p5/2P1pq2/4N3/1P2QPP1/P5KP/3R4 b - -,h7h5
r1b1kb1r/pp1p1ppp/n1p5/8/2P3n1/2N3P1/PP1BPP1P/R3KBNR w KQkq -,f2f3
Q7/5ppk/p3n3/7p/1P6/q4PB1/6PK/8 w - -,b4b5
r4r1k/ppp2qpp/3pbn2/1Bb1p3/4P2N/7P/PPPBQPP1/R4RK1 b - -,g7g5
2bQ1qk1/3p1p1p/p1r3p1/8/Pp1pN3/5P2/1PP2P2/R5K1 w - -,e4f6
8/8/3b3p/p2Pk3/P5K1/5p2/3r1P1P/1R6 w - -,g4f3
5k2/ppp1rpp1/6p1/1b1P4/8/1P3N1P/P1R2PP1/6K1 b - -,f8e8
3r1bk1/p4p2/1p2nnpp/1P1Np3/4P3/P3BB1P/5PP1/R5K1 b - -,f6d5
3kb3/p7/1pp1p1n1/2p1Pp2/5P2/3P2Pr/PPPKN1R1/5N2 b - -,g6e7
8/8/8/8/5k1P/r4B2/6PK/8 b - -,a3a7
4r3/1p2r1k1/p1pnn2p/P2p1pp1/1P1P4/3BPP2/3N1KPP/2R1R3 w - -,d2b3
3r2k1/5p2/1N1pbPn1/p5rp/3RP1P1/P1p3K1/2P1B3/3R4 b - -,e6g4
4r1k1/4qppp/4b3/p1rnp3/P1P5/6Q1/1NRN1PPP/4R1K1 b - -,d5b4
8/6p1/4kp2/4p3/7r/4K3/R5P1/8 b - -,h4b4
2r1r1k1/3n1pb1/1q3npp/pp1Pp3/4P3/BPP2N2/3N2PP/2R1QR1K b - -,f6h5
8/6k1/3bp1pp/1p1p4/1P1P1PP1/n2N3P/5K2/4B3 b - -,d6c7
