7r/8/3k4/5PK1/7P/8/8/4R3 b - -,h8g8
3r1rk1/p4qbp/b1p2np1/3p1p2/N2B4/P4PP1/2P1P1BP/1R1QR1K1 w - -,a4c5
1r1b4/6k1/4p2p/nq2Pp1Q/3p1P2/2pP4/2P3BP/R1B3K1 w - -,c1a3
r3rbk1/1p1b2pp/p1n2p2/4qP1Q/4NR2/2P4P/PP1B2B1/R5K1 w - -,a1f1
r1br2k1/1pq2pb1/p5pp/2n1p3/8/1PP2B2/PBN2PPP/R1QR2K1 w - -,d1d8
r1bq1rk1/ppp2p1p/3b2p1/3p3n/2nBP3/P1N2P2/1P3NPP/R2QKB1R w KQ -,c3d5
2b1r1k1/1p3rpp/p3p1n1/q2p3N/P1p1pPB1/2P1Q2P/2PB2P1/R4RK1 b - -,e8f8
r4rk1/1bpnqppp/1p1pp3/p7/1PPPn3/P1Q1PN2/1B2BPPP/R4RK1 w - -,c3c2
r2qn3/2p2pkn/3p2p1/3Pp1P1/4P3/r3P2N/R1R1B2K/6Q1 w - -,a2a3
r4rk1/1p1qb3/4p1pQ/p2p4/P1pNnPP1/2P1P3/1P4K1/R1B2R2 b - -,f8f7
5rk1/1Q3p2/3p3q/3Pn1p1/r3P1b1/6P1/1R2N1BP/5RK1 b - -,h6h8
5k2/8/K2n1p2/P5p1/3q2P1/1Q3P2/8/8 b - -,f8e7
r3k1nr/pp3ppp/1qn1p3/1B1pP3/Qb1P4/5N2/1P3PPP/1RB2RK1 b kq -,a7a6
8/8/1r4p1/p2K4/1p4PP/k7/P6R/8 b - -,a5a4
r2q1r2/pp2b1pk/2p1p2p/4Np1P/3P2n1/8/PPPBQP2/2KR2R1 b - -,g4e5
r2qk2r/1p1nppbp/2p2np1/p2p4/8/PP1PPN1P/1BP1BPP1/R2QK2R b KQkq -,e8g8
3rrbk1/1p2q3/p2p2pp/P1pP1p2/1nN2B1P/1P2PP2/3R1PK1/6QR b - -,e7f7
rnbq1rk1/pp2bpp1/4pn1p/3p4/3P4/P1N2NP1/1P2PPBP/R1BQK2R w KQ -,e1g1
rn1qk2r/4bppp/bp2p3/pN1pP3/Pn1P4/5N2/1P1BQPPP/RB3RK1 b kq -,b8c6
r3k1nr/1b1nppbp/1q1p2p1/p4P2/1p1PP3/3B1N2/PP2N1PP/R1B1QR1K b kq -,g6f5
r2q3r/p2p2k1/bnpP1p1p/4Q3/p1P5/3P4/PP4PP/4RRK1 w - -,e5g3
2k5/1pp2p2/p2p2p1/P2q4/8/2P3R1/4NK2/8 w - -,g3f3
r2qr1k1/p2b1pp1/2pb3p/3pnB2/8/1PP4P/P1QBNPP1/R4RK1 w - -,e2g3
6k1/3b1ppp/2r5/2Nn3q/p3Qn1P/P4P2/1P3BP1/3R1BK1 b - -,d7e6
3r3k/4q2p/2p2pp1/p1n1p3/PpB1P1P1/1P2QP1P/2P1R3/6K1 w - -,e2d2
rn1k3r/p1p3pp/4pn2/1pb1Np2/8/6P1/PPP1PPbP/RNB2RK1 w - -,g1g2
6k1/5p2/4p1p1/4P1P1/pB1P4/Pn3N2/2r2P2/4K3 b - -,c2a2
r1r2nk1/1b2qpb1/p5p1/1pp1p3/4P2N/1P1PQ3/PB2BPP1/R3K2R w KQ -,e2g4
r3r1k1/pp3pp1/2nb4/3B1q1p/2Qn1P2/2N5/PP1B3P/R5RK b - -,d4e6
2r2rk1/pp3ppp/4p3/3pP1N1/bq5P/1P1Q4/P1P2PP1/1K1R3R b - -,g7g6
3rk2r/pp1n1pp1/1qp1pnp1/2bp4/1PP5/3P2P1/PB1NPPBP/1R1Q1RK1 b k -,c5e7
8/5k1p/5p2/3p4/pKp5/P2r4/1P3RPP/8 w - -,f2e2
2r2rk1/p1q1ppnp/1p4p1/2pR4/4P3/P1Q1PPP1/1P4BP/1R4K1 b - -,e7e6
r2qkb1r/p2n1ppp/b3pn2/P1pp4/2PP4/5NP1/3NPPBP/R1BQ1RK1 b kq -,a8c8
r1bq1rk1/1p2bpp1/pn1p1n1p/4p3/4P3/1BNQB3/PPPN1PPP/R4RK1 b - -,c8e6
r3rbk1/5p1p/2p1b1p1/pP2p3/2P1P1n1/1P1N2P1/5PBP/2BR1RK1 b - -,c6b5
r4k1r/2qnnpb1/p1b3pp/Ppp1p3/4P3/2N2NBP/1PP2PP1/R2RQBK1 b - -,a8e8
4nrk1/4qp1p/pp1p2p1/2rRp1nP/2P4N/4P3/PP2BP1R/1K1Q4 w - -,a2a3
r1b2rk1/1pp2ppp/3q1n2/3Pn3/5B2/PQ6/B3NPPP/R4RK1 b - -,f6h5
6k1/p1n1Bp2/2B3pp/4P3/2bNKP2/6PP/3b4/8 b - -,c4f1
2K2k2/5p2/5q2/1p1P4/P7/5B2/7Q/8 w - -,a4b5
3r2k1/pp1q1r1p/6pB/2p2p2/2P5/2QP2P1/P3R2P/4R1K1 b - -,b7b6
2brr1k1/ppq2pbp/2p3p1/7n/3BP3/1P3PP1/P1Q1N1BP/3R1R1K w - -,f3f4
r1b1k1nr/pp1p1pbp/1qn1p1p1/1B6/3PP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,g8e7
3r3b/2B4k/5p1P/pp1r4/7P/P2pR3/1P1R1P2/1K6 b - -,d8d7
r5k1/pp2qpb1/n3p1pp/3rP3/1P2Q3/P1N2N2/5PPP/R3R1K1 b - -,d5d7
8/3n4/P4k1p/3K1P1P/8/4N1p1/8/8 w - -,a6a7
r1bqr1k1/1p2bpp1/2p1pn1p/8/p1PP1B2/5NP1/PP2QPBP/R2R2K1 w - -,h2h4
3r2k1/5ppp/4p3/1p2P3/p1n2B1P/P4P2/K1P3P1/4R3 b - h3,h7h5
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f1g2
1rr3k1/1q2nppp/3b4/pp1pNp2/3PnP2/PQP1BNP1/1P5P/2R2RK1 b - -,c8c7
8/4p3/3p2b1/6k1/1R3p1p/2P1r2P/rP4P1/1R3BK1 w - -,b4b7
1rbq1rk1/p1bnnppp/4p3/1pN5/8/P1PP1NP1/5PBP/R1BQR1K1 w - -,c5e4
r4rk1/pp3pp1/4pb1p/3n3P/2P5/5N2/PP1B1PP1/1K1R3R b - c3,d5e7
r1bqk2r/pppp1ppp/2n5/4P3/1bP5/5N2/PP1NPPPP/R2QKB1R w KQkq -,a2a3
3r1kr1/1pqb1p1p/p1nppp2/5P2/3NP3/2P2R2/P1PQB1PP/3R3K b - -,e6e5
r1r3k1/1p2qpp1/3p2np/p7/P1bpP1Q1/4B2P/1PB2PP1/2R1R1K1 w - -,e3d4
r2q1rk1/1b1nppb1/p2p1np1/1p4N1/3BP1pP/2N2P2/PPPQ4/1K1R1B1R w - -,f3g4
2r3k1/pp2ppbp/3p2p1/2r5/P3PP1P/3Q4/6P1/5RK1 b - -,c5a5
5rk1/1bR4p/1P1q1p2/p5pN/4p3/4P1P1/PQ3PKP/8 b - -,b7a6
6k1/p2r2pp/1n6/4P3/1n1K1PP1/1P6/2P1R2P/8 w - -,d4c5
r3rnk1/3b1p1p/pp1bqp2/2p2PPQ/3P4/1P2PR2/PB5P/1B1R2K1 b - -,e6e7
r3r1k1/pp2ppbp/2p1b1p1/3n4/2PP4/BR1B4/P1PN1PPP/4R1K1 b - -,d5b6
8/1p4pp/2k1np2/1p6/1B2P3/4K3/PP4PP/8 b - -,c6d7
8/1p6/4kp1p/P4P2/1P6/6K1/8/8 b - -,e6d5
3r4/3rk2p/bppn4/pP2p1p1/P3Pp2/2P2PP1/B2RK2P/2NR4 b - -,c6b5
3q2k1/3r1pp1/1p2pb1p/pPp1B3/P1P2P2/6P1/1Q2PK1P/2R5 w - -,e5f6
rn1q1rk1/ppp1p1bp/1n2b1p1/4Pp2/3P4/2N1BP2/PP1Q2PP/R3KBNR w KQ -,g1h3
8/2p2k2/3p1b1K/1P1Pp3/4P3/8/5B2/8 b - -,f6e7
4r3/1p3rpk/p3p2p/5q2/1Q1RpP2/P2bP1BP/1P4PK/2R5 b - -,f5h5
6k1/2qn1ppp/8/p1bPp3/1p4P1/1P5P/2PB1PB1/Q5K1 b - -,c5d4
r1bqk1nr/ppp4p/2pb2p1/4N3/3Pp3/2P5/PP2QPPP/RNB1K2R b KQkq -,c8f5
8/8/1P3n2/p4k2/P1PQ1p2/1K1P1qP1/8/4R3 b - -,f4g3
8/8/8/pkNp4/1p1P1N2/1PnK4/8/8 w - -,f4e2
5k2/3n4/p1pb2pp/B1p2p2/2Pp1P2/1P1P1NP1/P4K1P/8 w - -,a5d2
5rk1/r4pbp/2R1p1p1/1p1nP3/1q2N3/1Q1B1PP1/5P1P/1R4K1 b - -,b4b3
r3rbk1/2nq4/3p1p1p/pp1P1p2/8/P2Q1N1P/1P1B1PP1/R3R1K1 b - -,d7f7
r5k1/p1pq2pp/2p1r3/3n1p2/2R5/BP1P1QP1/P4P1P/2R3K1 w - f6,g1g2
2r3k1/4qppp/1pn5/p3p3/P1BbP1Q1/1P4P1/3B1PKP/3R4 b - -,c8f8
r3r1k1/pp1n1pbp/2pp2p1/8/2PpN1P1/1P1NP2P/P4PK1/2RR4 w - -,e4d6
8/pn3p2/1k6/3p1pP1/3PnK2/2PB4/P7/1N6 w - -,f4f5
r2r2k1/5pb1/3p1np1/3P1b1p/1pNn1B2/5BP1/PP3P1P/R2R2K1 w - -,d1d4
4b1k1/5pq1/2n3p1/3pp1Q1/8/1PNr2N1/5RK1/8 w - -,c3b5
2R5/6p1/r2pkb2/p4p1P/P7/3KBP2/8/8 b - -,d6d5
