8/8/3k1R2/3NpP2/3bP2P/p2K4/7r/8 b - -,d6c5
r7/3b4/p2ppk2/4n3/3B4/PN4P1/2P3P1/3R2K1 w - -,b3a5
r3k2r/1b3pp1/p3p2p/2n5/Pp3Nn1/3B1N2/1PP2PPP/3R1RK1 w kq -,b2b3
8/8/Q3p2k/7p/2B3p1/7q/8/6K1 b - -,h3e3:h3g3
r4rk1/1pq1bppp/p1n1pn2/3p4/2P1P3/2P2NPP/PP2QP2/R1B1RBK1 b - -,f6e4
4r3/pb3kpp/1p2pb2/3p4/3B1P2/P1P1K3/1P2B1PP/3R4 b - -,f7e7
r3k2r/ppp1qp2/2n4p/5bp1/3Pp3/2P2PP1/PQ4P1/2KR1BNR w kq -,d4d5
1r2r1k1/2pn1ppp/p4q2/P2Pp1N1/3n4/1QP5/1P1B1PPP/R3R1K1 w - -,b3d1
r2qk2r/pppnb1pp/4pp2/3pP3/1n1P1P2/PNN1B3/1PP1Q1PP/R3K2R b KQkq -,b4c6
8/Q7/4k2p/7P/4P1q1/p7/5K2/8 b - -,g4f4
r2qkb1r/1p2pp1p/1np1bnp1/p3N3/P2P1B2/2N2Q2/1PP1BPPP/3RK2R b Kkq -,f8g7
5rk1/3n1p1p/p2P1qp1/1p5r/3RPP2/1BP1Q3/P6P/5RK1 b - -,f8e8
r4rk1/4ppbp/5np1/p1pPBq2/PpQ5/5B2/1PP2PPP/1R3RK1 w - -,e5g3
1r2rnk1/2q1bppp/2n1p3/1b1pP3/6P1/2PpQNB1/1P3PBP/R2NR1K1 b - -,f8d7
8/8/1b1k2K1/N2p4/P1p5/2P5/1P6/8 w - -,a5b7
6k1/5b1p/1pq2bp1/5p2/2P1p3/P1BrP1P1/2QN1P1P/2R3K1 w - -,c3f6
r4rk1/bp2q1p1/2pp1n1p/4n3/1PP1P3/6PP/1BQ1N1BK/R4R2 w - -,e2f4
3rb3/pR3n1k/4p1p1/3p1p1p/3P1P2/4P2P/PP4P1/2R4K b - -,a7a5
r1bqkb1r/1p3pp1/p1Nppn1p/6B1/4P3/2N5/PPPQ1PPP/2KR1B1R b kq -,b7c6
5rk1/7p/p5p1/1p1p1p2/1P1PrP1P/P4Q2/1q4P1/3R1R1K w - -,f1f2
rnbqk1nr/ppp1bppp/3p4/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4
4b3/4b3/p1p1pk2/PpPp4/1P1PpKB1/6P1/7N/8 b - -,e8g6
5r1k/1b2q1bp/pr6/1p1Ppp2/4p3/NB6/PP2QPPP/2RR2K1 w - -,a3b1
3r4/pp2p1k1/2p2bpp/1q3r2/3P1p1P/3R1N2/PPP1QPP1/1K2R3 w - -,g2g4
r2qk2r/pb1p1ppp/1pn1pn2/2b5/2P1P3/PNN2P2/1PQ3PP/R1B1KB1R b KQkq -,f6h5
8/3B1rk1/1p6/6Q1/1p6/1P4p1/P4p2/4bK2 b - -,g7f8
2rq4/p5kp/bp3b2/3B3Q/P2P1N1P/1P4P1/1r3R2/R5K1 b - -,g7h8
4rrk1/2q2ppp/p2b4/1ppn4/5P1N/3Pp1B1/PPP1Q1PP/R4RK1 w - -,h4f5
rqb2rk1/p4pbp/2pR2p1/3Nn3/4N3/6P1/PPQ2PBP/4R1K1 w - -,d5f6
r4rk1/p3ppb1/3p3p/q1pP2p1/b1B1P3/4N1P1/PP3PPK/R1Q2R2 b - -,a4d7
r2qkb1r/pp1n1pp1/2p2n1p/4pb2/2P5/1PN2NP1/P3PPBP/R1BQ1RK1 b kq -,d8c7
r1b1kb1r/pppq2p1/2n3np/4p3/2Pp4/5NP1/PP1NPPBP/R1BQ1RK1 b kq -,d7f5
8/8/5pp1/PR5p/1P2k2P/4P3/r4PK1/8 b - -,a2a1
r1bq2k1/1p3p1p/p2p1bpB/2pPr2n/P3P3/2N2B1P/1P1Q1PP1/R3R1K1 b - -,f6g5
8/8/8/5K1p/7P/5k2/8/8 b - -,f3e3
1rbq1rk1/pp2ppbp/2np1np1/2p5/4PP2/N1PP1N2/PP2B1PP/R1BQ1RK1 w - -,g1h1
r1bqrnk1/pp3pp1/2p5/3p2b1/3P4/1QNBPN2/PP3P2/R3K2R w KQ -,f3e5
rnbqkbnr/1p3ppp/p3p3/2p5/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq c6,g1f3
5rk1/1p1qp1b1/2np3p/8/r4Bn1/1N1P3P/PP1Q2P1/R4RK1 w - -,h3g4
2rk4/R3pp2/7n/2p1PP1p/1pK1B3/1P2bN1P/2P5/8 b - -,c8c7
2r2r2/1bqp1kb1/p3p1p1/1p3nB1/3PN3/2P5/P1B1QPP1/2R2RK1 w - -,e2g4
r5k1/5ppp/pp1Rpn2/8/2r5/2N1P3/PP3PPP/R5K1 b - -,b6b5
1r1r3k/3b3p/3q1np1/1p2p3/P3p2N/1P4P1/1B2QP1P/2RR2K1 b - -,d6e7
3r2k1/4bp1p/2q1p1p1/4P1P1/1Pp1bP2/2B5/1KP2Q1P/R1N5 b - -,d8b8
rnbq1rk1/pp1nppbp/3p2p1/2p5/3PP3/2N3P1/PPP1NPBP/R1BQ1RK1 w - c6,c1e3
3r1nr1/pp5k/4b2p/3pPp2/3P1P2/1pN1N3/P4R1P/1R5K b - -,e6d7
r1bqk2r/pp1pbppp/2n1pn2/8/2BNP3/2P5/PP3PPP/RNBQ1RK1 w kq -,c4d3
3Q4/p5k1/1pp3r1/8/3p4/P3q2P/1P4P1/5R1K b - -,g7h7
r2qkb1r/p4ppp/2n1p1n1/2ppP2N/2P5/P2Q1N2/1P3PPP/R1B1K2R w KQkq -,c4d5
rn1q3k/pp5p/3p1brP/1NpPp1p1/2P1P1R1/P7/1PK2Q2/5BR1 w - -,g1h1
8/7p/8/1pB2k2/1P3P2/6K1/r4P1P/8 b - -,a2a3
r1q4r/1b1nbk1p/p2p1n2/1p3N2/4P3/2N3Q1/PPP2PPP/R1B2RK1 b - -,e7f8
r2q1rk1/pb2b1pp/2p1pn2/1p4N1/3P1B2/nPNB4/P4PPP/2RQ1RK1 b - -,b7c8
8/2p1k1p1/4n2p/1p2r3/p1p1N1RP/P1P1K3/1P3PP1/8 b - -,e5d5
8/7p/4k3/3p1b2/1P3K2/p1r5/Q5P1/8 w - -,a2e2
3q1b1r/1pr1k1p1/p3pp1p/2Pp1b2/Q3nP2/2P1PN2/PP2B1PP/R1B2RK1 b - -,e4c5
1qrr2k1/4bppp/p1bpp1n1/6P1/2P1PP2/2N1B3/P3Q1P1/1BR2RK1 b - -,e7f8
8/1p3k2/1P5p/p1p4P/P3K3/8/8/8 w - -,e4d5
1r1rb1k1/q4p1p/2np1Pp1/p3p3/2NPP1PP/P1p2B2/2P2Q2/3R2RK b - -,e5d4
1r6/6pk/4q3/P1R1pp1p/1B2b3/6rP/3QR1P1/6K1 w - -,g1h2
3bk3/p4p2/1r6/2Np1N2/3P1n1p/8/PP3P2/1K3B1R w - -,h1g1
6rk/4b3/3p1q1p/8/1R2N3/1p1n2PQ/5P1B/6K1 b - -,f6a1
r1b3k1/p1p2pp1/1p6/3P1R2/2P1p3/P5r1/1P2B1Nq/R5K1 w - -,g1h2
r1b1kb1r/2pp1ppp/1np1q3/4P3/p1P5/1P6/PB1NQPPP/R3KB1R w KQkq -,e2e3:b2c3
2rr2kb/1b1pnp1p/pqn1p1pB/1p6/4P3/P1N3P1/1PPQNPBP/3R1RK1 w - -,h6e3
8/p2r3p/3Ppk2/2p2p2/2K5/6P1/P4P1P/3R4 w - -,c4c5
7k/3q2p1/p6p/2pP1p2/2P1QP2/6P1/Pr5P/1R4K1 w - f6,e4d3
r2q1rk1/1b1n1pp1/p4n1p/1pb1p3/4P2B/2NB1N2/PP2QPPP/3R1RK1 b - -,d8c7
1r1r2k1/1p1nbppp/p1npp3/q7/2PNP3/1P3N2/PB1RQPPP/3R2K1 b - -,e7f8
3q3k/3n1R1r/pp1Q4/4p3/2P1B3/6r1/PP5P/3R2K1 w - -,h2g3
r4rk1/1bpnqpbp/1p1p2p1/p2Pp3/1PP1P2P/P1N2NPB/3Q1P2/2R2RK1 w - -,g1h2
r3k2r/ppp1np2/2nb2p1/3p3p/3P3q/2PQ1BNP/PP3PP1/R1B1K2R w KQkq -,g3e2
r2r2k1/pp1b3p/3b2p1/3Ppp2/3pPP2/6PP/PP1B4/R1R2BK1 w - f6,f4e5
3rn1k1/pp3pp1/2p1p2P/2P1P3/7P/2PrnQ2/P4PK1/R7 w - -,f2e3
r3r3/p2q1pk1/1p1p1np1/2p1p1B1/1PPnP2P/P2P1P2/1Q3P2/R2BK2R b KQ h3,f6h5
8/8/8/3N1ppk/4p3/6PK/5P2/8 b - -,h5g6
r2q1rk1/pb1pbppp/n3pn2/2p5/P2P4/B1P1PNP1/3N1PBP/R2Q1RK1 b - -,a8c8
r4rk1/2q1bppp/1n2b3/1Qp1p3/1pB1P1P1/1P2BP2/PNP4P/1K1R3R b - -,b6c4
4k3/2r1n2p/2p2QpP/p4pR1/Pp6/8/1PBq1PP1/6K1 b - -,d2c2
r2q1rk1/1p1b2np/p7/2Pp1P2/4p1P1/3p2NP/PP5K/1BRQ1R2 w - -,d1b3
5rk1/4q1pp/1p1r1p2/3p4/8/4P3/1Q3PPP/R4RK1 w - -,a1a6
r5k1/pp2p1bp/6p1/n1p1P3/3P1N2/2P1B3/P5PP/3R2K1 b - -,a5c4
r1r3k1/2q1bp1p/1p2pnpP/1B1pQ3/P2P2P1/2P2N2/1P3P2/1K1R3R b - -,c7e5
8/4k2p/3p4/2pB4/4PP2/2b3P1/P3K2P/8 w - -,g3g4
5k2/2R2p2/4p1pp/8/6P1/r4P2/5KP1/8 w - -,f2g3
6k1/p2n2pp/1p1r1p2/P1p5/1P1p4/3P2P1/3NPPKP/2R5 w - -,d2e4
r3r1k1/1pp2ppp/p4qn1/2p1pN2/4PbP1/2BP1Q1P/PPP2P2/R3RK2 b - -,g6h4
