8/5k2/8/R5P1/4K3/p1P5/6r1/8 w - -,a5a3
r6k/pbp2rpp/1b1pqp1n/3Np3/2N1P1PB/3Q1P2/PPP4P/2KR3R w - -,h4e1
8/8/4n3/1R6/6k1/4K3/8/8 w - -,e3e4
8/2p1k3/6p1/1K6/r7/2R1P2P/6P1/8 b - -,a4a2
4r3/p5bk/1p4b1/2p1Nqp1/2P5/1P2QPB1/P7/4R1K1 b - -,g7f6
Q3r2k/6p1/5n2/6Np/1p3P1P/2q3P1/6B1/5R1K w - -,a8f3
8/8/3rB2p/5Rp1/1p3k2/8/P5PK/8 b - -,f4e4
8/1p6/p1pB2K1/P1P5/1P3Pk1/6n1/8/8 w - -,g6f6
r5k1/1bqnr1bp/pp1pp1p1/6P1/2P1PP2/2NBB2Q/PP5R/2R3K1 b - -,g7c3
4r2k/1p1n2bp/p1p5/2P1pr2/1P1PRp2/2N4P/1P3BP1/4RK2 b - -,h8g8
r1q1r3/3b1pk1/p2p4/1pnPp1p1/4P1P1/1pP1R1Q1/P1B2P1N/R5K1 w - -,a2b3
8/p4r2/1p6/6p1/1P6/P1k5/5r2/4Q1K1 b - -,c3b2
rnb2rk1/ppb1q1p1/1np4p/5p2/2N1P3/4BPPN/PPQ3BP/R4RK1 w - -,h3f4
r5r1/2pq1p1k/1p1p1npp/p2Pp3/2P1Pn1P/2R1N3/PPQ2PPN/3R2K1 w - -,g2g3
r2q1rk1/Q4pb1/3P2p1/p2R2Pp/1p2P1nP/7B/PPP5/1KN4R w - -,a7g1
8/8/p7/K3k3/4P3/8/8/8 b - -,e5e4
2r3k1/p3q1pp/bp2p3/3p1p2/3Pn3/1P1N2P1/PQ2PPBP/5RK1 b - -,e4c3
8/Q3nk2/7p/P2p2pP/3Pp1P1/r3P3/3K4/8 b - -,a3a2
r4qk1/2pr1p2/p5p1/1p1pPp2/3P3Q/3R4/PP3PPP/4R1K1 w - -,e1c1
2r5/r3p2p/1p1p1pk1/8/PRP1PP2/3R2P1/P6P/6K1 b - -,g6f7
2kr3r/2q2p2/bnpb1p2/pp2PP2/7N/2P3Pp/PPQBB2P/2KRR3 b - -,f6e5
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R b KQkq -,b8d7:e8g8:b7b5:h7h5
rnbqk2r/1pp1bpp1/p2ppn1p/8/P2P1B2/4PN1P/1PPN1PP1/R2QKB1R b KQkq a3,b8d7
3r2k1/1p6/p2r1q1p/5p1Q/5N1P/3P2P1/1P2RPK1/8 w - -,d3d4
2R5/5kb1/7p/1P3p2/4pn2/2Pr4/7P/4RK2 b - -,d3f3
2rq1nk1/pp1r1pb1/2p1p1p1/4P3/3P4/B1P1P1P1/P4QB1/1R3RK1 b - -,d8g5
8/6pp/2k2p2/pbP1pP2/1p2P3/3K4/P1P3PP/4N3 w - -,d3d2
3r2k1/5pb1/pN1Prp2/6p1/2R5/7P/P5P1/5RK1 w - -,d6d7
5r2/4b1k1/3p3p/pp1qp1p1/4P3/4B1P1/PP4KP/2R5 w - -,e4d5
rnbq1rk1/1p2ppbp/2p3pn/p2p4/3PP3/3B1N2/PPPN1PPP/R1BQR1K1 w - a6,c2c3
2rb1rk1/1bqn1ppp/pp1ppn2/8/2P1P3/1NNBBP2/PP3QPP/2RR2K1 w - -,d3f1
4rr1k/ppq1npp1/2p1pB1p/7N/8/5n1P/PPPQ1PP1/3RR1K1 w - -,g2f3
r1b1k2b/pp3p2/2q3p1/2p1p3/2P5/2B2NP1/PPQ1PP2/R3K3 b Qq -,c8f5
3R4/8/5p1k/5P2/5KP1/r7/8/8 b - -,a3a4
r4qk1/2p2r2/np1p1pp1/pBnP4/1P1QPPP1/P3R1N1/8/1K4R1 b - b3,c5b7
3r1bk1/1pq2pp1/5n1p/p3N3/8/PP3NPP/R4PK1/3Q4 w - -,d1b1
r6r/3qpkb1/1p1n1p1p/p1pPp1p1/P1P1P1P1/1P3PB1/2Q3KP/R2NR3 w - -,d1e3
6r1/4r2k/1ppq4/p2b2pp/3Ppp2/P3P1P1/1P1Q1PBP/R3R1K1 w - -,b2b4
5R2/3k4/1pr2n2/4Kp2/1BP5/3P4/8/8 b - -,f6g4
4r1k1/4qppp/r4n2/1pbp1b2/p2p4/P2P3P/BPP1NRP1/R1B1Q1K1 w - -,f2f5
8/8/3k2p1/1P1n1p2/1P1KpP2/6P1/4B3/8 w - -,e2c4
4rk1r/1bq2pp1/pn1p1b2/1p1P4/5Bp1/1N5P/PPP2QB1/1K1R1R2 w - -,h3g4
r5k1/4n1pp/p3prb1/1p1pN3/5P2/PP4P1/2PR2BP/5R1K b - -,a8c8
8/1p6/6k1/p1pR4/P2P2P1/2P2r1K/1P6/8 w - -,h3h4
r3q2k/ppp5/6b1/2B1Pppp/1PQ2nP1/2P2P1P/P7/3RR1K1 w - -,g1h2
r4rk1/1b2q1p1/pp2p2p/2npPp2/P1p2P2/2P1PN1P/1PQ1B1P1/3RR1K1 b - -,b7c6
2rr3k/p4npp/4bp2/4p3/N1P1P2P/2RB2P1/P1P5/4R2K b - -,d8d4
8/3b1k2/p4p2/1p2N1p1/n2BP3/P4P2/1P2q1P1/2Q3K1 b - -,f6e5
r2qk2r/pp1nbppp/2p1pnb1/8/2PP1B2/2N2NPP/PP3PB1/R2Q1RK1 b kq -,h7h6
5rk1/p4qbp/1p3np1/5p2/Q1p5/2P2BP1/P3PP1P/R2R2K1 b - -,f6e4
r3k1nr/1p1b2bp/pq2p1p1/3pP3/5B1P/2NQ1N2/PP3PP1/R4RK1 b kq -,g8e7
8/5p2/3b3R/2p1k3/P7/1P2K3/6PP/2n5 w - -,a4a5
4rqk1/1p4p1/p1pn1r1p/Q7/5P2/2PR1BP1/P1P4P/4R1K1 w - -,e1e5
r2qk2r/pppnnpb1/3p2pp/3Pp3/4P3/4BN2/PPP2PPP/RN1QR1K1 w kq -,f3d2
r2q1rk1/pp1nppbp/2pp1np1/8/2PPP3/2N1BB2/PP3PPP/2RQ1RK1 b - -,e7e5
r2r2k1/pb3p1p/1pn3p1/1B5q/3p4/1P3N2/PQ3PPP/3R1RK1 w - -,b5c6
r3r1k1/3bbppp/B4n2/2qp4/1p1N4/1P2PP2/P4BPP/1Q1R1R1K w - -,a6d3
8/3b1pk1/5Rp1/4P2p/3K3P/6P1/8/8 w - -,d4d5
2b2rk1/3q3p/p2bp1p1/1pp1p1N1/4P3/P2P3Q/1PP1N1PP/5R1K w - -,f1f8
r3r1k1/5p1p/3p1pp1/3P4/Pp2P3/2N3PP/R4PK1/4R3 b - -,b4c3
1nrq1rk1/3bppbp/3p1np1/3P4/1p2P3/1P1B3P/R1N2PP1/1NBQR1K1 b - -,e7e6
8/R4pk1/6p1/6P1/5K2/2b4P/8/8 b - -,g7g8
N1bk1b1r/pp1p2pp/2n2p2/4p3/2B1n3/3P4/PPP1N1PP/R1BK1R2 b - -,e4c5
r1b2k2/ppB3b1/2n1p3/2p5/2B5/5P2/PPQ1N1q1/2KR4 w - -,d1g1
r2qkb1r/1p1n1ppp/p1p1pnb1/2Pp4/3P1B1N/2N1P3/PP3PPP/R2QKB1R w KQkq -,h2h3
8/4p1bp/4k1p1/2p2p2/2NP4/1KP1P3/5PPP/8 b - -,e6d5
1r1qk2r/p2n1ppp/2b5/3pP3/4p3/2N1P3/PP3PPP/R1BQK2R w KQk -,e1g1
5rk1/p2n2p1/P5r1/1bp2p2/2q1pP1p/2B1Q2P/2PPN1PK/R5R1 w - -,a1e1
1rbq1rk1/p2nppbp/2np2p1/2p5/1p2PP2/3P1NPP/PPP3B1/R1BNQRK1 w - -,g3g4
r1bq1rk1/pppp1pp1/2n2b1p/8/2P5/2N2N2/PP1QPPPP/R3KB1R w KQ -,c3d5
1r4k1/4qb1p/1pp4r/p4pp1/Nn1Pp3/1PR1P1P1/PQ3PBP/5RK1 b - -,b4d5
5bk1/ppq4p/2n1bpp1/4p3/P1N5/2P2N1P/1P1Q1PP1/5BK1 w - -,d2c2
2r1r1kb/pp1b1p1p/5np1/2p2n2/2P5/P3NNP1/1P1B1PBP/1R2R1K1 b - -,f6e4
1Q6/5ppk/1p3b1p/8/PP2b3/4P2P/5PPK/2r5 w - -,f2f3
r1b4r/pp5q/4p1k1/1B1p4/4p1P1/P1P1B3/1PQ2P2/R4NK1 w - -,f1g3
rn2kb1r/3p1p1p/q2p1np1/2p5/4P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,b8c6
3r1bk1/5p1p/6p1/4P3/3p1P1P/3Q2P1/1qR2KB1/8 b - -,b2a1
2r1r1k1/1bqnbppp/p2ppn2/8/NPPNPP2/3B4/1B4PP/R3QR1K w - -,d4f3
rnbqkb1r/pp3pp1/3p1n1p/2pP4/5B2/2N5/PP2PPPP/R2QKBNR b KQkq -,a7a6
5rk1/1q3pp1/p1p5/1pP1Q2p/2b1P2P/2N2P2/P1P5/2K3R1 b - -,f7f6
3r1rk1/2q3pp/1n1bp3/p2pN3/P1pPPp2/1pP2P2/1P2QBPP/R3R1K1 w - -,g1h1
7Q/2b1k3/8/3p4/8/6p1/KB4q1/8 w - -,h8h4
