8/8/6Bp/2KNk2P/p7/P7/2P5/1r6 w - -,d5c3
8/5p1k/7p/8/1p1p2q1/6b1/4RB2/4K3 b - -,g3f2
r3rk2/2pb1ppp/2pp3n/p3P3/P2N1P1P/4P3/1PP3B1/2KR2R1 b - -,a8a6
7r/1p3pk1/2p3p1/3pPq2/p2P1P1b/P6r/R5QP/2BR3K w - -,h1g1
r3r1k1/pp2qppp/2p5/5b2/2BR4/1QP1P3/P4PPP/5RK1 w - -,f1d1
r1b1k2r/2qpbpp1/p1n1pn2/1p5p/3NP3/2N1BP1P/PPPQ2P1/2KR1B1R w kq b6,d4c6
2r1qrk1/3n1ppp/2bRp3/ppP5/1n2P3/1Q4P1/PB2NPBP/2R3K1 b - -,e6e5
r1bq1rk1/pp2bppp/2p2n2/3p1P2/3P4/2NB1Q2/PPP3PP/R1B2RK1 b - -,b7b5
r2q1rk1/pb3pp1/1p1bp2p/3nN3/3PQ3/P1NB2P1/1P3PP1/R2R2K1 b - -,f7f5
6k1/Qnq4p/1n1p2p1/3Pppb1/1Bp1P3/2P2P1P/6P1/4NNK1 b - -,g5d8
n1rq2rk/1p3p1p/p2p2nP/P1pPpNR1/N1P1P3/1P3P2/3Q4/2K3R1 w - -,f3f4
1rbq1rk1/p2nppbp/2np2p1/2p5/1p2PPP1/3P1N1P/PPP1N1B1/R1BQ1RK1 w - -,f4f5
2k5/1p6/p3p3/4q3/2p3PQ/5p2/PP3R2/R5K1 b - -,e5e3
3rrbk1/1pp2pp1/p1n1qn1p/4p3/1P2P2N/2P2PP1/P3Q2P/R1BR1NK1 w - -,c1e3
7k/1R6/3p2np/3P4/4PpK1/1Pn5/8/8 b - -,c3e4
rn1qr1k1/pppn1p1p/3p2p1/4bb2/2PN4/1PN1P2P/P3BPP1/R1BQ1RK1 w - -,e3e4
r6k/1b1nq1pp/1ppb1r2/p2p1p2/P2Pn3/1P1BPNN1/1BR1QPPP/2R3K1 w - -,e2f1
8/5pk1/1q2p1p1/3p3p/P3n3/1P5P/1Q3PP1/6K1 b - -,g7g8
4k3/4p3/1r4p1/3P4/pp5P/5R2/P4P2/6K1 w - -,f3e3
2kr1b1r/Bb2q2p/8/1p1pnppN/8/3P4/PP2Q1PP/R3KB1R b KQ -,e7b4
r3k2r/1ppnq1pp/2p2p2/p1b1p2b/2N1P3/P2PBN1P/1PP1QPP1/R3K2R w KQkq a6,e1g1
b5rk/5p2/pp1pp3/4b3/PPP1P1r1/4R1pN/7P/1B3RK1 b - -,e5d4
r1bq1rk1/1ppn1ppp/3p1n2/4p3/2PP4/RQ1BPN2/1P1N1PPP/4K2R b K -,a8a3
r1bb1rk1/pp1p1ppp/7q/3NPp2/5P2/P5P1/1P1B2KP/R2Q1R2 b - -,a7a5
N4bnr/1b1pkppp/pBn4q/4p3/4P3/PN3PP1/1PP4P/R2QKB1R b KQ -,b7a8
8/1Q3krp/5p2/2q1p3/1p6/4R3/1PP3PP/5K2 b - -,f7g8
4n1k1/pp1r2pp/5p2/4p3/4P1P1/1PP1K2P/P3R3/8 b - -,e8c7
rq4k1/1b1nbppp/p3p3/1p1pP3/2rB1P2/P1N2B2/1PPQ2PP/3R1RK1 w - -,g1h1
1r1q1rk1/ppp2ppp/2nb2b1/3p1BB1/3P4/2PQ1N1P/P1P2PP1/1R3RK1 b - -,d6e7
6r1/4qk2/1N1p2nb/p2Pp3/1p2Pp2/1P3P2/1P4Q1/1KR3B1 w - -,g2h3
2r2rk1/1b1n1ppp/pp1qpb2/8/P1BP4/2B1QN2/1P3PPP/2RR2K1 w - -,c4b3
r2r3k/1p2qp1p/4pp2/p7/2P5/1P3QP1/P4P1P/3RR1K1 b - -,a8c8
8/8/8/8/5K2/4RB2/1r5k/8 w - -,e3a3
4k3/pp3p2/2p1pqb1/6R1/7P/5N2/r1p3B1/4R1K1 w - -,h4h5
5rk1/ppp3bp/n2pb1p1/8/2Pq2P1/8/PP1NB1PP/R1BQ3K b - -,f8f2
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/2N1B3/PP3PPP/R2QKBNR b KQkq -,e8g8
2rq1rk1/1b1nbppp/p1p1pn2/1p4B1/3P4/2N1PN2/PPQ2PPP/1BR2RK1 w - -,f3e5
r1b1k2r/pp1nbppp/2pp1n2/q3p3/2PP4/2N2NB1/PP1QPPPP/R3KB1R w KQkq -,e2e3
rbbq1rk1/pp3ppp/2n2n2/1N1pp3/2P5/1P2P3/PB1N1PPP/2RQKB1R w K -,c4d5
r4rk1/pbq1bpp1/1p2p2p/2pnN3/8/2PP2P1/PP2QPBP/R1B1R1K1 b - -,d5f6
r4rk1/1p1qppn1/1np1b1pQ/p2pP3/P2P2pN/1BN2P1P/1PPR4/R5K1 w - -,h3g4
3q1rk1/r2nppbp/ppn3p1/2pN4/2P1P3/1N2B3/PP2QPPP/3R1RK1 w - -,f2f4
rnbqkbnr/pppppp1p/6p1/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq -,c1b2
2r2rk1/1q1nQppp/8/4p1B1/8/5P2/PPPR3P/2K4R b - -,b7f3
rnbq1rk1/pp3pbp/3p1np1/2p1p3/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b - -,b8c6
r5k1/pp4pp/1qn1b3/2ppPpBQ/8/1PP5/P4PPP/R3R1K1 b - -,d5d4
8/4k3/pp3p1p/3ppB2/1P3P1P/P1K1P1P1/8/5b2 w - -,f5c8
r1bq1rk1/2p2ppp/1pn2n2/p1b1p3/4P3/2P2NPP/PP1N1PB1/R1BQ1RK1 w - a6,d1a4
r3k2r/pp4pp/2n2n2/3q4/3PN3/2P5/P3Q1PP/R1B2RK1 b kq -,d5e4
r2qkb1r/pb3ppp/1pnppn2/8/2P2Q2/5NP1/PP2PPBP/RNB2RK1 w kq -,f1d1
2r3k1/r4p2/4p2p/p2b4/P1N1p2p/1P2P3/5KP1/1RR5 w - -,c4b6
r4r1k/pN5p/8/PP1p3q/3Pp3/1Q2PbP1/6B1/5RK1 b - -,f3g2
8/7p/4k1p1/1pr1p1B1/1R1bp3/8/P3KPPP/8 w - -,g5h4
r4rk1/1bq1bppp/ppnppn2/8/2P1PQ2/1PN2NP1/P4PBP/R1BR2K1 w - -,c1b2
r3kbnr/1bqn1ppp/p2pp3/1p6/4PP2/1NNBB3/PPP1Q1PP/2KR3R b kq -,g8f6
r2qk2r/1pp2p2/1bn1p1p1/3pPn1p/1P1P1P2/P7/1BN1B1PP/R2Q1RK1 b k -,c6b8
r3kbnr/pp3ppp/2n1p3/2ppPb2/3P4/2N1BN2/PqP1BPPP/R3QRK1 b kq -,c5d4:c5c4
3q1r1k/3nb1pp/p2pBn2/1p1Pp3/2r4P/1NP1B3/PP2QP2/R3K2R b KQ -,g7g6
r1bq1rk1/1pp2pbp/3p1np1/p1n5/2PN4/2N3P1/PPQ1PPBP/R1BR2K1 w - -,e2e4
r1b1k2r/pppp1ppp/8/8/2Pq4/N3P3/PP3PPP/R4K1R w kq -,e3d4
5b2/2N2k1p/5n2/3p2p1/8/5PP1/7P/3R3K w - -,c7d5
r1q2rk1/pb4p1/np1p3p/3n4/2P2N2/P1P3P1/2QB1PBP/5RK1 w - -,c4d5
2b2rk1/R4p1p/p2n2p1/3p4/3N4/4PPP1/r5BP/2R3K1 w - -,g2f1
3r2k1/3n2p1/1p2p2p/p2p4/RP6/3NP2P/P4PP1/6K1 b - -,a5b4
r4rk1/p3bppp/4pn2/q2pnb2/2pP1B2/P1P1P2P/3NBPP1/R1Q2RK1 w - -,f4e5
1q3r1k/pp2r1p1/4B1b1/2P2n1p/1P1pN1nP/P7/5PP1/2BRQ1KR w - -,e4g5
6B1/4k3/6p1/2p2p1p/1p3P1P/1Pb3PK/1r6/5R2 w - -,g8d5
8/1R3pkp/4p3/6p1/1p2P3/8/2r1B1nP/4K3 w - -,e1d1
r2qkn1r/1b2bpp1/pp1ppn1p/8/P2PN3/3B1N2/1PP1QPPP/R1B1R1K1 b kq -,f8d7
r3k1nr/pp3ppp/n1p5/4P3/8/2PP1N2/P5PP/1RB2RK1 b kq -,e8c8
8/8/8/3k1p2/4p3/6Pp/5K2/5N2 w - -,f2e3
r4rk1/4bppp/p2p1n2/q2Bp1B1/8/5N2/PP3PPP/2RQR1K1 b - -,a5d5
r1b1r1k1/pp1n1ppp/2pbpn2/q2p4/1PPP4/P4NP1/2QNPPBP/R1B2RK1 b - b3,a5d8
1k4r1/8/pp2P3/2bq1Nn1/P2P2Q1/8/1P4PB/3R2K1 b - -,b8a7
6k1/p1r1pp1p/Pr4p1/R3P3/8/7P/1P3PP1/1R4K1 b - -,c7c6
r1b1k2r/2qpbppp/p1p1pn2/8/2P1P3/P1N3P1/1P3P1P/R1BQKB1R w KQkq -,f1g2
2k2r1r/pp1n4/3p3p/2pP2p1/4Rp2/2P3PP/P5K1/4BR2 w - -,g3f4
r3k2r/1b2pp2/1p3qp1/p1pP3p/P1P5/1P2Q2P/5PP1/2RNR1K1 b kq -,e8f8
3r1rk1/2p1qppp/1p2p3/p2n4/P1PP4/1R3N2/2P1QPPP/R5K1 b - -,d5f6
3r3r/ppk2p2/2p2p2/3npP2/4R2p/3N1P1P/PPP3P1/1K2RBb1 b - -,g1h2
1B1b4/4nk1p/2p2p2/p1P2P2/1p1PB1K1/7P/P7/8 w - -,g4h5
5q2/7k/1P6/4n1p1/1P2P3/1B4Pp/4Q3/7K b - -,g5g4
5rk1/7p/ppbr2p1/2p1q3/P3Pp2/1P1P1R1P/2Q1N1P1/4R2K b - -,a6a5
r1qr2k1/pp2ppbp/n1p1b1p1/7n/Q2P4/2N1BNP1/PP2PPBP/R2R2K1 b - -,h7h6
1r1q3k/5Q1p/p2p2p1/2pP4/2Pn2P1/2N5/PPb1B2P/5R1K b - -,b8b2
