R7/2k2p2/p7/1p1b4/6Pp/2P4P/P7/6K1 w - -,a8a6
2rq1rk1/1b1nppbp/pp1p2p1/2n5/P2NP3/1PN1B1PP/2PQ1PB1/3RR1K1 w - -,c3d5
8/2K5/2p5/3q1k2/5p2/8/7Q/8 w - -,h2h5
5rk1/2pqbpp1/2np1n1p/1p2p3/3PP2B/2P2N2/1P3PPP/N2QR1K1 b - -,f8e8
6k1/pp1q1p1p/6p1/3p4/3Pn3/8/PP2QPPP/2N3K1 b - -,d7a4
7k/2rq2p1/7p/3B1p2/PPNbp2P/3P1QP1/5PK1/8 w - -,d3e4
rn3rk1/p2q1pp1/2pbp2p/P4b2/1p6/1Q1P1NPP/1P1BPPB1/R4RK1 b - -,e6e5
4r1k1/6p1/1p5p/pP2p3/P1PpK1b1/6P1/3N3P/4R3 w - -,e4d5
1rr3k1/4ppbp/p5p1/1p1P4/nPp1P3/P3BqPP/Q4P2/4RRK1 w - -,g1h2
1q1r2k1/3n1pp1/4p2p/3pP3/p2Q4/P3PN2/1P4PP/2R3K1 b - -,d7b6
r1bqkb1r/ppp2ppp/8/8/3N1P2/P1PpP3/3P2PP/R1BQK2R w KQkq -,d1b3
r2qkb1r/pp1nnppp/4p3/3pPb2/2Pp4/5N2/PP1NBPPP/R1BQ1RK1 w kq -,f3d4
1Nr1k3/q2n1p2/2BQbb2/4p2p/5p2/1P3N1P/P4PP1/3R3K b - -,f6e7
rn1q1rk1/ppp3pp/3p4/3Ppb2/2P5/B1P3P1/P2bQPBP/R4RK1 w - -,e2d2
8/1Q3qkp/p4ppb/PpB2b2/1P3N2/7P/5PP1/6K1 w - -,b7b8
8/4pk2/6p1/4p2p/2RbK2P/4B1P1/1r3P2/8 w - -,c4a4
rnbq1rk1/ppppppbp/5np1/8/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQ -,e2e3:h2h3:b1d2
3r2k1/p2q1pbp/1p6/2prn3/P2P2p1/2P1B1P1/1P2QN1P/R2R2K1 b - -,c5d4
8/7p/2q2pp1/p2Rb3/P3P2k/1Q6/4KP2/8 w - -,e2f3
1r1r2k1/2b3p1/1p1q1pnp/p1pPP3/P1P2P2/4Q3/1R1N2BP/5RK1 b - -,f6e5
8/6pk/r3p2p/5p2/5P1P/8/3R1P2/6K1 b - -,a6a4
5rk1/5p2/R1qp2p1/2pb3p/3b4/Q3N2P/1P2BPP1/6K1 b - -,c6e8
8/8/8/N2K1Ppn/1p6/2k5/8/8 b - -,b4b3
2rq1rk1/p3bppp/1pp1p3/4B3/2bP4/2P3P1/P1Q1PPBP/R2R2K1 w - -,g2e4
r1b1R3/1p3p2/2p2k1p/p7/8/PB4P1/1P3P1p/7K b - -,b7b5
rnbqk2r/1p2npbp/p3p1p1/3p4/3NPP1P/2N1B3/PPP3P1/R2QKB1R w KQkq d6,e4e5
r4rk1/1pp1qppp/n2p4/p1PPp3/4P1b1/2Q2NP1/PP3PBP/2R2RK1 w - -,c5d6
rn1qkb1r/pp1b1ppp/4pn2/2pp4/2PP4/3BPN2/PP1N1PPP/R1BQK2R b KQkq -,b8c6
2k2r1r/ppq2pp1/2p1p3/3pP3/2nP2Pb/2PQ1R1P/P1P3BB/1R4K1 w - -,b1f1
8/p3b1p1/1p2kp1p/4p2P/4P3/P1K2PB1/1P4P1/8 b - -,e6d6
r3kb2/1p4pr/2pnqp2/p3p3/P3P1P1/N7/1PP1QBPP/R2R2K1 b q -,f8e7
r3qk1r/1pp2pp1/p2p3p/4p3/1n2P3/1P1PPQ1P/1PPKN1P1/R6R b - -,b4c6
1r1r3k/p5pp/2pbp3/4p3/NqQ1P3/8/PP3PPP/2RR2K1 w - -,b2b3
8/4nk2/3K4/8/4P3/3P4/8/8 w - -,d6d7
2r5/pp2ppkp/3p2p1/2r5/3R3P/P1P5/1PKR4/5B2 b - -,c8c7
r3k2r/pbppnppp/1p2p3/8/2PPP3/P2B1NP1/1P1K1P1P/R6R w kq -,h1e1
5rk1/5ppp/p1qNp1n1/3rP3/4Q3/8/P4PPP/3RR1K1 b - -,d5d1
8/2p1Bp2/1pb1p3/4k1Pp/2P5/P3K1P1/8/8 b - -,c6a4
2r2rk1/4pp1p/p5p1/4p3/4P2P/1P2R3/P4PP1/3R2K1 w - -,e3e2
8/8/4k3/R3bp1p/P7/3K4/r2B1PP1/8 w - -,g2g3
1r4k1/1r3pb1/pN1p2pp/P1q1p3/RpPnP3/3PQ1P1/5P1P/1R1B2K1 b - -,d4c6
1r2r1k1/2p5/3p2pp/2pR4/p1P2PP1/1P2PK2/P1R5/8 w - -,d5d3
r2q1rk1/pp2bppp/1nn5/3P1p2/8/1QN1B3/PP3P1P/2KR1B1R b - -,c6e5
6k1/1r4b1/1p1Bp2p/pN2P1pq/3R4/1b1P2QP/1P4PK/8 b - -,b7f7
rnbqkb1r/5ppp/p2ppn2/1p4B1/3NP3/1BN5/PPP2PPP/R2QK2R b KQkq -,b5b4:f8e7:b8d7
r2r2k1/pp3p2/2p2bpP/2N1n3/5Bp1/8/PPP2P2/2KR3R b - -,d8d1
3r3k/pp2p1bp/2p2qp1/3r1p2/3P4/1P2P3/PB2QPPP/2RR2K1 w - -,c1c5
r2qr1k1/1p1bbpp1/7p/p2n4/3N4/1Q2B1P1/PP2PP1P/3R1RK1 w - -,b3d5
r1bq1bk1/pp3pp1/2n4p/3N4/3P1Q2/3B1N2/PP3PPP/3R2K1 w - -,d3c4
r1bqk2r/4ppbp/2pp2p1/pp1nP3/3P1P2/PP2BB2/2PQ2PP/R3K1NR b KQkq -,d8c7
4k3/5p2/1p2b1pp/p1np4/P2N2P1/1P2P2P/2B2P2/6K1 b - -,e8d7
r2r4/pp3kpp/2n5/2R1pp2/8/P3B1PP/1P2PPK1/2R5 b - -,f7e6
8/7p/5pp1/3kp3/2n3P1/2B1PP2/5K1P/8 w - -,f2e2
1n2r1k1/Q2b1p1p/p2b4/3P4/4PP2/6P1/Pq4BP/1R3RK1 b - -,b2a3
2N5/3k2p1/2n2pp1/2PKp3/7P/6P1/5P2/8 b - -,c6b4
r2q1rk1/pp3pbp/2p1bnp1/4p3/2N1P3/2P5/PPQ1BPPP/R1B2RK1 b - -,d8c7
r1bqk2r/pp4pp/2n1pn2/2bp4/5B2/2NB1N2/PPP1QPPP/R3K2R b KQkq -,e8g8
2rq1rk1/1b1nbppp/1pp5/p2p4/3P1P2/P4N2/1PQNPPBP/2RR2K1 w - -,e2e3
8/Q3k1pp/2r1bb2/8/8/8/6PP/4R2K b - -,e7f8
2r2rk1/p1Bn1p2/bp2p3/6p1/3Pn3/P4N2/1PR1PPP1/4KB1R w K -,e2e3
1B6/1p6/2p2n2/1p3k1p/3P4/PP1K2P1/8/8 w - -,b8e5
rn3r1k/pp3ppB/1q2n3/3bP3/8/P4P1Q/6PP/R1B2R1K b - -,f8d8
r2qr1k1/pp3pbp/2nQb1p1/8/4B3/2N5/PPP1NPPP/R2R2K1 b - -,d8d6
6r1/5R2/1n6/4k3/8/2r5/5K1P/4R3 b - -,e5d6
r2r2k1/p1pn1pp1/1p2p2p/5q2/1b1PN3/4PN2/PPQ2PPP/2R2RK1 w - -,e4g3
r3rk2/2q3b1/b1p1p1p1/2P2p2/1B1P1PP1/1B2P3/5QK1/1R1R4 b - -,a6b5
2K5/8/3k4/8/8/5q2/8/2R5 w - -,c8b8
1rb1k2r/2q2p2/4p1pp/p1npP3/1p1Q3P/3B4/PPP1NPP1/1K1R3R w k -,h1e1
3k3r/3p3p/1p3pp1/2bbq3/3Nn3/4Q3/PPP2PPP/R1B2RK1 w - -,c2c3
8/6pp/5p2/4p2k/4P2P/3b1PK1/6P1/4R3 w - -,f3f4
6r1/3bkpp1/8/p1r2P2/P1BNP3/1P6/4K3/6R1 w - a6,e2e3
8/2k2p2/1p3rp1/2p4p/N6P/4pBP1/6K1/8 b - -,f6d6:f6f5
r2q1rk1/2p1nbpp/p2b4/1p2p3/2P1P3/1P2BN1P/2QN1PP1/R2R2K1 b - -,e7g6
r4rk1/1pp2pbp/4p1p1/B7/2PQp3/6P1/P3PP1P/2RR2K1 b - -,g7d4
1r1br1k1/1q1b1ppp/3p1n2/1p2nN2/p3P3/P3B2P/1P1NQPP1/1BR1R1K1 b - -,d7f5
r2q1rk1/pb1npp2/1ppp2p1/3P2Qp/4P1nP/2N2N2/PPP2PP1/R3KB1R w KQ h6,d5c6
8/1p6/2k5/P2RK3/r3P3/8/8/8 w - -,e5f5
2r5/p3kpp1/4p2p/2p1R3/2Pr1P2/1P4P1/P3R2P/6K1 b - -,d4d6
5r2/pp1k2b1/2n1p3/3r4/1P1pNBP1/P4R2/7P/5RK1 b - b3,b7b6
8/7p/6p1/1pbkp3/2b2p2/2P2PK1/6PP/2BN4 w - -,g3g4
r2qr1k1/pppn1ppp/3bpn2/3p4/5P2/1P4P1/PBPPQPBP/RN3RK1 w - -,d2d4
2kr3r/pp1bb1pp/1qnnpp2/2p5/3pPPP1/P2P2N1/1PPN2BP/1RB1QRK1 b - -,h8f8
