8/1K6/p1n5/5pPk/2P4p/1PN4P/P7/8 b - -,c6b4
r2q1rk1/1b1nbppp/p2p1n2/1ppN4/2P5/1P2P1P1/PB3PBP/R2QNRK1 b - -,f6d5
7Q/8/1p2qk2/r6p/2P4N/3B2P1/6K1/8 b - -,f6e7
r4k1r/3qpp2/n1p5/p2nPP2/PpBPQNpp/8/1P4PP/2R2RK1 b - -,a6c7
8/1p4k1/p1p2p2/2P4p/1P5P/P5K1/6P1/8 w - -,g3f4
8/6k1/1p1Np2p/p2nP3/P2PQ3/6P1/6K1/3q4 w - -,d6e8:g2f2
rq2r1k1/1bp1bppp/p1p1p3/2P1P3/8/5N2/PPQ2PPP/R1BR2K1 b - -,h7h6
r1bq1rk1/pp3p1p/n1p2bp1/8/3NB3/2P1BQ2/PP3PPP/R4RK1 w - -,a1d1
2r5/5pkp/3p2p1/1p1Pn3/1P1qPQ2/3B4/6PP/5R1K w - -,d3b5
5k2/p1r3pp/bp3p2/3R4/3P4/1P2PNKP/5PP1/8 w - -,d5d8
1r4k1/7p/4p3/pp1pP3/3P2p1/P1P2rP1/1PR5/R5K1 w - -,g1g2
6k1/2p3p1/1p5p/pP1Pp2b/2P1N2q/P3Q3/6P1/6K1 w - -,c4c5
6k1/p4p2/RbR4p/1pB5/6p1/3r4/PPr5/5K2 w - -,c6c8
rnb2rk1/pp2q3/3p3p/2pP2p1/4p3/2b1P1B1/PP1N1PPP/2RQK2R w K -,b2c3
1rbr1nk1/ppq2nbp/2pp1pP1/P3p3/2NPP3/2P2NP1/1P3PB1/R1BQR1K1 b - -,h7g6
2kr3r/ppq1bpp1/2p2n2/3p1b1p/6nP/1P1P1NP1/PB1NPPB1/2RQR1K1 w - -,b2d4
8/p1r2p2/1pr2kp1/3R3p/P1PR3P/3KPP2/6P1/8 b - -,f6e7
6R1/p4r2/1p3b2/4p3/4k1P1/4B3/P4PK1/8 b - -,f7g7
2k5/p2b4/1p6/4p3/1PPpPp2/1K1Pq3/2Q5/8 b - -,f4f3
6k1/2r2pp1/pn2p3/1pB1P2p/1P1K3P/P5P1/1R6/8 b - -,c7d7
8/R4p2/5k1p/2p1nPpB/P1P5/3r4/6KP/8 b - -,d3d4
6k1/1p3ppp/p2q1n2/3Pn3/1P1Q4/P2bPP2/2rBB2P/R4RK1 w - -,e2d3
r1b2r2/1p3p2/p2Rpknp/2P3p1/B2N4/2P5/PP3PPP/4R1K1 w - -,d4f3
r4rk1/pb1nqppp/1p2p3/3n4/3N4/2NBP3/PP3PPP/2RQR1K1 b - -,d7c5
r1q3k1/2b1n1pp/p1n1b3/2p1p1B1/P2pP2N/3P2P1/2PNQ1BP/5RK1 b - -,a8b8
1rq2b1k/5b1p/5p2/1pp1n1p1/4QN2/2PP2P1/1R1BP2P/R5K1 w - g6,f4d5
5b2/2rn4/2B2k1p/1Pp1p1p1/4Pp2/5P2/5BPP/2R2K2 w - -,c1a1
rnbqkb1r/pp2pp1p/5np1/2p5/1PPp4/5NP1/P2PPPBP/RNBQ1RK1 b kq b3,c5b4
2b5/2k1N2p/p5r1/1P6/2P1p3/8/P2R2P1/2K5 b - -,g6g5
3q2kr/p3rpp1/8/2bp4/3N2p1/2Q5/PPP3PP/3R1R1K b - -,d8b8
8/6r1/k7/1p1p4/5R2/P7/2q2Q2/4K3 b - -,g7e7
2brr1k1/p3bpp1/nqp2n1p/1p1p4/3P1B2/P2NP1P1/1PQ1NPBP/2RR2K1 b - -,b5b4
r1q2rk1/p1p2pbp/1p4p1/n2Pp3/2P1P1b1/Q3B3/P2N1PP1/1R2KB1R b K -,c7c5
5r2/4kp2/p3p3/4n1P1/1Q5P/1p2P1N1/1qP1K3/6R1 b - -,e7e8
r2q1rk1/pb2bppp/1p2pn2/2p5/2PP1B2/1P3NP1/P3QPBP/3R1RK1 b - -,c5d4
r4rk1/pbpn2pp/1p1pp3/6n1/2PPPp1q/PN1B1P2/1PQ3PP/R1B2RK1 b - -,f8f6
4rk2/8/8/1p1R1q2/pPp5/P3p1Q1/5pKP/2R5 b - -,f5d5
5r1k/1pr4p/p4p2/3Bn2R/3bRP2/8/PP3P1P/5K2 w - -,e4d4
r2q1rk1/pp3ppp/1np1b3/8/3P4/3Q2P1/PP3PBP/R1B1R1K1 b - -,d8d7
1rbq1rk1/2n1ppbp/pn1p2p1/1PpP4/4P3/N1N1BP2/PP2B1PP/1R1Q1RK1 w - -,d1d2
rr4k1/4ppbp/3p1np1/q1pP4/1n3N2/P1N1P3/1P3PPP/1RBQ1RK1 b - -,b4a6
6k1/5pp1/4p3/B6p/n1r5/1R3P2/1p4PP/6K1 w - -,a5d2
1q2rr1k/1p2b1pp/pBnpbp2/8/1P2PP2/P2Q2N1/2B3PP/2R1R1K1 w - -,c1d1
r1n2rk1/pb1q1pbp/2pn2p1/1p6/3N2P1/PP4NP/1BP1RPB1/3RQ1K1 b - -,c6c5
1r1r2k1/p3qppp/2p1pn2/P4b2/2BP4/2N3P1/QP3PP1/R2R2K1 b - -,e7b4
8/kpp4p/p2q2p1/n2p1p2/P2P1P2/Q1PP1KPP/5B2/8 w - -,a3b2
2rqr1k1/pb1nbppp/1p2pn2/3p4/3P1B2/2PB1N1P/PP1NQPP1/3RR1K1 b - -,d7f8
5n2/1p3p2/p4k2/3Qp3/PqP4p/1P3N1P/6P1/7K b - -,f8g6
2r5/1R2pk1p/1pP1p1p1/r1n5/1R5P/4P1P1/5PB1/6K1 b - -,c5b7
7q/1p2bk2/8/1Q1p1pn1/P2P2p1/4P1P1/5P1r/2R1BK2 w - -,b5d5
r1bq1rk1/1ppn1pbp/p2p2p1/3Np3/2PnP3/3PB1P1/PP2NPBP/R2Q1RK1 w - -,e2d4
8/1p6/p3kpp1/P3p3/1B5P/P3K1P1/8/3b4 b - -,e6f5
2k3R1/2p5/p7/r2P4/1p6/1P6/8/3K4 b - -,c8b7
r4rk1/1p2p1bp/2b2pp1/1p1p2Pn/3P4/2PN1N1P/PP2BP2/R3K2R w KQ -,h3h4
8/8/7p/p1k1pPp1/Pp6/1P2KP1P/8/8 b - -,c5c6
r1b1k2r/ppppqppp/2n2n2/3Pp3/2P5/P5P1/1P1QPPBP/RN2K1NR b KQkq -,c6b8
r1br2k1/4qppp/p2Rp1n1/1p4P1/1P2N3/P3P3/1BQ1BP1P/4K2R b K -,d8d6
3r2k1/1qn2p1p/p3p1p1/Pp2Q3/1N1P4/7P/1P3PP1/2R3K1 b - -,c7d5
6r1/2p5/3p1k2/pPpPn1Rp/P3Pp2/5P2/1P2BK2/6R1 b - -,g8g5
r2q2k1/1Qp2rpp/3p2b1/5n2/5PB1/1P6/PBP3PP/4RRK1 b - -,a8a2
2kr3r/pp1n1ppp/2pn4/q2P1p1P/8/1BP3N1/PPQ2PP1/2KR3R b - -,d7c5
6k1/pp1b1pb1/7p/P1qrP1p1/5p2/1Q3N1P/5PP1/4RBK1 b - -,d7e6
7r/6k1/4p1p1/7p/7P/2R5/r4PP1/4R1K1 b - h3,h8f8
4r3/2p5/2kn2p1/4p2p/1r2N2P/1P4P1/P1R2P2/3R2K1 b - -,c6b6
6k1/pr4pb/p6p/3pb2P/2r5/5PN1/PPP1RKP1/7R w - -,e2e5
3q4/2p2rk1/P1p3pp/2R1pr2/1PRnN2P/6P1/2Q2PK1/8 w - -,c2a2
r2qk2r/pp2bppp/4pn2/8/2Pp4/3QB2P/PP2BPP1/R4RK1 w kq -,e3d4
5rk1/p1pp2pp/1pn5/2P2p2/2PP1R2/4P1qr/PB2Q1N1/R5K1 w - -,e2f2
1r6/1bq2pk1/3pp1pp/p1p5/PrNbPP1P/RP3QP1/2R3BK/8 w - -,f3d3
6r1/1K6/8/P5pp/8/R3Rp2/4p1k1/5b2 w - -,a5a6
1r1r2k1/1b2q3/1P1p2p1/1Bpp2B1/3b4/2N2R2/1P1Q2P1/5R1K b - -,e7h7
8/p1r4p/4pkp1/2r2p2/1RPR3P/P5P1/5PK1/8 b - -,f6e5
1rbq1rk1/R1n1pp1p/3p2p1/2pPb3/1p2P3/4B2P/1PPQ1PP1/3NRBK1 b - -,c7b5
4n3/1k6/pp2n3/3pB2p/PP1P1p1P/1K1B1P2/8/8 w - -,b3c3
1r1qk2r/p3npbp/b1p1p1p1/2ppP3/5P2/1PNP1N2/P1P3PP/R1B1QR1K b k -,h7h5
r2qkbnr/1b1p1ppp/p1n1p3/1p6/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq -,f1e1
1n1q1rk1/r3ppbp/ppn3p1/2p1P3/2P1NP2/4B3/PPQ1N1PP/R4RK1 w - -,e2c3
rn3rk1/3qppbp/p5p1/8/3P4/1QN1P1P1/5PKP/R1B2R2 w - -,b3d5
7k/6p1/5n1p/8/p4PP1/Q3P1KP/3q4/8 b - -,d2e1
1r3rk1/pq1n1ppp/1p1bp3/2p3B1/3P4/2P2N2/PP2QPPP/3RR1K1 b - -,f8e8
rnb1kb1r/1p4pp/p3p3/3p4/3NQ3/2q5/P1PBB1PP/1R2K2R w Kkq -,e2h5
4Rk2/pQpq4/3p2pp/8/5P2/2P3P1/PP4KP/8 b - -,d7e8
8/3nk1pp/1ppppb2/8/1PPPpN2/4P1P1/5P1P/B4K2 w - -,a1c3
3r2k1/p2r1p1p/np4p1/5P2/2pNB3/P1P3B1/1P5P/1R3K2 b - -,g6g5
8/5p2/4kB2/4P1KP/8/8/8/6r1 w - -,g5h6
rn1q1rk1/4bppp/p2pbn2/1p6/4PB2/1NN4P/PPP1Q1P1/R3KB1R w KQ b6,e1c1
