8/p5pk/7p/4Q2P/2p3P1/P7/1Pq2PK1/8 b - -,c2c1
bqrr2k1/3n1pbp/ppnpp1p1/8/1PP1P3/PN2BP2/1N3QPP/1BRR2K1 w - -,b4b5
rnb1k2r/p3ppbp/3p1np1/q1pP4/Pp2PB2/2P2N2/1PQN1PPP/R3KB1R w KQkq -,d2b3
1Q6/1r6/pk1bP3/8/1pB4P/qPr3P1/2PR4/1K6 w - -,d2d6
r1b2qk1/pp5p/6p1/2p5/2P1Pp2/1PB3P1/P4PBP/3RR1K1 b - -,f4f3
r3k2r/1pqbbpp1/p2p1n1p/2p1p3/4PP2/2PP2P1/PP2nNBP/R1BQ1RK1 w kq -,d1e2
4R3/5p2/8/2bk1P1P/1p4N1/1KP3P1/1P1rp3/8 b - -,d2d3
6k1/b1n1N2p/3p4/1p1P4/1P3P2/2r5/3K2PP/5R2 b - -,g8f7
rn1q1rk1/pbp2ppp/1p2p3/3p4/2PPn3/P3PN2/1PQ2PPP/R1B1KB1R w KQ -,f1d3
8/8/4n3/4Bpp1/8/7k/5K1P/8 b - -,e6c5:f5f4
2B5/5p2/1Np2k2/pn2pp2/1b5p/1P3P1P/6P1/3K4 b - -,f6g5
5rk1/ppp3p1/1n1p2p1/8/2P5/PPN2P2/5PKP/1R6 b - -,a7a6
r1r5/pp2kpp1/4pn1p/2q4P/5QP1/1P2N3/1PP2P2/2KR3R b - -,c8d8
6r1/8/1ppknp2/p2p4/P4P2/1P1B4/2P4P/5R1K w - -,h2h3
r1bq1r1k/pp2bpnp/3p1npB/2pPp3/2P1P3/2N3PP/PP1QNPB1/4RRK1 b - -,f6g8
r1bq1rk1/1pp4p/p2bnpp1/2p1p3/2N1P2N/1PPP4/P4PPP/R1BQR1K1 w - -,h2h3
8/8/3p2pk/3Ppp2/5b1p/qN5P/2Q2PP1/3B1K2 b - -,a3a6
1r6/r4p2/5bp1/p2kp1P1/1ppP4/2P1K3/PP3RP1/3R4 w - -,d4e5
5r1k/6pp/R4b2/3R4/2PN4/2P1rP2/6P1/5K2 w - -,a6a3
r1q2rk1/1pp2ppp/p1nb4/5b2/3P4/1Q3NP1/P1P2PBP/R1B1R1K1 b - -,c6b4
r1b2rk1/2R1npp1/3p4/p3p1q1/3PP3/6B1/1P4BP/3Q1R1K b - -,e7g6
2k4r/p1q4N/2p3Q1/PpPpPp2/3P4/2P5/7P/6K1 w - -,g6f5
r1q1k2r/p2n1ppb/2pbp3/1p6/3PPBP1/P1PB1P2/2Q5/1R3RK1 w kq -,f4d6
4rr2/nb2qpbk/p2p1N1p/1ppP1Rp1/4P1P1/1P2BQ1P/P5B1/2R3K1 b - -,g7f6
2r3k1/pp4pp/1q1ppr2/5n2/2PN4/1P1RP3/P2Q2PP/5RK1 b - -,f5d4
r3k2r/ppp1nppp/2pbb3/8/2B1P3/4BP2/PPPN1P1P/R3K2R w KQkq -,e1c1
r1b2rk1/2q1bppp/3p1n2/1p2p3/pn1PP3/1N2BN1P/PP3PP1/RB1QR1K1 w - -,b3d2
8/5k2/6p1/p1R4p/5P2/2P3PK/2r4P/8 w - -,c5a5
r3k2r/pbqnbp2/2n1p2p/2ppP1p1/P2P4/2PBBN2/3NQPPP/R4RK1 b kq -,c5c4
rnb1r1k1/2p2pbp/pp1q1Bp1/3Pp3/P1B5/1PN2N2/2P2PPP/R2QR1K1 b - -,d6f6
B5k1/q4p1p/6p1/p7/8/1P4PP/P4P2/2R1R1K1 b - -,a7a8
8/4k3/1p2p3/p1rb4/6R1/1P6/1PP3P1/5RK1 w - -,c2c4
8/6k1/2b1pN1p/2QpP3/6PP/8/5P1K/1q6 b - -,b1b7
4rrk1/2N2pbp/1p1p2p1/pPn5/2R1PP2/6P1/P5BP/5RK1 b - -,e8c8
1k5r/2qr2p1/p3p2p/1pp1p3/3nPnQ1/1N1P3P/PPPN2P1/2KRR3 w - -,b3d4
rn1qkb1r/pb2pppp/2p2n2/1p6/3P4/5N2/PPQ1PPPP/RNB1KB1R w KQkq -,g2g3:c1g5:b1d2:e2e4
r3r1k1/p3n1pp/1p1q1pn1/2Pp4/8/P1PPNQP1/5P1P/1RB1R1K1 b - -,g6e5
r2r2k1/1p1bqppp/p1n1pn2/b1p5/2P5/P1N1PN2/1PQ1BPPP/R2RB1K1 w - -,h2h3
1r6/Q4pk1/4b3/3n3p/3p1qp1/3B4/PPP4P/1K1R3R b - -,d5c3
8/8/4p3/p2k2p1/3r2P1/1P1R3P/4K3/8 w - -,d3c3
8/6pk/1R6/p7/8/rP4P1/5P2/6K1 b - -,a5a4
rn1qk2r/pppbppbp/6p1/8/Q2PP3/2P5/P4PPP/R1B1KBNR w KQkq -,a4a3
2rq1rk1/4np1p/ppn1b1pb/2p5/3p4/NP1P1NP1/P2QPPBP/2R2RK1 w - -,d2h6
8/4k3/1R3p1p/1p4p1/3R2P1/1q2P2P/5PK1/8 w - -,d4d6
r6k/1pp1qp2/p6r/3bPQp1/8/4B2P/PP3P1K/3RR3 w - -,d1d5
1r3r1k/pQp3q1/3p4/P1p1p2p/4P3/2P1R2P/2P3P1/4R1K1 w - -,b7a6
2R4r/1p2k3/p7/3p3r/1P1Pp3/P3P1BB/7K/8 w - -,c8h8
r4rk1/1b2bppp/pB2pn2/1p1p4/3P4/5NP1/PPR1PPBP/R5K1 b - -,f8c8
7k/pp4p1/7p/5p1R/8/P5P1/3r2P1/K7 b - -,d2g2
1r2r1k1/5p1p/2p1pbp1/p1Pn3P/8/P4QP1/1qBB1P2/2RR2K1 w - -,g1g2
2r1r1k1/pp3p1p/4bBp1/q2p4/n1pPP3/2P2P2/P1Q3PP/1N2RRK1 b - -,h7h6
r2b1rnk/pp3pp1/2b1pq1p/4N3/3P2Q1/P1PB2R1/3B1PPP/R5K1 w - -,e5c6
6k1/p1q3b1/8/2p4Q/8/6P1/P1r2P1P/4R1K1 w - -,e1e8
r2qk2r/3bbppp/p1nppn2/1p6/4P3/PNN1B3/1PP1BPPP/R2Q1RK1 w kq -,f2f3
1n1nrq1k/6bp/2p2p2/QpP2P2/p4P2/P2N3P/3R1BBK/8 w - -,a5c7
2rr4/p4p1k/1pn2q1p/3p4/6Q1/3R1N1P/P4PP1/3R2K1 b - -,d8g8
r1bqk1nr/pppn1pbp/3p2p1/4p3/3P1B2/4PN2/PPP1BPPP/RN1QK2R w KQkq e6,f4g3
rn2k2r/ppq2ppp/2p1pn2/3p4/3P1P2/1Q3NP1/PPPN1P1P/R3K2R b KQkq -,b8d7
rn1qkb1r/pp2pppp/2p2n2/3p4/3P2b1/4PN1P/PPP1BPP1/RNBQK2R b KQkq -,g4h5
2kr1b1r/1b3ppp/2qpp3/p1n5/Pp1BP3/1B3P2/1PP2QPP/1KNR3R w - -,h1e1
3r2k1/1p3pp1/p1q1bn1p/4b3/4P2Q/1N6/PPP1B1PP/3N1R1K w - -,e2d3
1rb2rk1/p3b1pp/2p2p2/2p1P3/5N2/1P2P3/P1PNK1PP/R6R w - -,h2h3
2k3r1/1bq5/5P2/5p2/Pp3Q2/2P4P/1P3R2/R6K w - -,h1h2
2r2rk1/1b1pq2p/pp1p2n1/3Pp1p1/2P1PpB1/PPN3PP/3Q1P2/R4RK1 b - -,f8f7
3q4/1p3pk1/p2p2p1/P1pP3p/2Pn3P/1P3NP1/5PK1/4Q3 w - -,f3d4
5k2/5p2/4p1bp/6p1/3PP1PP/5P2/r3BK2/7R b - -,f7f6
8/6k1/p2R2p1/4r2p/2pN2bP/P1P1p1P1/1P1r4/2K1R3 b - -,d2d3
1k1r3r/1p3P2/p7/Q2qn3/5p2/PN2R3/1PP1B3/1K6 w - -,e3e5
r1br3k/ppp3bp/6p1/3Pp3/1PPn4/6P1/P2QnRBP/R6K b - -,c8g4
2r1nrk1/3n1pp1/p1p3bp/2Ppp3/1P4P1/1NP3BP/4PPB1/R1R3K1 b - -,e8c7
8/p7/P1pp2k1/2p1p3/2P1P2P/7K/2P5/8 w - -,h3g4
r2r2k1/p4pp1/1p2pn1p/8/3P4/3B1P2/P1NQ1P1P/5K2 b - -,a8c8
3rr2k/p5pp/1pp2p2/8/3P1q1P/P1P3P1/5P1K/R3R3 w - -,g3f4
4r2k/3R4/p1r4n/P1b1p1Np/1p4n1/3R2PB/1B4K1/8 w - -,g5e4
b2q1rk1/p3np1p/Bp2pp2/8/3P4/P1PQ1N2/5PPP/5RK1 w - -,c3c4
1r3rk1/pp2ppqp/3p4/3PbQp1/8/2P3P1/PPB2PP1/R3R1K1 w - -,e1e4
2k5/3R4/1pB3p1/pPp1p1P1/2P1K3/1P6/1r6/8 b - -,b2b3
1r3rk1/R4ppp/3p3q/5P2/1pb1PR2/4Q3/1PP3BP/6K1 w - -,a7a1
2r2rk1/p2q2pp/1p2p3/3pPn2/5N2/3Q1P2/PP1B4/2RK3R b - -,c8c5
8/p4pk1/1pB2b1p/3p2p1/P7/1P1p2P1/4PP1P/1bB2K2 w - -,c6d5
4n3/2q2bk1/1p3pp1/3pp2p/1Q5P/2P2N2/5PP1/6K1 b - -,e8d6
r2qr1k1/pppbbppp/2np1n2/8/2BNPB2/2N4P/PPP2PP1/R2QR1K1 b - -,c6e5
r1bqrbk1/1p3ppp/1p6/8/p2pP3/P2P2P1/1P1B1PBP/2RQR1K1 b - e3,c8e6
r2r2k1/5p2/2p3p1/3p3p/3RP2P/1bNR1PP1/8/6K1 w - -,e4d5
2r2b2/2NRnk2/p2B1p1r/1p4pp/P3P3/8/1P3PPP/1K1R4 w - b6,a4a5
3r1rk1/p1p3p1/1p1q2pp/8/P1QPP3/4B2P/1PP3P1/R5K1 b - -,g8h7
r1bqr1k1/ppp2pbp/3p1np1/2n5/2PNP3/2N1BP2/PPQ1B1PP/R4RK1 b - -,c7c6:a7a5
rnbqkbnr/pp3ppp/4p3/2Pp4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq c3,f8c5
8/p3k3/4p3/1pP4R/3p4/3nb1P1/P3R1K1/8 w - -,h5h7
