8/7R/2k5/1pn5/2p1p3/2P1P3/2K5/8 b - -,c5a4
r2q1rk1/pp3ppp/5b2/3p1b2/1Q1N4/4P3/PP2BPPP/3R1RK1 b - -,f5e4
r3brk1/b3q1pp/2p1p3/p2pp3/NPn2P2/P1P2N1P/4Q1P1/R4RBK w - -,f4e5
1r2r1k1/pbq2pp1/3B4/2p5/3p4/P2B2nP/1PP1NPP1/1R3RK1 w - -,d6c7
1r3rk1/3b1p2/4pPp1/p1np2Np/1n1N3P/1P6/1PP2PP1/1K1RRB2 w - -,f2f4
3rk2r/pp1q1ppp/2n1pb2/8/3P2Q1/5N2/PP3PPP/R1BR2K1 w k -,c1e3
2r1k2r/pp2bppp/2q1b2n/3pP3/1Pp5/P1N2N2/1B2BPPP/3QK2R w Kk -,e1g1
3rr1k1/p1qpbpnp/1pn3pB/2pRP3/2Q5/5NP1/PP3PBP/3R2K1 b - -,c6b4
r1b4r/3pkppp/ppn1p3/8/2PbP3/P1N3B1/1P2BPPP/3RK2R w K -,f2f4
4r1k1/p4p1p/5qp1/2p1r3/2QpPP2/P4P2/1P3R1P/4R1K1 b - -,f6f4
2r2rk1/pp1n1ppp/1q1b1n2/4pP2/P1PpP3/6PP/1PP1Q1BK/RNB2R2 b - -,b6c6
r5k1/pp3p1p/1q2b1p1/8/2n1P3/2Q3PP/PP4B1/3R1R1K b - -,c4e3
r2qkbnr/1b1p1ppp/p3p3/npp5/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 w kq -,d2d4
r2qr1k1/p1p2ppp/bp3n2/n2P4/3Pp3/P1P1P1N1/Q3BPPP/R1B2RK1 b - -,a6e2
3qr1k1/R2b2np/3p2p1/1p1PBp2/1Pp1P3/2N2B1P/3Q1PP1/6K1 b - -,e8e5
rn1q1rk1/pp1bppbp/2p2np1/8/4P3/2P2NPP/PP1N1PB1/R1BQ1RK1 b - -,d8c8
6k1/p4pp1/7p/Qb1qp3/2N1R2P/4PP2/6P1/1K6 w - -,a5d2
8/P1k4B/8/4p3/5p1P/5b2/1b3P2/5K2 b - -,c7b7
2rqkn1r/pp1b1pp1/2n1p2p/3pPPb1/3P4/P1NBB2P/1P1NQ1P1/2R2RK1 b k -,g5e3
4r1k1/1ppbR1pp/p2p1p2/P7/2nN4/5P2/1PPB2PP/R5K1 b - -,e8e7
r2r2k1/p3bppp/1pp2n2/4n3/4PP2/2N1B1PP/PP2B3/R2R2K1 b - f3,e5g6
8/8/6k1/2b1r3/2P4p/8/4r1PP/R4R1K w - -,a1a6
1r6/2b5/p7/P1p1k1p1/2B3P1/2P2P2/RPK5/8 w - -,a2a4
r1bqkb1r/2p1nppp/p2p4/1p4N1/3pP3/1P5P/1PP2PP1/RNBQ1RK1 b kq -,h7h6
rnb2rk1/pppqppbp/6p1/8/3PP3/1QP1B3/P4PPP/R3KBNR b KQ -,b7b6:b8c6
r1bq1r1k/2p2pbn/p2p3p/1p1PpBp1/4P2n/P2QBP1P/1PP1N1P1/3R1RKN b - -,h7f6
r1b2rk1/p4ppp/2p2q2/1p2n3/4PbP1/1NNB3Q/PP1R1P1P/3R2K1 b - g3,c8g4
4r1k1/5p1p/5n1r/3p4/N2PnPp1/1RN1P1Pq/2R4P/4Q1K1 b - -,e4d6
r1b2rk1/1pq1b1pp/p1n1pp2/2ppP3/5P2/1NPP1N2/PP4PP/R1B1QRK1 b - -,b7b6
8/4R3/4p3/4k3/6K1/1r6/8/8 b - -,b3e3:e5d6
r7/pbP2k1p/1p3bp1/8/8/8/PP4PP/3RR1K1 w - -,d1d7
5rk1/1p1qr1p1/p6p/P2P1p2/2R5/1N5P/1P1Q2P1/6K1 b - -,f8e8
8/4k3/8/R6p/1P3K2/2Pr2P1/8/8 w - -,a5e5
rqb2rkb/2n1p2p/p1Pp4/Rp1P1pp1/1P1B4/4NnPP/1Q2PPB1/2R3K1 w - -,g2f3
r1bqkb1r/1p3ppp/p1n1pn2/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1d3:a1c1:h2h3
8/p1r4k/5p1p/P5p1/1R6/3b1BKP/P4PP1/8 w - -,f3e4
5r1k/pp5p/2p5/2P5/PP1N4/4p3/7P/6RK b - -,h7h6
rq1r2k1/4bppp/ppbppn2/4n3/2P1P3/N1N1BP2/PP1QB1PP/R2R2K1 w - -,d2d4
1r4k1/r4pb1/q1p1p1p1/2PpP1Pp/1p1P1N1P/pP2P3/P4R2/1K1Q3R b - -,a6b5
rnb2rk1/pp3pbp/2pp1np1/q3p3/P2PP3/2NBBN1P/1PP2PP1/R2Q1RK1 b - -,b8d7
5k2/4ppb1/p2p2p1/1pr5/5P2/PbP1N3/1P1RN1KP/8 b - -,b3c4
1r1q2k1/R1b2pp1/4p2p/8/RpBP4/1P2P1P1/3B1P1P/6K1 b - -,c7d6
r6R/1p2k1p1/1b1p1pP1/q2BpPr1/p3P3/P1R4P/KPP5/4Q3 w - -,h8h7:e1h4
r4rk1/1bq1bppp/p1nppn2/1p6/4PP2/PNN1BB2/1PP1Q1PP/R4RK1 b - -,f8e8
8/4k3/4p3/1p2B3/p2p1PP1/Pn1P4/6K1/8 w - -,g4g5
6k1/p4p2/1p3npp/2qNr3/4PP2/1P5B/PQ4PP/6K1 w - -,g1f1
6k1/6p1/2p5/2P2b2/5P1p/8/p7/B5K1 w - -,g1g2
r1br2k1/1p2ppb1/2pq1np1/p6p/P2P4/1P2Q1PP/N1P1NPBK/R2R4 w - -,c2c4
8/7p/3k1pp1/1pNp4/pP1P1K1P/P7/2b2PP1/8 w - -,g2g4
8/5kpp/p2rn3/1p3p2/8/4KP2/P3B1PP/2R5 b - -,f5f4
5nk1/1p3ppp/p4b2/P2P4/5PP1/4q2P/2Qp2K1/5R2 w - -,f1f3
8/5pbk/1p4pp/1b2p3/1P2P3/Pq3PP1/7P/2Q2BK1 w - -,f1b5
r1n2rk1/5p1p/4b1p1/p1Np4/8/1P1PP1qP/PK1Q4/3R2NR w - -,g1e2
3rk2r/pp2bppp/2p1pnb1/4q1P1/2BB4/P1N4P/1PPQ1P2/2KR3R b k -,d8d4
8/3P4/8/b3k3/6B1/2rK3P/8/8 w - -,d3e2
r1bqk2r/1p2np1p/p2pp1p1/8/P2bP3/8/1P1PBPPP/RNBQ1RK1 w kq -,b1a3
r3kb1r/pp2pp1p/2p3p1/3n4/3P2b1/PN2P1P1/1P1N1PP1/R3KB1R b kq -,f8g7
r1q1r1k1/1p1n1pb1/1Bp2npp/p2Ppb2/P1P3P1/1QN1NB1P/1P3P2/2RR2K1 b - g3,f5d3
4qrk1/p2b2bp/P2p1np1/4pp2/8/1Nr3P1/P3PPBP/1RBQ1RK1 b - -,d7c6
7k/pp1r3P/3P4/5K2/4n2p/3R4/PP6/8 b - -,d7d6
1r1r1k2/pp1b1ppp/3np3/R7/3N1P2/5BP1/P1P4P/2KR4 b - -,a7a6
2rq1rk1/p3p1bp/1pnp1np1/3N1b2/2P5/1N2BP2/PP1QB1PP/2R2RK1 w - -,f1e1
6k1/5p2/1p6/p2N1Q1p/P2b3P/1P4P1/6K1/4q3 b - -,e1g1
r1b2rk1/2qn1ppp/p2pp3/1p3Pb1/3NP3/2N2Q2/PPP4P/1K1R1B1R w - -,f5e6
8/8/1K6/1P1k4/7P/3b4/4pB2/8 b - -,d5d6
6k1/5p2/4p2p/1N2P1p1/6P1/1P3KP1/3r4/2R3b1 b - -,d2f2
3r2k1/pp3p1p/5Rp1/3p4/3N2P1/2P1P2P/r2NK3/8 w - -,e2d3
1r1qk2r/2pbppbn/2np2p1/1p5p/3PPP2/4B1P1/PP1QN2P/2RNKB1R b Kk -,e7e6
r3r1k1/pp3pb1/6p1/2p1n2p/B4B2/P1P3QP/bq4PN/2R1R1K1 b - -,e8e6
6k1/2r1b1p1/p2p1n2/3Ppp1p/8/2NPBKPP/1P3P2/1R6 b - -,c7b7
8/p2n4/3P2k1/1p6/2p1N1P1/8/PP6/6K1 w - -,g1f2
8/8/R4pkp/6p1/4K3/2b3PP/5P2/8 b - -,c3e1
5rk1/1ppn1ppp/2nbp3/8/2N1PP2/q2PB2P/2P1Q1P1/4KB1R b K -,a3a1
k1b2r1r/1pq1npp1/p1n1p2p/3pP2P/P1pP2P1/Q1P1B1R1/2PNBP2/R5K1 w - -,a3c5
1r5k/5p2/1q4p1/p3Pb2/2QP1P2/P7/7P/4R2K b - -,b6b3
r1bqr1k1/1p3pbp/n1pp1np1/p3p3/P1P1P3/2NP2PP/1P2NPB1/R1BQ1RK1 w - -,f2f4
2r5/2P2k2/p3b2p/4Pp2/1B6/3K2P1/2R4P/6b1 b - -,e6d5
1rb3k1/6np/2p1prp1/p2p4/3B2P1/8/PPP1BP1P/R4RK1 b - -,f6f7
5r2/6rp/p2kp3/Pp1pNp1P/1PpPnP1R/2P1R1P1/6K1/8 w - -,h4h1
r1b2rk1/5ppp/2p5/3pp1q1/1PP1n2P/4P3/2Q2PP1/1RB1KB1R b K h3,g5f6
3r2k1/1qr2pp1/pn5p/Qpbp4/8/P2PP1PB/5P1P/2RRB1K1 w - -,c1c2
3r4/2R2pk1/5qp1/r6p/p1Qp4/6P1/PP3PKP/2R5 w - -,c7c6
r5k1/pp3pp1/3bp1bp/2n5/PPB1P2B/5P2/2N1K1PP/R7 b - b3,c5a6
8/pp3p2/2k2b2/4pp1p/7P/2P3P1/PPKR1PN1/5r2 b - -,f5f4
1rb5/1p2k1pp/pn1rpp2/N7/8/2P2B2/PP3PPP/3RK2R w K -,e1e2
8/1P3p1k/6pp/4b3/4P1P1/7P/2p1N1K1/8 w - -,g2f2
8/1k6/p2p2p1/1n1Pp3/8/2r5/R6p/R6K b - -,c3d3
r4rk1/pp3pbp/2ppNnp1/q3n3/2P1P3/2N3PP/PP3P2/R1BQRBK1 b - -,f7e6
3r4/R7/2p1kp1p/8/2P2P1N/6Pn/P1K4P/8 b - -,h3f2
