8/7r/3kP3/4Rp2/2p2P2/2P4P/3K4/8 b - -,d6e7
8/4ppkp/1n1q1bp1/2p5/Q7/2r1B3/P4PPP/4RNK1 w - -,a4g4
r3k3/1r1n1pp1/pp2p2p/8/1N5P/4KPP1/PP2P3/2RR4 b - -,a6a5
r1b1r1k1/1p3pbp/2pp2p1/q1n5/1nPNP1P1/pP2B2P/P3NPB1/1Q1RR1K1 w - -,e1f1
r3k2r/pp1nb1pp/1qppb3/4p3/2P1PP2/5NP1/PPQB2BP/R3K2R b KQkq -,e5f4
4k2r/pp2ppbp/4Pn2/2P2p2/2n2N2/2P1B1PP/qP2Q1B1/3K2NR w k -,e3c1
3r1rk1/1bN2pbp/p1n2qp1/4p3/1P5P/2B5/PQ2BPP1/R2R2K1 b - -,c6d4
2rr4/5pk1/p1bp1pp1/qp5p/2P1P3/1P2QPP1/P2R3P/3R1BK1 b - -,b5c4
5rrk/1pp5/1q6/pPbP2p1/4Q1pP/8/P3RP2/3R1K2 w - -,h4g5
8/8/1K1B4/5p2/5Pk1/8/8/8 w - -,b6c5
3R4/7p/2P1k1p1/4p3/2K5/6P1/r6P/8 b - -,e5e4
2brr1k1/1p3ppp/p3pb2/q2n4/8/P1P2NPP/1PQ2PB1/2BRR1K1 b - -,d5e7
4r1k1/1p3pp1/pr6/2p1q2P/2P1N3/3Pp1P1/1P2Q1K1/3R4 w - -,e4c3
7r/2k3R1/8/1K6/1P6/8/8/8 b - -,c7b8
rn2kb1r/pp1bpppp/1q6/2pp4/3PnB1N/2P5/PPQ1PPPP/RN2KB1R w KQkq -,f2f3
8/3B4/8/p1kNK3/n3p3/3bP3/8/8 b - -,a4b2
r1b1kb1r/pp3ppp/n3pn2/1Nqp4/4P3/2P5/PP1N1PPP/R1BQKB1R w KQkq d6,d2b3
2k4r/ppp4p/1npr1p2/5bp1/2BP4/2P5/PP1N1PPP/R3R1K1 w - -,b2b3
4rbk1/1p3qpp/p4p2/8/1P2P3/P4QP1/5B1P/5RK1 w - -,f1c1
8/8/r7/2kp2p1/4p3/4P1P1/1R1K1P2/8 w - -,b2c2
r1nk1b1r/1p1n2pp/2p1bp2/p3p3/2P5/1PN1PN2/P3BPPP/R1BR2K1 w - a6,c1b2
4Q3/1pk2p2/2p1p2p/6qn/2P5/8/PP3P2/1K1R4 b - -,g5f5
2rqk2r/pp1bppb1/3p1np1/3Nn3/P2NP2p/5PP1/1PP2BBP/R2Q1RK1 b k a3,f6d5
r2qr1k1/p1pb1ppp/2nb4/3Np3/4P3/3P2P1/PB3PBP/R2Q1RK1 b - -,a8b8
6k1/1R4pp/p2P1p2/2r5/b6P/5PB1/6P1/7K w - -,d6d7
r5r1/2kp3p/p2bP3/1p2q3/8/8/PPP2QPP/R4R1K w - -,g2g3
2r3k1/1p4r1/p2p3p/P1nP1pp1/1RP1pP2/1N2Q1P1/1qP2RKP/8 b - -,b2a3
1k1r3r/1ppq2p1/5p1p/1p1Pp1n1/1Pn4N/2N4P/2P1QPP1/R3R1K1 w - -,a1a2
r2q1rk1/ppp2pb1/4b1p1/3Pn2p/4P1P1/1BP3Q1/PP3PP1/RNB2RK1 b - -,e6g4
k7/P7/3K1p1p/4P3/5n2/8/8/8 b - -,f6f5
r3r1k1/pb2qppp/1p2pn2/2p5/2PP4/bPB2N2/P1Q1BPPP/R2R2K1 w - -,f3e5
r2qkb1r/3b1ppp/3p1n2/1p6/2BpP3/8/1P3PPP/RNBQR1K1 w kq -,a1a8
rn1q1rk1/4ppbp/b1p3p1/3nB3/3P4/2N2N2/PP2BPPP/R2Q1RK1 b - -,d5f6
r3r3/5pk1/1pp2qpp/p2BN3/Pn1P4/4Q3/1P3PPP/2R1R1K1 b - -,b4d5
rn1r2k1/pp2bppp/2p1pn2/q7/2PP4/2NBBQ2/PP3PPP/3R1RK1 w - -,a2a3
3r4/p4pkp/4p1p1/2P5/1pQq4/6P1/P1R2P1P/5K2 w - -,c4d4
r4rk1/1b3pb1/p5p1/1p2P1Pp/n3BN1P/5N1Q/PPP2q2/1K1RR3 b - -,b7e4
6B1/8/1pp5/p1k3n1/2N5/1P6/PK5n/8 b - -,h2f3
r4Bk1/p4p1p/1p4p1/8/2n5/8/PP3PPP/R4RK1 b - -,g8f8
7r/p5k1/1p4p1/2p2p2/7r/2P5/PPK3Rp/3N3R b - -,g7f6
8/pp3pk1/6p1/4p3/4P2p/1P2P3/P7/3Kq3 w - -,d1e1
r4rk1/1p2qppb/p3p2p/2PpN3/1P2n3/1NP5/P4PPP/2RQR1K1 b - -,f7f6
R3b1r1/2p2k2/pb3n2/3p4/5P1R/2P2BN1/PP4K1/8 b - -,g8g7
2r3k1/pb4b1/1p1q1rp1/1QpPp2p/P1P1Pp2/3N4/5PPP/1R1BR1K1 w - -,a4a5
r2r2k1/p1q1bpp1/1p2p1np/1Qp1P3/8/2P1NN2/PP3PPP/3RR1K1 w - -,c3c4
4b3/p3p2k/1rp1B2q/2Rp1Pbp/PP1P2p1/2Q1B1P1/7P/6K1 w - -,e3g5
R1b4r/5pp1/6k1/8/1p4p1/1P4K1/5P1P/4R3 w - -,h2h4
r3r1k1/3npp1p/qpp1b1pb/p3B3/P1PP1P2/1NR3N1/1P2Q1PP/4R1K1 b - -,d7e5
4R3/5p1k/2p1P1pp/p1B5/2P3P1/1P3q1P/P7/3R1B1K w - -,h1g1
r1b2rk1/pp2ppbp/1qn2np1/2p5/3P4/N1P1PNP1/PB2QPBP/R4RK1 b - -,c8f5
r1bqk2r/pppp2pp/2n2n2/5pB1/1bP5/2NBP3/PP3PPP/R2QK1NR b KQkq -,h7h6
r4rk1/pppbb1pp/3pnn2/7q/2PN1p2/2N3PP/PPQ1PPB1/R1BR2K1 w - -,d4f5
6k1/6pp/4p3/p1R5/8/P5P1/5PP1/1r4K1 w - -,g1h2
5rk1/3pb1pp/p1q1p1n1/2p1P3/2P5/4Q1P1/PBP4P/3RN1K1 b - -,f8f5
8/5k1R/1R2N2p/1p3pp1/5P2/8/5PKP/r1r5 b - -,f7g6
r1b1k2r/1p1nbpp1/p2ppn1p/q7/2BNP2B/2N5/PPPQ1PPP/2KR3R w kq -,c1b1
r2q1r2/ppp2p1k/1b1pb1n1/4p2p/B3P1pP/2PP2B1/PP1N1PP1/R2QR1K1 w - -,d2f1
r2r3k/2pqnnbp/p5p1/1pBPpb2/8/1BP4P/PP3NP1/RN1Q1RK1 w - -,c5e7
3r2k1/bp3ppp/4p3/p3P1q1/4N1n1/PP4Q1/1B3PP1/2R4K b - -,g5c1
8/3b1k2/3q1Pp1/3Pp1P1/4P2p/1r3B2/3R1Q1K/8 b - -,d6a3
3rrk2/pbq4p/1pn1pp2/2pn4/P3Q3/2P1NNP1/1P2BP1P/3R1RK1 b - -,d5c3
5rk1/1p1r1qp1/2np4/pB2pb2/P7/2P1B1QP/1P1R1PP1/4R1K1 w - -,e1d1
2kr3r/ppp3pp/8/3Pn2q/2P3p1/6P1/PPQN2P1/R4RK1 b - -,h8f8
5k2/5p1p/6p1/P1R5/4N3/2p3PP/r4P1K/b7 b - -,c3c2
6k1/b5qp/2np2p1/3N1r2/Q1P2p2/5N1P/5PB1/5RK1 b - -,c6d4
2B1r3/5pk1/5np1/2Q5/5qp1/8/5P1P/5RK1 w - -,f1a1
1r2qrk1/2p1b1pp/bpn1p3/p1npP3/P6P/1PP2NN1/5PP1/RBBQR1K1 b - h3,b6b5
5rk1/pR1b1p1p/6p1/3P1p2/3b4/2r2BP1/P1P3KP/5R2 b - -,c3c2
1r2r1k1/p4pp1/2p4p/3p1N2/8/1P5P/PbP2PP1/3R1RK1 b - -,e8e2
r2R2k1/p4ppp/1nb2n2/6B1/2B1p3/P1N5/1P3PPP/R5K1 b - -,a8d8
1r6/p7/5P2/2p1k3/2Pp4/P2K1R2/2P5/8 w - -,f6f7
8/6p1/2p1kp1p/n3p3/4K1PP/2P1B3/4PP2/8 w - -,e3c5
r3k2r/pp4pp/2pb1n2/4Np2/4nPP1/2N5/PP5P/R1B1R1K1 b kq -,e8g8
2rr2k1/1b3ppp/p2q1n2/2pp4/4n3/1QN1PN1P/PP2BPP1/2R1R1K1 b - -,c8b8
8/2nBkpp1/p1P1p2p/R7/3r2P1/2r2PKP/P2N4/8 w - -,d2f1
r3r1k1/pp3pbp/4p1p1/2pP2B1/1nP1P3/q4B1P/P2Q1PP1/2R2RK1 w - -,d5d6
r4k2/1p2pp2/1q1p1b2/p2P1Q1B/8/1P1R4/1PP2PP1/2K5 b - -,b6b4
r1r3k1/pp2pp1p/3p2p1/q7/P1PQ3P/1P4P1/4PPb1/2RR2K1 w - -,g1g2
2kr3r/pp1b2pp/4p2n/2bpP3/3n1P2/PP2q1PB/RB5P/1N1Q1K1R w - -,b1c3
4rrk1/3q1p1p/4bBp1/1p1p1n2/1P3P1P/3P4/5PB1/1R1QR1K1 w - -,d1f3
8/8/8/6pp/5k2/r7/6K1/8 b - -,g5g4
2r3k1/4nppp/4p3/2R4N/6Q1/6P1/4PPKP/q7 w - -,c5c8
r6r/3n4/pq2Rpkb/1p1p2Np/P2P1Q1P/2N5/1P3PP1/R5K1 b - -,b6e6
8/4N3/6p1/7p/5P1P/6PK/4k3/4n3 b - -,e1f3
r1b3k1/pp4pp/2n2r2/2P5/4Nn2/2P2N2/PP1R1PPP/2K4R b - -,f6f8
