8/4kp2/2R3p1/r7/4p3/4N1KP/5P2/8 b - -,a5g5
4rr1k/p1q1b1pp/1n2p3/1bp1Pp2/1nNp1P2/1P1P2PB/1NPBQR1P/R5K1 w - -,d2b4
r1b2rk1/3qbppp/p3p3/Qp1n4/n7/NN4P1/PP2PPBP/1R2BRK1 b - -,c8b7
r1bq1rk1/pp3pp1/5n1p/2ppb1B1/8/2PBP3/PPQN1PPP/R3K2R w KQ -,g5h4
6k1/1bpp3p/1p2pr2/p1nP1p2/2PN1Pp1/2N1P1q1/PPQ1KRBr/3R4 w - -,d1g1
3r4/1b2r1k1/p3pppp/1P3P1n/2pP4/2N1P2P/3N1RP1/2R3K1 b - -,a6b5
r1bq1r1k/pp1nb1pp/2pnp3/3P1p2/3P1B2/1QN2NP1/PP2PPBP/3R1RK1 b - -,e6d5
1n4k1/6pp/pp1p4/3Pp3/1P3rP1/2R5/P2N1P1P/6K1 w - -,f2f3
8/2P5/3Q2pk/1p3p2/1P5p/7P/6PK/2q5 w - -,d6c5
r2qk1nr/pp3pb1/2npb1p1/2pNp1Bp/2B1P2P/3P2N1/PPP2PP1/R2QK2R b KQkq -,d8d7
rn1qk2r/pp3pbp/2pP1np1/4p3/8/1P2PQ1P/PB1P1PP1/RN2KB1R b KQkq -,d8d6
r1bq1rk1/pp2ppbp/5np1/3pn3/3P1B1P/2N1P3/PP3PP1/R2QKB1R w KQ -,f4e5
5k2/2r3p1/4Rp1p/4nP2/4B3/1Np1K3/8/8 b - -,c7e7
8/5ppk/1pq1p2p/p7/8/1P1Q2P1/P4P1P/6K1 b - -,g7g6
5k2/p5p1/1p5p/4Q3/3P4/2q4P/P5PK/8 w - -,e5b8
3r2k1/2p2pp1/4p3/p1Pq3p/P7/2Q1P1P1/5P1P/4R1K1 b - -,d5d2
r1bqk1nr/p3b1pp/2pp4/2p1p3/4p3/2PP1N2/PP3PPP/RNBQR1K1 w kq -,d3e4
rr4k1/3nbppp/p1qp1n2/R2bp3/4P3/3NBB2/1PP2PPP/3RQ1K1 w - -,e4d5
8/kp4p1/5p2/1B6/1n1r1P1P/6P1/PR5K/8 b - -,b4d5
8/6k1/2p2p2/3b4/3Pp3/2N1P1P1/6K1/8 b - -,g7g6
8/8/8/pq3Pk1/4Q3/6P1/7K/8 w - -,e4h4
8/pbr1r1kp/3p1pp1/2qP4/4PP2/3B3P/6PK/QR1R4 b - -,c5e3
5B1r/p5pp/kp6/4p3/2q5/Q5P1/PK5P/8 b - -,a6b5
8/8/3pBk2/2pP1N2/2P5/4r3/8/3K4 b - -,e3c3
r2q1rk1/1b2ppbp/pn1p1np1/2pP4/2B5/2N1PN1P/PP3PPB/2RQ1RK1 w - -,b2b3
2b2rk1/2q2pp1/2p2n2/2Pp2b1/Q2Pp1np/4P1P1/P2B1PBP/1RN1N1K1 w - -,c1e2
8/7p/4k3/1p2r3/1R3P2/6KP/8/8 b - f3,e5d5
1rb1k2r/1p3ppp/4pb2/8/p3BP2/2P5/1P1BK1PP/R6R w k -,a1a4
r1bqk1nr/1p2ppbp/p1n3p1/1B1pP3/3Q4/2N1B3/PPP2PPP/R3K1NR w KQkq -,b5c6
2r5/5R2/1p2p2p/1k2Pb1P/q1p5/p1P5/P7/K6Q w - -,f7c7
1r2k2r/5p1p/p2pqQn1/2p5/4P3/7R/PP1B1PP1/R3K3 w Qk -,d2g5
r1b1kb1r/3npp1p/p2p1np1/3P4/1pPB1P2/P4N2/1P2P1PP/R3KB1R b KQkq -,b4a3
8/kp1b4/p3p3/3p1qrp/2pP4/P1P1RBrP/1P2Q1P1/6NK w - -,e2d1
r2qkbnr/3b1ppp/4p3/pn2P3/p1B5/2P2N2/1B3PPP/RN1Q1RK1 b kq -,f8c5
1brr2k1/pb3ppp/1p2p1nq/8/P1N1pPP1/1P2P3/1BPNQR1P/5RK1 b - -,g6h4
3rr1k1/1p3ppp/p4q2/2bp4/8/1P2PN1P/P2RQPP1/3R2K1 b - -,f6e6
7r/5p2/3bpk2/pp4rp/2pP2P1/P1P2K1P/NP4R1/2R5 w - -,c1f1
6k1/5pbp/1q6/p2pr1p1/Pp1N4/1P3PPb/3Q1K1P/3RR3 w - -,e1e5
8/6pk/1Pq5/Q7/1B6/1K2P3/8/8 b - -,c6e6
8/1p1b4/p7/8/3B3K/1k6/1P4p1/8 b - -,g2g1q
1q1r1rk1/1b2npp1/p2bpn1p/1p6/1P1P4/P1NBBN1P/3Q1PP1/2R1R1K1 b - -,b7f3
1rb5/Bpb1k1pp/3n1p2/3Bp3/8/1NP5/PP3PPP/3R2K1 b - -,b8a8
rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,d1e2:b5d7:a2a4:c2c4
5bk1/5p1p/3p2p1/ppq1p3/4P3/2r4P/1R1N1PPK/1Q6 w - -,b2b5
r2qkb1r/pppnpppp/5n2/3p4/5P2/4PB2/PPPP2PP/RNBQ1RK1 b kq -,e7e5
rn3rk1/pp2ppb1/6qp/4Pbp1/3Pp3/4BN1P/PPB2PP1/RQ3RK1 b - -,f7f6
2rq1rk1/p3n1pp/3b1p2/2ppn2b/2p4N/1P1P2PP/PBQN1PB1/R3R1K1 w - -,b3c4
8/4qp1k/6p1/8/1p2P1Qp/1Pbr1PP1/3pr2P/1R1R1N1K w - -,g3h4
2r2rk1/1p1nbppp/1qp1pn2/p2p4/2P3b1/PP1P1NP1/1BQNPPBP/R4RK1 w - -,e2e4
6B1/8/4p2p/4Pp1P/2b1pP2/4P3/1k1K4/8 b - -,c4d5
8/2p2p2/1pppk3/1r5p/1P2PRP1/P2P3P/2P5/6K1 w - h6,f4f5
rn2kb1r/pQ3p2/4bq1p/3p2p1/3p4/2N5/PP2PPPP/R3KBNR w KQkq -,b7a8
r2q1r2/5k2/1p1p1bpQ/p1nPppp1/P1P5/B4N2/1P3PPP/R3R1K1 w - -,h6h7
r1b1r3/2pn1pk1/p2b1npp/1p2P3/4P2B/1BN4P/PPP3PN/2KRR3 b - -,d7e5
4k3/4bpK1/6p1/4p1P1/2P5/4B3/8/8 w - -,c4c5
r3k2r/ppqn1ppp/2pbpnb1/8/3Pp2N/2P3P1/PP1N1PBP/R1B1QRK1 w kq -,h4g6
1rR5/p3n1pk/7p/8/8/2R2N2/P4PP1/6K1 b - -,b8c8
r4rk1/6pb/1p2p2p/p2pP3/Pn1P1Pp1/2RN2q1/1P1QB3/5R1K w - -,d3f2
6r1/3bkpp1/8/p1r2P2/P1BNP3/1P2K3/8/6R1 b - -,d7a4
1r4k1/2r2pp1/2p4p/R2p4/p2P1P2/4P3/1P3P1P/2R3K1 w - -,a5a4
8/8/2nkpb2/1p1p2p1/1P1P2P1/2BNP3/3K4/8 b - -,f6g7:c6e7
8/5kp1/4p3/4P2p/pP1r1P1P/5R2/1P4PK/8 b - -,d4b4
r1b2rk1/pp3ppp/2pp3q/5PN1/4n2P/2p3P1/PPP1B3/2R2Q1K w - -,g5e4
1k6/5rp1/4R2p/1pBp4/1P2p3/6P1/2P4P/2KR1r2 b - -,f1d1
2r2rk1/1b2ppbp/pn4p1/1p1P4/2n1P3/2N2P1N/PP2B1PP/2BRK2R b K -,b5b4
1r4k1/ppq2pb1/6p1/2P4p/P1Rr4/1Q1N2P1/P3PP1P/1R4K1 b - -,d4c4
r4rk1/ppqnbppp/2p1p3/3n1b2/3PN3/4N1P1/PPP1QPBP/R1B2RK1 b - -,f5g6
6k1/p3np2/2p3p1/2N4p/3rP2P/2b3P1/P3BPK1/3R4 b - -,d4d1
8/8/3b3p/pB6/1p3p2/1P3K1P/8/4k3 b - -,e1d2
r2qr1k1/p3nppp/1pbBp3/4P3/1RP5/3B3Q/P4PPP/4R1K1 b - -,e7f5
1k1r4/pp3pp1/2prpb1p/8/Q2P3q/P1P2B1P/1P3PP1/1K1R1R2 w - -,a4b3
r1bqk2r/3p1p1p/pp2p1p1/8/P1BbP3/6Q1/1P1P1PPP/R1B2RK1 b kq -,c8b7
r1bq1r2/ppp2pbk/3p2pp/4n3/2PBP1PP/2N5/PP1QBP2/2K3RR b - -,c8e6
3r2k1/pp2b1p1/4pn1p/1b6/1P1P1q2/PB6/6PP/2RQR1K1 w - -,e1e6
r1b1r1k1/ppb2pp1/2p2n1p/4pN2/4Pn2/2P2N2/PPB2PPP/R1BR2K1 w - -,f5d6
6k1/3b1p2/2p5/1pn1b1P1/2p5/2P5/1P4P1/3NNBK1 b - -,e5f4
8/7k/5p2/pR3Kp1/P5P1/1Pr5/8/8 b - -,c3f3
r4b1r/1q2pk2/pR3npp/1p4p1/3Q1BP1/2N5/PPP2P1P/2KR4 b - -,b7f3
r2qr1k1/pb1nbpp1/1p2pn1p/2p1N3/2PP3B/P1NB4/1P3PPP/R2QR1K1 w - -,e5d7
5R1b/4B1k1/p4P2/3r3p/8/4P3/6P1/6K1 b - -,g7h7
1r4k1/3p1p1p/p1b1p1p1/P7/1RB1P3/3P4/5PPP/5RK1 b - -,b8b4
8/6p1/k5R1/p4K2/r4PP1/8/8/8 b - -,a6b5
1rbr2k1/4qpp1/p1nppn1p/bpp5/2PP4/PPN1PNP1/1BQ2PBP/1R3RK1 w - b6,d4d5
