8/8/k3p3/P1r5/4K3/5P2/8/R7 w - -,f3f4
r4rk1/pp3ppp/1q2b3/2pn4/2Bp3Q/3P1N2/PPP2PPP/R3R1K1 w - -,f3g5
1r1q2k1/1n3pbp/1N1p1np1/3Pp3/1P2P3/2pQB1NP/5PP1/R5K1 w - -,d3c3
rnb1k2r/pp1q1pbp/3B1np1/1QpP4/8/2N2N2/PP2PPPP/R3KB1R b KQkq -,d7b5
8/5Nb1/8/8/5B1P/3k1bP1/8/2K5 b - -,f3h5
r3brk1/pp2q1pp/2n1p3/1BPp1p2/3Pn3/2N2N2/PP3PPP/2RQR1K1 w - -,b5c6
r3rbk1/1q3ppp/1pbp1n2/p3p3/Pn2PP2/1NN2BQ1/1PP1R1PP/R1B4K w - -,f4e5
6k1/1bqn1ppp/1p1ppn2/2p5/1PP5/2QPPN1P/1B2BPP1/r5K1 w - -,b2a1
8/4q1kp/Qp1Nnpp1/2P1p3/1P6/P4N1P/5PPK/2n5 b - -,b6c5
r2q1rk1/pb3npp/1p2p3/2npPp2/2PN1P2/B1PB4/P1Q3PP/R4RK1 b - -,f8e8
8/7k/3p2qp/pr1Pp2p/1n1pP3/5PP1/1P2K3/R1Q4R b - -,b5c5
6k1/Q2b3p/3q1r2/1p1P1p2/p3rP2/PB2p1P1/7P/2R2RK1 w - -,c1c7
4k3/3r4/5pp1/1R1p4/8/5P2/5P1P/5K2 w - -,f1e2
8/4rp2/p2r1Ppk/1p3bNp/7P/1P6/P1P3R1/1K6 w - -,f6e7
8/4kp2/6p1/2NRK1P1/8/6P1/2r2P2/8 w - -,c5e4
1r1q1r2/5pbk/4p1pp/3n4/Q6R/4PNP1/5PBP/5RK1 b - -,g7f6
r1bq1rk1/pp2ppbp/3p2p1/3Nn3/2P2Bn1/1N4PP/PP2PPB1/2RQ1RK1 b - -,e7e6
B5k1/p4pp1/2p4p/1bb4P/3N2P1/2r1PP2/1R3K2/R7 w - -,d4f5
8/8/8/5p2/4qPp1/6P1/4k2K/R7 b - -,e4c2
3R1bk1/2N2p1p/6p1/8/1pP5/1P4P1/1r3PK1/8 w - -,d8d3
3r1k2/p4pn1/2p1r3/1p2PpRP/1P1p4/3B4/1PP2R2/1K6 w - -,f2g2
3r2r1/pp1kn3/2n4p/3pPp2/PPpP1P2/2B5/2B4P/2KR2R1 b - b3,a7a5
2R5/2p2rk1/1rPp3p/6p1/2P1Q3/2P1P1P1/5q1P/3R1B1K w - -,f1h3:e4d4
r5k1/6b1/1q4pp/pp1P1p2/5Nb1/B1rQP1P1/P4K1P/1R2R2B w - -,d3b5
r2q1rk1/bp2nppp/p1ppbn2/4p1B1/4P2N/1BPPN3/PP3PPP/R2QK2R w KQ -,d1f3
1r3r1k/2nbn2p/1q1p2pb/p2P2N1/1pB1Pp1P/3Q4/PP1B1P2/1KRN3R w - -,f2f3
2rrb1k1/p3qppp/1pPNp3/nP6/1Q6/P5P1/5PBP/2RR2K1 w - -,d6c8
q1br2k1/p1b2npp/2p2p2/2Ppp3/1P5P/P3P1P1/1B2QPB1/R3R1K1 b - -,e5e4
8/2B1k3/3pb1pp/5p2/5P2/2K1b3/4B1PP/8 b - -,e3f4
3rr1k1/1b3pb1/6p1/p1p4q/PpPpPn1p/1P5P/3N1PP1/1QBRRBK1 b - -,f7f5
8/3bk3/p1ppprp1/r7/1P6/P3RNPP/2P5/2K1R3 b - b3,a5f5
8/8/1R4Pk/5p1p/5P2/6P1/6K1/r7 w - -,b6f6
1r6/p1nkpp2/3p4/2pP3p/N4b1P/P1P3N1/1PK1R3/3R4 b - -,f4g3
5r2/p5k1/1p4p1/3pr3/4p3/2P5/PP1R3P/5RK1 w - -,f1f8
1r1qr1k1/4bpp1/2bp1n1p/1pp5/4P3/1PN2Q2/1BP2PPP/3RRBK1 w - -,f3g3
rnb1kbnr/1pp1pppp/p7/3q4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,d5d6
r1bqk2r/p1pp1ppp/1pn1pn2/8/2PPP3/2P2P2/P5PP/R1BQKBNR w KQkq -,e4e5
3r2k1/p4pp1/4r3/1B2P1Q1/4qn2/PP6/2P2PPP/5R1K w - -,g5d8
3r4/4pk2/4p3/7p/3B1RPP/3b1PK1/8/8 b - -,f7g8
8/8/7p/3rk1p1/R3pp2/2P4P/4KPP1/8 b - -,h6h5
r1bq1rk1/1ppn1pb1/3p1npp/p3p3/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,b2b4
r2r2k1/pb3pp1/1p5p/3np3/PB2N3/4P1P1/P4PBP/R1R3K1 b - -,d5b4
3r2k1/1r2pp2/1pp3p1/4Pb1p/8/1BN5/PPP3PP/2R3K1 w - -,c3d1
r1b1k2r/ppp1qp2/2np1n1b/4p2p/2B1PPp1/2PPB3/PPNN2PP/R2Q1RK1 b kq -,h5h4
5k2/pb3pb1/1p5p/8/1NB1P1p1/2n1BP2/P5PP/5K2 b - -,b6b5
r1b2rk1/ppq1bppp/4pn2/2p3B1/2BP4/2P2N2/PP2QPPP/R3R1K1 b - -,a7a6
8/5nB1/3p4/2pP4/2P1k3/1K6/8/8 w - -,b3c3
2b1n3/1p3Nk1/n1p1p1p1/2P4p/1P2P2P/P5P1/5PB1/3N2K1 w - -,f7e5
rn3rk1/1bq1bppp/pp1ppn2/8/2PQP3/1PN2NPP/P4PB1/R1B1R1K1 b - -,b8d7
6k1/1b3pp1/ppq1p2p/4P3/Pb1B4/2N1QP2/1P3KPP/8 w - -,c3e2
r1bqk2r/pp2bppp/3ppn2/8/3QP3/1PN5/PBP2PPP/2KR1B1R b kq -,e6e5
2Q5/6kp/6p1/p3p3/7b/5r2/5P1P/R5K1 w - -,a1a5
4r1k1/5p2/r2p4/1q1PnQ1p/p1p4P/5P2/4B1P1/R3R2K b - -,a6a5
3R4/8/r2p1kp1/2nP1p2/7p/2K2B1P/6P1/8 w - -,c3d4
8/8/2p2k2/N6p/3b1K2/3P4/8/8 b - -,c6c5
r3rbk1/1b2qpp1/pp3n1p/1n1p4/N1pP4/4BNPP/PPQ1PPB1/2RR2K1 b - -,e7e6
6K1/2k5/5RPr/8/5p2/8/8/8 w - -,g8f7
2kr3r/1pp2pp1/1qn1p1b1/p2n2Pp/P1BP4/2B2N1P/1PP1QP2/R3R1K1 w - -,e2d2
r1b1kq1r/1p1n1p1p/p1n1p1p1/3pP3/2pP1P2/2N2N2/PPP2QPP/2KR1B1R b kq -,h7h5
r4rk1/p1qn4/1p2pPp1/7p/3P3R/7Q/P2B2PP/5RK1 b - -,f8f6
4r2r/pp3bkp/1q3pn1/3p1B2/3P1N2/6R1/PP4PP/3Q1RK1 b - -,b6b2
2r3k1/5p2/b1p4R/6p1/P7/2B4P/5PPK/8 b - -,g8f8
2rr4/1p2kppp/4p3/2b5/p7/P1P1B3/1P2KPPP/R2R4 b - -,c5e3
2Q1b3/6k1/8/p1B2B2/Pp5q/2br1P2/P2p1K2/3R4 w - -,f2e2
8/pppk4/3b2R1/6P1/r7/5K2/3B4/8 w - -,g6g8
8/p7/1p2p3/3pPkp1/P1n3r1/2R4K/5R1P/8 b - -,g4f4
3r1q1k/2p3bp/p5p1/8/1p6/4BB2/PP3PPP/2R2RK1 w - -,c1c7
8/4N3/2N5/1P6/4k3/2K5/8/r7 w - -,c3b2
3rr1k1/pbp5/3q2p1/pP2pp1p/7P/3P1N2/P3QPP1/2R2RK1 w - -,c1c3
8/3k4/1Pb5/2r5/3Np2K/4N3/5PP1/8 b - -,d7c8
4R3/8/p1p2b2/3p1k2/1PP2P2/3KB2r/P7/8 w - -,c4d5
8/4pk1p/2r3p1/pp3p2/2bR1P2/P1N3P1/1P2P2P/4K3 b - -,b5b4
8/8/7k/5K1p/4R2b/8/8/8 b - -,h4f2
r1br4/4kppp/pb2p3/1p6/3nPB2/2NB4/PP3PPP/2RR1K2 b - -,c8b7
1r1q3k/7p/b2p4/p3pR2/1p1pP3/1P1P2QP/P1P3B1/6K1 b - -,d8e7
b2k4/P4pp1/8/4p3/4P2r/1NPB3p/2K4b/R7 w - -,b3c5
4r3/pp1n3k/2p1p2p/3p1qp1/1BPP4/1P3PQ1/P6P/6RK b - -,e6e5
8/8/p5nk/8/3Q3p/P6P/1P3NPK/5q2 b - -,f1b5
r7/1p1r1kpp/p1b1p3/P4p2/1B6/P4PP1/2R1PK1P/2R5 b - -,a8d8
2krnr2/1p1b1ppp/p1n1p3/2P5/2B5/PN3PB1/2P4P/2K1R2R w - -,h1g1
r1bq1rk1/p1p1bppp/1p1p1n2/4p3/4P3/1PNPBN2/1PP2PPP/R2Q1RK1 w - -,f3d2
3r4/8/3N1R2/8/8/3K4/6k1/8 b - -,d8a8
7r/ppk1n2p/6p1/1Pp1Pp2/2B5/3r4/1PP3PP/2KR4 w - -,d1d3
2rbqrk1/1b3pp1/ppp1pn1p/4N3/2PP1B2/1Q4P1/PP3PBP/R2R2K1 w - -,a2a4
r1bq1rk1/1p1n2pp/2pbp3/p2p1p2/2PPn3/PP3NP1/1BQNPPBP/R4RK1 b - -,d8e7
5rk1/p2nnppp/b3pN2/q2pP1PQ/2pP4/2P3P1/P2r1PB1/R3R1K1 b - -,d7f6
r2qnrk1/pp1b2bp/n2p2p1/2pPpP2/2P5/P1N2NP1/1P2BP1P/R1BQR1K1 b - -,g6f5
