8/8/8/4k1p1/3p4/3B1PPP/r7/5K2 b - -,a2d2
r1b1k1nr/ppp1q1pp/2nb4/1B1pp3/8/1P2PN2/PBPP2PP/RN1Q1RK1 b kq -,g8f6
6n1/1p1r1pkp/3p2p1/PNnP2P1/P1P2R1P/8/2B2RK1/4r3 b - -,h7h6
3r1rk1/pb3p1p/1pn1p1p1/3q4/3P4/P1RQ1N2/1P3PPP/1B3RK1 w - -,f1d1
6r1/7k/1R6/1P1pPp2/1B2bRn1/2P3r1/6P1/5BK1 b - -,g4e5
3r1r2/pp2q1bk/4n1p1/3pPp1p/3PpP1P/P1N3Q1/1P2B1P1/3R1R1K b - h3,g7h6
8/5pkp/6p1/4R3/5P2/2rr2P1/4R1KP/2b5 w - -,e5e4
2b4r/2k5/2p3R1/3p3P/6P1/1N2P3/P3K3/8 b - -,c8g4
8/1k6/1P6/2P1K2p/4b2P/6P1/8/8 b - -,e4f3
r2q1rk1/2p2ppp/1pnbpn2/p2p3b/2PP4/PP2PN1P/1B1NBPP1/R2Q1RK1 b - -,c6e7
2k1rb1r/1q1p4/p2B1p1p/1ppN2pP/3nP3/6Q1/PPP2PP1/R3R1K1 w - -,d6f8
3rnr1k/pbq2pbp/1pppn1pN/8/P3P3/2N3QP/BPP2PP1/2BRR1K1 w - -,g3h4
2r3k1/r5pp/q3b3/4Np2/1p6/b1nP2P1/3NPPBP/QR2R1K1 b - -,c3b1
8/3r1k1p/5np1/2R5/5NP1/5PKP/8/8 b - -,d7a7
r1b2rk1/1pqn1pp1/p3p2p/8/1bPNn3/8/PPQ1BPPP/R1BR2K1 w - -,c2e4
2r3k1/1p1bbppp/p3p3/8/P3N3/4P3/1PB2PPP/5RK1 w - -,c2b3
1r2r2k/1b4qp/p7/1p6/1Pp1p3/P6Q/5PPP/1BR2RK1 b - -,e4e3
6k1/1p2q1p1/pn2P1Qp/3p3P/1P6/P7/4N1P1/6K1 b - -,b6c4
rnbqrbk1/pp3ppp/2p1pn2/2Pp4/3P1P2/P1N1P1N1/1P4PP/R1BQKB1R w KQ -,f1d3
2r3k1/p4p2/1p2ppp1/3p4/2QP1P2/P3bNP1/1P5P/5RK1 w - -,g1g2
r2q1rk1/pp1n1pbp/2n1p1p1/1B1p4/3P4/1QN1P3/PP1B1PPP/R3K2R w KQ -,a1c1
5k2/1p6/p2p2p1/P7/1PP5/2n3K1/8/3R4 w - -,d1d3
r2qkb1r/pppb1ppp/2np1n2/8/2P1P3/2NB1P2/PP1Q2PP/R1B1K1NR b KQkq -,g7g6
5r2/2k5/8/PB6/4K1Np/5p1P/8/8 b - -,f8b8
3r2k1/pp3p1p/2bp2p1/4rP2/3RP2N/1P3KP1/P6P/3R4 w - -,f3f4
2r2r2/3k1pQ1/3ppP2/2q5/1p2P3/1P6/1P1R4/1K1R4 w - -,d2d6
3r3k/6pp/5r2/2P2p2/1p6/1p2P3/5PPP/RR4K1 w - -,b1b3
r1bq4/1pp1npk1/6r1/p3Q2p/2P3pP/1P1P2P1/P1N2P1N/R4BK1 b - -,f7f6
7r/6k1/3p2p1/2pPp1qn/1pP1P3/pP2N1PR/P3K1Q1/8 w - -,g2h2
r1bqk2r/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,c7c6:e8g8:h7h6:b7b6
r3kb1r/1p1qnppp/p1n1p3/1B1p1b2/3P1B2/1QP2N2/PP1N1PPP/R3K2R w KQkq -,f3e5
4rk2/pp3p1p/8/b2p4/2rPn2B/2N1P2R/PP5P/6RK w - -,c3d5
5r2/1p1kbp1p/2ppn1p1/3n2P1/r2PN1NP/2P3B1/1PK2P2/4R2R b - -,b7b5
2rq1rk1/1b2bppp/p2p4/1p6/5B2/1BPQ4/PP3PPP/R2R2K1 b - -,d6d5
k2r3r/pp1bnpp1/2n1p2p/q2pP2P/P1pP1R2/Q1P2N2/2PB1PP1/R3KB2 b Q -,d8f8
r1bqk2r/pp4pp/2nb1p2/4p3/8/2P2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
rnbqk2r/pp3ppp/2p2n2/2b1p1N1/4p3/1B1P4/PPP2PPP/RNBQK2R w KQkq -,g5f7
r2qkb1r/1b1n1p2/p4npp/3pp3/1p2P1PP/1N2BP2/PPPQN3/2KR1B1R w kq -,e4d5
r4rk1/pp4pp/4p3/1Bbp1q2/6n1/6B1/PPP2PPP/R2Q1R1K w - -,b5d3
r7/3R1pk1/5bp1/2N2p2/3P4/4P1P1/5PK1/8 b - -,g7g8
3q1rk1/1br2p1p/p3pbp1/1p1nN3/1P1PRP2/PB6/1B1Q2PP/3R2K1 b - -,f6g7
r1bqk1nr/pp2ppb1/2np2p1/2p4p/2P1P3/P5P1/1P1PNPBP/RNBQK2R w KQkq h6,h2h4
r2qr1k1/pb1n1p1p/1ppN1np1/3p4/2PP4/P2BPP2/6PP/R1BQ1RK1 b - -,d8c7
8/8/1p1r3p/6k1/PP4np/2K1p3/4R1P1/5R2 b - -,g4f2
r1b1k2r/pp1n2p1/2nbpq1p/3p4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
8/8/pPR5/4r1kp/P3p3/3pP3/6PP/4K3 b - -,e5e8
r3rbk1/2q2p2/p1bpnnp1/Pp2p2p/1P2P2P/2P2NN1/2BB1PP1/R2QR1K1 w - -,g3f1
2rqk2r/1b2bp2/p2p2pp/1p1Pn3/3N2P1/7P/PPP1QBB1/R3K2R b KQk -,d8a5
r5k1/1p6/6p1/1N1nNp1p/4n3/7P/6P1/2R3K1 b - -,d5f4
r2q1rk1/1bp1bppp/p1n2n2/1p2p3/4P3/2P2N2/PPBNQPPP/R1B2RK1 b - -,e7d6
8/8/2p1k2p/1p2p3/1Pp1NnP1/P1P1K3/8/8 w - -,e3f3
rnbqk1nr/p1p1ppbp/1p1p2p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,g1f3
2r3k1/pp3pb1/6p1/7p/3Np1nP/1PnNP1P1/PB3PK1/5R2 w - -,f1c1
3r4/q5kp/p2p2p1/1p6/2PR1Pb1/1P2rBP1/P7/3R1QK1 w - -,f3g4
8/5pk1/5R2/4PP2/5P1p/4r3/6K1/8 w - -,f6a6
1qrbr1k1/1b3ppp/pp3n2/3Nn3/P3P3/1P2BP2/4NQPP/2RR1BK1 b - -,b7d5
r1bqkb1r/pp1p1ppp/2n1p3/2pnP3/8/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,g2g3:b1a3:c2c4
1r3rk1/4ppbp/n2q2p1/3P4/P1B2p2/1R1Q1R1P/2P3P1/6K1 w - -,c4a6
r1b1k2r/pp2bppp/1qn1p3/3pPn2/1P1P4/P3BN2/5PPP/RN1QKB1R w KQkq -,f1d3:f1e2
2r2rk1/1p3pb1/p4n1p/5p2/2P5/4BN1P/PP3P2/2RR2K1 b - -,g8h7
r1b2rk1/p1p1qppp/1b6/2p5/2QN4/2P1p1P1/PPK4P/R1B1R3 w - -,e1e3
r2q1rk1/pbp1bppp/1p3n2/3pn3/Q2P4/2N3P1/PP2PPBP/R1B2RK1 w - -,d4e5
r3r1k1/2qb1pp1/p6p/1p3N2/7b/1PP1BQ2/1P3PPP/R3R1K1 b - -,d7f5
2b2k2/p4ppp/1p3b2/3Bp3/8/4BPP1/PP2P1KP/8 w - -,e3d2
r2r2k1/5p1p/2pN2p1/1pP5/pP2P3/Pb2RPP1/1K5P/4R3 b - -,g8f8
r4r2/3nq2k/3n3p/pPpP1p2/4pR2/RQ2N1P1/6BP/7K b - -,c5c4
r3k2r/ppp3pp/2n2p2/4p3/4b1P1/2B2P1P/PPP1P3/2KR1B1R b - -,e4g6
8/8/4n3/3k4/3p3P/5K2/6P1/4B3 b - -,e6c5
5r2/2q3kp/Bp3pp1/8/1p1Q4/8/P5P1/R5K1 b - -,c7c5
2nkb3/1pq2rr1/3p2pR/p1pP1pP1/P1P1pP2/1PN1P3/2Q1B2R/6K1 b - -,c8e7
2r2qk1/pp2rNb1/2n2npp/2P1p3/8/4B3/PP2BPPP/2RQ1RK1 w - -,f7d6
4kb1r/pp3p2/4n2p/3N1p2/2r5/5PB1/PP5P/1K1R3R b k -,f8g7
8/5pkp/3p1pr1/q3p3/p3P3/P1QB2P1/KP5P/2R5 b - -,a5b6
r1bqrbk1/7p/p1n2np1/Ppp1p1B1/4P3/2P2N2/1PB2PPP/R2QR1K1 w - -,d1d8
r5k1/1pq2pbp/p1nr1pp1/1Q3b2/3N4/2P2N2/PP2BPPP/R3R1K1 w - -,b5a4
