8/8/4n1p1/4k3/5ppP/8/3N1K2/8 b - -,e6c5
r3kb1r/pp1n1ppp/2p1pn2/2Pp1b2/3P1B2/1P2PN2/1P3PPP/RN2KB1R w KQkq -,h2h3
r4rk1/pp1bbppp/5n2/3P3q/8/1N2NP2/PB4PP/R2Q1RK1 w - -,d5d6
6r1/p3qkr1/4pb2/8/P1pPQp2/2P3P1/1P3PB1/R3R1K1 b - -,f4g3
8/1R3p2/p3b3/6kp/8/P1Br1P2/1P3P1K/8 b - -,d3f3
2rq1rk1/1p3ppb/n1p1pn1p/p1bp4/2P5/PP1P1NP1/1BQNPPBP/R1R3K1 w - -,e2e4
r1b2rk1/pp1nqpp1/5n1p/3pp3/3P4/2NBPN2/PPQ2PPP/2R1R1K1 w - -,d4e5
8/1B4k1/1p3p2/6P1/2b3N1/Pn2P1PP/3r4/1R4K1 b - -,f6g5
8/1ppk4/2b1p1r1/2R1Bp1p/p2P3P/Pr3P2/1PR2KP1/8 w - -,c5c3
r1b1kb1r/p2n1p2/1qn1p3/1p1pP2p/2pP1PpP/2P5/PP1NBRP1/R1BQN1K1 w kq -,d2f1
r2q1rk1/p2nn1bp/1p1p2p1/3Ppp2/4P3/1QN1BBPP/PP3P2/R4RK1 w - -,a1d1
8/qp1rbpk1/2p3pp/4p1n1/1P2P3/P1QB2PP/2P1NPK1/R7 b - -,g5e6
7Q/8/3r2p1/4k3/1P1npp1P/8/5PP1/7K b - -,e5d5
1r4k1/5ppp/2b3q1/8/1PPppQ2/P5P1/3N3P/1R2K3 b - -,b8e8
8/1p4pp/5p2/1rk1P3/1p2P2P/3K2P1/1R6/8 b - -,f6e5
r1bqk2r/pp1n1pbp/6p1/2pPP2n/6P1/2N2N2/PP5P/R1BQKB1R b KQkq g3,d7e5
8/p4pkp/P5p1/1R6/8/6P1/3r1P1n/2RN1K2 w - -,f1g2
r4rk1/ppqnppbp/3pb1p1/P7/1Q2P3/2N1B1P1/1PP2PBP/R4RK1 b - -,d7e5
1r3rk1/1R1R1pp1/4pb2/7p/1p6/8/PPN2PPP/5K2 b - -,b8b7
r1bqkbnr/5pp1/p1p1p3/3p3p/4P3/2NB2Q1/PPP2PPP/R1B1K2R b KQkq -,h5h4
1nr1r1k1/4b1p1/3p1p1p/p1pPnN1P/PpP1PR2/1P4P1/3BN3/5RK1 w - -,f4h4
rn1qkb1r/p4ppp/bpp1pn2/8/2pPP3/2N2N2/PPQ2PPP/R1B1KB1R w KQkq -,f1e2
4k2r/1B2pp2/4b1p1/pP5p/8/1PPn2PP/3K1P2/2R4R b k -,d3c1
8/1pr2pk1/p2bp2p/P2p1p2/3P1P2/2PNK3/1P4PP/2R5 b - -,g7f6
3r2k1/p4ppp/1p2p3/2brP3/P4N2/2B2R1P/1Pb2PP1/R5K1 b - -,d5d7
2r3k1/1p1n2pp/p2Rpb2/4n3/P3P3/4B1PP/1P3rK1/1N3B2 w - -,g2f2
2BQ4/8/3R4/4k1p1/4p1P1/8/P7/3K3r w - -,d1c2
6k1/pp3R1p/6p1/8/8/1q1N4/P7/1K6 w - -,a2b3
q3rbk1/1b1n1p1p/2p3p1/1p1pP3/1P2B3/1NP2N1P/5PP1/2BQR1K1 b - -,d5e4
2r1kr2/1p1b1p1p/p4Q2/3q4/1n1P1p2/3BP3/P4PPP/2R2RK1 w - -,c1c8
1b1k4/1P6/8/RB6/Pr6/1P6/2K5/8 b - -,d8c7
2kr2r1/pp1n3Q/2qbp2p/2p4N/3P2n1/2PN4/PP1B1PP1/R3K2R w KQ -,f2f3
1k2q2r/pp4p1/5b1r/2p1pR2/2PpP1Q1/P2P2P1/1P3R1P/2N3K1 w - -,g4f3
3r1r2/pp3k2/4pn1R/2q1p1Q1/8/8/PPP2P2/1K4R1 b - -,c5f2
3r3k/4N1bp/pq1P2p1/1ppQ4/5P2/1N2n2P/PP6/3R2K1 w - -,d5d3
rn3rk1/p3ppb1/6pp/2B5/4b3/2P2N2/P3BPPP/3R1RK1 b - -,b8c6
r1bqr1k1/2n2pbp/3p1np1/1ppP2B1/P6N/2N4P/1P1QBPP1/R3R1K1 w - -,e2b5
8/1p3k2/1p1p2pp/2p4n/1PP2PB1/P1BPn2P/5q2/4R1RK w - -,e1e2
8/b5pk/p5p1/8/1P4Pp/5B1P/P2qQPK1/8 b - -,d2b4
1r6/2B1kbbp/4p1p1/5p2/P1B5/1P4P1/4PP1P/3R2K1 b - -,b8b7
r1bq1rk1/1pp2nbp/3p1pp1/p1nPp3/1PP1P3/P1N2N2/2QBBPPP/R4RK1 b - b3,c5a6
5k2/5p1p/1p4p1/2qp4/P7/6PP/5PK1/1R6 w - -,b1b5
8/3k4/6K1/1P3P2/1pp4p/8/P5PP/8 b - -,c4c3
r3r2k/1p3pb1/6p1/1P4p1/3pN3/q7/4QP1P/2R2RK1 w - -,e2g4
r6r/3b1pkp/1p4p1/q2P1p2/2BP4/1Q6/P4PPP/2R2RK1 b - -,b6b5
1k6/3K1Q2/1p1P4/p1q5/2P5/1P6/8/8 w - -,f7g8
3r4/p1p2pk1/5Npp/1r2P3/3q4/1P1n2QP/P4PP1/3R1RK1 w - -,f6g4
8/5p1k/5K2/4P2P/r5P1/8/1R6/8 b - -,a4g4
r2qk2r/5ppp/p2bp3/1p1p3n/n2P4/1N1QB1P1/PP2PPBP/1R3RK1 b kq -,a8c8
2r5/p3rk2/R4n2/3p2P1/3P1P2/2P1PK2/8/5R2 b - -,f6e4
8/p1k4P/q3p3/1pp1P3/2r3P1/PR6/KP2Q3/8 b - -,a6c8
rnbqr1k1/pp3pbp/3ppnp1/2pP4/2P5/2N1P3/PP1NBPPP/R1BQ1RK1 b - -,e6d5
r3kb1r/ppp1pppp/5n2/3Pn2q/2P3b1/5N1P/PP2BPP1/RNBQK2R w KQkq -,f3e5
6k1/1b3r2/1p6/p2p2b1/3P3P/2P3P1/PP6/3K3R b - -,g5e7
r2qkbnr/pb1p1ppp/1p2p3/2p5/4PP2/1PNP1n2/PBP3PP/R2QKB1R w KQkq -,d1f3
8/2k5/p1p5/2P3p1/PP1K1r1p/4R2P/8/8 w - -,e3e4
r7/pp6/7k/2R4p/2PpP3/3P3b/PPN5/6K1 b - -,a8g8
3r2k1/2nrb2p/4b3/ppppPpp1/5P2/1P2P1PP/PB2BK2/2RRN3 b - -,b5b4
8/4kpb1/p5p1/1p6/7P/1N6/2rN1PP1/1R1K4 b - -,c2a2
5rk1/r2bn1pp/3q1p2/pp1p1n2/1PpP2B1/P1P3P1/3N1PPN/RR1Q2K1 w - -,b1b2
6r1/1p5k/p1pb2q1/P4pr1/1P1PpR1p/4P1PP/2Q3RK/4B3 b - -,h4g3
r3k2r/pp2ppbp/2n3p1/4P3/1n6/5PB1/PP3P1P/RN1BR1K1 b kq -,b4d3
3r4/8/3Pk3/4P2p/8/3b3P/6P1/4R2K w - -,h1h2
r3k2r/1b2q2p/4p3/3pPpp1/8/4b3/PPQ1NPPP/2R2RK1 w kq -,f2e3
3rrbk1/1b3ppp/p2p4/q1n1p3/1pP1P3/1P2N1P1/PB1Q1PBP/R1R3K1 w - -,e3d5
4r2k/p5p1/2n1r3/2P2p2/5P2/P2RpQP1/1q2B2P/3R2K1 b - -,g7g6
5r2/1b5p/4Bp1k/Bp1Pn3/2p4R/3n2P1/1P1N3P/6K1 b - -,h6g7
3r1r1k/p3b1pp/8/3RBp2/q1PNn3/p3P3/Q4PPP/1R4K1 w - -,d4e6
rnbq1rk1/pp2ppb1/2p2np1/7p/3P1B1P/2N2PN1/PPPQ2P1/2KR1B1R b - -,b8d7
2R5/2r2pp1/2p1k2p/2B1b3/1PK5/5P1P/5P2/8 w - -,c8d8:c8e8
8/pb5p/1p4k1/4ppb1/2P1p3/4P1P1/PP5P/2BB2K1 b - -,b7c8
3rr1k1/bp3ppp/p1nq4/3p4/1P2n1b1/P1N1PN2/1B2BPPP/2RQ1RK1 w - -,f3d4
r5r1/3p3p/3k4/p1pp1pp1/R7/1P1N2PP/P2K1PB1/8 w - -,g2f3
8/3b3p/3k2p1/1p1Pp3/4Pp2/1BK2P2/6PP/8 b - -,d6c5
r3r3/kq4pp/p7/8/6P1/1Q2B2P/PPP2P2/3R2K1 b - -,a7b8
r4rk1/p3b1p1/2p1bn2/5p2/1p6/4B2N/PPP1N1PP/1K1R3R w - -,h3f4
r1r2nk1/p5pp/1p2pp2/5P2/4N3/2P5/PP4PP/3R1RK1 b - -,c8d8
6k1/2R3pp/p3N1n1/8/1rP2P2/8/7P/6K1 b - -,a6a5
3rr1k1/2q2pp1/5n1p/2pP1b2/2P1p3/4B1PP/1R2QPB1/3R2K1 b - -,d8b8
3rr1k1/1b4p1/p2p1p2/4q2p/1Pp1P2P/2N1R3/P2RQPP1/6K1 b - -,d8c8
2b2rk1/p1q2pp1/3N3p/4P3/P1pQ4/3n2R1/2r2PPP/R5K1 b - -,c7c5
2b5/r5k1/3p2p1/3P3p/r1P5/R1R1N2P/P5P1/6K1 w - -,a3a4
5rk1/p4p1p/6p1/8/b3P3/6P1/2R1BP1P/R5K1 b - -,a4c2
2r2r2/pp2qpkp/2pb2p1/5p2/PPBPnP2/4PR1P/2Q3P1/1R2B2K w - -,c4d3
8/8/4k3/1p5p/1P2r1p1/2P2RP1/2K5/8 w - -,f3f8
