8/8/5p2/2R3pk/3r4/5PK1/8/8 w - -,c5a5
2r1r1k1/1q3p1p/pp1p1npb/2nPp3/PNP5/1PN1R1PP/1B3P2/2RQ2K1 w - -,e3f3
r1b2rk1/pp2ppbp/2n3p1/3q4/3N4/4B3/PPP1BPPP/R2Q1RK1 w - -,e2f3
8/5nk1/q2p1pp1/3Pp2p/4P2P/5PP1/2Q2BK1/8 w - -,f2e3
2r2rk1/p7/1pbqp1p1/2p1RnPp/3p1PN1/3P2PB/PPPQ3K/R7 w - h6,g4f6
5rk1/ppp2ppp/2nr2q1/8/3P1Q2/3B1NN1/PP3P2/3R2K1 b - -,d6f6
r1b2rk1/pp2ppbp/2p3pn/2p1P3/6P1/2NP1N1P/P1qBQP2/1R2K2R w K -,e1g1
3qrr2/1bp1n1kp/pb1p1pp1/1p1P4/1P2PP2/P2Q3P/BB2N1P1/3R1R1K w - -,h1h2
8/4R2P/8/8/8/2K2k2/3Np3/7r b - -,f3f2
2kr3r/Rp2b1p1/3p2p1/2pP4/6P1/4P3/PPP3B1/2K1R3 b - -,e7g5
7r/1p6/pR1P4/P1k1p2n/2p2pK1/2N2P2/1P6/8 b - -,h5g3
6k1/p6p/4P1pQ/1pqR4/2b2p2/5P2/P5PP/2R4K b - -,c5d5
rnbq1rk1/ppp1pp1p/5bp1/8/3Pp3/2P2N2/PP1N1PPP/R2QKB1R w KQ -,d2e4
8/5p2/2kb2pp/8/4KP2/2B5/5P1P/8 w - -,f4f5
r2q1rk1/pb1pbppp/1pn1pn2/8/2PN1B2/2N3P1/PP2PPBP/R2Q1RK1 b - -,f6h5
7r/p3kp2/1p2p3/4bp2/7P/2P4R/PP2KP1P/2N5 b - -,f5f4
1n6/4k1p1/2p2p1p/N1Ppp3/3Pn3/4P2P/2N2PP1/6K1 w - -,g1f1
3rr1k1/qp3ppn/5n2/2bp1N1p/p4P2/P2PP1PB/5Q1P/B2RR1K1 w - -,a1b2
r3r1k1/2p2pp1/pb1qb2p/1p1n4/3n4/2P3NP/PPB2PP1/R1BQR1K1 w - -,c3d4
q3r3/3b1pkp/1p1p2p1/2pP4/2Pp4/p2P2P1/5PBP/R1Q3K1 w - -,g2e4
2r2rk1/5ppp/1q2p3/pN2Pn2/Pp2Q3/8/1P3PPP/2RR2K1 b - -,h7h6
6k1/2b2p2/7p/6p1/p5P1/P3PP1b/1P2B3/6K1 b - -,f7f5
1r2k3/1q2Pp2/5Q2/3p4/p3R3/8/PPR5/1K6 b - -,d5e4
6k1/R2B1pb1/6p1/2BbP2p/p4P2/6PP/6r1/5K2 b - -,g2g3
3r1rk1/pp2qppp/4bN2/4p3/3n4/1N4P1/PPPQ1PBP/3R1RK1 b - -,e7f6
r1bqkb1r/ppp2ppp/2np1n2/8/4PP2/2N5/PPP2QPP/R1B1KBNR b KQkq -,g7g6
8/8/3kb3/8/7K/6R1/8/6r1 b - -,g1f1
5rk1/p1rb3p/1p3ppb/3p4/1PnP3N/2BN2PB/R1P2P2/4R1K1 b - -,d7h3
6k1/4bppp/p3p1n1/8/5P2/P1N1B3/1PK2P1P/8 b - -,e7d6
8/5kpp/q1b5/2Np1p2/3Pp3/8/PP3PPP/6K1 w - -,c5a6
k7/4np2/4p3/4P2p/p1rB4/P4P2/1P1R1K1P/8 w - -,d4c3
3rr3/2p4k/1p2qp1p/p1n2P2/P1NR4/1P2RQP1/6KP/8 b - -,e6f7
1r2n3/4q1kp/5pp1/Rr2p3/1PNpb3/6P1/1R2QP1P/4NBK1 b - -,e8d6
8/2k2pp1/p6p/1pp5/5Pb1/2P3P1/PKPN1R1P/4r3 w - -,d2f3
r7/1pr5/3ppp2/4k1p1/1PP1PnR1/5P2/3R3P/5B1K w - -,h1g1
8/p2qpk2/1p1r2p1/5p2/P2n4/1P4Pp/5P1P/2R2QKB b - -,d7e6
6k1/4pp2/4b3/p1q5/4B2p/1P4P1/P2r1P1P/Q4RK1 w - -,a1e1
2kr3r/1p1b1ppp/p2bpn2/2q3B1/3N4/1B3Q1P/PPP2PP1/R3R1K1 w - -,f3e3
r1bqk2r/pppn1ppp/4n3/4P1B1/3Q4/2P2N2/P1P3PP/R3KB1R w KQkq -,g5d8
5rk1/2r3pp/3Rp3/1p3p2/5P2/1P4P1/P4K1P/4R3 w - -,e1e6
3r1rk1/1p4pp/pN2b3/2bp1p2/3Bn3/1P2PBP1/P4P1P/2RR2K1 b - -,c5b6
1r2r1k1/5p2/2pp4/6pp/1nBbP3/5P1P/6P1/2Q1R2K b - -,d4f6
r1bq1rk1/pp2bppp/2n2n2/3p4/5B2/1BNP3P/PPP1N1P1/R2QK2R w KQ -,e1g1
2r2r2/5pbk/bp2p1pp/p2q4/1n1P1B2/1P5P/P2QRPP1/3RNBK1 w - -,e2e3
8/8/2b1p3/1pk3p1/8/P3K1P1/4B3/8 w - -,e2d3
5rk1/7p/1p1p1qp1/3R4/1pPnP1QP/6P1/6B1/6K1 w - -,h4h5
r4r1k/pp1q1nbp/2n2pp1/4p3/PPPp4/1Q1P1NP1/1B2RPBP/R5K1 b - a3,f8e8
1rbqk2r/p3npbp/3pp1p1/2p5/3nP3/2PPB1P1/P2Q1PBP/R1NN1RK1 b k -,h7h6
rnb1kbnr/ppp2ppp/8/3qp3/8/6P1/PP1PPP1P/RNBQKBNR w KQkq -,g1f3
5r2/p5kp/1pB3p1/1P6/4q3/6P1/P2r1P1P/5RK1 w - -,c6e4
r5k1/1q2b1pp/4pp2/1p1b4/n7/3PNPN1/2PB2PP/3QR1K1 b - -,d5c6
1rr3k1/2q2pp1/R1nbpnp1/1p1p4/1P1P3B/2PQ1NNP/5PP1/R5K1 b - -,d6b4
r1bqrnk1/pp3pp1/2p2b1p/3p4/1P1P4/2NBP1N1/P1Q2PPP/R4RK1 b - b3,d8d6
rnb1qrk1/ppp2ppp/4pn2/3p2B1/2PP4/P1Q2P2/1P2P1PP/R3KBNR b KQ -,b8d7
1r1q1k1r/5pbp/3Pbp2/pB2p3/1p2P3/3QN3/PP3PPP/R4RK1 b - -,h7h5
r5k1/pbq3bp/3n1p2/1pNPp1p1/1P2P3/2R3P1/1B3P1P/Q4BK1 b - -,b7c8
4r3/pr1bpnb1/2pp2k1/5pNp/2RP1P2/1P2B2P/P2RNKP1/8 w - -,g5f7
r1bq1rk1/p5bp/p2N1np1/2pP4/5B2/2N5/PP4PP/R2Q1R1K w - -,d6c8
3q1rk1/r5bp/p1Bpb3/1p3p1Q/5p2/N1P5/PP3PPP/R4RK1 w - -,f1e1
1r3k2/4R3/1p1N4/p1p1pP1p/P1P4P/1P6/4K1P1/8 w - -,f5f6
b4n2/5k2/p6P/1p1p1K2/8/1P1PB3/P1P5/8 b - -,f8g6
5k2/6p1/5p1p/n3pP2/1bBnP1PP/1P2N1K1/r4B2/3R4 b - -,a2b2
r2q1rk1/ppp1ppbp/6p1/3pPb2/2P3n1/2N3P1/PP2PPBP/R1BQ1RK1 w - -,f2f4
7Q/3r2p1/p3q1kp/3n1p2/Pp1B4/4P1P1/2r2P1P/3R1RK1 w - -,h2h4
5b2/5pkp/4p1p1/1q2P3/2R2P2/5Q1P/5PK1/8 w - -,c4c7
2b1rnk1/5ppp/p1p5/1pN1P3/5P2/1P4P1/P3B3/3R2K1 w - -,e2f3
r1q1k1r1/1b1nbp2/pp1p1n2/4p1pp/P1B1P2P/1NN3B1/1PP1QPP1/R4RK1 w q -,h4g5
5k2/4b3/4Pp2/5P2/2K5/1p6/8/2B5 b - -,f8e8
2krn2r/ppqn1Qb1/6p1/2p2P2/3p2P1/2PBP3/PP1B4/R3KNR1 b Q -,d7e5
5r2/R4kpp/8/5NP1/2n5/P7/1r3PP1/5RK1 b - -,f7g6
r3k2r/1pqnbpp1/p1p1pnp1/3p4/2PP1P2/1QN1P1P1/PP1B3P/2R1KB1R b Kkq -,d5c4
8/8/1b6/3P4/1k2Bp2/1P6/4b1K1/8 b - -,b4b3
1q2r2k/6pp/2p1Qn2/R7/2P4P/3P2P1/2P2pB1/R5K1 w - -,g1f2
rnb1k2r/2qpbppp/pp2pn2/8/2P2B2/1PN2NP1/P1Q1PPBP/R3K2R b KQkq -,d7d6
3rr1k1/1pq1bp1p/4n1p1/p3p1P1/2Pp2RP/1P3P2/PB4K1/1BQR4 b - -,e7c5
1rr3k1/5pp1/R3pn1p/1pp1b3/8/2NP2P1/1P1NPPKP/2R5 w - -,a6a5
r5k1/1bp1rpb1/1p4pp/2q5/p3p2P/P2BP1BN/1PQn1PP1/1R3NK1 w - -,f1d2
6k1/2N2p2/3B4/7r/8/8/2BK2b1/8 b - -,g2c6
r1b1k2r/1p2ppb1/p1np1np1/q6p/3NP2P/2N1BP2/PPPQ2P1/1K1R1B1R b kq -,c6d4
5rk1/p5p1/1pp4p/3p1n2/P1nP1B1P/1RP2PP1/4NK2/8 b - h3,g7g6
2r1k3/R3p2r/3p1R2/5p1p/1bPB1P2/5KP1/7P/8 w - -,f6f5
8/p1k5/4P2K/1ppn2BB/2n5/P1P5/8/8 w - -,h5f3
5k2/1p6/p6N/4K3/6P1/P4P2/1P2b3/8 w - -,f3f4
