8/5Q1k/q4bp1/p6p/4B2P/6P1/5PK1/8 b - -,f6g7
r1b1k2r/pp3ppp/2n1p3/3p4/1q1PnP2/1N3N1P/PP1Q1PP1/R3KB1R w KQkq -,d2b4
r2q1rk1/pb1Nbppp/1p2pn2/8/4P3/1P4P1/PB1N1PBP/R2Q1RK1 b - -,d8d7
8/1p2kp1p/p1bppp1b/4rP2/1P2P1PP/P1NR4/1KP3B1/8 b - -,h6f4
4rr2/2q2pbk/2np2pp/4pb2/1pP5/1Pn1BNP1/3RPPBP/2Q1RN1K w - -,f3h4
3rN3/4Qpk1/4p1p1/4P1Pp/p2r3P/8/5P2/6K1 b - -,d8e8
8/1pk1r3/p1p3p1/1b5p/3P4/1PK2BP1/3R2P1/8 w - -,d2d1
2r1r1k1/5p1p/6p1/4P3/p2PPB2/3K4/pR4PP/8 w - -,b2a2
r2qkbnr/pp3ppp/2n1p3/3pPb2/3B1P2/1P6/P1P3PP/RN1QKBNR w KQkq -,f1b5
r1bq1rk1/p2nbppp/1pp5/3p4/3P4/2N3P1/PP1BPPBP/R2Q1RK1 w - -,e2e4
8/3k4/p4b2/8/1p1P1p2/8/PP4bP/2KR4 w - -,c1d2
2Rbk3/p2n1ppp/1p3n2/8/3P4/4P1P1/PB3P1P/3q1QK1 b - -,d1f1
4k2r/bpq3pp/p1p1bp2/2P1p3/N2rP1n1/1P4P1/P1Q2PBP/R1B2RK1 b k -,h7h5
r3k2r/pbqpbp2/1pn1pn1p/2p3p1/3PPP2/2P1BNP1/PPQN3P/R3KB1R w KQkq g6,f4g5
8/1R2bkpp/1B1p1p2/P4P2/8/4p2P/1r4PK/8 w - -,h2g3
rnbqrb1k/7p/p1p2np1/Pp3p2/1P1Pp3/BQN1P3/3NBPPP/1R1R2K1 w - -,d2f1
r4rk1/pq1n1pbp/1p3np1/5P2/3Np2N/2P3PP/P3P3/R1B1QRK1 b - -,f6d5
1rb1rbk1/2q2ppp/p2p4/1p2p2B/Pn2PP2/1PN5/1BPQ2PP/R4R1K b - -,e5f4
2qrk3/R2bp2p/3p1p1P/1B1P2p1/2P3P1/4QPK1/2P5/8 w - -,e3e6
3r1rk1/2q3p1/p3p2p/1p2p3/PQn5/2N5/2P1R1PP/4R2K b - -,b5a4
4r1k1/5p1p/6p1/1P1R1Pb1/4n3/8/6BP/6K1 b - -,e4c3
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/3BP3/PPP2PPP/RN1QK1NR b KQkq -,b8d7:c7c5:f8d6:f8e7
2b1kb1r/4pp1p/p4np1/3p4/1PNP1B2/4P3/P4PPP/R3KB1R b KQk -,d5c4
4rr1k/1p4pp/1pb5/5pq1/8/5P2/PP1R2PP/1B1Q1RK1 b - -,e8d8
5rk1/pppb1r2/3p2q1/1P1P3p/1R4pN/3PQ1P1/P5BP/6K1 b - -,g6f6
8/5pk1/6p1/r5Pp/4PP1P/5NK1/8/3N4 b - -,a5c5
r1b1k2r/1p1pbppp/pqn5/2pQ4/2B2B2/4PN2/PPP2PPP/1R2K2R b Kkq -,e8g8
3q1b2/pb4kp/np2Br2/P1pP2N1/1nP5/6BP/1P1Q2P1/5RK1 w - -,g3e5
2rr2k1/1p3pp1/p2qb2p/n2p4/3Nn3/P2BPN1P/1P3PP1/2RQR1K1 w - -,f3d2
8/4k1p1/1b2Bpp1/8/2KPP1P1/8/8/8 w - -,c4d5
3r2k1/1q3pp1/r1p1pnp1/p7/3PP3/P2R1PP1/1BQ4P/3R2K1 b - -,a6b6
8/4k3/4p3/R7/2N3K1/8/5r2/8 w - -,c4e5
6k1/p5p1/1p6/n1B2p2/2p2P2/2P2R1P/r3B2K/8 b - -,a2e2
r1bq1rk1/1p1n1ppp/p3pn2/b1p5/2BP4/P1N1PN2/1P2QPPP/R1BR2K1 b - -,b7b5
1r6/5kpp/1r2bn2/3p2q1/3Pp3/1BP1N3/PQ3PPP/R3K2R b KQ -,f6h5
r2qk2r/ppp1npbp/2npb1p1/3Np3/2P5/3PP1P1/PP2NPBP/R1BQK2R b KQkq -,e8g8:d8d7
r2q1rk1/1b3pbp/1pn3p1/p2np3/2NpP3/PP1P1NP1/1BR2PBP/Q3R1K1 b - e3,d5e7
8/PR3pkp/6p1/1p6/8/r5PP/5P2/5K2 b - -,a3a2
8/1B2k3/2P5/4p3/2K1P3/5Prp/P2R4/8 b - -,g3g2
5k2/3p1p1p/2rnr1p1/2pR4/p1P2P2/P2B2P1/1PK4P/3R4 b - -,f8e7
r7/3b1k2/3p1np1/p1pPp1q1/1pP1Pb2/4NQNB/PP3P2/4K2R b - -,d7h3
5r2/4N2k/8/3p1p2/4n2K/4RB2/1r5P/8 w - -,e3e2
8/2p5/4kp1p/R2n4/5P1N/P1r3P1/7P/5K2 w - -,a5a6
4r3/pp4bk/4q1pp/2p5/2Ppr1p1/1P4B1/P2QPR1P/4R2K w - -,h1g1
2r2rk1/pbq1npp1/1pp1pn1p/8/1PNPPP2/P2BQ3/4N1PP/3R1RK1 w - -,d1c1
r5k1/2q2ppp/p3pb2/1p6/2b5/P1P1BP2/1PN2QPP/3rR1K1 w - -,e1d1
r2q1rk1/1p1bbppp/p1nppn2/2p5/2P1P3/2NPBN1P/PP1QBPP1/R4RK1 b - -,a8b8
2r2rk1/1b2q1pp/p3p3/1p1pPp2/3N1P2/P2P2Q1/1Pn1N1PP/R4RK1 w - -,a1d1
1k5r/1pp1q1pp/p2p4/3P4/P3p3/4PR2/1PP2QPP/6K1 w - -,f3f5
7k/pp2nr2/3b4/6P1/4B3/1P4N1/7P/7K w - -,h1g2
8/3rp3/p1Rrkp2/4p1pp/2R1P2P/1P3P2/P1K3P1/8 w - -,h4g5
8/5p2/6kp/p5p1/1br5/3rB1P1/P3RP1P/1R3K2 w - -,e2b2
8/8/8/PP3k2/8/6Rp/8/2r2K2 w - -,f1e2
r3brk1/4q1n1/3pn1Q1/pN2pR1p/P1P1P1pP/1N4P1/2B4K/3R4 w - -,g6h6
r1bq1rk1/pp3ppp/2nbpn2/2pp4/8/1P1P1NP1/PBPNPPBP/R2QK2R w KQ -,e1g1
8/4kbQ1/1pn2p2/p1p1pPP1/P3P3/2P5/1P4BK/2q5 w - -,g7f6
r3brk1/1p1q4/2p1p3/p2p1p1p/3P1PpP/2P1P1P1/PP2B3/R3QRK1 b - -,d7d6
1rbr2k1/p1p1qppp/4p3/np6/1n1PP3/1RN2NP1/P3QPBP/3R2K1 w - -,b3b1
r2q1rk1/pp1np1bp/4b1p1/3p1p2/3P1P2/1P3NP1/PB1QP1BP/R4RK1 b - -,d7f6
r1b2rk1/pp3pbp/2pN1np1/6B1/3pP3/6P1/PPP2PBP/R4RK1 b - -,h7h6
1rbqnrk1/2n1ppbp/3p2p1/2pPP3/2B2B2/5NNP/1P1Q1PP1/R4RK1 b - -,b8b4
r2qkb1r/pp1npppp/2p2n2/3pN2b/3P4/6PP/PPP1PPB1/RNBQ1RK1 b kq d3,e7e6
r3r3/1b2qppk/1p1pp2p/p1nP4/3NP3/4R1P1/PP1Q1PBP/3R2K1 b - -,e6e5
8/3b1p2/3p2p1/1pnPp1k1/1Np1P1P1/2P2P2/1PB1q3/1KQ5 b - -,g5f6
r2q1r1k/1pp1n1b1/3pbnpp/p2Ppp2/2P1P3/P1N5/1PQBBPPP/2RR2K1 w - -,d5e6
8/p1r2k1p/1p2Rn2/3P1p2/1P5p/P5P1/3K1PB1/8 w - -,g3h4
1r3rk1/2qp1ppp/2p1pn2/8/4PB2/1P1B4/P1P2PP1/R2Q1R1K b - -,c7f4
r4rk1/p2n1ppp/2n1p3/q1P5/PpQ5/4PP2/1P1BBP1P/R4RK1 w - -,f1d1
2r4k/p6p/1p4p1/4p3/1bP1P1q1/1PNR1NP1/P4BK1/8 b - -,b4c3
r2qr1k1/2p2pp1/pb2bnnp/1p1pp3/4P1N1/2PP1QNP/PPB2PP1/R1B1R1K1 b - -,f6g4
2r2rk1/p3b1pp/1p3p2/3q4/P1pP4/3nB3/1PRNQPPP/R5K1 b - -,f6f5
8/8/8/5k2/1R2p3/8/5K2/r7 w - -,b4b8
8/4k3/6p1/4P2p/1pn2P1P/1N1K2P1/8/8 b - -,c4b2
rn1q1r2/pp2ppkp/3p1np1/3p4/4P3/2N2B1P/PPPQ1PP1/R3K2R w KQ -,c3d5
r1b2rk1/1p3pb1/6pp/1P1N4/n1QpN3/q7/5PPP/2R1KB1R w K -,f1e2
1k1r2r1/pb1qb3/1p2p1pp/3pP2P/3P1N2/P2BPQ2/1P6/2KR3R b - -,g6g5
r1b2k1r/ppp1q1p1/3p3n/8/4PP1p/B1PQ4/P5PP/RN3RK1 b - -,f8g8
6k1/4p2p/b2p1np1/N2P4/P3P3/bP6/6PP/3R3K b - -,f6e4
rn1q1rk1/1bp2ppp/p2bp3/1p1n4/3P1B2/5NP1/PP1NPPBP/R1Q2RK1 w - -,d2b3
8/2r1p3/1p6/P1n1p3/1KP1P1p1/R7/5k2/5B2 w - -,a5b6
r2q1rk1/p2n1bpp/3bp3/3p1pN1/3P4/2Q3P1/P3PPBP/1RB2RK1 w - -,c3c6
7k/1p1Q4/6rp/p2Pp1b1/1P2P3/P4P2/3qNK2/7R w - -,d7e8
rnbqk2r/pp2bppp/4pn2/3p2B1/2PP4/5N2/PP2BPPP/RN1QK2R b KQkq -,e8g8
r1b1k2r/pp4pp/2n1p3/2qn4/P3P3/2P4N/3Q2PP/R1B1KB1R b KQkq -,d5f6
8/p4pk1/1pp2np1/4q1n1/2P1P1Pp/1P1r3P/P2N2B1/4QR1K w - -,d2f3
