8/p1P4p/7k/Pp6/2npB3/3K4/8/8 b - -,c4d6
1rbr2k1/5p1p/2p1pp2/p1qp4/1b2P3/1P1BQPN1/P1P3PP/1K1RR3 w - -,f3f4
3rqrk1/pb2bppp/1pn1pn2/1N6/2B2BN1/8/PP2QPPP/3R1RK1 b - -,d8d1
2rb2k1/6pp/2q1p3/2PpBp2/r7/2RQP2P/5PP1/1R4K1 w - -,d3d1
2k3rr/pp1q1pn1/1n1p1p2/2pP3p/2P2B2/2PQ4/P3BP1P/R4R1K w - -,a2a4
rn1q1rk1/3npbbp/1pp2pp1/2PP4/1P1P1B2/2NB3P/5PP1/2RQK1NR b K -,c6d5
8/2k5/K7/P7/8/4b2R/8/8 b - -,e3f2
2r1r2k/2bnNqpp/p4p2/1pPp4/1P2Q3/P5P1/5P1P/2BRR1K1 w - -,e4d5
7r/p2bnk2/1pNp4/1P1Pp1p1/P3Pp2/5P1r/R4R1P/4N2K b - -,e7c8
4r1k1/1p5p/3p2pb/3Prp2/Pp1q4/3B1QP1/1PP1R3/4R2K w - -,b2b3
r1bqk2r/ppp2ppp/2n1pn2/3P2B1/Q1P1p3/2b5/PP3PPP/2KR1BNR b kq -,e8g8
rnb1kbnr/1pq2ppp/p2pp3/2p5/2P1P3/2N2N2/PP1PBPPP/R1BQK2R w KQkq -,d2d4
8/p4rp1/R7/1p6/1P4K1/P1k5/8/8 w - -,a6c6
r1b2rk1/2q1bppp/pp1p1n2/2nPp3/2P5/P1N1B2P/1PBN1PP1/2RQ1RK1 b - -,c8b7
r1bq1rk1/pp2ppbp/2p1n1pB/2p5/4P3/2NP1N1P/PPPQ1PP1/R3K2R w KQ -,h3h4
2r2rk1/1pnb2np/1qp3p1/p2pP3/2P5/PPN2NP1/1Q3PB1/3R1R1K b - -,d7g4
8/1k2Np2/1n3r1p/8/1R6/7P/5P2/5K2 b - -,b7a6
2R2bk1/6np/4p1p1/1p1pP3/1R3P2/6KP/3r4/5B2 b - -,g8f7
8/7p/2P1kPp1/1P1n4/3P4/5K1P/6P1/8 b - -,e6f6
r1bq1rk1/3n2pp/2p1p3/ppPp1p2/1P1Pn3/5NP1/PQN1PPBP/R4RK1 b - -,a5b4
r1bqk2r/1p1nbp2/p3p3/4n3/6pp/1NNBB3/PPP1Q1PP/3R1RK1 w kq -,e3d4
2r3k1/5p2/5Pp1/1r1pP1P1/3R4/2P5/1P1R4/6K1 b - -,c8c5
7r/pp1k1p2/3N4/1PPpP1b1/8/6P1/P5P1/4R1K1 b - -,g5d2
4r3/2k3p1/ppp1Bb2/8/3PR3/P1PK2P1/1P6/8 w - -,b2b3
8/2Rn1b1k/5b1p/1p1r1p2/1P1NqP2/4PN1P/1B2Q2K/8 w - -,h2g3
r1bq1rk1/pp2ppb1/6pp/3P4/2n2B2/5NP1/PP3PBP/R1Q2RK1 b - -,b7b5
8/4bpkp/6p1/8/2B5/5KP1/5P1P/8 w - -,f3g2
r4qk1/p4rbp/1p1p2p1/2PP4/2PpB3/P5P1/5P1P/1R1QR1K1 b - -,b6c5
r2qk2r/1p2ppbp/p1np1np1/8/4P1b1/1BNQ1N1P/PPP2PP1/R1B2RK1 b kq -,g4f3
rn2k2r/1b3ppp/1q1bpn2/1pP5/8/2N1BNP1/1PP2PBP/R2Q1RK1 b kq -,d6c5
r2q1rk1/5pbp/p4np1/1ppPp1B1/2PnP2P/2N5/PP1QBP2/R3K2R w KQ b6,c4b5
5rk1/p4p1p/1p2b1p1/8/3R1P2/P6P/1Pr2PBK/3R4 w - -,d1d2
5rk1/2q2ppp/pp1b4/2pP2B1/2P3r1/6P1/PP3QKP/2R1R3 w - -,f2f5
2rq1rk1/p2nbpp1/Ppp1p1bp/3PPn2/3P4/1N3N2/1P1BBPPP/R2Q1RK1 b - -,c6d5
6k1/R4p2/3b3p/8/1P3P2/P2N1R2/3r2rP/5K2 w - -,d3f2
r3k2r/1b1n2p1/p3qb2/3pn3/1p1P4/6N1/PP4BP/R1BQR2K w q -,d4e5
6r1/1p3kP1/p7/3bK3/1P2N3/P5R1/8/8 b - -,d5e4
5r1k/6p1/5qPp/p7/1p6/1P4QP/P1P3RK/8 b - -,f6f5
4rr2/1p5k/pq5b/3BQb2/3N2pp/1NP1n3/PP4PP/R5RK w - -,d4e6
2rq1rk1/pp2ppbp/2npbnp1/8/4P3/1NN3PP/PPP2PB1/R1BQ1RK1 w - -,c3d5
4nr2/3k1p2/4p3/1p1p2P1/2n5/2BB2K1/1PP3P1/5R2 b - -,e8d6
r4rk1/3p2pp/1p2p3/p1n2P2/2P5/PP1B1KP1/5P1P/3RR3 b - -,c5b3
8/8/5kn1/4p3/1p1qP3/1P3ppP/1Q4P1/3NK3 w - -,g2f3
8/5N1k/1p3Qpp/p3P3/2q5/6P1/1P1K1P1P/8 b - -,c4d4
3r1rk1/1p1n1pp1/pp1pq1np/4p3/P1PPP3/1P1QBN2/5PPP/3RR1K1 w - -,d1d2
5rk1/qp1r1ppp/2n2n2/1R6/3p4/P2Q1NP1/4PPBP/1R4K1 w - -,f3e5
8/6p1/R1p1k1P1/2PpP1b1/3P3p/7P/Pr3pK1/8 b - -,g5e3
4rrk1/2pbqppp/p1p5/1pb5/3NPn2/1PP2N1P/PB3PP1/R2QR1K1 w - -,d1d2
8/8/1R4p1/4bk2/8/5KP1/8/8 w - -,b6b5
r2qkbnr/1b3ppp/p2pp3/np6/P2PP3/5N2/1PB2PPP/RNBQ1RK1 b kq a3,b5b4
r4rk1/pb2q1bp/1pnp1np1/2pNpp2/2PP4/1P2PNP1/PB2QPBP/R2R2K1 b - -,f6d5
8/8/7B/2b4p/1p2k3/1P2p2P/4K3/8 b - -,c5d4
8/4R3/2PP3k/4Kb2/PP4r1/2r4p/6p1/6R1 w - -,e5f5
r3k1r1/pbp1b3/1pp2P2/6pp/5N1n/5N1P/PPP2PP1/R2R2K1 w - -,f3h4
r2q1rk1/pp4pp/2p1pb2/P4p2/2NP1P2/2nQP1P1/7P/R1B2RK1 b - -,c3e4
2n3k1/5p1p/pq2p1p1/1p1pN3/3P4/1PQ1PP2/P5PP/6K1 b - -,c8d6
r2qk2r/1p1bbp1p/p1n1pp2/8/2QpN2B/5N2/PP3PPP/2KR1B1R b kq -,e6e5
6k1/1p2bppp/N1b1p3/8/P7/1B2P3/1r3PPP/2R3K1 w - -,b3d1
5r2/1p2p1k1/p1b1p1pp/1nP1P3/8/4B1P1/PPB1K2P/R7 b - -,c6f3
r1b2k1r/pp2bppp/8/1Bpp4/1n2P3/P4N2/1PP2PPP/R1BK3R b - -,d5e4
r3r1k1/2q3bp/p1nRbnp1/4Q3/4P3/2P1BPN1/2P3P1/2KR4 w - -,e5c5
r3r1k1/4bpp1/1q2pnp1/3p2B1/1P1P4/6NP/1P1Q1PP1/R3R1K1 w - -,a1a8
8/8/4k2p/6p1/1rN2b2/1P1R3P/5PK1/8 w - -,c4e3
8/7p/5kp1/8/3pK3/1PbBp1PP/2P1R3/r7 w - -,e4f3
8/2Q2pk1/4p1p1/3bP3/5PP1/2n3K1/8/8 b - -,c3e4
3r3r/1k3pp1/2b5/1Np5/4n3/P2R4/1P5P/2R2BK1 w - -,d3d8
5rk1/2p2pbp/2Q1q1p1/2P2b2/3pN3/5PP1/P3P1BP/5RK1 w - -,c6c7
3q1r2/p4rbk/1p1pb1np/nPpNpp2/2P5/P1BPPNP1/2Q3BP/4RRK1 w - -,a3a4
3r4/2pn1pk1/2p1b1p1/p7/2PqP3/1Q3P2/PN3RPP/5BK1 w - -,b3d3
r1bqk2r/pp3ppp/2nb1n2/4p3/2Pp4/P2P1N2/1PN2PPP/R1BQKB1R w KQkq -,b2b4
r1bq1rk1/pp1nppbp/1n4p1/3P4/8/1BN2N2/PP3PPP/R1BQK2R w KQ -,c1e3
4r1k1/3r1pb1/6P1/1R1p1N2/1B1PnK2/1P6/6R1/8 b - -,f7g6
rn2k2r/p1q1bppp/bpp1p3/4P3/2P1N3/P4NP1/1PQ2PBP/2R2RK1 b kq -,b8d7
r1bq1rk1/p4ppp/2p2n2/2bp2B1/8/2NB4/PPP2PPP/R2Q1RK1 w - -,d1f3
8/1p2r3/p4pkp/P5q1/6P1/2B1PQ2/1P3P2/4K3 w - -,f3g3
rnbqkb1r/4pp1p/3p1np1/p1pP4/1pP1P3/P4N2/1PQ2PPP/RNB1KB1R w KQkq a6,a3b4
r5rk/p2q1ppp/1np1pb2/8/3PNBQ1/8/PP3PPP/R2R2K1 b - -,d7d5
2kr1b1r/1pp1n1pp/p1b2p2/2p5/4P3/4NP2/PPPBN1PP/R3K2R w KQ -,d2c3
8/8/2pK1p2/R4k2/2rP2p1/8/8/8 b - -,f5g6
r2q1rk1/1b1nppbp/p1p3p1/1p1n4/3P4/BP1BPN2/P3QPPP/RNR3K1 w - -,b1d2
r1bqr1k1/ppp2pbp/3p1np1/3P4/4n3/1NN3P1/PP2PPBP/R1BQ1RK1 w - -,c3e4
r3k2r/4npq1/pp1p3p/2pP2p1/P1Q5/5N2/1PP2PPP/R4RK1 w kq -,f1e1
2r4k/5p2/4n1pp/2qpP3/1p6/pB1Q4/PP4PP/1K2R3 b - -,e6d4
