8/8/4B2b/4p3/2p1P3/1k6/3K4/8 w - -,d2e2
8/3k4/5bpp/1PB1p3/2K1P3/8/6PP/8 w - -,c4d5
r2b1rk1/1p1b1qp1/p1nppp2/8/4PP2/1PN3Q1/PP1B2BP/2R2RK1 w - -,f4f5
5rk1/4bpp1/1pb1p2p/1q1pP3/p2P1P2/3NQ3/PPRN2PP/6K1 b - -,f8c8
6k1/5p2/7B/1p6/b3P3/P6P/2r2PP1/1K6 b - -,c2f2
r1b2rk1/1pqpbppp/p3pn2/8/3nP1P1/2N4P/PPP2PB1/R1BQ1RK1 w - -,d1d4
4Q3/4b1k1/2N1p2p/3p1p1B/8/7P/3q4/5K2 b - -,d2c1
r2q1rk1/1p1nnp1p/2p1p1p1/p2p4/4P3/1P1P1bP1/PRPN1PBP/4QRK1 w - -,d2f3
1r4k1/1b1q1p1p/p3pBpb/1pPpP1NP/3P2P1/3Q4/P4P2/5RK1 w - -,g1g2
3r3k/2Rn2qp/pp6/1r6/5PN1/3Q2PP/P6K/4R3 w - -,g4e5
4rb1k/p2b1q1p/2p2N2/1p3P2/3pBp1Q/PP1P3P/2P2P2/6RK w - -,f6e8
r2q1rk1/1p1n1pbp/2ppp1b1/p5p1/2PP4/1PB1P1P1/P2NQP1P/R1R2BK1 w - -,f1g2
7r/8/1k4K1/p7/6Bb/7P/P7/5R2 b - -,h8g8
r1bq1rk1/3n1ppp/pp3n2/2pp4/PbB5/2N1PN2/1P2QPPP/R1B2RK1 w - -,c3d5
8/6p1/4bpk1/8/R2B3r/2P5/p4PK1/8 b - -,e6c4
1r2qnk1/1r1bppbp/pp1p2p1/2pP4/P1P1PP2/1PN3PP/RB5K/2QR1B2 w - -,c1a1
R2r4/8/5kp1/8/5K2/5P2/8/3b4 w - -,a8d8
2r5/1b3pk1/p1n1p1p1/1pp5/3PP3/2PBKP2/P3N1P1/1R6 b - -,c8c7
2r2rk1/p2R1pp1/qp2p2p/8/P7/1PQ4P/5PP1/2R3K1 w - -,d7c7
r1b1kb1r/1pqn1ppp/p2ppn2/8/2PN4/2NQ2P1/PP2PPBP/R1B1K2R w KQkq -,b2b3
8/4b3/8/3bkP2/3N3P/p3p3/2K1N3/8 w - -,h4h5
rn1q1rk1/p4ppp/bp3n2/2ppN3/3P4/P1Q3P1/1P2PP1P/R1B1KB1R w KQ c6,f1g2
2R5/pp6/4kNp1/4p3/4N3/4K3/Pr6/8 w - -,c8e8
r1bq1rk1/ppp3bp/2n3p1/3Bpp2/2P5/1P4P1/PBQ1PP1P/RN3RK1 b - -,g8h8
2r3k1/1r4pp/Q2P3q/3b1p2/3Bp3/Pn2P1P1/1P4BP/3RR1K1 b - -,h6e6
r2qkb1r/5ppp/p3pn2/8/2PNb3/1Q6/P3BPPP/R1BR2K1 b kq -,d8c7
1rr3k1/3nnp1p/pq2p1p1/1p6/2pPQ3/P3PN2/1P3PPP/1B1R1RK1 w - -,e4h4
2k1r3/pp4b1/2p5/1B1p1p1p/3P1PpP/PN4P1/KPP3R1/4r1R1 b - -,c6b5
2r2nk1/rq1b1pp1/p2Bpn1p/2p5/4P3/P1N3RP/1P2QPP1/1B2R1K1 b - -,f6e8
r1r3k1/1b1nbppp/pq2p3/1pP5/4N3/1Q1NPB2/PP3PPP/3R1RK1 b - -,d7c5
r1bqkb1r/p2npp1p/3n2pP/2pP4/Np6/5N2/PP2BPP1/R1BQK2R w KQkq -,c1e3
4r3/ppp2p1k/6pq/2p1p1RP/P3Pr1Q/1P1P4/2P2PK1/6R1 w - -,h4g3
r5k1/1pp3pp/1p1pr3/8/PP2Pp2/2P2P1P/6P1/R3R1K1 b - -,g8f7
2rq1r2/1p3pk1/p2p2p1/2nPp2p/4n2Q/3B2NP/PPP3P1/R4R1K w - -,g3h5
r1b1kbnr/2qp2pp/ppn1p3/2p1P3/4NB2/5N2/PPP2PPP/R2QKB1R w KQkq -,e4d6
r3k2r/1q2bpp1/p3pnp1/1pn5/8/2N1PPP1/PPQBBK1P/2R4R w kq -,b2b4
5k2/R7/5pK1/p4P2/4r3/8/8/8 b - -,a5a4
1rbk1b1r/1p1n2pp/p3pp2/8/1PN1P3/P4N2/5PPP/R1B2RK1 w - -,c1e3
r3k3/pp1nbpp1/1qp1b2r/3pp3/8/3PP1NP/PPP2PB1/RNQ1K2R w KQq -,b1d2
1rq2bk1/3R2p1/3r1p1p/4p3/2p3Q1/2N4P/P4PP1/2R3K1 w - -,d7d6
r3kb1r/pp1b1ppp/4pn2/3p4/4PP2/1NNPB3/PP4PP/R3K2R w KQkq -,e4d5
r2q1rk1/pb1pbppp/1pn1pn2/2p5/2PP4/1PN1PN2/PB2BPPP/R2Q1RK1 b - d3,c5d4
8/5p2/1p3kp1/p2n4/P2r3p/R2N3P/1P2KPP1/8 b - -,f6f5
r4rk1/pp3pp1/2n5/2bqp1p1/4N1n1/2PB4/PPQ2PP1/R1B2RK1 b - -,c5e7
3r4/ppp3kp/2n1p1p1/1q6/NPnr1P2/P5PP/4Q1BK/2R1R3 w - -,a4c5
8/8/3pk1pp/1bp5/4PnPP/1PR2N1K/r2N4/8 w - -,h3h2
3r1b1k/pp2q2p/2p1p1p1/4P1P1/3N1P1P/2P3Q1/PP1p4/3R2K1 b - -,e7f7
2rr2k1/4bppp/1q2p3/3pB3/1p1P4/4Q1PP/1Pb1PPB1/R1R3K1 w - -,g3g4
rnbqkb1r/p4ppp/4pn2/1pp1N3/3P4/3BPN2/PP3PPP/R1BQK2R b KQkq -,c5c4
2kr2r1/1pp2p2/p1q5/4B1p1/1P1p3p/4RPPb/P1PQ1K1P/R7 w - -,e5d4
r1br4/pp1k2pp/2nn1p2/8/2B1PPPP/BP6/P1P5/R3K1R1 w Q -,e1c1
r2q1rk1/pp4bp/6p1/2p5/2PnNB2/7P/PP4P1/R2Q1RK1 b - -,d8h4
1r1rn3/1p4kp/pN4p1/P1RP1p2/4b3/4P1PP/4BP2/2R3K1 w - -,f2f3
r1bq1rk1/ppp2pb1/2np1npp/4p3/2PPP2B/2NB4/PP2NPPP/R2QK2R w KQ e6,d4d5
r3r1k1/2qn1pp1/2p1bn1p/pp2p3/4P3/1PP2NNP/P1B1QPP1/R3R1K1 w - -,g3f5
3r1rk1/ppq1bppp/4p1b1/8/3P4/5N1P/PP3PP1/R1BQR1K1 b - -,e7f6
r1b2rk1/pp1ppp1p/2n3p1/q2N4/2P5/1P4P1/PbR2PBP/3Q1RK1 w - -,c2b2
q6k/p2nb2p/Qp2p3/2ppPp2/2PP2r1/PP2PN2/7P/2B2R1K w - -,c1b2
2r2rk1/1pqbbppp/p3p3/4P3/P1n1BPP1/1N6/1PP4P/R1BQ1R1K b - -,f7f6
5rk1/4r2p/1p1pn1q1/3Bp3/pPP5/2Q2RP1/P6P/4R2K w - -,e1f1
r2q1rk1/1b1n1pbp/pp1ppnp1/8/2PNP3/2NBBP2/PP1Q2PP/2R2RK1 w - -,f1d1
r2q1rk1/pp2b1pp/n1p1bp2/4p3/4p1P1/2NP3P/PPP2PB1/R1BQ1RK1 w - -,d3e4
rnb1k2r/pp2ppbp/1qpp2pn/7P/2PP4/2N2N2/PP2PPP1/R1BQKB1R w KQkq -,e2e3
6r1/2p3k1/1p1n2r1/p1pP1p1p/P1P1pP2/1P2N1PP/5K2/3RR3 b - -,g7f6
8/1p3p1p/4pB1k/2q1P3/8/4N2P/5KR1/5B2 w - -,f1e2
4n3/6p1/1nNk1p1p/2pP4/2P4P/3K1PPB/8/8 w - -,c6d8
r2q1r2/1p1np1k1/p1npbpp1/3N4/2P2PP1/1PQ1N3/P3P1B1/3R1RK1 b - -,e6d5
rn1qkb1r/1p2nppp/p3p1b1/3pP3/2PN4/NP6/P3BPPP/R1BQ1RK1 b kq -,b8c6
3k4/5p2/1p1p1np1/1BpPn2p/2P1PP1P/2N3K1/P7/8 b - -,e5d7
r2qk2r/1p1nbpp1/p2pbn2/4p2p/4PP2/1NN1B2P/PPP1B1P1/R2Q1RK1 b kq f3,a8c8
r2rn1k1/1p2q1b1/p1p2p2/4pQp1/2P1N3/4P1B1/PP3PP1/2RR2K1 w - -,c4c5
1q3rk1/3r1bpp/2np1p2/1p5P/2pBPPP1/1P4Q1/P7/2R2RKB w - -,d4f2
r2q1rk1/1b1nbp1p/pp1p2p1/2pP3n/2P1PB2/3B3P/PPRN2PN/3Q1RK1 w - -,f4h6
4k2r/1p2pp2/p2p3p/5r2/8/8/PPPR1PPP/1K5R b k -,h8g8
r2q1r2/3bp1kp/3p1pp1/2pP4/p3P3/7P/1PPQ1PP1/1R2RNK1 w - -,f1e3
r1q2rk1/pp2ppbp/2N2np1/2Pp4/8/2N1B1Pb/PP2PPBP/R2Q1RK1 b - -,b7c6
5b2/q5kp/2pB1np1/2P2p2/1pB5/1P6/6PP/3Q2K1 w - -,h2h3
rn1k1b1r/ppp3pp/4pn2/4p3/4P3/2N2N2/PPP2PPP/R1B1K2R b KQ -,f8d6
8/PR6/4k3/K7/8/8/8/6q1 b - -,g1a1
8/8/3pk1pp/2p5/4PnPP/1P2RN2/1r1Nb3/7K w - -,g4g5
r2r2k1/5p1n/3qpPb1/6P1/3p1N2/P5Q1/1B3R2/R5K1 w - -,g3h4
r1b2rk1/4qpbp/p2p1p2/1p2p3/2P1P3/N7/PP3PPP/R2QKB1R w KQ -,f1d3
r1bqkbnr/pppp2pp/4p1n1/8/4PP2/5N2/PPP3PP/RNBQKB1R b KQkq -,b7b6
4k3/1R2n1p1/2p1ppp1/r1P5/2NP2P1/P6P/5PK1/8 b - -,a5a8
brq2rk1/p1nn1ppp/2p1p3/P2p4/N2P1P2/2QN4/1P2PPBP/R1R3K1 w - -,e2e3
r1bqk2r/pp2npbp/2n1p1p1/8/2Pp4/3P1NP1/PP3PBP/RNBQR1K1 w kq -,c1f4
