8/P1K5/8/1kp1N2p/6p1/6P1/6bP/8 w - -,e5f7
2b2rk1/4qpp1/p2bp3/2p5/1r2N2p/1P1Q4/P1P1BPPP/3R1RK1 b - -,b4d4
r4rk1/p1q1bp1p/1nbp1np1/4p3/p3P3/2NBBN2/1PP2PPP/R2QR1K1 w - -,h2h3
1rn2rk1/3b1pb1/3p2p1/3BP1Bp/3P3P/p5P1/1p3P1K/3Q1R2 w - -,d5a2
6k1/pp6/1b5R/3PPNp1/3P2P1/1p3K2/2r5/8 b - -,b6d8
rn2k2r/pbppqppp/1p2pn2/8/1bPP4/2NBPN2/PP1B1PPP/R2QK2R b KQkq -,e8g8:d7d6
r3qrk1/2pbnppp/R2p1b2/1p2p3/4P3/1BPPBN2/1P3PPP/3Q1RK1 w - -,a6a8
1q6/5pkn/2Q1p1p1/3PP2p/R6P/1B1r4/P4PK1/8 w - -,d5d6
r2r2k1/1p3p2/7p/p2q2p1/3P1P2/4B2P/PP1Q2P1/5RK1 b - f3,g5f4
5rk1/2pb3r/1p1n1qp1/p1pPp2p/P1P1PpP1/1PNR1P1P/3Q2B1/5RK1 w - -,d2d1
r1r3k1/5ppp/5n2/1pb1p3/8/1qPQ1PN1/1B4PP/1R2R2K b - -,b3c4
rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQKB1R w KQkq -,c1f4
5nk1/1r3p2/4p1p1/2p1P2p/2P2R1P/4r1P1/3B1PK1/8 w - -,d2e3
8/p3k1bp/1p4p1/3B1p2/8/1KP4P/PP3PP1/8 b - -,e7d6
q7/6k1/1p1r1pp1/p1p1p2p/P1Q1P1P1/1PP1nN1P/5PK1/8 w - -,f2e3
r1bqrbk1/pp1n1pp1/2p2n1p/4p3/P1B1P3/2N1BN1P/1PP2PP1/R2QR1K1 w - -,d1e2
5r2/5pbp/kPp3p1/3rP3/P1N5/4P3/4K2P/1R3R2 b - -,g7e5
Q7/5pk1/4q1p1/p7/3bN2p/6P1/5PK1/8 w - -,g3h4
4rk2/1pr1p3/p2p3Q/2qP3p/8/1BP4P/PP3PPK/8 b - -,f8g8
r5k1/ppp2pp1/1bn4B/3b3N/B3q3/2P4P/PP3PP1/R2Q2K1 w - -,d1g4
r3r1k1/p4p1p/1p3Qp1/4p3/2P1q3/1P6/P4P2/R2R1K2 b - -,e8e6
7r/k4p2/p1N3n1/1q2p2p/4Q3/5PP1/PP6/1KR5 b - -,a7b6
r2qr1k1/3b1pp1/2p1pb2/1p4p1/p2P1PPP/P2Q4/BPP5/1K1R3R w - -,h4g5
3rr3/1pq3bk/p1b3pp/P1pnpp2/2N5/2PP2P1/1PBB1P1P/R3RQK1 b - -,d5f6
r1q2rk1/pppbn1bp/3p1np1/1P2pp2/2P5/2NP1NP1/P2BPPBP/1R1Q1RK1 w - -,d1c1
rn6/pQ6/1p6/2p2k2/2nPp3/P1P2P2/5K2/8 b - -,e4e3
2q5/2pr1p1k/4nQp1/1P1RP3/2Pp2P1/6P1/3B2P1/6K1 b - -,h7g8
8/6np/5ppk/p1p5/P3Pp2/2q2P2/6PP/2R4K w - -,c1c3
5bk1/7p/1r3pp1/4p3/3pP2P/3P2P1/r4PB1/1R2N1K1 w - -,b1b6
r2qr1k1/pp3ppp/2p1bn2/5p2/1b1P4/2NNP1P1/PP3PBP/R2Q1RK1 b - -,b4d6
r2nk2r/2q1N3/4Q2P/p3p3/8/P3B3/1PP2P2/2KR4 w kq -,d1d8
r3rnk1/1p2qppp/p1p5/3p4/3P2b1/2NBP3/PPQ2PPP/4RRK1 w - -,c3a4
4rrk1/1b1n3p/3q2p1/1p3p2/1P1bP2B/2p2P1P/P1B3P1/R1QR3K w - -,h4f2
3q1rn1/5pbk/rp4bp/4p1p1/2Pp4/PR1P1NP1/1Q2NPBP/5RK1 w - -,f1b1
r5k1/p1p3p1/2p1q1rp/3n4/2Q1p3/4B3/PPP2PPP/3RR1K1 w - -,d1d4
r4rk1/1pq1bppp/p3b3/2npP3/3B4/2NB4/PPP3PP/R3QRK1 b - -,c5d3
r4rk1/1p1nq1bp/2pp2p1/p1nPpp2/2P1P3/Q1N1BBP1/PP1R1P1P/R5K1 w - f6,e4f5
8/5pk1/6pp/3Q4/2P5/2q4P/6PK/8 b - -,c3e3
rnq3kr/p3bp1p/1n4pB/2pP4/1p6/5N1P/PPP2PP1/R2QKB1R w KQ -,f1d3
r1bqk2r/pp1nppbp/2p2np1/3p4/3P1B2/2N1PN1P/PPP2PP1/R2QKB1R w KQkq -,f1e2
3k4/1b3B1p/p2r4/3pb3/N7/1P5R/P6P/1K6 w - -,h3h7
8/8/p1PB2k1/P1K3p1/3P2b1/7p/8/8 b - -,g6f6
r1r3k1/1p1bbppp/1qn1p3/p2pP3/P2P4/2BB3P/1P1Q1PPN/R3R1K1 b - -,c6b4
8/2R2p2/4p2p/4k2P/4P1K1/8/4n3/8 b - -,e5f6
2kr3r/pp1b1ppp/1n2p3/n1qpPP2/3N4/2N5/PPPQ2PP/2KR1B1R w - -,f1b5
1k6/p7/1pPP1bpp/8/5P2/6P1/3NK1P1/8 b - -,f6g7
rnbqk2r/4ppbp/3p1np1/1NpP4/Pp2P3/3B4/1PQ2PPP/R1B1K1NR b KQkq -,e8g8
7k/7P/3p4/p3rB2/2PKP3/P7/8/8 b - -,h8g7
2k5/p2qp2p/Ppb2b2/5pp1/1PP5/3rB3/4QPPP/2R2NK1 b - b3,f5f4
1r4k1/1pRb2r1/pQ1p1q2/3Pp1p1/1P2P3/6Pp/P4P2/2R2BK1 w - -,g1h2
4r1k1/5p1p/3b2p1/1pp3r1/4P2q/4N2P/1P1Q1P2/2R1RB1K w - -,d2d6
4r1r1/2p4k/3n3p/3q1p2/Pp1Pp2P/8/1P3QB1/1K2R1R1 b - -,d5b3
r1b2rk1/pp1qbpp1/3p1n1p/4p3/2N1P3/2NQ4/PPP2PPP/R1B2RK1 b - -,b7b5
r1r2k2/1p3p1p/1n2p1p1/n2pP3/p2P4/2R2NPP/PP3P2/1R3BK1 b - -,f8e7
r1bqk2r/pp2bppp/2n1pn2/3P2B1/4P3/2N5/PP1Q1PPP/R3KBNR b KQkq -,e6d5
R7/8/1kbp4/p3p1p1/B1PpP3/3P2K1/P7/8 b - -,c6a8
4r1k1/7p/pR2P1p1/2n5/3N4/7P/6P1/6K1 w - -,b6c6
8/5nk1/1p4b1/p1p5/P1P4Q/8/1P3RP1/4q1K1 w - -,g1h2
1rb1kb1r/2qp1ppp/p3pn2/1p2n3/3NP3/2N1BP2/PPPQ2PP/1K1R1B1R w k -,d2f2
r2q2k1/1p2p3/p2p3p/3Nbrp1/2P5/3Q1P2/PP3P1P/R3R1K1 b - -,e7e6
r2b1rk1/pp3pp1/2qpb2p/3N4/P1BQP3/2P2PP1/1P4K1/R3R3 w - -,e1d1
r2r2k1/p1q2ppp/2p2b2/4p3/1PP1Q3/4B3/P4PPP/1R3RK1 b - -,a7a6
8/ppkb2p1/4pr2/2pp1n2/8/1PP2N1B/P3PK2/6R1 b - -,g7g6
6k1/1p3p1p/8/p7/P1B1P3/5RPb/7r/2R1K1r1 w - -,c4f1
1n6/3rkp1p/p2b2p1/1p6/1P3P2/2P2B1P/R2B2P1/5K2 b - -,h7h5
3b4/8/2k1p3/3p4/3P3r/2P1B1K1/5P2/1R6 b - -,h4h7
2rr2k1/pp1q2p1/4bb1p/5p2/3BpPP1/4P2P/PP1Q1RBK/R7 w - -,g4f5
8/1p3pkp/r1p3p1/p1Rp4/3Pr3/PP2P1P1/5PKP/1R6 b - -,h7h5
2Qbk3/r4ppp/1Nn5/1bp1P3/4PP2/P1P3P1/1P5P/3R2K1 w - -,c3c4
5r2/6Qp/1kb1Pb2/p1qrN3/1p1p1PP1/8/PPP4P/1K1RR3 w - -,e5c4
1k1rr3/ppp5/3q2p1/5p2/3Pn2P/1Q2P2P/PP3PB1/R1R3K1 b - -,d6f6
7k/1R3r1p/2P3b1/2r2p2/5R2/5B2/6PK/8 b - -,h8g7
r3r1k1/1p3pp1/ppnp2qp/4p3/1PP3b1/P2PP1P1/1B3PBP/2RQR1K1 w - -,f2f3
rnbqkbnr/ppp2ppp/3p4/4p3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,d2d4:c2c4
1rb1n1k1/2pn1ppp/1q6/p1pPp3/2P1P3/B1QN2P1/P5BP/5RK1 b - -,e8d6
3rr1k1/pp2qpp1/2pb1n1p/5P2/5n2/2N1BB2/PP1Q1PPP/R2R2K1 w - -,d2c1
1r1q1r2/6pk/4p2p/8/ppNbPPQ1/2pP2PP/P3R1K1/1R6 b - -,d8d7
5r1k/1p3Pp1/2p1Bn1p/2P2P1q/1P1P4/6Q1/7P/4R1K1 b - -,f8f7
2r3k1/p4pp1/5q1p/4n3/4R3/4P3/1Qr1BPPP/1R4K1 w - -,b2e5
4r1k1/3r1p1p/1pp1n1p1/2b1p3/4P1P1/2P1BP1P/1P3K2/R1N2R2 w - -,f1e1
3rr1k1/bpp2pp1/p1n1qn1p/4pN2/4P3/1PP2Q1P/1P3PPN/R1B1R1K1 b - -,c6e7
1rr3k1/3qbp1p/4p1p1/pp1p4/3P1P2/2PQP3/PP4PP/R1R1B1K1 b - -,f7f5
5r2/1p2k1p1/1b1p4/r2bp2p/p1P1Pp1P/P2P3B/1PR2PP1/2R3K1 w - -,c4d5
