8/2R5/1kn5/3p4/8/1K6/2P5/8 w - -,c7d7
2rrb1k1/pp2ppbp/q3p1p1/1N6/P1P5/1P1nP1P1/3BQPBP/1R1R2K1 b - -,d3b2
r1b1k2r/pp3ppp/n2n4/q2Pp3/8/4Q3/P2PPPPP/R3KBNR w KQkq -,e3e5
8/2p3k1/1p1p2p1/p2P3p/P1R4P/1P4P1/1r3PK1/8 w - -,c4c7
4r3/1p4p1/3k1p1p/1r6/pNnPp1P1/P1P5/1P2RK1P/4R3 w - -,e2e4
r1b1k1nr/p4pb1/2q3p1/Q2Np2p/4P3/6P1/PPP2PBP/R3K2R b KQkq -,a8b8
3r3k/1R3p1p/8/2P5/1P6/4b2P/3p1p2/3R3K w - -,b7f7
rB3b2/1R2pk1p/2p2pp1/8/Q2P4/4P2P/5PP1/6K1 b - -,a8a4
8/5pkp/1p1Q2p1/2p3P1/P1P2P2/8/2K5/4q3 b - -,e1e6
2r1k2r/1bq2p1p/p2bpn2/1pn3p1/8/P1N1PN1P/1PB1QPP1/R1BR2K1 w k g6,b2b4
8/6kp/8/p3p3/2P1b1r1/1P4P1/P6K/4R3 b - -,g7f6
2rqr1k1/pp1b1pbp/nn4p1/3P4/4pN2/1QN1B2P/PP2BPP1/3RK2R w K -,b3a3
3n2k1/q3pp1p/2Pb2p1/3B4/8/4B1P1/P4PKP/8 w - -,e3a7
1q1rr3/1b1nb1kp/pp3pp1/3p4/1P6/PB2PN2/1B2QPPP/2RR2K1 w - -,b3d5
3r1k2/5p2/p1b2b1p/1p6/2P1B3/2N1R2P/PP3P2/6K1 b - -,c6e4
r1b1k2r/pp1n1pp1/2p2n1p/2b1p3/4P3/2N1BPP1/PPP4P/2KR1BNR w - -,e3c5
3r1k1r/ppq1bppp/4b3/2npPp2/3N4/2P3Q1/PP1N1PPP/R1B2RK1 w - -,b2b3
1k2r3/p1pq4/1p3R2/6Q1/1P1p4/P2P2P1/4nK1P/5N2 w - -,g5f5
r3kb1r/pp3ppp/2n2n2/2P1p3/6b1/2P1BN2/PP1N1PPP/R2K1B1R b kq -,f6d5
r1nq1rk1/1p2bpp1/p3p1p1/P2pP3/8/3N2P1/1PP2P1P/R1BQ1RK1 b - -,c8a7
8/pp3k1p/n5p1/P4pB1/1b3P2/5NP1/1Pr3KP/3R4 w - -,g2h3
r1bqk2r/pp2bppp/2n1pn2/8/3P4/5B2/PP2NPPP/RNBQK2R w KQkq -,e1g1
r1b2rk1/pp1nq1pp/2pnp3/5p2/2pP4/1PN2NP1/P1Q1PPBP/2RR2K1 w - -,c3a4
1q3rk1/3n1p1p/p5p1/3P4/1p2n2b/PN2B2P/Q3BPP1/4R1K1 b - -,e4c3
8/5p1k/8/1R4K1/8/r7/8/8 b - -,h7g7
Q2R4/1b3pk1/3p1np1/3Pp1p1/4P3/2r1NPNP/6PK/8 b - -,b7a8
r2qr1k1/p1pn1pp1/1p3n1p/8/3Pp3/P1PQ1PN1/6PP/R1B2RK1 w - -,g3e4
8/8/2p1k1p1/Pb2p2p/2p1Pp1b/1P3P2/3B2PP/3B2K1 w - -,b3c4
rB6/P7/8/k7/2K5/5R2/8/8 w - -,c4c5
2rq1rk1/pb2npb1/1p4pp/2pp4/Q7/P1NP1BP1/1P1BPP1P/1R1R2K1 w - -,a4h4
4r1k1/6r1/ppn5/2p3q1/1PPnpP2/2B1Rp2/P2R1Q1P/5B1K b - -,g5f4
8/pp6/8/4kp2/7r/5K2/PPPR3P/8 w - -,d2e2
1r3r1k/pp4pp/4Bb2/8/5p2/P5P1/1PR2P1P/3R2K1 b - -,f8e8
3q1rk1/3bppbp/1r3np1/1ppP4/2n1PB2/2NQ2P1/P3NPBP/1R3RK1 w - -,c3a4
R7/P5kp/8/8/5P2/7P/r7/5K2 b - -,a2a1
r1bqr1k1/pp1n1ppp/2pb1n2/3pp3/4P3/PP1P1NP1/2PN1PBP/R1BQ1RK1 b - -,d7f8
1br1r1k1/pp3ppn/2n2q1p/3Bp2b/1P2P3/PQ3N1P/1B1N1PP1/2R1R1K1 w - -,b3e3
3Q4/pp1b3k/3bp2p/1P1p1q2/P2P1N2/5NP1/2r2P1P/5RK1 b - -,f5f7
8/pb3p2/1p1q1nk1/5pp1/1PP5/2Q5/P3BP2/5RK1 w - -,c3h3
8/p4pkp/1p1Q1np1/1P2p3/4P3/P3N1P1/5PKP/2q5 w - -,d6e5
r3r1k1/6pp/1b6/2N5/p5P1/2PPBp2/1P3P1P/R5K1 w - -,c5e4
rnbq1rk1/pp1n1pbp/3p2p1/2pP4/5P2/2N2N2/PPP1B1PP/R1BQK2R b KQ -,d7f6
r1bqk2r/pppn1pbp/3p1np1/4p3/2PPP3/2N1B2P/PP3PP1/R2QKBNR w KQkq -,d4d5
r1b1rnk1/ppq1b3/2n1p2p/1P2p3/3pQ2P/PN1B1N2/5PP1/2R1K2R b K -,e7f6
r3kb1r/1b3pp1/p3pn1p/qpp5/2NP1BP1/1Q2PP1P/PP2B3/R4K1R b k -,a5d8
r2r2k1/pb2qp1p/1p4p1/2p1p1B1/4P3/2P3P1/PPQ2P1P/3RRBK1 b - -,e7g5
r1b1rqk1/1p1n1pp1/1b3n1p/pP1pp3/P2P4/1Q1BP1B1/3NNPPP/1K1R3R b - -,b6a7
5rk1/qp1Np1bp/3n2p1/3Pp3/5p2/1P3Q1P/1P3PP1/4R1K1 w - -,d7f8
4nr2/p3ppk1/2qp2p1/3RPb1p/1p5P/1NN2PQ1/PPK3P1/4R3 w - -,c2c1
8/5pk1/6p1/3bp2p/4p1BP/R5P1/p4P2/5K2 b - -,h5g4
r3qrk1/2p3pp/p2ppb2/np2p3/4P3/P2PBN2/1PP2PPP/R2Q1RK1 w - -,b2b4
8/4kpp1/4p2p/4K3/6P1/5P1P/8/8 b - -,f7f6
5rk1/r2n2bp/1q2p1p1/3pP2n/1p1N4/6P1/PB1NQP1P/R4RK1 w - -,f2f4
6rk/pp3R1p/2qpP2Q/2p3P1/2P5/8/PP5K/8 b - -,c6e4
4r3/Q6k/p1p4p/1p1bNq2/1P3P2/7P/1P5K/2R5 b - -,h7h8
3r1nk1/pp1b2p1/4p3/3pN1P1/3P4/2PB4/PP3R2/5K2 w - -,f2f7
8/p3r1k1/P4p2/1Q2bK2/6P1/8/8/8 w - -,b5c6
3r1k2/p3R1p1/1p5p/3n4/6PP/5B2/P4PK1/4R3 b - -,d5e7
5K2/3k4/5P2/4R3/8/8/8/6r1 b - -,g1f1
1r3bk1/p1nq1pp1/3p1n1p/P1pP4/1r6/2N2N1R/1PQ2PPP/2BR2K1 w - -,f3h4
r1bn1rk1/1p1nb1p1/1q2p2p/p2pP3/3P1N1P/PP1B1N2/6P1/R1BQK2R w KQ -,d1c2
5rr1/1ppnk2p/p2bpn2/4p1p1/4P3/4BP2/PPPNKNPP/R6R w - g6,g2g4
1r3r1k/R1pq3p/1p1p1b2/1P1Pp3/4Pp2/1p3Q2/1P3B1P/2R4K b - -,f6d8
r4r1k/ppqn1p1p/2p2b2/4pP2/4P3/3BBR1P/PPP1nQ1K/R7 w - -,d3e2
r1bqkb1r/pp1n1ppp/4pn2/2pp4/3P4/1P1BPN2/P1P2PPP/RNBQK2R w KQkq -,c1b2:e1g1
2q1knr1/2r2p2/pBPp1P2/Pp1Qp3/8/6pP/1P1R4/3R2K1 w - -,d5d6
6k1/p2r1ppp/2N1pn2/8/P7/1P3P2/6PP/2R3K1 w - -,c6a7
3r4/k6p/pb4p1/5p2/5P2/3r1BP1/PRR3KP/8 b - -,d3d6
5k2/1p2bp2/p2qpp1p/P6N/1P4P1/4Q3/4PPKP/8 b - -,d6b4
r3rbk1/pp3pp1/2n1q2p/2B1p3/PP2p3/3P1N2/5PPP/1R1QR1K1 w - -,e1e4
1rb1n2k/1p3qrn/pR1p3b/P1pPpp1p/2P4B/2N2PP1/1PB1QN1P/6RK w - -,f2d3
r4rk1/pp1q1pbp/1n3np1/8/3P4/2N3Pb/PP2NPBP/R1BQ1RK1 w - -,g2h3
r2q1rk1/4ppbp/p1np2p1/1pp5/n2PP3/2P1BN1P/PP3PP1/R2QRBK1 w - -,a1b1
2r3k1/4rp2/3p2p1/B2B1nPp/1P3P2/p2R1K2/Pb5P/1R6 b - -,f5d4
8/p2P4/7N/6p1/5n2/1R1r1k2/8/6K1 b - -,d3b3
8/1r4p1/4pk1p/1N6/3P4/5KP1/4BP1P/8 b - -,b7d7
rn1q1rk1/pbppppbp/1p3np1/8/3P1P2/4PN2/PPP1B1PP/RNBQ1RK1 w - -,c2c3
1r1r4/p1p1N1kp/1p2n1p1/5p1n/bPP1p3/1N2P1PP/P4PB1/1R1R2K1 b - -,c7c6
8/5k2/8/5ppq/7p/4R1P1/4NPK1/8 w - -,e2g1
8/4k3/3r1p1p/p1pn1Rp1/3p1P2/PP1B1KPP/2P5/8 w - -,h3h4
R7/1p1n1p2/p7/1k3P2/3KB1q1/2Q5/P6P/6r1 w - -,c3b3:c3c4
8/N1nk2p1/5bp1/1pB1P2p/3P4/5K1P/6P1/8 b - -,f6g5
8/1p6/1p2p3/1n2k1p1/3p2P1/1P1K1P2/P3B2r/4R3 b - -,e5d5
r4rk1/pp3pb1/7p/2Pq2p1/1P2n1N1/P2NBPP1/4P2P/2R2QK1 b - -,e4f6
r5k1/p5p1/b3p2p/2qnn3/1b6/BPp3P1/2Q2PBP/R2R2K1 w - -,d1d5
