8/6p1/2R4b/4p3/N5k1/r7/4K3/8 w - -,a4c3
r2qk2r/pp3ppp/2p1pn2/2b1n3/4P1b1/5NP1/PPPNQPBP/R1B2RK1 w kq -,h2h3
rnbqkb1r/pp1p1p2/4pn1p/2p3p1/3P4/2P2NB1/PP2PPPP/RN1QKB1R b KQkq -,g5g4
2rq1rk1/pb1nbppp/1p2p3/4N3/3Pn3/1BN1B1Q1/PP3PPP/R4RK1 w - -,c3e4
1bR1r1k1/6pp/p5q1/1p1prp1n/3Nn3/1P1BP2P/PB2QPP1/2R3K1 w - -,c8b8
2r1r1k1/8/3p1qp1/p2P1p2/2P2R1p/3Q3P/P5P1/5R1K w - -,d3d2
r1bqrbk1/2p2p1p/p1pp1np1/4p3/4P3/2PP1NN1/PP3PPP/R1BQR1K1 w - -,d3d4
r1bqnrk1/ppp1n1bp/3p2p1/2PPpp2/1P2P3/2N5/P2NBPPP/R1BQ1RK1 b - -,e8f6
r2q3r/pp2n1k1/4bp1p/3p4/2pP1P1N/2P5/P1Q1BKP1/4R2R b - -,d8d6
r2qkb1r/pp3ppp/1np1p1n1/3bP3/3P1N2/2NB4/PP3PPP/R1BQK2R w KQkq -,f4d5
8/6r1/Pk5R/8/5K1P/8/8/8 b - -,b6a7
r1r2bk1/3q1pp1/7p/pp3P2/P1ppP3/3P1N2/2P2QPP/R4RK1 w - -,a4b5
2r5/1p1b1p2/p2k1n2/3p2p1/3N2P1/1P2PP2/P2K2B1/7R w - -,g2f1
2R2nk1/5pp1/7p/8/2Br1P2/6P1/5PKP/8 b - -,g7g6
r1b4r/1ppn1pk1/p2b1npp/4p3/2B1P3/P1NNB2P/1PP2PP1/2KR3R w - -,f2f3
r3r1k1/1pp1ppbp/p1qp1np1/5b2/3P1B2/2P1PN2/PP1NQPPP/R3R1K1 b - -,f6e4
3k4/1p1r1p2/6p1/PR5p/7P/6P1/7K/8 w - -,b5b6
r4rk1/1bqpbppp/ppn1pn2/8/2PNP3/1PN3P1/PB3PBP/R2Q1RK1 w - -,a1c1
r4n2/pp2qpk1/4b3/Q5p1/8/4P3/PP3PPP/2R2RK1 b - -,b7b6
4r1k1/1bqn1rbp/pp1p1np1/2pPp3/PP6/N1P1B1PP/1R2NPB1/1Q1R2K1 b - -,c5c4
rn1q1rk1/pp3ppp/2p1p3/8/P2P4/2nQPN2/5PPP/R1B2RK1 b - -,c3d5
3R4/8/2p3p1/3bBkP1/5P2/6K1/8/4b3 w - -,g3h3
4q1k1/3n1rp1/p1p1r2p/1pQ1P3/2P3R1/6RP/P5P1/B6K w - -,c5a7
2r3k1/r3q3/p3N1pp/Pp1nP3/4pP2/2P1n2B/3Q2PP/R3R1K1 b - -,b5b4
8/5p2/R5p1/5k2/7P/6P1/1r3PK1/8 b - -,b2c2
8/7k/6p1/R3B3/4P2p/5B1P/4K1P1/2q5 w - -,a5a7
r2q1nk1/1p3ppp/2Pbr3/3p4/3P2b1/2NBP3/2QN1PPP/1R3RK1 b - -,b7c6
rnbq1rk1/pp1pppbp/2p2np1/8/2BPPB2/5N2/PPPN1PPP/R2QK2R w KQ -,e4e5
3k4/p1p3B1/PpB3bp/1P4p1/5pP1/2P4P/8/6K1 b - -,h6h5
8/6k1/2R3p1/4pp1p/7r/1B3P2/6P1/1K6 w - -,c6e6
r4rk1/pbqnbppp/1pp1pn2/8/2PP4/1P1B1NN1/PB3PPP/R2Q1RK1 w - -,d1e2
r1b2rk1/p2n1pbp/2pp1np1/qp2p3/3PP1P1/2N1B2P/PPP1NPB1/R2Q1RK1 w - b6,e2g3
r3qrk1/2p2ppp/p1nb1n2/1p6/1P1pN1b1/P3PN2/1BQ1BPPP/R4RK1 w - -,e4f6
r1qn3r/1Ppb1kp1/3p1p2/2bNpn1p/2P4P/P2PP1P1/2QBNPB1/2R1K2R b K -,d8b7
3q1rk1/rn3pbp/p2pbnp1/1pp5/2P1P3/1PB2NP1/P1QN1PBP/3R1RK1 b - -,f6d7
8/8/7K/7P/6r1/R7/5p1k/8 w - -,a3a2
2k5/Qp1q1p2/p1b5/4Pp2/5P2/P5P1/2r2B1P/5RK1 w - -,a7a8
2rq1r2/3b1pbk/3p1npp/1pnPp3/pN2P3/P3BP2/1P1QN1PP/R2B1RK1 w - -,e2c1
8/7p/6k1/1R4p1/8/r4r2/1R4KP/8 w - -,b2f2
3rr1k1/2bq1pp1/Bp2b1np/8/P2p1n2/4N1N1/1PQ2PPP/2BRR1K1 b - -,d4d3
r3r1k1/2q2pp1/ppbp1nn1/4p2p/PPP1P2P/1N1BQPP1/1B6/R2R2K1 b - a3,a8b8
r2qk2r/pp1n1pp1/2pbp1p1/8/2PPn3/5N2/PP2QPPP/R1B1K2R w KQkq -,e2e4
8/4Q3/1n4pk/5p2/7p/8/r5PP/5K2 w - -,e7h4
2r1kb1r/1b1p1ppp/pq2pn2/1p6/3pPP2/3P2P1/PPPBQ1BP/2RN1RK1 b k -,f8e7
1r2r1k1/pp2ppbp/1q1p1np1/8/P1P5/1PN3P1/1BQ1PPbP/3R1RK1 w - -,g1g2
1r6/2q2p2/K4k1p/6p1/8/8/8/8 b - -,c7b6
8/7r/8/2k5/3R4/2P5/2K5/8 w - -,d4d2
r3k2r/pp1qpp1p/2n2np1/2N2b2/2P5/3B4/P1P2PPP/R1BQ1RK1 b kq -,d7c8
4R3/8/P7/1P6/6r1/5k2/1KP1p3/8 w - -,b2c3
4r1k1/1p1qp1bp/2rpb1p1/3N1p2/P3P3/1P1RBP2/3Q2PP/3R2K1 w - -,e3h6
r4rk1/1p2ppbp/pQ4p1/2B5/2q1n3/2N5/PPP2PPP/3R1RK1 w - -,c3e4
r1bq1rk1/pp1nbpp1/2p1pn1p/8/2BP3B/2N1PN2/PP3PPP/2RQK2R b K -,f6d5:b7b5
1r4k1/1Q3pp1/2n3rp/8/3Rq3/PP2P1BP/5PP1/2R3K1 b - -,e4d4
8/1b3q1k/pp1Bp1pp/4p3/2P1Pr1b/1P3B1Q/P2R1NK1/8 b - -,h4g5
q1r2rk1/1b1nb1np/pp1ppPp1/8/1PPBPPQ1/P1NB3P/3N4/2R2RK1 b - -,e7f6
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,f8g7
8/8/R5p1/5pk1/Pr6/8/5K2/8 w - -,a4a5
r1b5/1p2qkpp/2p2n2/4n3/p3P3/P1Q2P2/1PP3PP/RN3RK1 b - -,b7b5
2r3kb/2r4p/pn2p1pP/1pp1PpB1/3Pq3/2P4N/P3QPPK/1RR5 w - -,e2e4
3b4/p7/4K1r1/7R/4k3/2B5/PP5P/8 w - -,e6d7
2kr1b1r/1p3ppp/p7/2n1p3/8/1NP1PBPb/PP1NK2P/R6R b - -,h3f5
r6k/p2N2bp/6p1/4p1n1/R7/6P1/P3BPK1/8 b - -,e5e4
3B4/7p/P2k4/1Bpn2p1/8/3K1P1P/6P1/4b3 b - -,c5c4
8/8/5pk1/R6p/pr2PK1P/5P2/8/8 w - -,a5a6
1n1q1rk1/r2n1pbp/p1p3p1/1p1ppb2/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 w - e6,d4e5
5Q2/q3r2p/1p2p1k1/p7/1bPR2B1/1P4P1/P4PK1/8 b - -,e7g7
5rk1/p2n2pp/Bp1np2q/3b1p2/1P1N4/PN3P2/6PP/2Q2R1K b - -,d7b8
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/2N2NP1/PP1BPP1P/R2QKB1R w KQ d6,f1g2
4R3/1p3pk1/6pp/QPrB4/8/P7/5qPP/3R3K w - -,a5e1
1rbqnrk1/1p2n1bp/p2p2p1/3Ppp2/P3P3/2N2NPP/1P3PB1/R1BQ1RK1 w - f6,f3d2
rnb2rk1/1p2ppbp/p2p1np1/q7/P3PP2/2NBBN2/1PP1Q1PP/R4RK1 b - -,c8g4
6k1/pbp2rpp/1pn5/2q3P1/2Q2p2/1P3N2/P4PBP/3R2K1 w - -,c4c5
2kr1b1r/ppp2Bpp/2n1pn2/q4bB1/3P4/2N5/PPP1NPPP/R2Q1RK1 b - -,c6e5
3n2b1/3Pk3/5p2/R7/p4P2/4K3/8/8 b - -,g8b3
8/7R/5p2/1pk1r2p/4PK1P/2PB4/6b1/8 w - -,h7h6
1r3r2/ppp1q1bk/3p2pp/1P2p3/P1PnNp2/B2P2Pb/Q3PP1P/1R2R1KB b - -,f4f3
1k1r1b1r/pbqn4/2p1p2p/3pPp1P/1p1P1RN1/3BB3/PPPQ2P1/R5K1 w - f6,e5f6
8/8/4kpn1/1N6/6K1/5P2/6P1/8 w - -,b5d4
r2r1b1k/p2P1bpp/1p3p2/2q5/2pR1Q2/2N1PNP1/PP2P2P/R5K1 b - -,c5c6
r2qk2r/ppp1bppp/2np1n2/4p3/2PP2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,h2h3
2R5/7p/p7/8/5P2/1k1KP2P/r1p5/8 b - -,a2a5
2Qn3k/1p2b3/p5pp/6q1/5R2/3B2P1/PP5K/8 w - -,c8c3
