2Q5/8/3Q4/8/1K4q1/4P2k/1P6/6q1 w - -,c8g4
1rn3k1/4qppp/3p4/p3p3/Pp1P4/4Q1P1/1P2PPBP/2R3K1 b - -,c8b6
2r2rk1/pp3pbp/2n3p1/3q1b2/3p4/4PNB1/PP1QBPPP/R4RK1 b - -,f8d8
r1r3k1/2qbbppp/3pp3/p7/1p2PP2/3B1N2/PPPQ2PP/1K1R3R w - -,e4e5
b1r2rk1/2qnbppp/p2ppn2/N7/2P1P3/2N2P2/1P1QBBPP/R4RK1 b - -,f8d8
6rk/p1q4p/1p3R2/r7/P1pP3P/2P2QP1/5P2/R5K1 b - -,c7e7
1q1r4/1pb1Nkpp/p4pb1/Pn1Pp3/6Q1/3P2PP/1B3PB1/2R3K1 w - -,g4e6
rn1q1rk1/1p4bp/2ppbnp1/4pp2/1PP5/2NPP1P1/4NPBP/1RBQ1RK1 b - -,d8c7
r3kb1r/pb1q2pp/2n1pn2/2pp4/Q1N5/6P1/PP2PPBP/RNB2RK1 w kq -,c4a5
5B2/1n1k3p/1P2p1p1/3nP3/P1bN4/7P/6P1/6K1 w - -,d4f3
5r2/1p3pkp/pQb3p1/4p1q1/4n3/1BP1R2P/P1P2RP1/6K1 w - -,f2e2
3r1bk1/p7/6q1/1PppB3/8/4PQ2/5PP1/2R3K1 b - -,c5c4
r2q1rk1/1b2b1pp/ppn1p3/2p1Pp2/P2p1P2/3P1NQ1/1PP3PP/RNB2RK1 w - -,c1d2
1q3rn1/R3Qpkp/3pp1p1/8/8/3P1BPP/4PP2/6K1 w - -,e7d7
5b1r/3k1pp1/2p1p3/1p1nP2p/3P1P2/8/1B1N1RPP/3bN1K1 w - -,f4f5
r2r1n1k/1p3ppp/3q1b2/pB3P1P/3p1B2/1P6/P1PQ1P2/1K4RR b - -,d6b4
r2q3k/6pp/3b1r2/3p1p2/b2Pn3/1Q1B1N2/PP3PPP/R1B2RK1 w - -,b3b7
5rk1/4b1pp/rpp1p3/5p2/3P4/2n1B3/PP3PPP/R1R3K1 w - -,c1c3
r1bq1rk1/pppnn1bp/4p1p1/3pPp2/2PP1P2/2NBBN2/PP4PP/R2QK2R w KQ -,c4d5
r2qk3/3r3p/ppQ2p2/2pNpp2/P2p2P1/7P/1PP2P2/4R1K1 b - -,e8f7
3R4/1r3pp1/4p3/3pPk1p/8/5P1K/6P1/1r2R3 w - -,e1e2
r4k2/1p2p1b1/1N1p4/4qp1Q/2r1P3/2P2P2/pP4P1/K2R4 b - -,e5b5
6k1/pb6/1n1p2p1/2b1p1Pp/4P2P/6NK/P3Br2/2B4R w - -,e2h5
r4rk1/p1nnqpbp/1p1p2p1/2pP4/P1Q2B2/2N3P1/1P2PPBP/R4RK1 w - -,f1e1
r4rk1/1p1n1pp1/p2qp1p1/3p4/3P4/2PQ1N2/PP3PPP/R4RK1 w - -,f1e1
r6k/3b1r1p/pq1p1p1P/2pP2p1/4N3/1P3Q2/P1P2PP1/1K1R3R w - -,e4g5
8/2p2pkp/5n2/ppr5/2PR2n1/PP6/4RPKN/8 b - -,g4h6
3kn2r/6p1/3p4/2p2Nq1/4RPP1/2P5/PPR2KQ1/7r b - -,g5f6
2r2rk1/1p4pp/p3p3/1b1pN3/1P1P4/1PnBK2P/5PP1/R6R w - -,h1c1
2rr2k1/pp3pp1/2qbpn1p/7P/2P5/5PN1/PP2Q1P1/1KBR3R w - -,g3e4
r2q1rk1/pb1nb1pp/1pp1p3/3p1p2/1PPP1P2/2B1PN2/P3B1PP/R2Q1RK1 w - -,d1b3
5r1k/4q2p/1p6/2p1b3/1PP1pr2/1N1pQ3/1P5P/R5RK w - -,b4c5
4r3/5p2/2p2b2/ppPr1k2/3P1p2/PP5R/3R1BP1/3K4 b - -,e8d8
r1bqr1k1/pp1nppbp/2pp1np1/8/3P1B2/4PN1P/PPPNBPP1/R2Q1RK1 w - -,f4h2:c2c3
8/k1p4Q/ppr2r1p/4N1p1/1P1p2P1/P6P/2P1nPK1/8 b - -,e2f4
r2q1rk1/1p3ppp/p1b5/3p4/3Q4/1P2Pn2/PB3PPP/2R2RK1 w - -,g2f3
r1bq1rk1/pp4bp/2n3p1/3pp3/8/2PB1NP1/PPQN1PP1/3R1RK1 b - -,d8b6
1R6/3k3r/5K2/5N2/8/8/3b4/8 b - -,h7h6
8/7k/3p2p1/3Pnp1p/q2r1B1b/1n1P2PK/2Q5/1R3B2 b - -,d4f4
8/7p/4kpp1/2n1p3/2NnP3/1p2KPPP/1N6/8 w - -,e3f2
r2qk2r/pp2ppbp/2bp1np1/2p5/4PP2/1PN5/PBPPQ1PP/2KR2NR b kq -,e8g8
3rkb1r/pb1n1ppp/1p2p3/8/1PN5/4PP2/P2B2PP/2R1KB1R b Kk b3,f8e7
r1bqr3/2p2pbk/1n1p2pp/p1nPp3/1P2P2P/4BNN1/PPB1QPP1/R3R1K1 b - -,a5b4
8/p2k2pp/1p6/3P4/3K4/2P4P/P5P1/2B4n w - -,c1f4
8/3k4/8/4R2P/5P2/7r/5K2/8 b - -,d7d6
r1b2rk1/pp1n2pp/2n1pP2/2qp4/5P2/2NB1N2/PPPQ2PP/R3K2R b KQ -,d7f6
3rrbk1/pp3p2/7p/4PPp1/2Nqn1Q1/3pN1P1/PP5P/3RR1K1 w - -,e5e6
2rq1rk1/pp1bppbp/3p1np1/4n3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R w - -,b3d4
8/5p1k/1p4p1/7p/2p1P2P/5PPQ/r2r4/1R5K w - -,h3c8
1r2k2r/4bp2/2bppp2/pp5p/3BP3/PB1R1P2/1PP3PP/1K5R w k -,h2h3
r1b3nr/1pkn2pp/2pb1p2/p3p3/P1B1P3/1N2BN2/1PP2PPP/R3K2R w KQ -,e1e2
7r/rnpbkpnp/1p1p2p1/p2P2P1/1PP1PN2/P5N1/2BK3P/R6R b - -,h8a8
r4rk1/p3npp1/1q2p2p/3bP3/1p1P4/8/PP1QNPPP/R1R1N1K1 w - -,e1d3
3qr3/1pb2prk/2pp1n1p/p2PpPpP/PnP1N1P1/1P2BP2/3QB1K1/1R3R2 b - -,g7g8
r4rk1/4p1bp/q2p2p1/3Pn3/P1b1Np2/6P1/4PP1P/BRRQ1BK1 b - -,f4g3
5k2/pp2pp2/b2r2p1/R2N3p/2P5/1P4PP/5PK1/8 b - -,b7b5
3r1r2/1pq3bk/1p4pp/2pp4/N3n3/P3B2P/2PQ1PP1/1R3RK1 w - -,d2e2
r1bq1rk1/pp2ppbp/2n2np1/2p1N3/3P4/N1P3P1/P3PPBP/R1BQ1RK1 w - -,a3c4:e5c6
5rk1/2r2p1p/6p1/1p1Pp1b1/1q1nP1P1/pP1RN2P/P2Q1P2/1K1B3R b - -,f8c8
r4rk1/2p1bpp1/p1np3p/1p2p3/4P1n1/P1PP4/1PB2PPP/R1B1RNK1 w - -,h2h3
1b1rr1k1/1P2qpp1/8/8/2QRp1bp/P1N1P1P1/1P3P1P/R1B3K1 b - -,g4f3
8/R3R1p1/1r3k1p/1p6/7P/6P1/P2rPPK1/8 b - -,g7g6
r5k1/pp3pp1/2p1P2p/8/2P1q3/1P6/2P2P2/R2R2K1 b - -,e4e6
r4r2/pp1n1pkp/1n2bqp1/1B6/1Q1N4/2N4P/PP3PP1/2KR3R b - -,f6g5
rnbqk1nr/pp3pbp/2p3p1/3Pp3/8/1QNPB3/PP2PPBP/R3K1NR b KQkq -,g8e7
r1b1k2r/1pqnbppp/p1p1pn2/2Pp4/N2P4/4PN2/PPQ2PPP/R1B1KB1R w KQkq -,f1e2
1rr3k1/5p1p/6n1/3pPQ1P/pp1P3q/8/PP4P1/1R1R2K1 b - -,g6e7
r1bqr1k1/1p3pbp/2pp1np1/2n3B1/p1PNP3/2N2P2/PP4PP/1R1QRBK1 w - -,d1d2
7b/7K/5q2/7P/1k6/8/2B5/8 b - -,f6g7
r1bq1rk1/4npbp/p1ppp1p1/8/4P3/2N1B1P1/PPPQ1PBP/R2R2K1 b - -,d6d5
2rr4/pp2kp1p/4pp2/8/8/2P1PKP1/PP5P/R2R4 w - -,f3e2
r1bq1rk1/1p4b1/1Pp1pn2/p1Pp1pp1/P2P3p/1Q1BP3/1B1N1PPP/3R1RK1 b - -,d8e8
3k1r2/3bq3/p3p3/1p1pPp2/2rN1P2/7Q/4B1PP/3R2K1 b - -,c4d4
r2q1bk1/5p1p/p2p2p1/3n4/1p2b3/1R3N1P/PB1Q1PP1/2R3K1 b - -,f7f5
4r3/p2brpk1/1p1q1n2/3P2p1/P2Qp3/2N1P1P1/5PB1/2RR2K1 b - a3,d7g4
r1bqkbnr/pppp1pp1/2n4p/8/2BpP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,d4c3
r2qr1k1/1p1n1pb1/p4np1/3p1b1p/NP1Pp3/4P2P/PBQNBPP1/1K4RR b - -,b7b5
1k6/1p3R2/p7/8/PP6/8/2NK4/q7 b - -,a1a4
rr6/2pb1pkp/3p2p1/2qPp3/4P3/1BN2PPn/PP1Q3P/2KR1R2 w - -,c1b1
r5k1/rb3pp1/1qn1p2p/pp1pP3/1P6/PNPQ1N2/5PPP/1R2R1K1 b - -,a5b4
rn3rk1/ppq2ppp/2p1p3/3p4/2PP2n1/P1PQP1P1/3N1P1P/R1B2RK1 b - -,b8d7
8/1k6/8/5p2/3Qp2P/8/4BK2/5N1q b - -,h1h4
2b2nk1/1pp2rp1/r2q3p/p3pPp1/2PpP2P/3P2R1/PP4B1/R1BQ2K1 w - -,h4g5
