8/8/1R6/3p3P/3kp3/8/r3K3/8 w - -,e2d1
rn2qb1r/pp1kp2p/2pp4/5pN1/2PPP3/2N4Q/PP3PP1/R1B1K3 b Q -,b8a6
rnbqk2r/ppppbppp/5n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,c7c6:d7d6
8/p1R1bk2/1p5p/1q2p1p1/8/P3B1PP/1P1R1P2/6K1 b - -,f7e6
r1b3k1/p1pp1p1p/2p3p1/N5rn/1PB1P3/2P2P2/P2K1P2/3RR3 b - -,c6c5
r3r1k1/p3pp2/5b2/1p1p2pp/3P1B2/P1P4P/1P2KPP1/R3R3 w - -,f4h2
1k1r4/pp1r1pp1/2pb1n1p/5p1P/1PPP4/2B2BP1/P4P2/1K1RR3 w - -,b1c2
1r6/rpbq1pk1/6p1/3R1p2/3P4/1Q2PNP1/5P2/2R3K1 b - -,d7e7
1rb2rk1/2p1qpp1/pbnp1n1p/4p3/PpNPP3/2P2N1P/1PB2PP1/R1BQR1K1 b - -,b6a7
3q3k/3rn1bp/1R2Q3/p1p2p2/P1Pp1P2/3P1B1P/1P1B3K/8 w - -,b6a6
8/6n1/5rk1/3Q2p1/3K4/5P2/8/8 w - -,d4e3
8/1p6/8/2Pbk3/1K6/8/8/4R3 b - -,e5d4
r3r1k1/1p4pp/q1p2b2/p2p1N2/3Bn3/5Q1P/5PP1/R1R3K1 w - -,d4f6
2r5/7p/p2k4/1p6/2P1p3/1P2P3/P1R1K2P/8 w - -,e2d2
r4b2/pp2Q3/3k1p2/3ppb2/3n4/8/PP1N1PPP/R1B2RK1 b - -,f8e7
5b2/5k2/2r2pp1/1q1p3p/1prP4/4P1P1/P1RRQPKP/4N3 w - h6,e1d3
r2q1rk1/pp1nbppp/4pn2/3pNb2/3P1P2/6P1/PPPN2BP/R1BQ1RK1 b - -,d8c7
q7/5n2/5Pk1/1p4p1/4N3/2R5/5N1P/5K2 w - -,c3b3
r5k1/pp1q1pp1/2pB3p/2Pp2b1/3Pr3/1Q2P1P1/PP5P/3R1R1K w - -,f1f3
r1bq1rk1/1pp2pbp/3p1np1/2n1p3/1PP5/2NP1NP1/4PPBP/1RBQ1RK1 b - -,c5e6
2rrn1k1/1pb3p1/pBp1qnp1/P3pp2/1PN1P2P/6PB/2P1QP2/1R1R2K1 b - -,d8d1
7r/5Q2/1p4Pk/p1n5/2P3r1/1P3p1N/P3P3/5K2 w - -,e2f3
r1bqk2r/1p1p1ppp/p2b4/8/2PpP3/3P4/PP2BRPP/RN1Q2K1 b kq -,e8g8
2r2rk1/1b2nppp/p2qpn2/1p1pN3/3P1P2/2N1P3/PP4PP/1BRQ1RK1 w - -,e5d3
6k1/5pbp/p3r3/Np2pp2/n7/2Pr4/PP2RPPP/2B1R1K1 b - -,e6d6
2bR1n2/2r1k3/4p1pp/1pN5/1P3P2/7P/6P1/3R2K1 b - -,f8d7
5rk1/3r3p/3pbq1b/QN2pp2/2P4P/1P4P1/5PB1/R4RK1 w - -,b5c7
r4rk1/5pp1/B1pnpq1p/3p4/P2PnPP1/2P2N2/1P2Q2P/R4RK1 w - -,f3e5
4r1k1/pb3p2/1pn3p1/2p1r3/3pB1P1/1P1P2b1/P4P2/2BR1RK1 w - -,f2g3
1q3rk1/4p1bp/1r1p4/p1pPpPP1/P1Q4P/RpP3N1/1P6/5RK1 w - -,a3a1
r1bq2k1/ppp2rb1/3p2n1/2PP1p1n/5PpP/2NN4/PP3BBP/R2Q1RK1 w - -,c3e2
q1rb1rk1/5ppp/b2p4/p2PpP2/4PnP1/4BB2/PR1Q3P/1R2N1K1 b - -,a5a4
q3r3/pp3kbp/1n4p1/2B5/3pP3/1Q4P1/PP3P1P/R5K1 b - -,e8e6
2R5/5pp1/8/kp2r1Pp/p2K3P/8/8/R7 b - -,e5f5
4rr2/pBqn2k1/1p1bp1p1/4Np1p/3P1P2/2P3P1/PPQ4P/R1B2RK1 b - -,d6e5
r1bq1rk1/1p1n1pbp/p2pp1p1/2p1PB2/3P1P1P/2N2N2/PPP2BP1/R2QK2R b KQ -,c5d4
r5k1/1q3p1b/2rp1p1R/3P4/2BQ1P2/1P6/2P3P1/1K6 w - -,d5c6
8/7p/p4k2/R4p2/1P2p3/P3K1PP/8/3r4 w - -,a5a6
r1b2k1r/ppppQ1pp/8/8/3Pn3/5N2/PP3PPP/RN2K2R b KQ -,f8e7
r1b2r1k/1pp2pbp/p2p1np1/P7/2BP1q2/2P2P2/1PNN2PP/R2QR2K b - -,d6d5
5k2/8/6p1/2b5/2r4R/6P1/5P1P/6K1 b - -,c4h4
r1q2rk1/pb3ppp/1nn1p3/1p4b1/5BN1/2PQ2P1/PP3PBP/R3R1K1 w - -,f4g5
2r1k2r/pp3ppp/4p3/8/4n3/2P1KN2/PP3PPP/R6R b k -,e4d6
r3r1k1/1p3bpp/pqn2p2/2n5/3p3B/PP3P2/N1PQ2PP/R3RB1K w - -,h4f2
8/5pk1/6p1/7p/r4P2/4P1P1/2RK3P/8 w - h6,d2e2
3rr1k1/pp3ppp/2q1p3/4P3/2P5/P2R4/4QPPP/3R3K b - -,c6c7
r7/bp3p2/p3p2k/2P2p1P/1P2p2P/6q1/P3Q3/3R1K1R b - -,a6a5
7r/R4pk1/1p1B4/2pP1p1p/2n5/2Pn1P2/P5PP/3R2K1 b - -,d3b2
r2q1rk1/pb1N1ppp/1p2pn2/6B1/2BP4/2P5/P4PPP/R2Q1RK1 b - -,d8d7
8/p5Q1/p1nkp3/Pr6/3p1P2/8/6PP/6K1 w - -,g2g4
4r3/1p3pk1/p2R2p1/2p5/4n1pP/1PN5/1PP2PP1/6K1 w - -,c3e4
6k1/5b2/R6K/5pB1/5P1P/2r5/P7/8 b - -,f7e8
2r2rk1/p2b1pp1/1p1q1n1p/2p5/2PpN3/3P1QP1/PP3PBP/R3R1K1 b - -,f6e4
r4rk1/1b1nqpp1/pp2pn1p/3p4/P2P4/2PB1N2/1P2QPPP/R3RNK1 w - -,a1d1
5b2/3p2nk/4p2p/4P2P/qrpQP3/1N4R1/1B1N4/3K4 w - -,d4f2
r5k1/pp3ppp/3rn3/8/4R1P1/4B3/PP3P1P/R5K1 b - g3,g7g6
r2qk2r/pppn2pp/3bp3/8/4P3/2N5/PP2QPPP/R1B2RK1 b kq -,e8g8
r2qrnk1/2p1bppp/2b1pn2/p3B1NP/3P1P2/2N3Q1/1PP1B1P1/2KR3R w - -,f4f5
8/r7/8/P1k5/R7/K7/8/8 w - -,a3b3
r1b1rbnk/3n1ppp/p2p4/q2PpN2/Np2P1P1/1P6/P2B1PBP/R2Q1RK1 b - -,a5b5
1k5r/pp3r2/2pb4/3p4/1P1Ppp2/P1R1P2P/5P2/1KR2B2 w - -,b1a2
8/3R4/pbr2k1p/2B1p1p1/PP2K1P1/7P/8/8 w - -,d7d6
3r4/1p6/p2n4/P2PK1k1/1P4pp/3B4/7P/5R2 b - -,g4g3
2r3k1/1qr1pp1p/pp1pnnp1/8/PPP5/2N1NPP1/3QP1KP/1RR5 w - -,c1c2
r1b2rk1/q5np/p2b2p1/2Npp3/3P3B/3B4/PP2Q1PP/2R2RK1 w - -,f1f8
6k1/5p1p/4pbp1/8/1P1P4/3R1NP1/1P3PKP/1r6 b - -,b1b2
1rr5/p3kpbp/4p3/2p5/1nB2Pp1/2N1P3/PP5P/2KR3R w - -,h2h3
rnbq1rk1/pp3n2/3p1ppb/2pPp3/2P1P1PB/2N5/PPQNBP2/2KR3R b - -,g8g7
4bR2/pp4pk/1b2p3/3pP1P1/3p2pP/8/PP2N1K1/8 b - -,d4d3
r1b2r1k/p4p1p/2Nppbp1/8/1P1p4/1N1P2P1/P1P2P1P/R4RK1 b - -,e6e5
1r6/p1b3p1/3k3p/3p4/4p3/1P2P1PP/P1R2PBK/8 b - -,c7b6
1q2n3/6rk/5p2/1B1R1P1p/PB2P2P/8/K1R5/8 w - -,a2b3
r3r1k1/6pp/3p1p2/2pP1b2/1p2qP2/1P2P1RP/1B1RQ1PK/8 b - -,e8f8
5rk1/p2q2pp/2pp4/8/6N1/1P5P/PbP1Q1P1/4R2K b - -,d7f7
3r2k1/4ppbp/6p1/4P3/bp1P4/5P2/NP2BKPP/2R5 b - -,d8d4
r1bq1r2/pp4kp/n1p3p1/5p2/NPP3n1/P1QPp1P1/4P1BP/R2R1NK1 b - -,g7g8
r1bq1rk1/pp1pbppp/4pn2/4n3/2PN4/1QN3P1/PP2PPBP/R1B2RK1 w - -,c1f4
r3r1k1/1pqb1pbp/p5p1/P2p4/3N4/2P1B3/1P1Q1PPP/R2R2K1 b - -,d7c6
3rr1k1/pp3p1p/2n2np1/4p2q/2P3b1/1N1B2Q1/PBP2PPP/R3R1K1 w - -,h2h3
4B3/8/1b5k/4p1pp/1P2K2P/4P1P1/8/8 b - -,g5h4
6n1/r3q2k/r5p1/8/1P2P2p/4R2P/3QNPP1/3R2K1 b - -,a6a1
rq1n1rk1/1b3ppp/pQ2p3/8/2P1PP2/N1P1BB2/P5PP/1R4K1 w - -,e4e5
