8/p4B1p/5p2/8/3k1P2/4bKP1/P3P2P/8 w - -,f7b3
r4r2/np4qk/2b2pp1/4p2p/P1N1P3/1P2Q1PB/3R1P1P/3R2K1 b - -,a7c8
1r1q1rk1/p3pp1p/b2p1npb/2p5/1p2P3/3P2PP/PPPQ1PB1/R2N1RK1 w - -,d2h6
6k1/pp3ppp/4n2q/3Q4/8/PP3PB1/6PK/8 w - -,h2g1
2rqkb1r/3b1pp1/p2ppn1p/8/1p1nPPP1/4B2P/PPP1NQB1/R3K2R w KQk -,e2d4
4rbk1/1p1r3p/2n1p1p1/p1P5/2N2p1B/PP6/5PPP/2R1R1K1 w - -,h4g5
r1b1kb1r/1pp2ppp/p1p5/4P3/3B3q/2N5/PPP2PPP/R2Q1RK1 b kq -,c8f5
8/1p6/p1k1n3/5Kp1/7p/P1P4P/1P3P2/8 b - -,e6f4
2kr3r/1p1n1pp1/1qp1pnp1/p7/PbBPP1P1/2N1BP2/1P2Q2P/R4RK1 w - a6,f1f2
2rr2k1/2q2pbp/pp4p1/2nP3n/3N4/1P2BP1P/P1BQ2P1/2R1R1K1 b - -,d8d5
1r4kb/3qpp2/3p2pB/r2P3n/pp4P1/1P3P2/P1P4Q/1K1R1B1R b - -,h5f6
3q1rk1/1b5p/2rnp1p1/1pQ5/4P3/1P4P1/P4PBP/3RR1K1 w - -,c5e5
r3k2r/pp1nqppp/2p2n2/2b1p3/4P3/6PP/PPP2PB1/RNBQ1RK1 w kq -,d1e2
6k1/6b1/6Q1/p6p/4B2P/6P1/4qPK1/8 b - -,e2c4
q3r2k/1b1n3p/3p1bp1/1p1Ppp2/1P3P2/2N1BBP1/P4Q1P/2R4K b - -,e5f4
2r1r1k1/1pqnbppp/p2pp3/4n3/2P1P3/P3BP2/1PNQB1PP/R4RK1 w - -,b2b3
rnbqk2r/ppp2ppp/5n2/3pp3/QbPP4/2NBP3/PP3PPP/R1B1K1NR b KQkq -,b8c6
1r2rbk1/5p2/1p2b1pp/pP6/N1p1B3/P3R2P/5PP1/3R2K1 w - -,e4c6
8/2k5/8/PR2p3/8/1K6/8/4r3 b - -,c7c6
2r2r2/4ppkp/p2p2p1/1p1Pn3/PP2P2Q/8/2P1q1PP/R4R1K w - -,h4e7
6k1/2p3pp/r3p3/2r5/5P2/2PR2P1/4R2P/6K1 b - -,g8f7
3r2k1/1b2n1pp/pq1ppr2/1p3p2/3NP3/P1N3Q1/1PP2PPP/3RR2K w - -,g3d3
1k2r2r/pp6/4p2p/2Q2p1R/q1P5/2P3P1/P2R1P1P/6K1 b - -,b8a8
rn1qnrk1/pp2ppbp/2p3p1/3pP3/3P2b1/1BN2N1P/PPP2PP1/R1BQR1K1 b - -,g4f3
r4nnr/1b2pk1p/p2p1ppP/5P2/pPBNP1P1/2N5/2P5/2KR3R b - -,f7e8
6k1/5p2/pBp5/2Ppb1P1/4b1q1/4Q1P1/PP1KN3/8 w - -,b2b3
r1bqr1k1/pp1nbppp/3p4/2pP4/2P5/2N2PP1/PPQNB1P1/R3K2R b KQ -,d7f8
6k1/1p6/7p/R7/P7/8/1Pr2KPP/8 w - -,f2g3
2r1rbk1/1b3p1p/3p1np1/qpp1n3/4P3/1PN1B1PP/PNQR1PB1/3R2K1 w - -,a2a4
r2q1rk1/5ppp/p1np1b2/1p1Np3/P3P3/2P5/1P3PPP/R2QKB1R w KQ -,a4b5
r1b3k1/pp2r2p/4p3/P2pPp2/3P2p1/3N2P1/5P1P/1RR3K1 w - -,d3c5
3q2k1/3r2pp/p2Pp1n1/1pb1Pr2/2p2P2/2P2RPQ/PP1B3P/5R1K b - -,d8a8
8/5nkp/3p2p1/3P4/1p1pQPP1/1P5P/3qB2K/8 w - -,g4g5
5nk1/1q1r1p2/2Q1p1p1/2p1P2p/2P2R1P/r1B1R1P1/5PK1/8 w - -,c6b7
8/5p1k/3R1P1p/5P2/5KP1/8/8/6r1 b - -,g1f1
1r1brqk1/1pp2pp1/p2p3p/4nQ2/2P1P3/1P2NPP1/PB1R2KP/3R4 w - -,h2h4
1r6/2k5/8/1P5R/1K5P/8/8/8 w - -,b4c5
1r6/8/8/6p1/1P4Pp/1KR4P/6k1/8 w - -,c3d3
6k1/8/2rN1b2/P1B5/1P3p2/4n3/8/3R1K2 w - -,c5e3
5R2/k4P2/2K3p1/P4r2/P1N2n1p/5P1P/8/8 w - -,c4d6
2rr2k1/2q1np1p/1p1p1b2/p3pPp1/4P1P1/2PQNN2/PP5P/3R1R1K w - g6,h2h4
1r3rk1/p2bqpb1/2np2pp/1pp1p3/2P1N3/P2P2P1/1P2PPBP/1RBQ1RK1 w - b6,c4b5
r5k1/q2b1pp1/3p1nnp/1ppPp3/4P3/1PPBPN1P/1Q1N2P1/4R1K1 b - -,f6e8
4n3/2p2pk1/2N1r1p1/2R4p/2P1p3/1P5P/5PP1/5K2 b - -,e6d6
8/3b2pk/5p1p/3P1P2/2pQN3/q3r2P/5RP1/7K w - -,h1h2
r2qk2r/pp1nbppp/2p1pn2/3p1b2/5B2/2NP1NP1/PPP1PPBP/R2QR1K1 b kq -,e8g8
8/4k3/8/3R2p1/4P3/1r4PP/4pK2/8 w - -,f2e2
8/4Pk1p/2r2Pp1/4PbP1/8/1K4B1/7P/8 b - -,f5d7
1R6/7p/5bp1/8/2P1p3/1P2P1B1/2r3PP/1k1K4 w - -,g3e1
r5k1/2n1qp2/3p2p1/2pPb3/1pN5/4P1P1/1PQ2PB1/1R4K1 b - -,c7e8
r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -,g2g3:a2a3:e2e3:e2e4:g1f3
r4r1k/pp1bB1b1/3P2p1/5n2/P4Q2/2q3P1/5PBP/1R2R1K1 w - -,g2b7
r1bqr1k1/ppp2pb1/3p1npp/8/2PNP3/2N2B2/PP3PPP/R2Q1RK1 w - -,f1e1
r4rk1/pp1b1pbp/q5p1/8/1PPp1B2/5B1P/P2Q1PP1/R1R3K1 b - b3,a8c8
2r3k1/pp1n1pbp/1q1Prnp1/1Qp5/8/P1N1BB2/1P3PPP/R2R2K1 w - -,b5b6
2r2rk1/1pq2pp1/p5b1/P1pP2p1/1QP1p3/8/1P2BPPP/2RR2K1 w - -,b4d2
2r1nrk1/pp1q1ppp/2n5/4pR2/4P1Q1/2PBB3/P1P3PP/R6K w - -,g4g3
r1bq1rk1/p6p/2p1p1p1/n1pnbp2/Q3P3/2N2NP1/PP3PBP/R4RK1 w - -,f3e5
r1r3k1/pnqbppbp/1p1p2p1/3PP3/2P1NP2/Q3B1PP/P5B1/2R2RK1 b - -,d7f5
3r4/5p1p/p1k1b1p1/Pp6/1PpP4/4N1P1/5P1P/3RK3 b - -,e6d5
2bR1nk1/5p2/pNp1qPp1/2p1p1Bp/2P1P1PQ/5R1P/P4b2/7K b - -,f2h4
1rq1r1k1/2p2p1p/p2pb1pB/2pN4/2PbP3/1P5P/P2Q1PP1/3RR1K1 w - -,d2f4
rn1q1rk1/pb2ppbp/1p1p1np1/8/2PQ4/1P3NP1/PB2PPBP/RN1R2K1 b - -,b8d7
r1bqk2r/p3ppbp/2p3pn/2ppP3/8/3P1N2/PPP2PPP/RNBQR1K1 b kq -,e8g8
rn2k3/p1q3b1/1pp1pn2/3pN3/3P2P1/1QPbB3/PP1N4/2K3R1 w q -,e5d3
2bq1rk1/1ppnn1bp/3p2p1/r2Pp3/2P1P3/1NN1B3/P3B1PP/R2QK2R b KQ -,a5a8
r3rbk1/1bqn1ppp/pppp1n2/4p3/2PPP2P/1P1B1NN1/PB1Q1PP1/3RR1K1 b - h3,a8d8
5k2/R7/6Kp/4P3/7P/8/8/1r6 w - -,a7f7
r7/p3kppp/R3P3/4P1K1/6PP/p7/8/8 b - -,f7e6
2r5/3kbQ2/p2p2p1/3n3r/1p1B3p/1N1P3P/PP4q1/K3RR2 w - -,f7e6
7k/8/1p1Np2p/p2nP3/P6Q/3P2P1/7K/2q5 b - -,h8g7
r7/4kp1p/2b1p1p1/2P5/5P2/p1R3P1/B4K1P/8 w - -,f2e3
r4rk1/b1p2pp1/p1n2n1p/1p2p3/2b1P3/2P1BNN1/PPBq1PPP/R3K2R w KQ -,f3d2
8/k1p5/1p4PR/p1p5/8/5r1P/4K3/8 b - -,f3f6
2b5/p2kbq1r/1pp1p1RP/3pPn2/3P2Q1/P1N5/1PP2P2/1K5R w - -,b1a2
r6r/pp4pk/1n1q2p1/3P1pPp/3P3P/2N2R2/PPQ2P2/1K1R4 b - -,h8e8
8/8/4p2p/R2kp3/5p1P/3r1Pn1/1P4P1/4K3 b - -,d5d4
r3kb1r/p2p1ppp/1qp1p3/3nP3/4N3/1P6/P1PB1PPP/R2Q1RK1 b kq -,b6d4
7r/1b4k1/1p1p2q1/2pPn1p1/1pP1PpP1/R4P2/1Q2BBK1/5R2 b - -,g6h6
r2q1rk1/1ppn2b1/3pp2p/pP3ppn/2PP4/2NQPNB1/P4PPP/3R1RK1 w - f6,c4c5
2qr1r1k/pb2ppb1/1pp1nn1p/6p1/2PP3B/Q1N2N1P/PP3PP1/3RRBK1 w - -,h4g3
2r5/5p1k/4q1p1/3pn2p/3Q4/3BP2P/PP3PP1/3R2K1 w - -,d3f1
8/2B2k2/7p/P6P/8/r2p2P1/3K4/8 w - -,g3g4
3r1rk1/pp2pp1p/2n3p1/8/7q/1NPB2R1/P1PQ3P/R3K3 b Q -,e7e5
8/p7/1p5p/1P1N2k1/P7/4K2p/5nP1/8 w - -,g2h3
