8/8/5kp1/3R4/8/2r1b1P1/R5KP/8 b - -,c3c6
3rr1k1/ppp1qp1p/5bp1/2p1pP2/4P3/1P1P1N1P/P1PQ1PRK/R7 b - -,d8d6
r1bqkb1r/5ppp/p1p1p1n1/3p2P1/4P3/2N1B1Q1/PPP2P1P/R3KB1R w KQkq -,h2h4
8/2p4p/3n1B2/1k1P4/1p2K3/6b1/2N5/8 w - -,e4f3
N1k2b1r/pp1b1p2/2n1p2p/1B2P3/5p2/4q3/PPP3PP/R2Q1R1K w - -,f1f3
r1bq1rk1/ppp2pbp/2n3p1/2Q5/8/2B2P2/PPP3PP/2KR1BNR b - -,g7h6
2R1kb1r/3q1p2/Q2pnp2/4p2p/4P3/N3B3/Pr3PPP/5RK1 b k -,e8e7
r1bbr1k1/pp1q2p1/2p4p/5p2/1PPPpB2/P5P1/2Q1RPBP/R5K1 w - -,a1d1
5k1r/1B2np1p/8/2p1Ppp1/5P2/8/6PP/3R2K1 w - -,f4g5
r2qr1k1/1p3pp1/2nb1n1p/p3pb2/2Pp4/PP1P1NP1/2N2PBP/1RBQR1K1 b - -,f5h7
4rbk1/7p/3q2p1/Q1pPpp2/P1B1P3/BP6/5PPP/6K1 b - -,f5e4
3r4/3r3p/2q2kp1/3p1p2/pPp5/P3P1P1/3R1P1P/2RQ2K1 w - -,d1c2
r2r4/pp3pk1/4bqp1/2p1p2p/1PNnPn2/P1QP3P/5PPN/R2R1BK1 w - -,c3b2
b1rr2k1/p3qpp1/Pp2p2p/3n4/2B3N1/1P4QP/2P2PP1/3RR1K1 b - -,g8h8
r4rk1/1bqnbppp/pp1ppn2/8/1PPNPP2/P1N1BB1P/3Q2P1/2R2RK1 b - b3,f8e8
1r6/1P3pk1/4p1pp/3r4/8/1R1N4/6K1/8 b - -,d5d3
7k/1pp3b1/p7/3Rnr1p/P3R1p1/2P5/1P3PPP/5K2 b - -,h8h7
4r2k/4qr1p/2pQ4/1b2pP2/p2pP2P/P2B4/1PP3R1/6RK w - -,d6h6
8/2p3p1/7p/5k2/7q/1PB3R1/P2PP1K1/8 w - -,g3g7
r3r1k1/p3qppp/2Q1n3/2p1P3/2p2Bn1/P1N3P1/1P3P1P/3R1RK1 w - -,c3d5
2rq1r2/3b1pkp/p2p2p1/1ppP4/3n4/3P2NP/PPP3B1/R1BQ1RK1 b - -,d8h4
r2q1rn1/2p2pbk/p1bp2pp/1p2PP2/4P1Q1/2P3NP/PPB3P1/R1B2RK1 b - -,g7e5
3r4/r5k1/p1p2bp1/8/PpN1PpPp/1P1R4/2P3K1/R7 w - -,e4e5
8/8/k7/P7/8/1K1N4/8/2n5 w - -,d3c1
1rbq1rk1/pppnbppp/4pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d3
7r/8/1k6/1p6/6PK/P2R4/8/8 w - -,h4g3
6k1/pr1q2pp/3p1p2/RnrP4/2p1P3/2P2PBP/2Q3P1/R5K1 w - -,a5a6
r2qk2r/pb1pbppp/1pn1pn2/6B1/2P1P3/PNN5/1PQ1BPPP/R3K2R b KQkq -,e8g8
5k2/1pp3p1/1pp2n2/8/7N/1KP4P/PP4r1/4R3 b - -,g2g3
r4rk1/pp2bpp1/1qp2n1p/3p1b2/7B/2NPPN1P/PP1Q1PP1/R4RK1 w - -,a1c1
3r1r1k/ppp1b1pp/2n4q/7P/1PB1Npb1/P2PP3/2Q2PP1/R1B1K2R b KQ -,c6e5
r3r2k/p5pp/1p1R4/5P2/2p3P1/4p3/PPP4P/1K3R2 w - -,f1e1
8/8/8/3k1p1R/4p3/3r2PP/3p4/3K4 w - -,h5f5
8/6p1/p6r/2N1k1p1/1PK5/6PP/5P2/8 w - -,c4d3
8/pp1k1np1/1npb1p1p/3p1P2/3P2PP/P2B1K2/1PPBN3/8 b - -,b6a4
8/p1k4p/1p4p1/3P4/P1P1B2P/6P1/1b6/6K1 b - -,c7d6
rnb1kb1r/pp2qppp/2p5/8/P1BP2nN/2N1B3/1P2QPPP/R3K2R b KQkq -,g4e3
r5k1/rppq1pbp/3p2p1/pP1Pp3/2P1P3/P6P/2Q2PPB/R4RK1 b - -,c7c6
8/1p6/5k2/R7/4Bp1P/8/P3K1b1/5r2 b - -,f4f3
1rb1k2r/2qnbppp/p2ppn2/1p4B1/3NPP2/2NB1Q2/PPP3PP/2KRR3 w k -,f3g3
2rqr1k1/pp3ppp/1nn5/3p4/3N2b1/2Q1PN2/PP2BPPP/R4RK1 b - -,d8f6
2q3k1/r2r2pp/P4pn1/3P4/1B1Q4/5P1P/6P1/R2R2K1 w - -,d1c1
7k/4q3/8/5Qp1/5nP1/5PK1/8/8 w - -,f5c8
8/1b1n1p2/p2p1k1p/1p1P1P2/2p1P3/P1P4P/2B1N1K1/8 b - -,d7c5
r4r1k/1p2qp2/2p1bNpb/p1P1PnNp/P3P2P/8/1P3QP1/1B1RR1K1 b - -,f5h4
rnbq1rk1/1p2ppbp/p1p2np1/8/2BP4/2N1PN1P/PP3PP1/R1BQ1RK1 b - -,b7b5
r5k1/1p2n2p/p1p2p2/1n2q3/1P2P3/P2Q2p1/6BP/2B2R1K w - -,d3b3
r1bqr1k1/pppn1pbp/3p2p1/3Pp3/2P1P3/2NNB3/PP2QPPP/R4RK1 b - -,f7f5
5rk1/2p2pbp/2np1np1/3Pp3/4P3/4BP2/4N1PP/2Q3K1 b - -,c6d4
6k1/p2q1pbp/3P4/pr2P3/8/2BQ2KP/B5P1/8 w - -,g3f4
8/8/6kp/1R6/6P1/1Pr5/6PK/8 b - -,c3d3
4r1k1/3qrpp1/1p5p/p3PR2/PpQ5/2P1P1P1/7P/5RK1 w - -,c3b4
8/7p/2qpknpb/2p1pp2/p1P2P2/P1BP2P1/1Q2P2P/5NK1 w - -,f4e5
4qk2/r4r1p/1pnp2pR/p1p3P1/2PpPP2/PP1B2P1/3Q2K1/7R w - -,e4e5
1rb2rk1/2qn3p/ppn1ppp1/2p5/2P1N3/3P1NP1/PQ2PPBP/1R3RK1 w - -,f1c1
5r2/1p2bp1k/p1r1q1pp/3pP3/3B4/1P2P1QP/P4RP1/5R1K w - -,g3f3
8/8/4K1k1/8/8/5R2/1b6/8 b - -,g6g5
3r4/p7/2p4r/2p1k2p/3bPR1P/1P1pBK2/P4P2/3R4 w - -,f4f5
6k1/1b1n1ppp/2q1pn2/p2p4/Pp1P4/4PB2/1P1N1PPP/2NQ2K1 b - -,d7b6
rq2nrk1/1pbb1ppp/4pn2/pPPpN3/3P4/P1N2B2/1B3PPP/2RQR1K1 b - -,b7b6
4r1k1/pp4pp/1bpn1q2/5p2/3p1P2/P2P2P1/1PPB2BP/R4QK1 w - -,a1e1
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq -,c1e3:g2g3
5rk1/1r5p/pn1pp1p1/2p2P2/2Pb1P2/1PNR2P1/PB4KP/1R6 b - -,g6f5
r4rk1/1pp1q1pp/1p1pp3/4p2n/3PP3/1P2B2P/1PPQ1PP1/R4RK1 b - -,e5d4
8/7p/8/4Npp1/7k/4K3/6PP/8 w - -,e3f3
r6k/pp1b1rp1/2nqp2p/3p3Q/3P4/8/PP3PPP/1BR1R1K1 w - -,h5f7
r1bq1rk1/pp3ppp/2n1p3/3n4/1P6/2PBP3/4NPPP/R1BQ1RK1 b - -,c6e5
r2r1q2/pQ3p1k/6pp/2pN4/8/4B1bP/6B1/3R1RK1 b - -,h7g8
r1bbk1r1/pp3p1p/2n4p/2pNP3/2B3P1/5N1P/PP3P2/2KR3R b q g3,c8e6
r2r1bk1/pp3p2/2p1b1pp/3np3/NP6/P2P2P1/3BPPBP/1RR3K1 b - b3,a7a6
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/P1PP1N2/1PB2PPP/RNBQR1K1 b - -,d8c7
8/p5k1/P1N1P3/1p1B2p1/6Pp/7P/5PK1/r7 w - -,e6e7
1r4k1/1n3ppp/8/3R4/1R1qP3/r4P2/4NKPP/8 w - -,e2d4
6b1/6P1/6K1/7P/p3k3/2B5/8/8 b - -,e4d3
3r1r2/ppp1qpk1/2npbn2/2b1p1p1/4P3/1BPP2B1/PP3PPN/RN1QK2R w KQ -,b3e6
4k2r/pp1bnp1p/1qn1p1pb/3pP3/1P1P4/P2B1N2/1B1N1PPP/2Q2RK1 w k -,c1c3
r1bq1rk1/pp1n2b1/2p3pp/4pP2/2P1P3/1P3N2/PBQ1NPKP/R4R2 b - -,g6f5
4rrk1/pppqn1bp/1n1p1pp1/4p3/P2PP3/1PN1B1Pb/2PQNPBP/3RR1K1 w - -,g2h1
r4rk1/p2qppbp/bp4p1/3PN3/7Q/6P1/P3PPBP/1RB2RK1 b - -,g7e5
r3B1k1/pbq2p1p/4pb2/2p2p2/1P6/8/P1Q2PPP/3R1RK1 w - -,d1d7
8/3k1p2/2p3p1/1p1n2B1/p2PB3/Pb3PP1/1P1K4/8 b - -,d5b6
1q4k1/3r1pp1/3N3p/p1p1r3/P2n2P1/1p1P3P/5RQ1/5RK1 w - -,d6f7
