8/1R3B2/5kp1/8/r4bP1/8/8/3K4 w - -,f7e8
2r4k/R5R1/1B2p2p/3pP1p1/P3n3/6P1/2r2P1P/6K1 w - -,a4a5
6k1/1q2ppbp/b5p1/3p4/1n1P4/1P2BNPP/1P3PB1/2Q3K1 b - -,e7e6
8/2q2p1k/3p1Qp1/p2P3p/2P5/7P/R4PPK/4r3 b - -,e1e5
r5k1/3Q1p1p/r2p1Pp1/3Pp1P1/4P1KP/4bB2/8/8 b - -,e3f4
3r3r/5p1p/2k5/6p1/1Pb1n3/P1N1P2N/1K4PP/3R3R b - -,e4d6
2r3k1/5pp1/p6p/1b2Pp2/2NQ1K2/1P4P1/3R3P/6q1 b - -,g1f1
r3k2r/pp1n1ppp/2p5/q2p4/1b1P2QB/2NbP3/PP2NPPP/2KR1B1R b kq -,d3g6
3b4/8/1pP1k3/pP2pp2/P3N3/3K1P2/8/8 w - -,e4c3
1r1qr1k1/3n1pbp/3p2p1/p1pP4/4PP2/1bN3PP/1PQ3BK/R1B1R3 w - -,c2d2
8/1q4kp/1r3pp1/Qpp1p3/2p1P3/7P/2N2PPK/1R6 b - -,c4c3
1r1r1b2/1p3ppk/p2p3p/2q1p3/P1P1P3/1PN2QRP/5PP1/3R2K1 b - -,c5c7
8/pp3r2/2p1bnk1/4Bp1p/3P4/3B3P/PPP4K/R7 w - -,a1g1
r2r2k1/p3qpb1/1pn1bnpp/2p1p3/4P3/2P1B1NP/PPQ1BPPN/R1R3K1 w - -,c1f1
r4rk1/p1q2p1p/1p4p1/2n2P2/3B4/2P2Q2/P1P3PP/R3R1K1 b - -,a8d8
4rrk1/1p1q4/p1p2np1/P2p1p1p/1P1P1P2/3BP1PP/2Q3RK/4R3 b - -,g8g7
7k/1b1r1pr1/p3pp1p/2pp3P/5PP1/1R5B/PPPK4/4R3 w - -,b3b6
8/2k1n3/8/3pP3/2pP2K1/2P5/pB6/8 b - -,c7d7
2B5/p7/P2k4/3p4/8/8/P1RK2r1/8 w - -,d2c3
b5k1/2q2pp1/2p1p2p/p1Q1P3/8/P4BP1/1P3P1P/6K1 b - -,g7g6
rn3rk1/pp2nppp/2p3b1/8/3PP1qP/2NB4/PPQ1N1P1/2R3KR b - -,b8a6
r2qk2r/1p1b1ppp/1n2p3/3pP3/1b1P4/pP1BNN2/P3RPPP/R2Q2K1 b kq -,b6c8
4r1k1/1p1r1pp1/1B3b1p/3p1q2/8/6P1/PPQ2P1P/2RR2K1 b - -,f5e6
r3qrk1/p5b1/pPp1bn1p/2Pp2p1/P2Ppp2/B1N1P3/3N1PPP/1R1Q1RK1 w - -,b6b7
4r3/1p6/2k5/P1P2K2/1B6/P7/8/8 w - -,f5f6
8/R4kp1/2b2p2/4p3/4P3/2p2KP1/2r2N1P/8 b - -,f7e6
6k1/1p4p1/pPrrb2p/4R3/8/4NPP1/5K1P/3R4 w - -,d1e1
2r1r1k1/1p3pp1/p4n2/3p1qp1/8/PP1Q1P2/2P2BPP/2RR2K1 b - -,f5d3
rn1qk2r/pb2bppp/1pp2n2/3p4/3P1B2/P1N2N2/1P2PPPP/2RQKB1R w Kkq -,e2e3
r4rk1/1p1nbppp/1pp1p3/5b2/3P4/2N3P1/PP1nPPBP/R1B1R1K1 w - -,c1d2
rr4k1/2qbbp1p/3p2p1/ppnPp3/2p1P1P1/P1P3N1/1PBB1PPK/R2QR3 b - -,c7d8
5rk1/4R2p/2p3p1/3b4/8/1P4Q1/Pq3P1P/4R1K1 w - -,e7e8
4k3/3rb2p/p2prpp1/2pR4/2p1P3/P1P2PBP/1P1R1KP1/8 w - -,g3f4
8/6pp/8/7k/5r1P/2K2P1R/8/8 b - -,f4h4
r1bqr1k1/pppp1p1p/2nb1npB/4p3/2B1P3/P1NP1N2/1PP2P1P/R2QK1R1 b Q -,c6d4
4k3/4ppbp/3p2p1/pK6/Nn2P3/1P3P2/P2B2PP/8 w - -,d2b4
1r4k1/7p/pB1r2p1/P2p2N1/4pP2/1Q4K1/6B1/8 b - -,b8e8
r2q1rk1/pb3p2/1ppbpnpp/8/2PP4/1P1Q1N2/PBB2PPP/R3R1K1 b - -,f8e8
6k1/5p2/B5b1/1P3p1p/3Kp2P/P1R2rP1/r7/2R5 b - -,a2a3
r1b1kb1r/p2n1ppp/2p5/q3p1P1/Np1PPQ2/1P6/P1P4P/R3KBNR w KQkq -,f4f2
3r1rk1/pbn1bpp1/1p5p/4P3/1P4q1/P1B2N1P/4QPP1/1B1RR1K1 b - -,b7f3
1nr3k1/r4qp1/pQ2b2p/P1Pppp2/8/3P2P1/1R1N1PBP/1R4K1 b - -,b8c6
7k/1b5p/1p1R4/nP1p1p2/3P3P/4PPP1/2rNB3/6K1 b - -,c2d2
5rk1/1r2n1b1/3p2p1/1pqP2BP/2p1Pp1P/8/RP1QB2K/5R2 b - -,c4c3
8/2pkr3/1p4p1/p2pB2p/P2P2PP/1KPb1P2/8/6R1 b - g3,h5g4
r4rk1/p1p1qpp1/1p1p3p/3bp2n/2P1P3/P2Q1N1P/1PP2PP1/3R1RK1 w - -,c4d5
2r2k2/R7/1p2pBr1/2n4R/8/P1P5/K1P5/8 b - -,g6g8
rn1q1rk1/pp1n1ppp/2p5/4P1P1/3pP3/P4Q1P/1PPbNP2/2KR1B1R w - -,d1d2
8/7p/K7/1p6/1B2k2P/P2b4/5P2/8 b - -,e4f3
2rb4/r4pk1/Pp2p2p/1Bp5/R1Pp1p2/R4P1P/1P2KPP1/8 b - -,f7f5
r3nrk1/pb1nqppp/1p2p3/2pp2PP/2PP4/1PN1PN2/P1Q1BP2/R3K1R1 w Q -,c4d5
1n4k1/pn1q1pbp/1p2p1p1/3p4/1P1P4/1Q1BP1P1/PNrB1P1P/6K1 w - -,b3c2
2r2bk1/R4pp1/4p1bp/3p4/3P1BPP/1p3B2/1Pq1PP2/5QK1 w - -,f1a1
3rr1k1/pp1qbppp/2p1b3/B2nP3/3N4/P6P/BP3PP1/R2QR1K1 b - -,b7b6
r4rk1/1pqbppb1/p3n1p1/3p4/7N/1PPB1NP1/5P1P/R1Q1R1K1 b - -,c7c3
8/3B4/7p/6k1/P7/6PK/1r5P/8 b - -,b2a2
5r2/1R4k1/2pN2p1/2P4P/7P/5b2/1P2r3/5RK1 b - -,g7g8
8/3Bp3/3n1kp1/1p5p/p4P1P/2r3P1/5K2/R7 w - -,a1e1
r1bqr1k1/p1p2nbp/1p1p1pp1/1N1Pn3/2P1PB2/3B1N1P/PP1Q2P1/R4RK1 w - -,b5d4
4r1kr/p5pp/2pb1q2/8/8/5b2/PPPPN2P/R1B1KQ1R b KQ -,f6h4
8/p6k/1p3r2/2pPpp1p/2P5/P2P4/1P3R1P/6K1 w - -,f2e2
3rr1k1/2p2pp1/p1n2n1p/1p1qp2b/PP6/2BPPN2/1Q2BPPP/R2R2K1 w - b6,c3e1
r2qkb1r/pp1n1pp1/2p1p3/3pPn2/3P1P1p/1N1B1Q1P/PPP2BP1/R3K2R b KQkq -,g7g6
8/1R4p1/P3pk2/5p2/8/4PK2/r4P2/8 w - -,a6a7
2kr3r/pbpnq1pp/1p1pp3/8/3Pp3/3B1P2/PPPRQ1PP/2K1N2R w - -,d3e4
8/5k2/p2p4/8/R4P2/1r1K2P1/8/8 w - -,d3e4
8/5k1p/2n1p2r/p1PpP3/P2P2p1/6P1/6pP/2B3K1 w - -,c1h6
r2qr1k1/p3bppp/Qn3n2/2pp4/P7/1PN1PN2/1B3PPP/R2R2K1 b - a3,e7f8
1nNk4/5p1p/4R1p1/P1p1p3/1rP3P1/4B2P/5P2/6K1 b - -,f7e6
2r2b2/p3rk2/2p1pp1p/BbN5/1P1P2pP/1PR5/5PP1/4R1K1 w - -,h4h5
8/b4B2/Pr6/2p2p1p/2Pk3P/R2p2P1/5K2/8 w - -,f7h5
2r2rk1/p5p1/4pn1p/1pp5/3pP3/3P2qP/PPP1QRPN/5RK1 b - -,f6d7
2kr3r/1bq1bp2/p1p3pp/1p2p3/n3P3/3BNNP1/PPP1QPP1/1KRR4 b - -,e7a3
r4rk1/p4ppp/b1p1pq2/2bp4/8/2P2NP1/P1QNPP1P/R3R1K1 b - -,f8d8
1Q6/5kpp/p1qBpp2/5n2/7P/8/5PP1/6K1 w - -,b8f8
8/pp1b1k2/2n1pq1r/3p1p2/2pP1Nr1/P1P1R1B1/5QPP/5RK1 w - -,f2e2
r1bq1rk1/2p5/3ppnpQ/p2P3p/2BB2PP/5P2/PP6/1K1R3R b - -,e6e5
3R4/2Rn4/2p1k1p1/P5P1/2br4/8/8/5K2 w - -,f1f2
R2b2r1/1p1knppp/4p3/1PPpP3/3N4/8/3BKPPP/8 w - -,d2b4:a8a7
r1bqr1k1/1p3p1p/2p1nnp1/p1b1pN2/4P3/4B1P1/PPP2PBP/1R1QRNK1 w - -,f5h4
r3k3/1b5p/2p1Pnp1/p4p2/Pq2pP2/4Q2P/1P4P1/R4R1K w q -,f1d1
2r4k/3b2p1/rqp2n1p/p1Rp1p2/P3pP2/1P2P2P/KBQPN1P1/2R5 b - -,f6e8
8/p2q2k1/1p2nr1p/3p1N2/2pPr3/2P2R2/P2Q2PP/1R4K1 b - -,f6f5
3rb1k1/pp1r1p2/2n1p1pp/1B2P2P/P3Q3/q4N2/5PP1/1R2R1K1 b - -,g6g5
2r2k2/R2R4/3p4/1p2b1p1/2B5/1P4pP/5r2/6K1 w - -,d7f7
