8/2R2p1p/4p1k1/Nn2P3/4nP2/4K3/7P/8 w - -,c7b7
2r1kb1r/1p1bnppp/p2pp3/q7/2PBP1P1/1PN5/P4PBP/2RQ1RK1 b k -,e7g6
8/8/1p3np1/3Bk3/1P2PN2/4K3/8/8 b - -,f6g4
2nr4/p3q1kp/1p4p1/3Bp3/1P1Q4/2P4P/1P4P1/4R2K w - -,e1e5
r2q1rk1/pb1n1ppp/1p1p4/1NpP4/P3P3/1P1B1Q2/5PPP/R4RK1 w - -,f3g3
3k3r/pp3pp1/4p1p1/nP6/3P1PP1/P6P/4n1K1/R4R2 b - f3,e2c3
2r1n1k1/p1r1qpp1/1p2p2p/1Pp5/P1R5/3PPB1P/1Q3PP1/2R3K1 b - -,c8d8
8/2k5/1pBp1p2/p2KbPp1/P2p2P1/1P6/2P5/8 w - -,c6b5
4r1k1/p1n3bp/1p2r1p1/2p1pp2/2P4P/2Bq1N2/P3RPP1/2Q1R1K1 w - -,f3e5
r3k3/p2q3r/1pp1n3/3p4/1Q1Pp1bp/1N2P3/PP3PPB/2R1K1R1 b q -,a8c8
6n1/1p1r1pk1/3N2pp/P1nP2P1/P1P2R1P/8/2B2RK1/4r3 b - -,d7d6
8/1B2k3/6P1/p2p4/3P4/1P6/P1n2K2/8 w - -,b7d5
rn6/5kpp/p2p4/2N5/1p1N2P1/2P1q2P/PP4K1/R2Q4 b - -,d6c5
8/7p/8/1pbp1p2/p4k1N/2P4P/P3K3/8 b - -,c5d6
8/8/3k2pR/1p1p4/1P4rP/2PK2P1/6P1/8 b - -,g4g3
r4rk1/1p2npbp/p3b1p1/3p2B1/Pq6/2NB4/1PPQ1PPP/R4RK1 w - -,a1b1
r1b2rk1/p4ppp/1ppq1n2/4p3/2BP4/P1P2P2/2PQN1PP/R2R2K1 b - -,e5e4
1r2r1k1/pqp1bpp1/1p2p2p/8/2PPn2N/1P4P1/PB2QP1P/R2R2K1 w - -,f2f3
rn1qk2r/3pppbp/5np1/2pP2B1/4P3/2N5/PP3PPP/R2Q1KNR b kq -,d7d6
r2q1rk1/pp3ppp/2ppbn2/2b1p3/2P1P3/P1NQ3P/1PP1NPP1/R1B2RK1 w - -,b2b4
5k2/R7/6p1/7p/P6P/1r3P2/6K1/8 b - -,b3b4
r1q1nrk1/1p1bb1p1/6p1/2pPpp2/P1P2P2/2N1B3/2BQ1N1P/2R4K w - -,f4e5
3r4/4kp2/2p2p2/1p2p3/4P2p/1bP1Q2P/1P1qBPP1/R6K w - -,e3c5
2r5/pp2b1kp/4n1n1/3pP1p1/2pP2P1/P1P2P2/1P4NP/R1B3K1 b - -,c8f8
r2q1r2/pp2npk1/3p2np/2pPpNbR/2P1P1B1/1P3QP1/P2B1PK1/R7 b - -,e7f5
rnb1kb1r/ppp2ppp/4q3/6B1/2Pp4/2P2N2/P4PPP/R2QKB1R w KQkq -,f1e2
8/5pk1/2R5/7P/r4NK1/1b3P2/6P1/8 w - -,g4g3
8/8/p7/2p1kp2/Pp1p2p1/1P1PnKPP/2P5/4N3 w - -,h3g4
8/3r1pp1/4p1p1/Rp1k4/1p4P1/5P2/2K5/8 b - -,d5c4
5rk1/1p1r1p2/pN3bp1/3Pp3/1PK5/4BP1q/P3Q1p1/2R1R3 w - -,b6d7
8/2r1kp2/6p1/R1nPp2p/4Pn1P/4NP2/2BK1P2/8 w - -,a5b5
8/8/3pk2p/8/2PP3P/5KP1/pr6/R7 b - -,b2d2
r3k2r/pppqnppp/2n5/bN1p4/3P4/2PQ4/PP2NPPP/R1B1R1K1 w kq -,a2a4
3Q4/1R2nkpp/4r3/3p1p2/1BpP4/4P1P1/5P1P/1q4K1 w - -,g1g2
r2q1rk1/1p1bn1bp/3p2p1/1P1Ppp2/p7/3PP1P1/4NPBP/1RBQ1RK1 w - -,c1a3
7k/p7/1p4rp/4q3/2Pbp3/P6R/2Q5/1K3R2 b - -,h8g7
r3r1k1/pp1n1p1p/2pq1np1/3p1B2/3P4/2N1P3/PPQ2PPP/R3R1K1 w - -,f5d3
4kb1r/6p1/p1rppp2/1p2n2p/2P1PB1P/1P2NP2/P2R2P1/1K1R4 b k c3,f8e7
r1br2k1/pp1nbppp/2p1pn2/q2p4/2PP4/PPNBPN2/2Q2PPP/R1B2RK1 b - -,d5c4
1r2rbk1/2qb1p1p/p1nppPp1/1p2n1P1/4P3/1NN1B1R1/PPP2Q1P/2KR1B2 w - -,g3h3
5rk1/p1p1n3/1p1qn1pp/1Pp1b3/N7/B2PP1P1/b5BP/2RQR1K1 b - -,a2d5
8/2Q5/k1p4p/8/p6p/P7/1q6/5K2 b - -,b2b7
r3kb1r/3bpp2/p1pp1p2/q4N1p/4P3/2NQ4/PPP2PPP/R3K2R w KQkq h6,e1g1
rn1r2k1/p3qppn/1bpp3p/1p2pN2/P2PP3/1BP5/1P3PPP/R1BQR1K1 b - -,e7f6
5k2/5ppp/pq2b3/n1pp4/8/P2BP2P/1P1N1PP1/2KR3R b - -,a5b7
r1b1r1k1/1p1nqpbp/2pp2p1/p1n5/P3PPP1/2N1B1NP/1PPQ2B1/R4RK1 w - -,f1e1
1k1r4/1pr1qpp1/p1p1pn1p/2P4P/R1NP4/6P1/PP2QP2/2K4R w - -,a4b4
r3r1k1/p4pb1/2npq1pp/2p5/4P3/1PB1NPP1/P1Q3KP/2RR4 w - -,c3g7
1r6/p2b4/1p4kp/P1pPn1p1/2P2p2/4N1P1/6BP/1R4K1 w - -,g2e4
r5k1/1p3pp1/2p4p/p2n4/P2R4/2P3BP/1P2rPP1/1R4K1 w - -,c3c4
2kr4/2q1bpp1/2bp4/p1n1pPP1/1p4R1/3BB3/PPP4r/1KNRQ3 w - -,e1g3
1rr3k1/5pp1/1q2pbp1/2Rp4/1p1P4/2P4P/1P1N1PP1/1Q2R1K1 w - -,c5c8
6r1/1p2k2p/2p5/p4p2/1bP1b3/1K2B3/PP4PP/5BR1 w - f6,g2g3
3q1rk1/rb1nbpp1/pp2p2p/3nN3/P1BP3B/2N5/1P2QPPP/2R2RK1 w - -,h4e7
8/6Q1/7P/5K2/3q4/k7/8/8 b - -,d4d3
r4rk1/3qp1bp/3p1np1/4p3/3BP2P/1QP2P2/NP4P1/1K1R3R b - -,g8h8
4r1k1/1bq4p/pn1p1pp1/2nPrP2/2pNPbP1/2N4P/1PB2B2/3RRQK1 w - -,f2h4
8/8/4p3/3bBR2/1ppPp3/k7/r6P/2K1R3 b - -,e6f5
2r1k2r/2q1bpp1/p4n2/1p1Pp1Bp/6nP/PNNR4/1PP3P1/1K2Q2R b k -,e8g8
r1b1k2r/ppp1qpp1/1nn1p2p/3pP3/3P3P/2N2N2/PPPQ1PP1/R3KB1R w KQkq -,a2a4
r2qr1k1/3b1pbp/2pp2p1/4n2n/NP1NP3/8/5PPP/1RBQRBK1 w - -,a4c3
3r2k1/p4ppp/1p2p3/8/1Pq5/R4P2/1P1r2PP/R3Q1K1 w - -,a3a7
1r1rn1k1/1q2b1p1/1p2Pp1p/p1pN1P2/8/PP3Q2/1B4PP/3R1RK1 w - -,d1d3
8/6Kp/8/8/1p3n2/2k5/6PP/3R4 w - -,g2g4
2r1kbnr/1b1p1ppp/p1q1p3/1p6/4PP2/2NQBB2/PPP3PP/R3K2R b KQk -,c6c7
rn1qkbnr/ppp2pp1/3pp2p/8/2BPP1b1/5N2/PPP2PPP/RNBQK2R w KQkq -,b1c3
r2qk2r/1ppbnpp1/3p3p/p1b4Q/2P2P2/P1NBP3/1P1B2PP/R4RK1 w kq -,c3e4
5rk1/ppr3p1/1nn1q1pp/3pP3/1P1P4/P2Q4/3N1PPP/2R2RK1 w - -,b4b5
r5k1/pbp2p1p/1p4p1/4r3/4PP2/2P3P1/P5BP/1R1R2K1 b - f3,e5c5
6k1/3nBp1p/5Pp1/1p6/4p3/PP2Q3/2rq2PP/4R2K w - -,e3d2
1r1q1rk1/3bppbp/p2p1np1/2pP4/4P3/2p3P1/PPQBNPBP/1R3RK1 w - -,d2c3
4r1k1/p1rbnppp/1ppq1b2/3p4/1P1P4/PN1BP1P1/1BRQ1P1P/2R3K1 b - -,e7f5
8/1k3pp1/2b5/2p5/4n3/P1N5/1P1r3P/2R2BK1 w - -,c3e4
2q2bk1/1b5p/p4pp1/1p1np3/4n3/PP1BPN1P/1B3PP1/3Q1NK1 b - -,e4c3
1brr2k1/pp2qpp1/2p1pn1p/B7/3PP3/5N1P/PPQ1RPP1/3R2K1 b - -,b8c7
2r2rk1/p1q2pp1/3bpn1p/8/2Pp4/2Q3P1/P2B1PBP/2R2RK1 w - -,c3d4
4q1k1/2p2pbn/1p1p2pp/3Pp3/bQP1P3/6N1/1B1N1PPP/6K1 w - -,g3e2
8/p7/2b2k1p/1p6/3p2P1/P2B3P/5P2/2K5 w - -,f2f4
6k1/1pq4p/2p1n1p1/p4p2/2P1p2P/PP6/1b1Q1PP1/3B2K1 w - -,d2b2
7k/R3B1b1/4B1pp/2pPp3/2n1Pp2/5P2/3r2PP/6K1 b - -,c4e3
2brr1k1/2p2pp1/1p1b1q1p/p2Pp3/2P1B3/1P4P1/P4P1P/1RBQR1K1 b - -,g7g5
r1bqk2r/ppp1bppp/2np1n2/8/2B1P3/2P1BN2/PP1N1PPP/R2QK2R b KQkq -,e8g8
5rk1/2qnppbp/b1np2p1/p5PP/4PP2/2pPB1NB/PrP1Q3/R2NK2R b KQ -,a6d3
1rb1k2r/2qnppb1/3p1np1/pppP3p/4P3/P1P3PP/1P1NNPB1/1RBQ1RK1 b k -,c8a6
r1b1r1k1/pp1n1pPp/8/3p2B1/3Pp2N/8/PP4PP/R4RK1 b - -,d7b6
4k3/p3bppB/p1n1p2p/3pPP2/3P2P1/3K4/1P5P/4B3 b - -,a6a5
