8/5B2/3k3p/6p1/3nP1P1/Kp5P/8/8 w - -,a3b2
2br2k1/4Qppp/3P1q2/8/2r5/6P1/P5B1/R2R2K1 b - -,c8g4
6k1/pp1r1pp1/7p/4R3/1P2B3/P1r3P1/5P1P/6K1 b - -,g7g6
r1bq2k1/pppn1pb1/4rnpp/8/3PN2B/1Q1B1N2/PP3PPP/R4RK1 b - -,d8f8
r1bqk2r/2p2pbp/p2p1np1/np2p1B1/4P3/1B1PNN2/PPP2PPP/R2QK2R b KQkq -,h7h6
r7/1p3kb1/5q2/p1pPpP1p/P3P1r1/1PB1R2K/5Q2/6R1 b - -,g7h6
2q1rbk1/1br3p1/pn1p3p/1p2pPNn/1P6/R1P4P/1BQN1PP1/R4BK1 w - -,g5e6
8/1b5r/p4kp1/Pp1ppp2/3P2PP/3BP1K1/1P6/2R5 w - -,g4g5
r4rk1/1bqn3p/p2pp1p1/2p1Pp2/2P2P2/2PB2R1/P3Q1PP/2B2R1K b - -,a8e8
2r2rk1/4ppbp/p5p1/1p1nPqN1/3P3P/1Q1R4/P2B1PP1/5RK1 b - -,c8c4
5R2/1p4rk/2p2B1p/3q3p/p7/7P/5RP1/7K b - -,g7g8
r2qk1nr/pp2ppbp/2p3p1/3n1b2/3P4/3N1N1P/PPP1QPP1/R1B1KB1R w KQkq -,c2c4
r3k1nr/p4pb1/1pp3pp/5q2/1QB5/4B3/PPP2PPP/3R1RK1 b - -,g8e7
rnbq1rk1/pp3pbp/3ppnp1/2pP2B1/2P1P3/2N2N2/PP2BPPP/R2QK2R b KQ -,e6d5:h7h6
8/5pk1/R5p1/7p/7P/1r4P1/5PK1/8 w - -,a6c6
r2qk1br/ppp3b1/2n2npp/2Pp1pN1/QP1Pp2P/2N1P3/PB2BPP1/R3K2R w KQkq -,e2a6
r1q2rk1/ppp1p2p/3p2p1/3P1p2/2Pb4/2N2NP1/PP2P1KP/R1B2Q2 b - -,d4c3
2k5/p4p2/2p3pr/4P2p/1R2b3/1N4P1/1P3PP1/6K1 b - -,e4d5
2rq1rk1/pp2ppbp/2n2np1/3p4/3P4/1PN1PB1P/PB3PP1/2RQ1RK1 w - -,c3a4
r2qr1k1/bppb1ppp/p6n/3P1P2/2B1PB2/2N4P/PP2Q1P1/3R1K1R w - -,e2f3
5k2/4p3/p1P3p1/1r2Bp2/3P4/P5PP/4bPBK/8 b - -,e2c4
r1b2rnk/ppqn1pbp/3p2p1/2pPp1B1/2P1P3/P1NB1NP1/1PQ2P1P/R4RK1 b - -,f7f6
2r1k2r/1pqnp2p/p1np1pp1/8/2P1P3/2P1B2P/P2NQPP1/1R3RK1 b k -,c6e5
r2qkb1r/1pp1pppp/p4n2/1b1P2B1/2Q1P3/2P2N2/P4PPP/R3KB1R w KQkq -,c4b3
3k2rr/1p6/2bpQ3/p1q1p3/2P1P2p/5P1B/PP6/2KR3R w - -,e6c8
4r1k1/7p/2p3p1/1p6/7P/2PQ2P1/P3rPK1/4R3 b - -,e2e1
6r1/1p1nbpkq/2p1p1p1/p2pPn1r/P2P3p/1PPBNQ1P/3B1PP1/3RR2K b - -,g7h8
2r1k2r/p2bbpp1/2q1p3/np1pPnNp/3P3P/P1N3P1/1PB2PK1/R1BQ3R w k -,g5h3
4r1k1/4b1pp/p3Pp2/Bq1Q4/5P2/2pR4/n1P3PP/4R1K1 b - -,b5b2
8/6p1/4qpk1/4n3/2pQ4/5P2/3B2P1/6K1 w - -,g1f1
r3r3/p3qpk1/4bnpp/1p1pN3/2pPP3/P4P1P/1P1Q2P1/1BR1R1K1 b - -,a8c8
3qr1k1/3n2pp/r3Pp2/1n1p1P2/1PpP4/p1P3N1/R2B2PP/1Q3RK1 b - -,d7b6
b4rk1/p4rpp/1p1Rp1p1/4BqP1/2P1pP2/PP2P2P/6QK/3R4 b - -,a8b7
8/1p3k2/p3n1p1/P1ppPp1p/1P5P/2P1KPPB/8/2R5 w - -,f3f4
5k2/2qRb1p1/p3ppr1/1p2p3/4P2Q/5B1P/PPP2P2/1N5K b - -,c7d7
4r3/6bk/p5pp/3PR1P1/3q4/PQ6/K3R3/8 w - -,g5h6
rnbqk2r/pp1p2pp/4pn2/2p2p2/1bPP4/P1N2P2/1P1BP1PP/R2QKBNR b KQkq -,b4c3
r1bq1rk1/3nbppp/p2p1n2/1p2p3/2pPP3/1BP2N1P/PP3PP1/R1BQRNK1 w - -,b3c2
5r1k/p1q3pp/bp3b2/2p5/3PB3/2P2QP1/PP3P1P/3RR1K1 b - -,c5d4
r3k2r/3pn1pp/p2b1p2/P2PP3/1pB5/6P1/1PP4P/R1B1R1K1 b k -,f6e5
r2q1rk1/pb1n3p/1p2p3/2ppPpp1/2P1NP2/1P2P3/PBQ1B1PP/R4RK1 b - -,f5e4
4b3/p3kp2/1n1p2pp/1p1P4/1P1P1NPP/8/P4KB1/8 b - -,g6g5
8/3r1pk1/4n1pp/1p2p3/qPp1P2P/2P3P1/B2bQPK1/R1N5 w - -,h4h5
1r2k2r/p4pb1/b1p1p2p/q2p2p1/2P5/2N1P1P1/PP1Q1PP1/2R1KB1R w Kk -,f1e2
r3qrk1/pppbp1bp/n2p1np1/3P1p2/2PN4/2N1P1P1/PP3PBP/R1BQ1RK1 b - -,c7c6
5k1r/1r2p2p/2pqP1pn/p2bRpNN/1ppP1QP1/2P2P1P/PP4RK/8 w - -,g5e4
8/p4pk1/1pQ3p1/1P2P2p/4P2P/1q4P1/5PK1/8 w - -,c6d7:c6f6
2rr2k1/1q2bpp1/pp2pn1p/8/P1PN4/1P1R1PP1/1B2Q1KP/3R4 w - -,h2h3
3r2k1/1P1r1pp1/p6p/4p3/1P2B1P1/P1qpBQP1/5P2/3R2K1 b - -,c3a3
1rr3k1/1p1bp1b1/p2q2pp/2nP1p2/P1QN4/2N1P3/1P2BPPP/1R3RK1 w - -,c4b4
4qr1k/1pp4p/pb1p2p1/3PpNQn/1P2P3/8/1B4PP/5R1K w - -,g2g4
5rk1/2p3pp/3p4/p1pP2q1/P1P1p3/1P2P2P/3Q2PK/R7 w - -,a1e1
3N4/3k1ppp/p3p3/3n4/r2P4/3bP3/1B1R1PPP/6K1 b - -,d3g6
rnbqk1nr/p2pppbp/2p3p1/1p6/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq b6,c4b3
1r1qr1k1/5pbp/p1Q2np1/1p2p3/4P3/4BP2/PP2NNPP/4KB1R b K -,d8a5
r3r1k1/p4pp1/1p2pq1p/3pR3/3P4/2PQ3P/PP3PP1/4R1K1 b - -,g7g6
7r/1b1nkpp1/p2bp3/P6p/Np1RP3/1P2BP2/2r3PP/R4BK1 b - -,d6e5
r1bqk2r/pp1nppbp/2p3p1/6B1/3Pp2P/8/PPPQPPP1/2KR1BNR b kq -,d8b6
3q1rk1/p2nbppp/1p2pn2/8/3N4/1P2P1P1/PB1NQPKP/2R5 b - -,d8a8
8/6k1/PR6/3p1P2/3P4/1P3Kp1/8/2r5 w - -,f3g3
1rbq1rk1/7p/p2p1ppb/nppP4/2P2Pn1/1PQ5/PB1NP1BP/3NRRK1 b - -,h6g7
r3kb1r/1p1npppp/1p3n2/3p1b2/3P1B2/2N4P/PP2PPP1/R3KBNR w KQkq -,c3b5
1rb2rk1/2qnppbp/pp1p1np1/2pP2B1/P1P1P3/2N2PN1/1P1Q2PP/R3KB1R w KQ -,f1e2
r3k2r/1p1q1pb1/2p2n1p/p1B1p1p1/P1Q1P3/1N4PP/1PP3P1/R4RK1 b kq -,b7b5
1knr1b2/pppq1b2/5p1r/5p1p/3P1N1P/P2BP3/1PP1QPP1/1K1R3R w - -,c2c4
1r5r/p3kpp1/1np1p2p/3nP2q/1p1P4/6Q1/PPPN2PP/1NK2R1R w - -,f1f3
6R1/4b3/p1r1k3/1p4p1/1P1BK3/P1P4p/8/8 w - -,g8h8
r1bqk2r/ppp1b1pp/2np1n2/1B2p3/4P3/2P2N2/PP3PPP/RNBQR1K1 b kq -,e8g8
r1bqr1k1/pp3p1p/2ppn1p1/8/2P1P3/2N2P2/PP1QB1PP/3R1RK1 b - -,d8b6
1r6/br2k3/p3p1p1/2ppPp1p/b4P1P/2P1N1P1/PP1RR3/1NK5 b - -,a4b5
r4r1k/pp1q2pp/2pb4/5p2/2QPpN1P/4P1P1/PP3P2/R3K2R w KQ -,f4e6
r4rk1/p4n1p/2p2Q2/7b/N3P3/2P4P/PP4P1/7K b - -,a8d8
r1b1k2r/p1q1bppp/2p1pn2/3p4/4P3/2NB4/PPP1QPPP/R1B2RK1 w kq -,b2b3
4r1k1/5p2/2pb2p1/2NpP3/1RnP2qp/3N2P1/2Q2P1P/6K1 b - -,d6c5
8/8/4kp2/7p/7P/4NKP1/r4P2/8 b - -,a2a4
8/1pknr3/2p2p1p/5Rp1/pP2PPP1/P4K2/2B4P/8 b - -,b7b5
r2nk2r/1p1b1ppp/p3pn2/2b1N3/2P5/2N5/PP3PPP/R1B1RBK1 b kq -,a8c8
4rnk1/1pq2pbp/p2p1np1/2pP2B1/2P5/2NQ3P/PP1R1PP1/4N1K1 w - -,d2e2
4b3/p3kp1p/6pP/P1K3P1/2B2P2/8/8/8 w - -,c5d5:c4b5
8/R4pB1/4k2p/7P/4P1P1/1b3PK1/p7/1r6 w - -,a7a6
r4rk1/1p3p1p/2p1p1p1/p3N2q/P2Pn2P/Q3PPP1/1PR3K1/2R5 b - -,e4f6
6k1/2q2ppp/p2b4/8/1PpPp3/P6P/2QB1PP1/6K1 b - -,c7c6
2rqn1r1/1p1b1p1k/2pp1b1p/p2Pp1pP/PnP1P1P1/1PN1BP2/3QB2N/1R3RK1 w - -,g1g2
