3n4/3k4/3P1p2/3K1B2/1P4P1/8/5b2/8 b - -,d7e8
r1qr2k1/1pp1npbp/2n1p1p1/p7/3PP3/PP3NP1/1BQ2PBP/R4RK1 w - -,f1d1
r1bq1rk1/pp2pnbp/2n3p1/1BPpP3/8/2N2N1P/PPP3P1/R1BQ1RK1 b - -,e7e6
2r5/pp4p1/k7/q2p4/P3p1p1/3rP1P1/1Q1N1P1P/R1R3K1 b - -,c8c3
8/2R5/1p2p1pk/p3P2p/P4P2/2P3KP/1r6/8 w - -,c7c6
6k1/1pp3pp/5p2/p2Pr3/2P2RP1/4P3/PP1K3P/8 w - -,d2d3
1r1qnrk1/1b5p/p2pRbp1/P1pPp1B1/8/2P3P1/3Q1PBP/R2N2K1 w - -,g5f6
6k1/1pp2qpp/pn1p1b2/8/3P4/5N1P/PPQ2PP1/4B1K1 b - -,b6d5
6k1/5p1p/4p1p1/4P2P/1q1P1PP1/p1p1K3/P1Q5/8 w - -,h5h6
rn1qkb1r/ppp2ppp/4b3/3np3/8/2N3P1/PPPP1PBP/R1BQK1NR w KQkq -,g1f3
r5rk/pq3pp1/2p1p2p/3nN3/3PQ3/8/PP3PPP/2RR2K1 b - -,g8c8
6k1/1p1r1p1n/p3bp2/3p4/3R2P1/P1N2P2/1P2PKB1/8 w - -,f2g3
1r1q1rk1/pb2npbp/1pnpp1p1/1Pp5/2P1P3/P1NP2P1/4NPBP/1RBQ1RK1 b - -,c6d4
r1q1k2r/pp2bppp/2n1pnB1/3p4/3P1B2/1QP2N2/PP1N1PPP/4RRK1 b kq -,h7g6
1r2r1k1/1pq2pbp/2np1np1/1R1Bp3/2P5/2NP2P1/4PP1P/2BQ1RK1 b - -,c6d4
rnbq1rk1/p3bppp/1p2pn2/2pp4/8/1P1P1NP1/PBP1PPBP/RN1Q1RK1 w - -,b1d2
r1bqk2r/ppppbppp/2n1pn2/8/4P3/3P1N2/PPPN1PPP/R1BQKB1R w KQkq -,g2g3
4r1k1/p4pbp/2p2q2/6p1/2P5/1N3nP1/P1Q2PNP/3R3K w - -,h2h3
2rqr1k1/1b1nppbp/pp1p2p1/4n3/2PNP3/1PN1BP2/P4QPP/2RR1BK1 b - -,c8b8
r2qkb1r/ppp2p1p/2np1np1/4pb2/2PP4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e1g1
8/p4pk1/1p2b2p/4P3/4N3/4R3/P5PP/2r3K1 w - -,g1f2
r3kb1r/ppp1pppp/2n2n2/q7/2BP2b1/2P1B3/PP3PPP/RN1QK1NR w KQkq -,f2f3
r1r5/1R3pk1/p1NPbbp1/4N3/P7/8/1P1R2KP/8 b - -,f6e5
4r1k1/1qp2p1p/2ppn1p1/r5Pb/1p2PP1P/1P4Q1/P1PR2B1/1KN2R2 w - -,f4f5
4r1k1/p4rpp/1pp5/3n4/8/b5NP/3R1BP1/5RK1 w - -,f2d4
r4rk1/p1qn1ppp/3b1n2/1p2p1B1/3PP1b1/1BPQ1N2/1P4PP/RN3RK1 b - -,g4h5
r2k3r/1R1p4/p2b3p/2qn3Q/4pP1N/7P/P1P3BK/2B2R2 b - -,c5c4
r3nrk1/1pq1bppp/p7/2pPp3/2P5/4B2Q/PP2BPPP/R4RK1 b - -,f7f5
5r2/1k1p4/1pq1p2p/6p1/1P5P/8/4rPP1/3RQ1K1 w - -,e1e2
2q3k1/Rbr3p1/2p2p1p/QpPpN2P/3P4/1P4P1/5P2/6K1 w - -,e5g6
3nk3/1qp2np1/p2ppb1p/4p2P/P3P3/2PPNNP1/Q4PK1/2B5 b - -,e8d7
1rbrn1k1/2qp1ppp/4p3/p5P1/1pPnP3/4BP2/P1P2Q1P/1K1R1B1R w - -,e3d4
8/4bnkp/p1R2Nb1/P3p3/2Q1Pp2/5P2/6KP/4q3 w - -,f6e8
4r3/p1p2pkp/1p1p2p1/3Pq3/8/1Q5P/PPP2PP1/3R2K1 b - -,a7a5
r2q1rk1/pp2bppp/5n2/3P4/5B2/P1N2Q2/5PPP/R2R2K1 b - -,e7d6
2R5/1K6/P7/5k2/1P5p/2P3p1/r7/8 w - -,c8g8
r4rk1/ppqbppbp/6p1/n1pnP3/4NP2/2PB1N1P/PP2Q1P1/R1B1K2R w KQ -,c3c4
r4rk1/1q1n1ppp/p7/1ppR2N1/4P3/8/PP2QPPP/R5K1 w - -,a1d1
6r1/1B1k1p1p/3pp1p1/2rn1P2/1p4P1/5Q2/PPq4P/K2RR3 b - -,g6f5
2r3k1/1p3pp1/4pn1p/pN6/2PQ1PP1/1K2R2P/PP4q1/8 w - -,a2a3
r3k2r/1pqbbppp/p1nppn2/8/2PN4/1PN3P1/PB2PPBP/2RQ1RK1 b kq -,c7a5
3b1k2/3q1pp1/p5p1/1p6/3Q4/2P5/PP4PP/4R2K b - -,d7d4
5k2/R4p2/6p1/7p/6nP/4P1PN/6K1/3r4 b - -,g4e3
r2r2k1/1p2pp2/5npb/pNpPqb2/P1P5/1P4PP/1R2N1BK/Q2R4 w - -,b2a2
8/5B1k/7r/2pPP1n1/1p5P/5p2/8/5K2 w - -,h4g5
8/2k2p2/P2p2p1/1K4P1/3N1n1P/3bN3/8/8 w - -,b5a5
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PPP3/P1N2N2/1PQ2PPP/R1B1KB1R b KQkq e3,c5d4
r2q1rk1/pp1b2pp/2nbpn2/3p4/3P4/2NB1N2/PP3PPP/R1BQR1K1 b - -,h7h6
rnb1k2r/pp2qppp/2pppn2/8/2PP4/2N2NP1/PP1QPPBP/R3K2R b KQkq -,e6e5
6k1/5pp1/p6p/4p3/2P1n3/3rQ2P/P3N1PK/4R3 b - -,d3e3
rn2k2r/p6p/1p2q1p1/3p1bB1/2BP4/2P3Q1/P1P3P1/1R1K3R b kq -,d5c4
5rk1/1bq2pp1/p3p2p/1pb5/2p1PPQ1/2P3P1/PPNr2BP/2R2R1K b - -,d2g2
r3rbk1/1b3p1p/p5p1/Pp1Pp3/q3P3/1pQ2P2/3NB1PP/3R1RK1 w - -,d2b3
2r3k1/r3q3/p3N1pp/P2nP3/1p2pP2/2P1R2B/3Q2PP/R5K1 b - -,d5e3
5k2/ppq4p/4p1p1/4Pp2/2NRbP2/QP4P1/P1r4P/5K2 b - -,f8g7
8/8/5p2/6kp/2B2R2/6P1/3q2PK/8 b - -,d2d1
1k2r3/1pp2pb1/pn4p1/1q6/2n4Q/2PN2P1/PP3P1P/K1BR1B2 w - -,d3b4
8/8/2p5/3p3p/1PbP3P/4kP2/2p5/2N1K3 w - -,f3f4
8/1p2kpp1/p1nnp2p/3p4/1N1P4/P1K1P2P/1P1N1PP1/8 b - -,c6b4
1r5k/4q1p1/3N1p2/p1P1pPp1/8/5Q1P/P6r/K1R5 w - -,c1b1
3q3k/2p2p2/5b1p/2QP4/P3R3/5BP1/5PK1/1r6 b - -,d8d6
r1bq3r/pp2nkb1/2np2pp/2pNp3/2P1Pp1N/2BP2P1/PP3P1P/R2QKB1R b KQ -,h6h5
2r1r1k1/1p3pbp/p2p1np1/3P2B1/qP1NP3/3Q1P1P/6P1/1R3RK1 b - -,c8c7
r1bq1rk1/ppp2pbp/4pnp1/3p1n2/2PP4/Q1NBPN2/PP1B1PPP/R4RK1 b - -,f5d6
3r3k/1b3B1p/pp2P2b/8/2P3r1/B7/P4PP1/4R1K1 b - -,g4e4
2r5/p2kb3/4pp2/3p3p/3P3B/8/PP3PP1/2R3K1 w - -,c1c8
r1b2rk1/ppq2ppp/2n1pn2/2b5/2N5/1Q4P1/PP2PPBP/RNB2RK1 w - -,c1e3
8/4nkp1/8/8/4BP2/8/5KPP/8 b - -,f7f6
rnbqk2r/p3npbp/4p1p1/1ppp3P/4P3/P1NP4/BPP2PP1/R1BQK1NR b KQkq -,b5b4
2b2rk1/6p1/5p2/2N2n1p/1Pp1R3/8/P1P3PP/1K1R4 b - -,f5h6
7k/7p/1pBp1n2/1Pp1q3/5r2/1P6/6RP/3Q3K b - -,d6d5
2r5/4ppkp/p2p2p1/1P6/3qP3/1Q3P1P/2P3P1/1R5K b - -,a6b5
r3r3/pp2Pp1k/2q4p/2p2Pp1/P2pQ3/3Pn1NP/1PP5/R5RK w - -,f5f6
2b5/R4p1p/p1rk2p1/P3p3/1p2P3/4KP2/6PP/3B4 w - -,a7f7
rn1qk2r/pp2ppbp/2p2np1/3p4/2PP1P2/2NQPN2/PP4PP/R1B1K2R b KQkq -,e7e6
8/8/5k2/8/2K5/8/1P6/8 b - -,f6e6
3n1rk1/p2q1rbp/1p1pp1p1/2p5/4PPP1/2PQBRNP/PP4K1/5R2 b - -,d8c6
2kr3r/ppbnqpp1/2p1p2p/7P/2PP3R/5N2/PP1BQPP1/2KR4 b - -,h8e8
6k1/1p2n3/1p3r1p/3p2p1/1P1NB3/P5P1/1r2PP1P/2RR2K1 b - -,d5e4
8/6k1/p1n3p1/1pp1p2p/P3PpP1/1PP2P1P/4B3/6K1 b - -,b5b4
5k1r/7q/3pb2r/p3p1pp/Pp1pPpP1/1P1P1P1B/2P1QRRP/6K1 w - -,g1h1
8/1k3R1p/1p2p3/3nP1p1/3P4/rB1K4/P5PP/8 b - -,b7c6
3r1k2/1r4p1/1n3b2/3Pp2K/5p2/P2B4/1B3P1P/2R3N1 w - -,c1e1
