1k6/1p3R1p/p1b5/P3K3/1P6/8/8/8 w - -,f7h7
r1bqk2r/pp1nbpp1/3p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/R3K2R w KQkq -,e1g1:b5c4
r1b2rk1/p1qpp1bp/2p2pp1/3nP3/Q1N2P2/2P5/PP2B1PP/R1B1K2R w KQ -,e5f6
4rnk1/4r1pp/pq1p1p2/2pPnP2/2P1NQ2/1P2R2P/2B3P1/4R2K w - -,g2g4
6k1/rr2ppbp/2p1b3/3p2p1/3P4/1Pp1P1B1/P3BPPP/2R2RK1 w - -,c1c3
r6k/p1r2pp1/q1p1p2p/3nN3/3PQ3/R7/PP3PPP/2R3K1 b - -,a6b7
8/2p3k1/1p1p2p1/rPnPp1Pr/p1P1Pp1P/Nb5R/3N2R1/6K1 b - -,b3d1
4b1k1/4r2p/2p1p3/ppPpPpr1/3R3R/PP2PB1P/5KP1/8 b - -,g8h8
1rr2qk1/4ppbp/ppnp2p1/2n5/P1P1P3/QPN1BP2/4N1PP/1R1R3K b - -,a6a5
rn1q1rk1/pp1b1ppp/5n2/1Bbp4/3N1P2/2N1B3/PPP1Q1PP/R4RK1 b - -,f8e8
7B/8/3kn3/3p4/8/4K3/8/8 b - -,d6c5
r2qkb1r/pp1n1ppp/2p1pn2/8/3P3Q/2NB3P/PPP2PP1/R1B1K2R b KQkq -,f6d5:g7g6
6k1/1pQ2pp1/1np1qb1p/p7/3P4/P1N2N1P/1P3PP1/6K1 b - -,b6c4
8/5p2/4r1k1/3p1p1p/R2R4/6P1/3r1PKP/8 b - -,e6e2
r1bq1rk1/pp1nbppp/2n1p3/4P3/8/1BN2N2/PP1B1PPP/R2QR1K1 b - -,b7b6
8/6kp/r2p2p1/p2P4/7P/2p2R2/PP6/2K5 w - -,b2c3
r2qr1k1/1b1nbppp/p1pp1n2/1p2p3/3PP3/1PN3P1/PBPQNPBP/3RR1K1 b - -,d8c7
r1b2rk1/bpp2p2/p2p1qpp/4p3/2nPPn2/2P2NNP/PPB2PP1/R1BQR1K1 b - -,c7c5
r1bqk2r/ppp1bppp/2n5/4p3/2B1n3/5N2/PP1P1PPP/RNBQR1K1 b kq -,e4d6
1rb1k2r/5ppp/p1n1p3/3pP3/1qp2P2/2N2N2/PPPQ2PP/KR2R3 b k -,g7g6
b1r1qk2/p7/1pnrpPRp/2p2n1Q/2P1NP2/2BPP3/P6K/7B b - -,e8f7
8/pp6/4k3/4p3/3pR3/1P4PP/P2r4/5K2 w - -,e4e2
2r1nrk1/1b1nqpbp/p1p3p1/1pP1p3/4P3/PNN1B1PP/1PQ2PB1/R4RK1 b - -,e8c7
1r1r2k1/2Qn1pp1/1p3n2/3p1q2/PB1Pp2p/4P2P/5PP1/1RR2BK1 w - -,f1b5
8/8/3nr1k1/R5Bp/2P5/1P3KP1/5P2/8 w - -,g5f4
8/6n1/1p2pk2/1Nb3p1/2Pp1pP1/3P1P2/3BP3/3K4 b - -,f6e7
rn3r1k/p5bp/1q1B2p1/3Q1p2/8/6P1/PP2PP1P/R4RK1 b - -,f8d8
8/5k2/2p1n3/8/1b4P1/1P1n1P2/1B5P/1K1B4 b - -,b4e1
2r3k1/3Rp2p/p7/1p3pb1/8/2NK4/PPP3PP/8 w - -,g2g3
2n5/2k5/2P5/1K6/8/8/2N5/8 w - -,b5c5
3rr1k1/p3qppp/2p1b3/1p6/3R4/2P1P3/P1Q1BPPP/3R2K1 w - -,c2e4
3r3k/p2r1qRp/2p2P1Q/4p3/2b5/2N4P/pP6/K5R1 b - -,c4d3
4r1k1/1p2r1b1/p1p4p/4p3/4N1pP/4B1P1/PPP2PB1/3R2K1 w - -,c2c4
r4rk1/1b2qppp/1p6/p1Pp4/1n6/1PQ1PNP1/P4PBP/R2R2K1 b - -,a8c8
8/K7/P2k4/8/8/8/1R6/r7 w - -,a7b7
5k2/5p1p/2b1pp2/1p6/1P4P1/8/2P1BP1P/6K1 b - g3,f8e7
5rk1/1q2b1p1/p6p/1p1N1p1Q/2n1p3/PN6/1PP2PPP/3R2K1 b - -,e7d6
8/1r2k1p1/8/4Pp1p/5P2/1p2P1K1/2R5/8 w - -,c2b2
8/1p2kp2/3n2p1/p1p3Pp/P2N2rP/1PP1K3/7R/8 w - -,d4f3
rn1qr3/2pn1kpp/p2b1p2/2pPP3/NpN1P3/1P4P1/PB5P/R3QRK1 b - -,d7e5
2kr3r/pp1qbp2/4bp2/P1p1nN2/2NpP3/1P1P2P1/2P2RB1/R2Q2K1 w - -,d1d2
rq3rk1/1b1n1ppp/p2bpn2/2Np4/3P4/1P1B1N2/PB3PPP/2RQ1RK1 b - -,a6a5
8/2k5/2b1p1pp/p1PpPP2/P1n2P2/3N3P/4K3/R7 b - -,g6f5
r1bqnrk1/pp3ppp/3p4/4b3/3BP3/2N5/PPPQB1PP/R4RK1 b - -,e8f6
2Q5/4qk2/5npp/BB1p1p2/2pb1P2/6P1/7P/5K2 w - -,c8b8
2r1rnk1/ppp2ppp/4b3/3p2q1/1P1P4/2QBP3/P3NPPP/3R1R1K b - -,e6f5
5k2/5p1p/3p1N1R/p1p1r1r1/3pP3/4nP2/PPP5/2K3R1 w - -,f6h7
r3k2r/p3ppbp/1pn5/2p1n1B1/8/2P2N2/PP1NKPPP/R6R w kq -,a2a4
5k2/7R/8/4pP2/3r2p1/4NK2/8/8 w - -,f3e2
n7/P6k/3B3p/b7/1PRp1N1P/3R2P1/5K2/1q6 w - -,c4c8
2r1r1k1/1q1n1p1p/p2b1np1/1p6/2pP4/P1N1P2P/1BQN1PP1/2RR2K1 b - -,a6a5
2r1r2k/1p4bp/p5pn/3B4/P2p1P1q/R7/1PP3PP/2BQ1RK1 b - -,h4e7
r3k2r/1pn1bp1p/1p2b3/3pPp2/3P2p1/P1NNB3/1P3PPP/R2R2K1 w kq -,c3e2
1rbqr1k1/2pnbppp/3p4/1p6/3PP3/1B2BP2/1P2Q1PP/RN3RK1 b - -,e7f6
1rq2rk1/ppp1bp1p/2n3p1/3Q4/3P4/P2BPP2/1P3P1P/R1B1K2R w KQ -,h2h4
r5kB/pppq3p/3p1Qp1/8/2P1rPb1/8/PP4PP/R4RK1 w - -,a1e1
8/4q3/Q3N1pk/5p1n/3p4/1p1P2P1/5P1K/8 w - -,e6d4
r3k2r/pppnqppp/8/2p1p3/4P3/1P1PBQ1P/P1P2PP1/R3K2R w KQkq -,e1g1
r2qkb1r/pppb1ppp/2Bp1n2/8/3NP3/2N5/PPP2PPP/R1BQK2R b KQkq -,b7c6
r1bqk1nr/ppp1ppbp/2np2p1/8/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3
3r1rk1/1bqn1ppp/pp2pb2/2p1n3/2P1P3/1PN2NPP/PBQ2PB1/3RR1K1 w - -,f3e5
4r3/8/5K2/6P1/3k4/8/8/8 w - -,g5g6
6k1/3r1pbp/6p1/r1pp3P/6R1/4PN2/1Q3PP1/3R2K1 b - -,g7b2
4rqk1/3b1pbp/2n3p1/p1p5/1pN5/2P2NPP/PP1Q1PB1/4R1K1 b - -,d7e6
1r4k1/pN2R1p1/7p/7b/2pB4/2Pn4/P5PP/6K1 b - -,h5f7
r2qkb1r/1p3ppp/p2p1n2/3Pp3/2P5/3BB3/PP3PPP/R2Q1RK1 b kq c3,f6d7
rq1rb1k1/pp2npp1/2n1p2p/1N1p4/3P4/P2BPN2/1P2QPPP/2R2RK1 w - -,e3e4
8/4k3/1p6/2pP3r/2P1p1R1/8/r4n2/4R2K w - -,h1g1
r1bq1rk1/pp3pp1/2p2n1p/3pb3/7B/2PBP3/PPQN1PPP/2KR3R b - -,b7b5
2k4r/pb3p2/2p1pP2/qp2n3/1bp1N2P/4B3/PP2BPP1/1Q3K1R b - -,a5d8
rn1qkb1r/pb3ppp/1p2pn2/3pN3/2PP4/3B4/PP3PPP/RNBQ1RK1 b kq -,d5c4
r1bq1rk1/ppp3bp/2np1pp1/3Pp3/2P1P1nB/2N2N2/PP2BPPP/R2QK2R b KQ -,c6e7
r4rk1/4ppbp/3p2p1/q1pP4/2n1P3/6P1/PPQB1PKP/RN3R2 b - -,a5b5
3r3k/pp4p1/2n1Qp1p/2P2P2/8/1N5P/1q4P1/4R2K w - -,e6f7
r7/2p1Rp1k/3p1q1p/3b2p1/8/8/1P2Q3/3NK3 w - -,e7c7
r2qk2r/2pnbppp/1p2p3/1B1p4/bQ1P4/2P1PN2/PP1N1PPP/R3K2R b KQk -,e7b4
8/1p5p/p3kpp1/1b3p2/3B1P2/4K3/PP3P1P/8 w - -,h2h4
1n2k2r/2bb1pp1/pR5p/P1qBp3/4Q1PP/8/2P1KP2/1R6 b k -,c7b6
4r3/5pk1/5bp1/R2N1n1p/3p1B2/3P2P1/5P1P/6K1 b - -,e8e1
r1bq1rk1/5pbp/p5p1/n3p3/Pp2P3/7P/1PBN1PP1/R1BQ1RK1 w - -,d2b3
8/Q3p1k1/3qP1p1/3p3p/2nPpP1K/6P1/7P/8 w - -,f4f5
2r2rk1/1pq2ppp/p2pbb2/n2Bp3/4P3/2N5/PPPNQPPP/R4RK1 b - -,a5c6
1k4r1/pp2n2p/4p3/Q1rpPp2/2qN4/P3B3/2P2PPP/1R4K1 w - -,d4c6
r7/pb2nk2/1p2p1p1/2p2p2/2P5/2BBR3/PP1K1PPP/8 w - -,e3h3
6k1/q5p1/2p2p1p/1b6/2pP4/2P3BP/5PPK/R3r3 w - -,a1a7
q3r1k1/1br2pbp/5np1/1pppn3/8/1P2P1P1/PB3PBP/Q2RRNK1 w - -,b2e5
6k1/1p1r1pp1/p1nNp2p/2brP3/2R4P/P1B3P1/1P2RPK1/8 w - -,d6e4
r5k1/5ppp/2p1q3/ppP5/1P6/P6P/2Q2PP1/5RK1 b - -,a5b4
r7/p2k2pp/2p2p2/8/8/1PP2P1P/P4P2/4R1K1 w - -,e1e4
8/5p2/5k2/7R/1P1K1P2/5r2/8/8 w - -,h5h4
