8/3R2p1/1R3bkp/p7/P3KP2/4P2r/8/8 w - -,d7d5
r2qkbnr/ppp2ppp/2n1p3/3p1b2/3P4/2P2NP1/PPN1PPBP/R1BQK2R b KQkq -,f8e7
rnbq1rk1/ppp1ppbp/5np1/8/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 b - -,c8g4
4r1k1/5p1p/3p4/1P1Pn1p1/8/2pq2PP/5PB1/R1Q3K1 w - -,c1g5
r3r2k/p2b1pqp/3ppn2/1p3pN1/3pP2Q/3P2R1/PPP3PP/R2B2K1 w - -,g5e6
5k2/R7/5pp1/3P3p/p1r1P2P/4K1P1/8/8 b - -,c4b4
8/8/1r4p1/p4Pk1/8/1P1R1K2/1P6/8 b - -,g6f5
r2q1rk1/pp2ppbp/n1p1bnp1/8/Q2P4/2N2NP1/PP2PPBP/R1B2RK1 b - -,d8b6:f6d5:d8c8
r1bqr1k1/pp3pbp/2pp1np1/4pP2/2PnP3/3PN1P1/PP2N1BP/R1BQ1RK1 w - -,g3g4
r2qnrk1/1b1n2bp/pppp2p1/5p2/P2P1PP1/2N1B1NP/1PP3B1/R2Q1RK1 w - -,g4g5
rn1q1rk1/p3nppp/bpp1p3/3p4/1b1PP3/2N1BP2/PPPQN1PP/2KR1B1R w - -,a2a3
r3rnk1/pp3ppp/2p1bb2/q2p4/3P2P1/2NBPN1P/PPQ2P2/1K1R3R b - g3,c6c5
5k2/3rpp1p/p6P/Pp3rP1/3P4/2P3R1/2K1R3/8 w - -,e2e5
2r1r1k1/pq1n1ppp/2p1p3/1p2N3/2PPQ3/bP6/P2B1PPP/R1R3K1 w - -,c1c2
3rkb2/1b3p2/p3p1rp/q3P2Q/1pPn1BN1/P4P2/6P1/R2B1RK1 b - -,b4a3
1k1r1r2/ppp5/3bR3/3P2pp/4Qq2/P1P2P1P/1P4P1/4R1K1 w - -,e4f4
R7/8/8/4p3/8/6pK/4nk2/8 w - -,a8g8
8/6N1/1pk5/p4P2/2p5/2n5/8/1K6 w - -,b1b2
r4rnk/bppq1ppp/p1npb3/4p3/4P3/1BPPBNNP/PP3PP1/R2QR1K1 b - -,g8e7
b3k2r/3p1pbp/2n1p1p1/1pq5/3PP3/3P1N2/1PQ1RPPP/2B2BK1 b k -,c5c2
8/6k1/5p2/2B2B1p/6p1/8/5PK1/8 w - -,g2g3
8/6bk/p2R3p/2p5/2NnP2P/1r1PB3/1P6/7K b - -,b3d3
2r2rk1/2q3p1/p1p4p/1pPppPb1/1P6/P4PB1/6B1/2RQ1RK1 b - -,g5e3
2kr3r/pp3bb1/3p1pp1/2pPp1Pp/2P5/3PB2q/PP2QP1N/1K1R3R w - -,h2f3
r1bq1rk1/b1p1npp1/p2p3p/np6/3PP3/2N1BN1P/PPB2PP1/R2Q1RK1 b - -,c8d7
3r4/1p3pk1/p5p1/1P1Pb2p/q6P/3Q2P1/3RNPK1/8 w - -,b5a6
r1bq1rk1/3n1ppp/p2b1n2/1p1Pp3/4P3/1p3N2/P1B1NPPP/R1BQ1RK1 w - -,a2b3
r3k2r/pp3pbp/nqpp3n/4pb1p/1PPP4/P1N1PN2/4BPP1/R1BQK2R w KQkq -,c4c5
2r3k1/p2q3p/5Pp1/1r1n1bN1/2N5/1Q1n2BP/1P3PP1/2R2BK1 w - -,f6f7
r1b1nqk1/pp2r1bp/3p2p1/2pP1p1n/2P1PB2/1PNN2P1/P1Q3BP/4RRK1 b - -,h5f4
6r1/8/1p1pkb2/pPp4p/P1P1Pp2/3P1P1K/8/4BR2 w - -,e1d2
r3rbk1/1q1b1p1p/2p1n1p1/3pB3/3P4/1B3N1P/P3RPP1/2Q1R1K1 b - -,c6c5
4r2k/5Qb1/7p/p4R2/8/2P5/PP4Pq/5K2 w - -,f7e8
3r3k/p2r2b1/1p5p/2P1p1pb/4B3/1P2B1PP/P5K1/2R2R2 b - -,b6c5
5rk1/1b2q1b1/pp2p2p/n1p5/P3Pp2/N1P3P1/1P2NKB1/2QR4 w - -,g3f4
r1bqr1k1/1p3pbp/p2p1np1/2nP4/P1p1PB2/2N4P/1PBN1PP1/R2Q1RK1 b - a3,f6h5
rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,e7e6
4rrk1/5pb1/2p3pp/p1qbP3/Pp2B2Q/5N2/2P2RKP/4R3 w - a6,h4f4
r3k2r/pp2qpp1/2pbnnp1/3Pp3/6P1/1N1PP2P/PP1B1PB1/R2QK2R b KQkq -,f6d5
r2qk2r/1p1bppb1/p2p2p1/3Pn2p/3N3P/1B2BP2/PPP1Q1P1/R3K2R w KQkq -,e1c1
r2q1rk1/1bp3bp/pn3pp1/1p6/3PN3/5N2/PPQB1PPP/R3R1K1 w - -,a1d1
2r5/1r1p3p/4p3/RPk2pp1/2P5/6P1/5P1P/2R3K1 w - -,a5a4
r3r1k1/2B2p1p/6b1/3P2P1/P3p1N1/2P3Q1/4q2P/5RK1 b - -,e8e7
4r3/1p3pk1/p1n3p1/3p4/3P3r/2N1PKP1/PP6/2R5 w - -,g3h4
r1k5/5pp1/4p1p1/1p1pP3/1P1P4/b4P1P/4K1P1/R3B3 w - -,e1c3
6k1/1pq2pp1/p6p/3P4/3Qn1B1/6PP/PP3P2/6K1 b - -,e4d6
rnbq1rk1/pp2bppp/4p3/2pnN3/2pP4/N5P1/PP2PPBP/R1BQ1RK1 w - -,a3c4
1r1qn1k1/p2n1p2/1pR1p1p1/PP1pP2p/1P3P2/2Q3PP/4BB1K/8 b - -,b8a8
2r2rk1/1q2bpp1/p3pn1p/1pp1N3/P2P4/1QN3P1/1P2PP1P/R2R2K1 w - -,a4b5
6k1/p4p2/2b3pp/8/2Bbr2P/PP1RN1P1/5P2/6K1 w - -,c4d5
2rr1bk1/1bq2p1p/ppnp2p1/3B2N1/5B2/3Q2PP/PP2PP2/2RR2K1 b - -,d8d7
4r1k1/7p/1p1p2p1/pPnP4/2P2p2/1P2q3/2B3PP/3Q1R1K w - -,d1g4
8/2k5/p4R2/P1p5/1p5p/8/3Kb3/8 b - -,e2b5
rnbqkb1r/pp3ppp/2p1pn2/8/2pP4/3BP3/PP1N1PPP/R1BQK1NR w KQkq -,d2c4
1r3rk1/pb1nq1pp/1p1bp3/1P1p1p2/Q2Pn3/3BPN2/PB2NPPP/R4RK1 w - -,a4b3
r3r1k1/1bq2pb1/p2p1np1/2nPp1N1/p1p1P2p/R1P1BN1P/1PB2PP1/R2Q2K1 b - -,a8b8
8/4n2p/1P5b/4k3/2ppP2P/6K1/5P2/3R4 w - -,d1b1
r4rk1/1pp1bppp/p7/1P1nNb2/P2P4/2P3P1/1B1N1PP1/R3R1K1 w - -,c3c4
4r1k1/p4p1p/6p1/2P5/3R1P2/5QP1/6KP/4q3 w - -,f4f5
8/1pR3p1/1r3k2/5pp1/1P6/2P4P/5KP1/8 b - -,g7g6
2r3k1/1p4rp/pN1pb3/5pq1/1QP5/1P6/P4RPP/3R2K1 b - -,c8c6
3q2k1/1PP2p2/n5pp/p3P3/Pb3P2/5BPP/2Qp1BK1/8 b - -,a6c7
rnbq1rk1/pp2bppp/4p3/2pN4/3P1B2/4PN2/PP3PPP/R2QKB1R b KQ -,d8d5
rnb1kb1r/pp2pppp/5n2/q7/3P4/2N5/PP3PPP/R1BQKBNR w KQkq -,f1c4
r1bqkb1r/pp1pnppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f1e1:c2c3:b1c3:d2d4:b2b3
2b4k/3n3p/3B1b2/1p1P1pp1/1P6/5BP1/PQ4KP/8 b - -,f6b2
r2q1rk1/5ppp/2np4/p2bp1b1/1pP1P3/3Q2P1/PPN2PBP/R4RK1 w - -,e4d5
8/5pk1/1p4p1/8/R2N1P2/p2rPK2/Pn3P2/8 w - -,a4a6
6k1/2p5/3p1p1p/brpP2p1/4P3/P5BP/1r3PP1/3R1RK1 w - -,f2f4
r2qkb1r/p2n2pp/2p1pp2/2Pp4/3Q1B2/4PP2/PPP2P1P/RN2K1R1 w Qkq -,f4d6
r2q1rk1/1bpn1pb1/ppn3pp/4p3/P3P3/1BN1BN1P/1PP1QPP1/3RR1K1 b - -,g8h7
r2q1r1k/pp4bp/4n1p1/3p4/3Ppp2/1P2P3/PBRQBPPP/4R1K1 w - -,e2g4
R7/P3p1k1/8/5P1p/r4K1P/3p4/8/8 w - -,f4g5
8/1p3k2/2p4p/p3BK2/P3PP1P/3r3r/1P6/R7 w - -,a1g1
8/8/3k3p/1p1p4/2n3P1/pNK4P/N4r2/8 w - -,b3c1
r3r1k1/5pp1/4p2p/p1qpN2Q/8/2P5/PP3PPP/R4bK1 w - -,h5f7
8/8/4pk2/5pp1/6P1/1Bn2K1P/8/8 b - -,f5f4
rnbqkb1r/pp3ppp/2pp1n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f1g2:d2d3
r1bqr1k1/3n1pbp/pp1p1np1/2pP4/P7/2N3PP/1P1NPPB1/R1BQ1RK1 w - -,e2e4
rnbqk2r/pp2bppp/4pn2/2pp2B1/3P4/2PBP3/PP3PPP/RN1QK1NR w KQkq -,b1d2
r1bqk2r/pp1pppbp/2n2np1/4P3/Q7/2N2N2/PPP2PPP/R1B1KB1R b KQkq -,f6g8
r1b1k2r/pp1pppb1/2n2np1/5N1p/4P2P/2N1BP2/PqP3P1/R2QKB1R w KQkq -,f5g7
1k3r1r/R4p2/p2NpQpp/1b1nP3/3B4/2PB4/q1P2PPP/1R4K1 w - -,b1b5
5rk1/5pbp/4p1p1/8/1n6/B7/P4PPP/3Q2K1 b - -,f8b8
8/1r3p2/R5p1/pP1bk2p/8/3p4/1P1N1KPP/8 w - -,a6a5
1q3rk1/p4pb1/Q4np1/7p/2BR3P/2N2PP1/Pr3P2/3R2K1 b - -,b2b6
