8/b5pk/Q5p1/8/1q4Pp/5B1P/P4PK1/8 b - -,b4d4
2b2rk1/1p2b1pp/2p1p3/1q6/2NPP2P/PpQ3B1/1P4P1/1K2R3 b - -,c6c5
3b4/1b1k1ppp/p7/1pB1p3/1P2PP2/P3K1P1/7P/5B2 b - -,f7f6
6k1/pp2R1p1/5rp1/1q2n2p/7P/5P2/PP1Q4/2R4K w - -,d2d8
3r1rk1/1b3pb1/pqn1p1p1/1p2P2p/1P1P3P/P5P1/1N2NQB1/3R1RK1 b - -,d8d7
8/1pp1R3/p4p2/Pk4p1/8/1PK2r2/8/8 w - -,c3b2
rn1qk2r/pp2bppp/2pp1nb1/6P1/3P4/2NBBN1P/PPP2P2/R2QK2R b KQkq -,f6d7
3r4/1pk2p1p/p5p1/2P1pbP1/1PPnB3/P4P2/3R3P/1K2R3 b - -,d4f3
1Q6/3r1pk1/R2Pb2p/2q3p1/8/p3P1BP/5PPK/8 b - -,g7f6
5rk1/6pp/8/8/4R3/P3n1PB/3r3P/2R3K1 b - -,e3c2
3q1rk1/2pbnpp1/3p1n1p/N7/1r1NP3/1B6/1P3PPP/R2Q1RK1 w - -,f1e1
3rr1k1/pb1nqppp/2pb1n2/1p2p3/3PP3/1PN2N2/PBQ2PPP/3RRBK1 w - -,g2g3
1k5r/p1p3bp/3q2p1/5p2/1PPpbPPQ/P2Br3/2KN3P/R4R2 w - -,d3e4
r1bq1rk1/pp2bppp/2n2n2/8/2Pp1B2/5NP1/PP3PBP/RN1Q1RK1 w - -,f3e5
r1b1k2r/3n1ppp/pp1qpn2/2p5/3P4/2N3P1/PPQNPPBP/R3K2R b KQkq -,a8b8
6r1/3nk1r1/bp1p1n1p/p1pPp3/P1P1Pp2/3Q1B1P/1P3RPN/6K1 b - -,g7g3
4rq2/1p4kp/2np2p1/8/1p3P2/1Nb2Q2/P5PP/2BR2K1 w - -,c1e3
r2q1rk1/pp3pbp/2pp1np1/3Pp3/1nP1P1b1/2N2N2/PP2BPPP/R1BQR1K1 b - -,a7a5
8/5p2/8/4kP2/3pnp2/5K2/7P/3B4 b - -,d4d3
8/5k2/p3pP1b/1p5P/1P1B4/5Kp1/8/8 b - -,h6d2
8/p7/1b3k2/3B3p/7K/7P/P5R1/3r4 w - -,d5f3
4r3/1b6/p6p/3P3P/1p3kR1/1P6/P1r1B3/4RK2 b - -,f4f5
2r2rk1/ppqnppbp/2p2np1/8/2P5/4BNPP/PPQ1PPB1/2R2RK1 b - -,a7a6
6k1/1b3ppp/1p6/1r1p4/1P1R4/6P1/4rPBP/5RK1 w - -,f1c1
r4rk1/1bqnbpp1/3ppn1p/pN6/P3PP1B/1N1B4/1P2Q1PP/R4R1K b - -,c7b8
1r4k1/7p/p2p2p1/q1pPp3/npP1P3/3BbP2/P1Q1N2P/K6R w - -,h1b1
1rbr1bk1/p4p1p/2p3p1/q1Nnp3/2Rp4/PP1P2P1/1BQ1PPBP/5RK1 w - -,b3b4
r1b1nr1k/1p1nqpb1/p2p2pp/P2Pp3/4P1P1/2N1B2P/1P1N1P2/R2QKBR1 w Q -,f1e2
rnb2rk1/ppp2pbp/3p2p1/3Pp2n/2P1P2q/2N2P2/PP1Q1BPP/R3KBNR b KQ -,h4e7
rnbqkbnr/ppp2p1p/8/4p1N1/3P2p1/8/PPP1P1PP/RNBQKB1R w KQkq -,d4e5
8/8/6R1/1k1p1pP1/2pP1P1p/2P1P3/7r/4K3 b - -,h4h3
bqr2bk1/3n1ppp/3p1n2/1p1Pp3/2p1P3/1PP2N2/2QN1PPP/2B1RBK1 b - -,d7b6
4B3/8/7p/1P2kP2/2K3P1/8/5b2/8 b - -,f2g1
2k5/2p5/P4p1p/3P1K1P/4PP2/3B4/1p1b4/8 w - -,f5f6
5r2/ppkr4/7p/2p1b3/4B2P/P4P2/1PP5/1K4RR w - -,g1g6
r1rq2k1/pp2p1bp/3pbpp1/3N4/1PP1P1n1/P3B3/3QBPPP/1RR3K1 w - -,d5f4
2n3k1/pp6/4b1pp/1P6/1B1K4/P4P2/6P1/5B2 w - -,d4e5
8/6k1/4p2p/p1b2p2/B6P/5RP1/1r3PK1/8 w - -,f3f4
r1b2n1k/pp1r1pbp/6p1/2PN4/2BpN3/1P6/P4PPP/2R1K2R w K -,e1g1
rnbqkb1r/pppppppp/8/8/3Pn3/8/PPP1PPPP/RNBQKBNR b KQkq -,g7g6
8/5pk1/6pp/3P1n2/2R2P2/7P/5PBK/3r4 b - -,d1d2
r3k2r/1q1nbp2/3pp1p1/pPn3Pp/1p2PP1P/1P2B3/P3QNB1/2RR2K1 w kq -,d1d6
q1r3k1/1b2bppp/p3pn2/1p1n4/NP6/P3PN2/1B2BPPP/1QR3K1 w - -,a4c3
r1b3k1/1p3pb1/p2r1q2/2B1pP2/N1P3p1/6P1/1PP2Q2/1K3R1R b - -,d6c6
r4rk1/pp1bppbp/2n3p1/1B6/3P1B2/1PP2N2/5PPP/R4RK1 b - -,a7a6
r1bqk2r/4npb1/p1npp1pp/1pp5/4P3/2NPBNP1/PPPQ1PBP/R4RK1 w kq b6,d3d4
2N2r2/1P3pkp/6p1/2P1p3/p7/Q1n4P/3q1PP1/4R1K1 w - -,a3a1
r3kb1r/1b2n2p/pqn3p1/1pp2p2/3PPP2/P2P4/1P2N1BP/RNBQ1RK1 b kq -,c5d4
r2qk2r/ppp1ppbp/1nn1b1p1/8/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,e8g8
6k1/q3r1pp/1p2ppnP/p7/1bP1Q1B1/1P1R2P1/PB3PK1/8 b - -,g6f8
r5k1/1p3p1p/p1rnp3/P2P2p1/1P1b4/6P1/Q1RB1qBK/2R5 b - -,c6c2
rn1q1rk1/ppp1bppp/5n2/3p2B1/3P2b1/3B1N2/PPP2PPP/RN1Q1RK1 w - -,b1d2
1r3rk1/p4ppp/2p1p1b1/q1b1P3/6P1/1RP4P/P1P1QPB1/2B2RK1 w - -,c1b2
r1b2rk1/2q4p/2p2npQ/p2pp1N1/2P1pn2/2N4P/PP1R1PP1/R4BK1 w - -,g2g3
8/5R1p/6p1/6k1/8/p6r/8/K7 b - -,h7h5
r1bQ1rk1/4ppbp/n4np1/p1p5/1p2P3/P3BP2/1PP1B1PP/R1NNK2R b KQ -,f8d8
2r2r2/1p2p1bk/p1q1bnp1/P3p2p/4P3/2N3Q1/1PPNB1PP/R4R1K b - -,c6c5
r4rk1/1p2bppp/1qnp4/pNp1p3/2P1P1b1/P2P4/1P1B1PPP/1R1Q1RK1 w - -,d1g4
5rnk/p2q1rbp/2bp1pp1/2p1pP2/2P1P1P1/4B3/PP1QNRBP/5R1K b - -,g6g5
1q6/4Nppk/pb5p/1p1R2r1/4P3/P4P2/1P3QP1/7K w - -,f2c2
2kr1b1r/pp3p1p/2p1pnb1/5p2/3P1P1q/1B2B1NP/PPP3P1/R3QRK1 b - -,h8g8
5rk1/3n1pp1/p3pn1p/1p6/1P1P3B/1bR2P2/1P2N1PP/6K1 w - -,c3b3
r2q1rk1/1p1bbpp1/p1n1pn1p/8/P1BN3B/2N1P3/1P2QPPP/2R2RK1 w - -,f1d1
8/7k/6p1/2P5/2Q3PP/1K6/1P6/3q4 w - -,b3a2
r1bqr1k1/2p2pp1/pb1p1nnp/1p2p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 w - -,a2a4:f3h2
4qr1k/1bp3np/3p4/r2npp2/5P2/1PN5/PK2N1PP/2QR1B1R w - -,c3d5
r3k2r/1bq1pp1p/p2p3b/1p3p2/3PP1n1/2PB1N2/1P1N2PP/R3QRK1 w kq -,e1h4
3r2k1/pp3pp1/1nprp1p1/8/3P4/1BP2PP1/PP5P/3RRK2 w - -,f1e2
2rn4/4qpk1/1p2p2r/1P1pP1bp/N2P2p1/1N1Q1P2/2R1R1PP/6K1 b - -,c8c2
r5k1/6p1/7p/3b4/3Bp3/p1Pn2P1/6BP/R5K1 w - -,c3c4
5r2/p5bk/3p1qpp/3Pp3/PQ2P3/4B1P1/6KP/2R5 w - -,c1e1
2rq1rk1/p2nbppn/bpp1p2p/3P4/2P1N3/1PN3P1/PB3PBP/1R1QR1K1 b - -,e6d5
7k/6p1/1p1R3p/2r4P/1K6/P7/8/8 b - -,c5h5
1r1q2k1/5p2/3P2p1/1pN1Qn2/1P5b/5P2/4PP2/3R1K2 b - -,d8e8
8/6p1/3Rb1k1/5p1p/7P/5PK1/r5P1/8 b - -,g6f6
2r2rk1/1b1qnppp/p3p3/1pbp4/3pPP2/3P2P1/PPPBQNBP/2R2RK1 w - -,g1h1
1r2b1k1/R6p/6p1/3p4/2pN4/2P2P2/1b2B1PP/5K2 w - -,d4e6
r3r1k1/p4pp1/1npq1n2/1p1p1P1p/1P1P1N2/P1Q2PP1/7P/1B2RRK1 w - -,f4d3
5r1q/5P1k/1pn1PQp1/p1p3Pp/P1P4P/3PR3/6K1/8 b - h3,h8g7
r4rk1/1p2pp1p/p2pbnp1/q7/2P1PP2/1PNB4/PQ4PP/3R1R1K w - -,d1e1
