6k1/pp6/7Q/2PP1bp1/6P1/7K/P3q2P/8 b - -,e2f3
r4r2/pb2q1k1/1pn2pp1/3Bp2n/1PN1P3/2P2N1P/P4QP1/R4RK1 w - -,c4e3
4R3/3P2pk/4Kb1p/5N2/8/4P3/8/7r w - -,e8f8
2r1k2r/1b3ppp/ppqBp3/8/P1pP4/2P2PP1/3NQ2P/R4RK1 b k -,c6d6
3q1r2/6bk/3pb2p/5p2/pPPp4/1r1PpPP1/1P2Q1BP/1R2NRK1 w - -,b4b5
7r/1p2pkbp/6p1/BN1P1p2/N3n3/1P3RP1/1P5P/6K1 w - -,f3d3
r1b1r1k1/p2nqpb1/2pp1npp/4p3/2P1P3/2N2N2/PPQ1BPPP/R1BR2K1 b - -,d7b6
4r1k1/6p1/4rp2/P1p4p/1P1nb3/4N1P1/R4P1P/B2R1K2 b - -,d4f3
rnq2rk1/pb2bppp/1p1ppn2/2p5/3P1B2/2PBPN1P/PP1NQPP1/R4RK1 b - -,f6d5
r3k2r/2p2pb1/p1Pp3Q/4p3/P1p1P1p1/2N2PN1/1PP4P/5RK1 b kq -,g7h6
8/5p2/8/5p2/3nn3/3kN1P1/6K1/5N2 w - -,e3d5
1rbr1k2/p5bp/1p6/2BBpp2/2P5/P3P1P1/5P1P/1R3RK1 b - -,f8e8
r7/1b6/p7/1p1pkpp1/1PpNn3/R5P1/P3PP2/3R1K2 w - -,f1g2
r4r1k/p1Nq3p/1p1P2p1/5p1n/2Q5/2P2P2/P5PP/R3K2R w KQ -,c4d4
4r1k1/3Q1pb1/p5q1/2B3Pp/pP6/P7/7P/5RK1 b - -,e8e4
r1b1k2r/1ppp1pp1/p1n2q1p/b2QP3/8/PB6/1PP2PPP/RNB2RK1 b kq -,f6e6
r4rk1/3bp2p/p4p2/2pP1qB1/P6Q/7P/6P1/3R1B1K w - -,g5c1
6k1/3b1pbp/pp2p1p1/8/2P1P3/PnN2P1N/6PP/1K3B2 w - -,b1c2
4rrk1/1bq2p1p/p2p2p1/1p2bP1n/3B3P/P1PB4/1P2NQP1/R4RK1 w - -,d4e3
5r2/1R1R1p2/6k1/6pp/8/2r4P/6PK/8 b - -,h5h4
2rk3r/1p1nbpp1/pq1p4/3PpB1p/8/1N3P2/PPPQ2PP/1K1R2R1 b - -,g7g6
8/1Q3k2/3p1pp1/2pP4/p1P2P2/5KPq/P7/8 b - -,f7g8
1rbqk2r/3nppbp/p2p1np1/1p1P4/4P3/P1N1BN2/1P1Q1PPP/R3KB1R w KQk -,f3d4
4r3/p1K2p2/P1R5/1P3k2/4p3/5b1p/7P/5R2 w - -,c7b7
r4rk1/2p1qpb1/ppb3p1/2n4p/P1B5/2P1PN1P/1P1RQ1P1/3R1NK1 w - -,c4d5
4r3/1b2r1bk/p1p1pqpp/1pPn1p2/1P1P1B1P/PB1R1NP1/5P2/2Q1R1K1 b - -,f6f7
8/1p1knpp1/p1r1p2p/3p4/3P4/1P2P3/P2KNPPP/2R5 w - -,c1c6
r4rk1/1p3pbp/3p2p1/q1pPp3/p2n4/P2P2P1/1P2PPBP/R1BQ1RK1 b - -,d4b3
2rb2k1/1p4pp/p5p1/2P1r3/R7/4B3/1P3PPP/5RK1 w - -,a4b4
1r3rk1/1p2Qpbp/p5p1/n1BP4/qR3P2/6PP/6B1/5RK1 b - -,a4c2
1r6/2p2pkp/3p2p1/3P4/5pPP/1Bq5/PP1r4/K1N2R2 w - -,b2c3
r2r2k1/1bq1bppp/p2ppn2/1p2n3/3NPB2/P1N5/1PPQBPPP/3R1RK1 w - -,f2f3
8/8/p1R1p3/Pp3p1p/1r5P/5P1K/5k2/8 b - -,e6e5
2r2rk1/pp2bppp/4p3/3p4/n4B2/4P3/PPPNKPPP/1RR5 w - -,c2c4
8/p1n5/5kp1/2p3N1/P1r4P/4R1K1/8/8 w - -,g5e4
2bq1rk1/pr2ppbp/1p1p1np1/1BpP4/P3PB2/5N1P/1PP1QPP1/R3R1K1 w - -,f4d2
3r3k/1R4pq/3N1p2/p7/P6p/2P4Q/1KP5/8 b - -,d8f8
7k/6p1/1pK4p/p2Q4/Pq1N1P2/1P6/8/8 b - -,b4f8
8/2n1k3/3p4/B7/4B3/2b2K2/8/8 w - -,a5c3
7k/6pp/1p6/p1p5/P1Pr2P1/4N3/3p1K2/3B4 w - -,d1e2
3qr1k1/p1n2bpp/1pP5/1P2p3/P1Nr4/2Q1N1P1/6BP/4R1K1 w - -,g2f1
rnbqk1nr/pp2bppp/2p1p3/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,f7f5
r1b2r2/p7/2p5/3p4/2kP3R/4B3/P4P2/2K4R b - -,c8a6
3r2k1/5pbp/4b1p1/2QBp1q1/N4n2/1P3P2/P1P4P/1K1R3R w - -,d5e6
1q3rk1/prn1pp2/3p2pp/2pP4/2N1P3/PPQ3P1/5P1P/RR4K1 b - -,c7b5
1rq2r2/p3b1kp/2pn1pp1/B1N1pb2/P7/2Q3P1/1PPR1PBP/5RK1 b - a3,d6f7
r4rk1/pp1b2pp/1b6/3NPp2/1P3P2/P1PB4/7P/R3K2R w KQ -,d5b6
6r1/1N1R1pkp/p1r2bn1/4p1p1/8/1P2B1PP/P2RPP2/6K1 w - -,b7d6
3rbk2/2R2p1p/pr2pp2/1p6/3PPP2/P3K1P1/6BP/3R4 w - -,d1b1
r1bqk2r/pp2ppbp/3p1np1/6B1/2P1P3/2N5/PP1Q1PPP/R3KB1R b KQkq -,e8g8
rn1qkbnr/1b1p1ppp/p7/3p4/1p2P3/1B3N2/PP3PPP/R1BQ1RK1 w kq -,e4d5
8/8/2pk1ppp/8/1P2PP1P/P1nNK3/8/8 w - -,e4e5
1r1qnrk1/pp1n1pbp/3p2p1/2pP4/4PP2/2N1BB2/PP4PP/R2QR1K1 w - -,a2a4
2r5/1q3kpp/p2Rbp2/1pp1p3/4P3/8/PPPQ1PPP/2K1N3 w - -,f2f4
1r4k1/1b1n2pp/pp1pp2q/5p1r/PP1NPP2/3PQ2P/4N1P1/2R2R1K w - -,h1g1
r1bqnrk1/3np1bp/pp1p2p1/2pP1p2/P3PB2/2N2N1P/1PP1BPP1/R2Q1RK1 w - f6,d1d2
r2qr1k1/1p3pbp/2n1bnp1/pNBpp3/P7/2PN2PP/1P2PPB1/R2Q1RK1 w - -,g1h2
8/1pk5/p5Q1/3qp3/2Pr2b1/P7/1P6/1K2R3 b - c3,d4c4
8/p5p1/1p2kn1p/1P2p3/2P3PP/4BK2/8/8 b - -,e6d6
r1b1kb1r/1p3ppp/pqnppn2/8/4PP2/1NNB4/PPP3PP/R1BQK2R w KQkq -,d1e2
8/5pk1/2Q3p1/3Pq1p1/8/8/1P4P1/6K1 b - -,e5e1
2Rnr3/4b3/3p2k1/1p1Bp1p1/1P2P1K1/3PB1P1/8/8 b - -,e8h8
2r2bk1/5p2/3pn1pp/3Q4/1p4P1/4N2P/PqP2R2/3KB3 w - -,d5b7
rnbq1rk1/1p2ppbp/2p2np1/p7/3PN3/1B3N2/PPP1QPPP/R1B2RK1 w - a6,e4f6
1rq2k2/6pp/p2b4/3N1rP1/8/1P1Q4/2PR3P/1K2R3 w - -,d5e3
r1b1kb1r/1pq2ppp/p1n2n2/3p4/P2N4/1PN5/1BP1BPPP/R2QK2R b KQkq -,f8c5
2r1b3/4kppp/8/1PN5/P2R4/4PP2/6PP/6K1 w - -,d4c4
8/5bk1/3R1p2/6pp/5r2/1P3P2/PB3KP1/8 b - -,h5h4
4r3/1p2r2k/p1pb3p/2Np4/1P1P1p2/2P1P2b/1P2RB2/4R2K w - -,c5b7
7k/5b2/7P/2K1p1P1/4B3/8/8/8 b - -,f7h5
5qk1/r3p1bp/2Bp2p1/2pPPp2/Pp3P2/7P/1P2Q1P1/2R3K1 w - -,b2b3
8/3k2np/5pp1/2Bp4/2bP4/7P/5KP1/3N4 w - -,c5a3
8/p5bk/2p1b2p/5qp1/1P1PN3/P3PB1P/5KQ1/8 w - -,g2g4
r3kb1r/pppb1pp1/2p4p/4Pn2/8/1PN2N1P/P1P2PP1/R1BR2K1 b - -,a8d8
r2q1rk1/pb1pbppp/1pn2n2/2pN2N1/2P5/6P1/PPQ1PPBP/R1B1K2R b KQ -,g7g6
8/r3kp2/2Rpp2q/8/4P1pP/6N1/3P1PK1/5R2 w - -,e4e5
8/8/8/5p1p/3k2rP/1R5K/8/8 w - -,b3b5
3rr1k1/ppp2pp1/1n5p/6q1/3PPN2/P1PQ2P1/7P/4RRK1 b - -,g5a5
rn2kb1r/ppq1ppp1/2p2np1/3p4/2PP2P1/1Q5P/PP1NPP2/R1B1KB1R w KQkq -,g4g5
5B2/R7/4kp2/8/p2n4/6PP/r7/6K1 w - -,a7a6
3rb1k1/p5p1/1pn1p1np/2BpP3/5P1q/6N1/PPQ3PP/1B3RK1 w - -,c5d6
2kr2r1/ppp2p1p/4bp2/8/8/P3RB2/1PP2P1P/2K4R b - -,d8d4
r1b1k2r/ppp2ppp/5n2/2n1p3/2B1P3/5P2/PPPNN1PP/R3K2R b KQ -,e8e7
r3nrk1/3bqpp1/p2p2nP/2pR4/2p1P2P/P3BPN1/1P6/2K1QB1R b - -,g6e5
