8/6Q1/q1K4P/8/8/k7/8/8 w - -,c6d7
8/3Q4/1k1p2p1/2pP3p/2P5/7P/1q6/7K b - -,b2c1
rnbq1r2/pp5k/2pp1bpp/3Pp3/2P1Pp2/2N2PPN/PP1Q2BP/R4RK1 b - -,c6c5
8/r4ppk/2Rp3p/3np3/1P6/P2b1P2/1K1B3P/2R5 b - -,a7d7
8/8/1R4p1/1p3pk1/6P1/1r3P2/4K3/8 w - f6,g4f5
8/8/6K1/1p6/8/1k1n4/3B4/8 b - -,b3c2
r2q1rk1/pb1nbppp/1p1ppn2/6B1/3P4/2PB1N2/PP3PPP/R2QRNK1 b - -,f8e8
r2qkbnr/pp1bpppp/2np4/1B6/2PNP3/8/PP3PPP/RNBQK2R b KQkq c3,g8f6
5rk1/1b3ppp/p3q3/1p1pN3/3P4/5R2/PP3PPP/2Q3K1 b - -,f8c8
r1bq1rk1/p3pp1p/4n1p1/1pnN2NP/2B1P3/4B3/Pb3PP1/R2Q1K1R w - b6,h5g6
3qr1k1/1b1nbp1p/6pB/1pP1p3/1Pn1N3/5N1P/2B2PP1/r2QR1K1 w - -,d1a1
r1b4k/ppp4p/5bp1/5p2/2P1p3/1P4P1/2N1PPBP/5RK1 w - -,f2f3
3qbrk1/p1n1p1b1/r2pP2p/2pP1p2/1pP2Pp1/1P1B2P1/P1QN2P1/1NKR3R b - -,c7a8
8/2R1kp2/2n1p3/3bP3/P4K2/6P1/8/8 b - -,e7e8
1k2r3/1bq1r2p/ppn3p1/2p2p2/PnN1P3/1P3NP1/2PQ1PBP/2R1R1K1 b - -,f5e4
r4rk1/p2p2p1/2b1p2p/2b1Pp2/1p6/2qB1N2/P1P1QPPP/R3R1K1 w - -,h2h4
5rk1/1Q3ppp/p2p4/B3p1b1/4P3/7q/P4P2/3RK3 b - -,h3h1
r1b5/ppb4r/5k2/3pNpp1/3P4/P4NPq/1PQ2P1P/2RR2K1 b - -,c8e6
8/2Pkn3/5ppp/3Kp3/4PPP1/6P1/8/8 w - -,d5c5
2n5/p5pk/3p3p/2q1p3/Q1PnP3/3B3P/6P1/R6K w - -,a4d7
6k1/1p1r2p1/p3bp2/1q2p2n/2p1P2P/P1P1BP2/1P2QNK1/3R4 w - -,d1d7
r1bq1rk1/pp3ppp/4pn2/3nN3/1b1P4/1BN2Q2/PP3PPP/R1B1R1K1 b - -,d8a5
8/5b2/8/4k2p/4N1p1/4PP1P/5K2/8 w - -,h3g4
8/1p1r1kqp/p2pRp2/3P4/P1P1Q2P/1P5K/8/8 w - -,e6e8
8/5p2/6k1/2p3p1/1rN1K2p/7P/1P3RP1/8 b - -,b4c4
r1b2rk1/1pq1bppp/p2p1n2/4p1B1/4PP2/2NB4/PPP3PP/2KR2QR b - -,e5f4
8/8/2p4p/6p1/P5P1/1P1Bkr2/2P3K1/8 b - -,f3f2:e3f4
r1bqkbnr/pp1n1ppp/2p1p3/8/3PN3/3B1N2/PPP2PPP/R1BQK2R b KQkq -,g8f6
rn1q1rk1/1pn1bppp/p2pb3/3Np1P1/4P2P/1N2B3/PPP1BP2/R2QK2R b KQ -,c7d5
3rr1k1/2p4p/1pN1n1p1/1P1q1p2/p2Pp3/8/P1Q2PPP/2R2RK1 b - -,e6d4
r2qk2r/ppp1bppp/8/3p1b2/1nPPn3/5N2/PP2BPPP/RNBQ1RK1 w kq -,a2a3
2rr4/1b1pkp1p/p1nRp1p1/1p6/4PP2/PBN5/1PP2KPP/3R4 b - -,c6a5
r1bqk1nr/1p1nppbp/p1p3p1/8/3PN3/4B3/PPPQNPPP/R3KB1R w KQkq -,g2g3
r1bq1rk1/bpp2ppp/p1np1n2/4p3/2B1P3/2PPBN2/PP3PPP/R2QKN1R w KQ -,f1g3
3rn3/1p1r1pk1/2bp2p1/qP2p2p/4P2P/2NR1PPB/1Q6/3R3K b - -,d7c7
8/8/1b3k2/4pN1p/4P2P/8/5K2/8 w - -,f2g2
r4rk1/p2b2p1/1p2p2p/3p2PR/3q1P2/P2B2P1/2P1Q3/4R1K1 w - -,g1h2
r4rbk/p3q1pP/1pp2p2/2n1pP2/4P3/2N4Q/Pn2N1BP/3R2K1 w - -,h7g8q
r4rk1/pp2npp1/2nq3p/3p4/3P2b1/1PP2N2/5PPP/RN1QRBK1 w - -,h2h3
r7/1p3pk1/p5Pp/1Pp1p1p1/8/q5B1/2B2PPP/3Q2K1 b - -,a3c3
r1bqr1k1/pp1nppbp/2pp1np1/8/3PP3/2NBBN1P/PPPQ1PP1/2KR3R b - -,b7b5
2rq1rk1/1p1b1pbp/p2pp1p1/4n3/2PNP3/1PN1B2P/P3QPP1/2R2RK1 w - -,f1d1
8/6k1/3p2pp/p1n1p3/b1PpP3/P2P1NPP/5K2/5B2 b - -,g7f6
4r1rk/pp3p1B/7p/2nP4/2P4P/P3q1P1/2Q1b1K1/2R1R1N1 w - -,g1e2
4rrk1/p1qbn1b1/3p3p/pPp3p1/P1P1Pp2/3P1N1P/3QNPBK/1R2R3 w - -,b1c1
r2qr1k1/1b3pbp/p2p1np1/np6/3NP3/6NP/PPB2PP1/R1BQR1K1 w - -,b2b3
r4rk1/4qppp/3p1n2/ppnPpP2/4P3/4BB2/PP4PP/2RQ1RK1 w - -,d1c2
8/2b4p/B5p1/p1kp4/1r2pP2/2K3PP/8/3R4 w - -,a6c8
b3r3/2Q1nkpp/P3p3/2B1P3/6PP/4K3/8/8 b - -,h7h6
8/3B4/8/p2N4/1k2pK2/4P3/2bn4/8 b - -,b4c4
r1bqk1r1/1p2bp2/p2ppn2/4n1B1/3NP1P1/2N4Q/PPP2P2/2KR1BR1 b q -,g8g5
r2r2k1/bp3pp1/4bn1p/p7/P2p4/1N1B1PP1/1PPKN2P/4R2R w - -,b3a5
r1b2rk1/ppq1ppbp/2n3p1/2p5/3P4/P1P1PN2/4BPPP/R1BQ1RK1 w - -,a3a4
4r2k/p4r2/5q1p/1P6/P1ppB1Q1/6P1/5PKP/5R2 b - -,f7g7
r2qr1k1/1ppnbpp1/p1np2bp/4p3/3PP1P1/P1P2N1P/1PBN1P2/R1BQR1K1 b - -,e5d4
6k1/p4pp1/1p2p2p/2p1P1PP/2P2P1K/1P6/P7/8 b - -,g8f8
8/4Pkpp/2p5/6P1/2bB3P/8/8/6K1 w - -,d4c5
8/1p6/p2k1p2/1Pp1n3/P7/5p2/3q1PP1/Q4BK1 w - -,a1a3
5n2/1p1r3n/2p3k1/p3R3/P5N1/7P/1PP2PP1/6K1 w - -,e5a5
1k6/2n3R1/pp1N4/6p1/1PP2p2/5K2/3r2P1/8 w - -,g7g8
3r2k1/4Rpp1/2q2r1p/3pQ3/p1p5/P1P4P/1P1R1PP1/6K1 w - -,e5c7
3bb1kr/7r/1q1p1p1p/p1pPpNp1/1nP1P1PP/1P4NR/3QBPK1/R7 b - -,b6c7
5rk1/5p1p/5qp1/1Qp1R3/2P2P2/6P1/7P/6K1 b - -,f8c8
3R4/5pk1/1p3n1p/1B2B3/Pb6/6P1/2r2PK1/8 w - -,d8d4
6k1/4qpp1/p3p3/Pp2P1NP/2rP2Q1/1R6/r3nP2/5R1K w - -,g5e4
8/8/2p1k2p/1p2p3/1Pp3p1/2P2PN1/Pn1K4/8 w - -,f3g4
r1bqkb1r/pppp1ppp/2n5/4n3/2P5/4PN2/PP2BPPP/RNBQK2R b KQkq -,f8c5
1r1q1rk1/4ppbp/pn1p2p1/n1pP4/2P1PPbN/2NQ2PP/P2B2B1/R4RK1 b - -,g4d7
8/3b1k2/2p3p1/Q2pPp1p/P2P1P2/1q1B3P/6P1/6K1 w - -,a5d2
8/3R4/4n3/1B2k3/PK6/8/1r6/8 w - -,b4c3
r1bq1rk1/pp3pbp/3p1np1/2pPp3/2PnP3/P2BBP2/1P2N1PP/RN1QK2R w KQ c6,d5c6
8/3k2n1/3p2p1/pp1P2Pp/r4P2/4NK2/8/2R5 w - -,c1c6
6k1/p2b3p/2pp4/5p2/2Pb1N2/5BP1/1R4KP/4r3 w - -,b2b7
r2qkb1r/pp1n1pp1/2p1p2p/3pN3/3PbP2/2P1P3/PP2B1PP/R1BQK2R w KQkq -,e2f3
r4rk1/1p1bqpbp/2n3p1/p1n1p3/2Pp4/P2P1NP1/2QNPPBP/BR3RK1 b - -,a5a4
2rq1rk1/5ppp/p3pn2/1p1nB3/1b1P4/1BNQ1P2/PP3P1P/2R1R1K1 b - -,f6d7
3r4/pbR3pk/1p4pp/3q1r2/3P4/4QP2/PP1B2PP/5RK1 b - -,f5f7
8/5k2/Bp2p2p/5pp1/3q2P1/5P1P/PP1p4/3Q3K b - -,d4b2
r1b4r/2knq3/1ppp1p2/p6p/P1NPP2p/2PB2P1/1P2QR1K/R7 w - -,g3h4
