8/8/8/1b3R2/1k1p1p2/7P/4rP2/3K4 b - -,e2f2
8/8/p4k1p/1p3p1K/1P3B2/P7/8/8 w - -,h5h6
6k1/3n1pp1/7p/p2Q4/P1p2B2/2P4P/2q3r1/3R3K b - -,g2e2
8/7R/5p2/2k2p1P/5P2/7r/5K2/8 w - -,f2g2
6r1/Pb2p2p/1N1k3R/3p1p2/P7/4K3/7P/8 b - -,d6c7
7r/1p1rb3/p3k1p1/P1PnP1pp/5pP1/1R3P1P/1P1N1BK1/3R4 b - -,h8c8
8/2r5/4p1p1/1p1pk2p/1R5P/1PP2P2/1K4P1/8 b - -,c7c5
r3r1k1/1p2qp1p/2p3p1/p1b5/P1B5/1R2P1Pb/1P2QP1P/2BR2K1 w - -,e2f3
r1bqr1k1/5pp1/p1pp1n1p/np2p3/P1P1PP2/2PP2P1/6BP/1RBQNRK1 w - b6,a4b5
r1bqr3/ppn1pp1k/2p3pp/N7/2Q1P2P/3P1NP1/Pb1B1PB1/5RK1 w - -,c4f7
2kr4/pp3ppp/2n1pn2/2b5/Q1Nq4/P2b1PP1/1P2B2P/3RKR2 b - -,d4c4
8/4p3/3bk1p1/4p2p/2R1K2P/4B1P1/r4P2/8 b - -,a2a6
2Rn1q2/3r2k1/pp1p1p2/3Q2p1/1P2P3/4B1P1/P4PK1/8 w - -,e3b6
4r1k1/p1p1rp1p/1p1p2p1/8/2P1P3/5P2/PP1R2PP/3R2K1 b - -,f7f5
r2r2k1/pbq1bppp/1p2p3/n1p5/3PP3/P1PB1N2/1B2QPPP/3R1RK1 w - -,f3e5
3q2k1/3r1pp1/4r2p/p1p1P3/PpNnQ1P1/3P1R1P/8/5RK1 w - -,f3f2
1r4k1/r3q2p/6pQ/p1p1P3/P1pn1PP1/2Np1bR1/1PP2R2/2B3K1 b - -,d4e2
1r1r1qk1/1N4b1/6pp/1BpP1p2/Pn3B2/1P3Q1P/5PP1/1R2R1K1 b - -,b8b7
8/7p/2r1pkp1/pp1p4/2rR1P2/P1P1K1P1/1P5P/4R3 b - -,b5b4
r4rk1/p2n1ppp/2qb1n2/2p1pN2/1p6/1P1P2P1/PB2PP1P/1NRQ1RK1 b - -,f8e8
r2k1b1r/pp1n1ppp/4p3/1Npn4/3P4/1P6/PBP2PPP/R3K1NR b KQ d3,a7a6
rn1qkb1r/pp2pp1p/2p2p2/5b2/3P4/2P5/PP2NPPP/R1BQKB1R b KQkq -,e7e6
r3Q1k1/pb4rp/3p1n2/2n1pp2/5B2/2N3P1/PPP1PPB1/R3K2R b KQ -,a8e8
R7/4k3/6Kp/2r2P1P/8/8/8/8 w - -,f5f6
r4rk1/3nppbp/q2p2p1/2pPN3/4P3/2N4P/PP1BQPP1/1R2K2R b K -,d7e5
8/8/4Bp2/1q4p1/4P3/p4k2/P1KR3P/8 w - -,e6d5
rr4k1/1q2ppbp/3p2p1/2pP4/P1Q1P3/1P3P2/3B2PP/1RR3K1 b - -,b7a7
3r4/p3ppb1/1p2b1k1/2p1P1pp/2P3P1/1P2NNP1/P3RP2/6K1 w - -,g4h5
r1b2rk1/2q1nppp/p4n2/1pb1p3/2p1P3/2P1NQ1P/PPB2PPN/R1B1R1K1 b - -,c8b7
r2q1rk1/1b1nbppp/pp1ppn2/6B1/2PQ4/1PN2NP1/P3PPBP/R2R2K1 w - -,a1c1
2r1qrk1/3b1ppp/1n6/p1bpP3/1p1N1P2/nP1Q2PP/PB2N1BK/3RR3 b - -,a3b5
5R2/pp1rk2b/7p/4p1p1/8/3pKP2/PP1R4/8 w - -,f8h8
r1b2rk1/pp1n1pb1/2pp2p1/q3p2p/2PPP2P/1PN1BPP1/1P1QNKB1/3R4 b - -,e5d4
rnbq1rk1/1p2npbp/6p1/pPp1p3/2Pp4/3P1NP1/P2NPPBP/R1BQ1RK1 w - c6,b5c6
8/8/8/R3k3/4p1r1/6p1/6K1/8 b - -,e5f4
r2qk2r/pp1nbppp/2p1pn2/3p4/3P2b1/1P3NP1/PBPNPPBP/R2Q1RK1 b kq -,e8g8
8/5R2/6pk/2b1p2p/4p2P/2K3P1/5P2/8 b - -,e4e3
2rqkb1r/pb1n1ppp/4pn2/P1pp4/1pPP4/5NP1/1P1NPPBP/R1BQ1RK1 w k -,c4d5
r1b1qrk1/1p1np1b1/p2p3p/2pP1ppn/2P5/2N1P1B1/PPQNBPPP/3RK2R w K -,e1g1
4kr2/3b4/p2pN2r/1PpPNp2/5P2/b1qB2Q1/P6R/1K6 w - -,e6g7
8/1kp5/2q5/4QP2/8/1p6/8/5K2 b - -,b7a6
B5k1/5ppp/4b3/8/2PN1P2/1n4K1/5P2/8 w - -,d4b3
8/8/Pk6/2p3p1/3pP3/1K1B1bP1/P7/8 b - -,f3d1
2r1r1k1/pp1n1pbp/1q1p2p1/3np1B1/3P1P2/2PQ4/PPRN2PP/4NRK1 b - -,e5d4
6k1/1p4p1/p1b2r2/4p2p/2P3nP/1P4B1/PK4P1/4RB2 w - -,f1d3
8/p7/2pN4/2Pk2Pp/1p1p2bP/1K1P1p2/P3r3/2R5 w - -,c1f1
1R6/8/pk1p4/2p5/K1P1b3/1P1r4/P4R2/8 b - -,b6a7
6k1/1p1n1p2/2p2np1/r1B3N1/3P1Pp1/1P4P1/P5K1/4R3 b - -,a5a2
5k2/1R6/3pp2p/1Pb4N/4n3/5N1P/r5P1/5K2 w - -,f3h4
8/1p5k/p1p1q1p1/P4b1p/1PPQ4/2P2BP1/5K2/8 b - -,e6f7
r2q1rk1/pb2ppbp/1pnp1np1/8/2P1P3/P1NBBN1P/1P3PP1/R2Q1RK1 w - -,a1c1
3r1rk1/1p4p1/p1n1p2p/P1qp1p2/8/5B1P/1PP2PP1/R2QR1K1 w - -,e1e6
6r1/pp3k1P/8/4p3/P1bB4/5K2/1P6/2R4R b - -,c4d5
5bk1/5p2/4p1p1/7p/1pP2P2/1P1rn1PP/3NN3/2K1R3 w - h6,e2g1
4rrk1/2q2nbp/p3p1p1/1pppp2n/4P1N1/2PP1NPP/PP2QP2/2BR1RK1 w - -,f1e1
6k1/5pp1/7p/p3N3/PpQ5/1Pn4P/6PK/2q5 b - -,c3a2
8/8/6p1/7p/3K1k2/5P2/3p4/3B4 b - -,h5h4
rq2r3/6kp/2p1bnp1/p1Pn1p2/1P2p3/P1Q1N1P1/3N1PBP/R3R1K1 w - -,e3d5
r4rk1/1b1qbpp1/ppn1p2p/2p4n/P2pPP2/1B1P2BP/1PP1N1PN/R2Q1RK1 b - f3,h5g3
r3rbk1/pp1bqpp1/1n1p1n1p/3Pp3/4P3/2N1B2P/PPQNBPP1/R4RK1 w - -,f1c1
2r1k2r/1pqb1ppp/p2bp3/8/3P4/B1P2N2/P1Q2PPP/R3K2R w KQk -,a3d6
rn1r1k2/pp3pb1/1qp3p1/3p4/3P3Q/2NB3P/PPP2PP1/2KRR3 b - -,b8d7
R7/2p3qk/2PbQ3/2p1p1pp/p1P1Pp2/P4P1P/6P1/1r3NK1 b - -,b1b6
rn1qkb1r/ppp1pppp/1n1p4/4P3/2PP2b1/5N1P/PP3PP1/RNBQKB1R b KQkq -,g4h5
8/8/4nk2/7p/5Kp1/6P1/4N3/8 w - -,f4e4
7r/1prpkp2/p3pn2/4n1p1/3RP2p/P1N5/1PP1BPPP/3R2K1 w - -,g2g3
r1r3k1/3n1ppp/bp2pq2/2Ppn3/4P3/BN4P1/PPQ2PBP/R2R2K1 b - -,e5f3
6k1/5p2/5p2/2R2N1p/1r3P2/5bPP/8/6K1 b - -,g8h7
rn1q1rk1/pb2b1pp/1ppppn2/4Np2/2PPP3/6P1/PP1N1PBP/R1BQ1RK1 w - -,e5d3
5rk1/p7/6P1/8/2nK1n2/3R4/P7/8 w - -,d3c3
rnb1k2r/pp3pp1/4p2p/2bPq3/3N4/2P5/PP1N1PPP/R2QKB1R w KQkq -,d1e2
r3kr2/1p1qb1pp/p1Npp3/5pPP/4P3/2R1BQ2/PPP2P2/1K1R4 b q -,b7c6
8/p5R1/3kr1qp/2p5/1pp2PQ1/2P4P/PP4PK/8 b - -,g6g4
r4rk1/q2pn2p/p3p1p1/3bPp2/Pp1b4/1P1BB3/1P1N1PPP/2RQR1K1 w - -,d2c4
4Qbk1/p2P3p/1p2bqp1/4p3/P2pP3/BP4PP/8/5BK1 b - -,e6d7
rn3rk1/pbp2pb1/1p5p/3P4/5P1q/P1N3R1/1PQ1N3/1K1R1B2 w - -,f1h3
8/8/p6p/1p1k3b/5Pp1/P2N4/1PP4b/4NK2 b - -,d5e4
r1b2rk1/pp1n1pbp/2p1p1p1/3n2B1/1q1P4/1BN1PN2/PPQ2PPP/2R1K2R w K -,e1g1
r2r2k1/1q3ppb/1pp4p/3pB1b1/p2P4/P3PP1P/1P1QB1P1/2R2RK1 b - -,g5e7
2rq2k1/5p2/p2p2p1/1p1Pn2r/3NQ2P/8/PPP5/1K1R3R b - -,d8d7
2r3k1/Q1r2pp1/4p2p/3n4/ppN4P/1P4P1/P2R1P1K/4R3 b - -,c7a7
r6k/1p4b1/6p1/1P3pQ1/3pr3/q7/5P1P/2R2RK1 w - -,f2f3
4r1k1/2p1qp1p/1p1p1bp1/p1r5/P1P2B1P/4P1P1/2R2PQK/2R5 w - -,g2h3
6k1/B4pbp/2B3p1/3P4/P3n2P/5N2/5PP1/r4K2 w - -,f1e2
