R7/8/3Bp3/1p1pPk2/3n2p1/Pr6/5K2/8 w - -,a8g8
r4rk1/pp2bppp/1np1pn2/q3Nb2/3P1B2/1BN5/PPP2PPP/R2QR1K1 w - -,d1e2
3r1n2/1p2bpk1/p1b1p1p1/4p1P1/2B1P3/P1N1BP2/1PP5/2K4R w - -,c3d1
8/3k4/p2p3p/2pP1p2/1qn1pP1P/2n1P2B/P1QN1K2/8 w - -,h3f5
rnb2k1r/1pp1Qppp/p2b1n2/3P4/P1B2p2/1PN5/2PP2PP/R1B1K1NR b KQ -,f8e7
6k1/8/8/1p2R3/1r5P/4n1P1/P7/7K b - -,b4b1
8/pp2k3/5b1Q/Pp6/1Pb3pP/4NpP1/5q1K/8 w - -,h2h1
3rrbk1/4qn1p/1p1p1pp1/pPpR4/4P3/1PBQ2PP/P4PBK/3R4 w - -,d3f3
8/5p2/r3p3/1R3k1p/3Pp2P/4K1P1/5P2/8 b - -,f5g6
8/8/3k4/4nR2/6pP/1Br3P1/P5K1/8 w - -,h4h5
2r1k2r/1b1n1ppp/p1n1p3/2qpP3/3N1P2/2PB1N2/P2Q2PP/1R2K2R b Kk -,c6a5
2R5/6pk/7p/5p1P/P1p1rP2/1n1p2P1/6K1/3R4 w - -,c8c7
r2qrnk1/p3bppp/Qp1ppn2/2p5/3PPB2/2P2N2/PP1N1PPP/2R2RK1 w - -,f1e1
8/5pk1/5rp1/p6p/Pb1Q3P/6P1/4K3/8 b - -,b4d6
1rb1kb1r/p2p3p/3P1ppn/N3p3/4P3/B2B4/P1p2PPP/2R1K2R w Kk -,e1g1
k4b2/1pn1q3/p1p3p1/3n1p2/2Q5/P2NPB2/1P1B1P2/1K6 b - -,e7d6
r4rk1/1bqnbppp/3pp3/p5P1/1p1BP2P/5PN1/PPPQ4/1K1R1BR1 b - -,d7e5
8/p2Qn2p/1p1p1r1k/1PpPqP2/8/1P6/6BP/5R1K w - -,d7a7
2kr3r/2p3p1/1p1q1pp1/pPbn4/2BpRn2/1Q1P1N2/P4PPP/R1B3K1 b - -,d8e8
5k2/5p1p/6p1/1R2P1P1/1p2KP2/8/8/1r6 w - -,e4d3
5rk1/p1q4p/1pnpr1p1/5p2/2P1P1PP/1P3K2/P2Q1N2/3R3R w - -,e4f5
4r2k/2q2p1p/2N1pPp1/2Q5/1P3b2/7P/4bPB1/3R2K1 w - -,d1a1
1r1r4/pp1b2k1/2nN1ppp/2P1pn2/8/2P3P1/PP1N1PBP/R3R1K1 w - -,d2c4
3q1r1k/1b4bp/p3rp1p/2pNp3/1P2P3/5R2/P1B2QPP/5R1K w - -,b4c5
6k1/p1q5/1p2prn1/8/2bP4/6RP/P1Q2p1K/5R2 w - -,f1f2
2r2rk1/1R2pp1p/p5p1/2n3P1/3R4/8/2P4P/3B2K1 w - -,b7e7
rnbq1rk1/4bppp/p3p3/4n2Q/1p1NN3/1B2B3/PPP3PP/R4RK1 b - -,d8a5
6k1/Qprq1r1p/3p1np1/8/5P2/4B2P/P4PK1/R3R3 b - -,f6h5
2r5/1p2kppp/p3pn2/8/2P5/1P3P2/P1BR1KPP/8 b - -,h7h6
rnb2rk1/ppp2ppp/5n2/4P3/1b6/2N2B2/PPP1NPPP/R1BK3R b - -,f6g4
3R4/p4ppk/7p/8/6P1/P2QP2P/2r3q1/4K3 b - -,g7g6
1k3b1r/pNp1n3/1p3p2/3r3p/1P1Bp2N/P2b2P1/5PB1/3RR1K1 b - -,d5d4
r3rnk1/1bq1bppp/2n1p3/2ppP1N1/p4B1P/2PB4/PP2QPPN/R3R1K1 b - -,c7b6
2kr3r/1ppnb2p/2p1q3/1PP1p3/4P1p1/B4p2/2P1QPPP/R4RNK w - -,g2f3
r1b2rk1/4ppbp/pqn2np1/1p1pN3/3P4/2PB3P/PP1N1PPB/R2QK2R w KQ -,e5c6
rq4k1/r3npp1/4pb1p/1PRp4/1P1P2P1/2Q1B3/p4P1P/R2B2K1 w - -,c3d3
r5k1/1b4pp/3qpr2/p1ppN3/8/4QP2/PPP3PP/3RR1K1 w - -,e5g4
1rr3k1/5p1p/4p1p1/2n3P1/3R1P2/1PqNQ3/2P4P/2R3K1 b - -,c5a6
8/1p4n1/p2k1p2/6pp/3PP3/3K2N1/P5PP/8 w - -,g3f1
r2q1r2/1p1nppkp/2bp2p1/3N4/p1P1P3/3BR3/PP1Q1PPP/5RK1 b - -,e7e5
1r5r/p1p2kpp/4bb2/8/4B3/3P2P1/PP1P3P/R1B1K2R w KQ -,a1b1
r7/1pp5/p1p2kp1/7p/PP2PPbP/2N1K3/2PR4/8 w - -,a4a5
1k1r1b2/1p3pp1/1p4p1/2pN2P1/4PP2/6nB/PP6/1K2R3 w - -,d5b6
4r1k1/1R4Rp/4P1p1/8/P5p1/1P2r3/4P1KP/8 b - -,g8h8
r5k1/2rb2pp/p1p5/8/2RN4/2R5/P4P1P/6K1 b - -,a8c8
3r1k2/q1n1b2p/p2n2p1/2pPB3/P3P1B1/2N2R1P/Q4P2/6K1 b - -,f8g8
r1br2k1/1ppqppbp/pn4p1/3P4/2n1P3/2N1BP2/PP4PP/1KQR1BNR w - -,e3d4
r3kbnr/ppp2ppp/2n5/3qp3/Q5P1/3p1N1P/PP2PP2/RNB1K2R w KQkq -,b1c3
r1br2k1/ppqp1pbp/2n1pnp1/8/2P1P3/1NN1BP2/PP1Q2PP/2R1KB1R w K -,c3b5
r3Brk1/2p3q1/1p1p3p/pP1PbP2/2P3p1/3Q2P1/P2B2K1/4RR2 b - -,a8e8
rnbqkb1r/pp3ppp/2p2n2/3p4/2PPp3/2N1P3/PPB2PPP/R1BQK1NR b KQkq -,f8d6
r1b2rk1/pp2b2p/1qn1p2p/3pp3/1P1P4/P1NB1N2/5PPP/R2Q1RK1 w - -,d4e5
8/8/6K1/1p2kp2/4n2P/6P1/2B5/8 b - -,e4g3
rn1q1rk1/pbp2pbp/1p1ppnp1/8/2PP1B2/4PN1P/PP2BPP1/RN1Q1RK1 w - -,b1c3
r1bq1k1r/pp3pp1/2n1p2p/3pP3/2pP1Q2/2PB1N2/P1PK1PPP/R6R w - -,d3e2
8/8/1r6/2k2K2/8/NQ6/1p6/8 w - -,b3c4
5rk1/8/3p2p1/1p1Pbp1p/1Pn4P/5RPB/5RK1/8 w - f6,f2a2
rn2kb1r/1bp1qppp/p3pn2/1p2N3/3P1B2/1BN5/PPP1QPPP/R4RK1 b kq -,b8d7
3r2k1/p3p1bp/q4pp1/3PP3/2P2P2/8/P4QPP/2R2RK1 w - -,f2d4
2r1n1k1/5pp1/4b3/8/1Bp5/2N2PP1/P2R3P/4K3 b - -,c8b8
r3k2r/3b1p2/p3p1p1/P2pP2p/1q3P2/2RB4/1P2Q1PP/5R1K w kq -,c3c7
r5k1/1p3pb1/pPn3qp/1R4p1/N2pP3/3P1P2/1B1Q2PP/4N1K1 b - -,a6b5
8/p5p1/5pp1/1p6/1Pk2PPP/3N4/3K2b1/8 b - -,g2f1
3q4/1p4kp/6p1/3P3n/pP1pQr1P/P7/3R1P2/5BK1 w - -,e4e5
2r1r3/pb1kp2p/1p1n1pp1/2nP4/2P2B2/4RN2/P4PPP/1BR3K1 w - -,f3d4
r1bqr1k1/ppbn1Bpp/2p2n2/8/1P1p4/PQN1P1N1/1B3PPP/2R1K2R b K -,g8h8
4r3/p4p1k/1p4pq/n2B1r1p/7Q/6P1/P2R1P1P/3R2K1 w - -,g1g2
8/4k3/2Pp4/6pp/2B1Pp2/2P2P2/1P1K2n1/8 b - -,g2e3
4r3/3r3k/3p1P2/2pP2R1/1pPn3N/pPnK3P/P7/6R1 b - -,e8e5
4rnk1/4rppp/p5q1/1p1p4/2pPPB2/P1P2P2/2Q1R1PP/4R1K1 w - -,e4e5
r2k4/pB1n1pp1/1p1bp1p1/6P1/3P4/4P3/RP1B1P1r/3K2R1 b - -,a8b8
2kr4/1p6/pp1p4/3Pp2n/4P2P/P2P2Rp/1PP5/R5K1 w - -,g3h3
qr3bk1/2R2p2/4ppb1/5n1p/P2P3P/1P5Q/4RPP1/N1K5 b - -,f5d4
r1b1kb1r/pp3ppp/n3pn2/1N3q2/2P5/8/PP1N1PPP/R1BQKB1R w KQkq -,f1e2
6k1/4pp1p/r1n3p1/1Np1P3/2P5/1PQ4P/5qP1/4R2K w - -,e1a1
2rr4/k1q1bp2/ppp1p1p1/3nPn1p/3PNP1P/1Q4P1/PPRBNK2/7R b - -,c7b7
r7/1pq1kp2/3Np2p/4n1r1/3RP2B/8/PPP3PP/1K5R w - -,h1d1
1R5k/7p/p1p4r/2Pp3q/P3pPp1/4P2r/3R1PQP/6K1 b - -,h8g7
2br1rk1/p4pbN/4p1P1/qp2n3/3Pp3/1B2B3/PP3PP1/R2Q1K1R w - -,h7f6
r1bq1rk1/1p2b1pp/1np1pp2/8/p2P1P2/2N1PN2/PP3PBP/R2Q1RK1 w - -,a2a3
r1b1k2r/1pqnbppp/p2ppn2/6B1/2P5/2N1PN2/PPQ1BPPP/R2R2K1 b kq -,e8g8
1r4k1/p4pbp/6p1/8/8/2n2B2/1B4PP/K3N2R b - -,b8b5
rn1qkbnr/1ppb2pp/4pp2/pP1pP3/8/P4N2/2PP1PPP/RNBQKB1R b KQkq -,c7c5
1k1r1b1r/ppp5/2n4p/3N2p1/B1Pn4/P4pP1/1P1B1P1P/R4RK1 b - -,d4e2
