8/5p2/1K2p2p/3k2p1/PR4P1/8/5r2/8 w - -,a4a5
r2r2k1/1pqn1ppp/2p5/p3pP1P/Pb2P3/1PNPR3/1B3P2/R2Q2K1 w - -,e3g3
1k3q2/1pp1np2/5b2/3p3Q/3P1P1P/P3P3/3B1K2/7R w - -,d2b4
1r3rk1/pPp1q1bp/3p2p1/3Ppb2/2P3P1/B3QP2/P5B1/R4RK1 b - -,f5d7
r7/3b2Rk/p2p4/1p1Pq2B/4P2P/8/PP1Q4/1K5R b - -,e5g7
6k1/p3pp1p/1p4p1/8/1Pp1bP2/P6P/2P1q1P1/6RK w - -,h1h2
r2qk2r/pp1bbppp/3ppn2/8/3pPPP1/1P6/PBPPQ2P/R2NKB1R b KQkq -,e6e5
r3k2r/2q2ppp/2p1pn2/p2p4/3P1bP1/2PB1P2/PP1BQR1P/R5K1 b kq -,e8g8
4k3/4p2p/4Np2/8/6K1/n5PP/5r2/3R4 b - -,e8f7
r1b1k2r/2q2ppp/p1nppn2/1p6/4PP2/1NNB2Q1/PPP3PP/R4RK1 b kq -,e8g8
3b4/3P4/5kp1/8/7R/8/2r4P/6K1 b - -,c2d2
rqr3k1/4pp1p/p5p1/1p2P3/2n5/2Q2N2/PP3PPP/3RR1K1 b - -,b8b6
8/1r3pk1/6p1/4P3/4KPp1/2R4P/8/8 w - -,h3g4
5rk1/p3qpp1/2p1p1p1/1p1rP3/6PP/6Q1/PPP2R2/5R1K b - h3,e7b4
2br1n2/6k1/3Np3/1ppp3n/p2P4/2P3PB/PP3P2/4R1K1 w - -,d6b5
r5k1/pp3ppp/1qn3b1/8/3p1Q2/P5NP/1PP2PP1/2R2RK1 w - -,b2b3
5rk1/pp2bpp1/8/4P3/2pP2Q1/P7/1q2N1PP/5RK1 b - -,b2a3
r1b1k2r/pppp1Npp/2n5/4p3/2B1n2q/5Q2/PPPP2PP/RNB2K1R b kq -,c6d4
2rr2k1/1b5p/pp1qppp1/4n1N1/1bP5/1P4BP/PQ2R1P1/1B3R1K b - -,d8f8
r6k/pp2qrp1/2pb1n1p/4p3/2PP4/3B3b/PPQB2PP/4RRK1 w - -,g2h3
8/1p5p/1P4p1/2k2p2/4b2P/3pP3/3K4/5N2 b - h3,c5b6
8/5k2/8/5P2/1N6/1KB1N3/p4r2/8 b - -,f2f3
r3r1k1/1q3pp1/pn4bp/1pB1p3/4P1P1/1QPP1N1P/1P3P2/R3R1K1 b - -,a8c8
3r1rk1/p2b2p1/1p1p3p/n1pPp1b1/2P1N1P1/2PB3P/P4PK1/R1B2R2 b - -,g5c1
r1br1n1k/1p4pp/p1qb1p2/P1PNpB2/4P3/4B2Q/2P2PPP/R2R2K1 b - -,c8f5
8/kp3Q2/p3K3/2pp4/6P1/2P2P2/Pq6/8 w - -,g4g5
8/8/4N1k1/7p/1r6/6KP/p7/R7 b - -,b4b3
5Q2/6pk/4q3/7p/pB1p4/PnP3PP/1P3P2/1K1R4 b - -,d4d3
8/6P1/8/7P/8/5k2/7K/r7 b - -,a1a2
3r1b1k/1p4p1/4Q2p/1b1P1N2/6P1/7P/5P2/2q1RBK1 b - -,c1c5
8/5p2/4pk2/5n2/p4K2/P4P2/1P3B1P/8 b - -,e6e5
8/3k4/8/2p1R1p1/1r1p2P1/3P4/1K1b1B2/8 w - -,b2a3
2rq2k1/p4r1p/b3npp1/2b5/2B1P3/P7/1BQN1PPP/R3R1K1 w - -,a1c1
8/8/4k3/2R5/2P2K2/2r2P2/8/8 b - -,e6d6
2r2R1k/4P1pp/p5b1/1ppq4/8/8/PPP1R3/5K2 b - -,d5g8
r1bq1r1k/pp2p1bp/1n4p1/2nP1p2/PQB2P2/2N1PN2/1P1B2PP/3RK2R b K -,b6c4
8/8/p1NPk3/7p/8/2n2K2/8/8 w - -,d6d7
r3brk1/p2q3p/2pp2n1/5p2/1PPNp3/6PB/P2Q1P1P/2RR2K1 b - b3,a7a6
5bk1/2r2p2/4p1pp/2B5/p2P3P/6P1/P3RP1K/8 w - -,e2e4
2r2rk1/pb2bppp/1p3q2/3P4/8/3BB3/P3QPPP/3R1RK1 w - -,a2a4
r2q1rk1/pp2bppp/2p5/3pPb2/P4P2/4B3/1PPQN1PP/R4RK1 b - -,f7f6
rn1q1rk1/pp2ppbp/2pp1np1/3P4/2P1P1b1/2NB1N1P/PP3PP1/R1BQK2R b KQ -,g4f3
r3rqk1/1p1n1pp1/4pbbp/2p5/pBPP4/PP2RNP1/5PBP/R3Q1K1 w - -,d4c5
6k1/2R3p1/7p/1p3p2/3Nb2P/4K3/r7/8 w - -,d4b5
5rk1/5p1p/3p4/3q1p2/3p4/6K1/1P1b1PPP/1Q3B1R w - -,b1d1
5rk1/1ppnq1pp/pbp5/4pr2/4N3/1P1P4/PBP1QPPP/R4RK1 w - -,b2c1
5brk/5B1p/q4p2/2n1pN2/1p1pP3/2nP2PP/P2Q2RK/5R2 b - -,c3e4
3r4/p2rkpp1/1p2p2p/8/2P1NP2/1P1n4/P2R2PP/3R2K1 w - -,g2g3
r1r3k1/4ppb1/q4np1/p3Bb1p/3QN3/1B1R1P2/1PP3PP/2K1R3 b - -,a5a4
r4rk1/ppp3pp/1n1b4/3q1p2/3P4/1BP1B3/P4PPP/R2QR1K1 b - -,b6c4
r1b1k2r/3n1ppp/p1N1p3/1P6/2pPn3/2P1P3/5PPP/1R2KB1R b Kkq -,a6b5
8/p1Q2pk1/1p1P2p1/6q1/8/P7/6K1/8 w - -,g2h1
6R1/p1p3pp/2k1p1b1/3pP3/3K4/5P2/PP4PP/8 b - -,c6b5
r1bq1rk1/pp2ppbp/6p1/n1p5/3PP3/2PBB3/P3NPPP/R2Q1RK1 b - -,c5d4:b7b6
8/6pk/p6p/8/P7/2pr4/2R4P/1K6 b - a3,d3d1
8/3npk2/1p6/3Np2p/2P1P3/1P3N2/4KBP1/2b5 w - -,d5b6
8/4b2p/p2p2k1/4r3/K3pB2/2P5/4R2P/8 b - -,e5e6
2R5/p2r1kp1/1p2p1p1/1P2P2p/P6P/2B1PP2/4K1P1/2n5 w - -,e2f1
2r1r1k1/p4p1p/1pbR2p1/4p3/2P1q3/1PB1Q2P/P7/4K3 w - -,e3e4
2q3k1/1b1r1ppp/p3r3/1p2p1Rn/4P1Q1/P1NB4/1PP3PP/5R1K b - -,h5f6
8/6R1/1k3rB1/6n1/7p/2K5/8/8 b - -,h4h3
r4rk1/ppP2ppb/2n4p/2bN2qP/2B1P3/5P2/PP1NQ3/2KR3R b - -,c6d4
r1b2r1k/pp2q2p/8/2p1p3/2PnNp2/P1R2P2/1P3QPP/1B3R1K b - -,b7b6
4k3/r7/4BK1p/1p3P2/2p5/1p6/7P/6R1 b - -,e8d8
8/3b1p2/4k3/8/2RB1P2/PpP2K2/7r/8 b - -,b3b2
1k1r3r/ppb2Q2/q1p5/8/3PN3/2P3Pp/PP5P/1R3R1K b - -,h8e8
r1bq1rk1/p4pp1/2p4p/n2npB2/7b/6N1/PPPP1PPP/RNBQ1RK1 w - -,d1g4
8/5k2/p2b2p1/5p2/P1PN2p1/4P3/6P1/6K1 b - -,f7f6
r2qk2r/ppp1nppp/2n1pb2/3p4/2PP2b1/4PNP1/PP1N1PBP/R1BQ1RK1 b kq -,h7h6
8/1b1R2Q1/7p/p6k/4Pq2/P7/1PP4P/2K5 w - -,c1b1
2r2rk1/p1q2bbp/1p1nppp1/2P5/2P2P2/1P1BBN2/P4QPP/3R1RK1 b - -,b6c5
1r3rk1/5ppp/1b1q4/3P4/R4n2/1Pp1BP2/2B2P1P/3Q1R1K b - -,f4g6
6k1/2p2r2/B2p2p1/8/1n6/1P4RP/P5P1/7K w - -,a6b5
8/ppkP3p/2r2Nb1/4K1P1/8/1P2R3/8/8 w - -,e5f4
r7/1p3kp1/p4p2/7p/2Pp3P/1P1K4/P4P2/7R b - -,a8d8
r1b2rk1/1pqnppb1/p2p1npp/8/3NPP1B/2N5/PPPQB1PP/2KR3R w - -,e2f3
4r3/8/8/2R5/1P6/4p3/2kpK3/3R4 b - -,c2b3
3r1rk1/1bq3pp/pp1b1n2/8/PPp5/4BN1N/2PQ2PP/2R2R1K w - -,d2e2
r1b2rk1/p3ppbp/1np3p1/8/3qPP2/2NQ4/PP2B1PP/R3K1NR w KQ -,g1f3
r1bq1r1k/1p1nnpp1/3p3p/3Np3/2P1PP2/bNBB2Q1/P5PP/R4R1K w - -,a1e1
1r1r2k1/2Rbb1p1/p3pq1p/5p1Q/2N5/1P4P1/P4PBP/R6K w - -,f2f4
r1b2rk1/1p2ppbp/6p1/3q2B1/p2N4/2P2P2/PP1Q2PP/R3K2R b KQ -,e7e5
r2q1r1k/5p2/3p1bpp/p1pP3n/PpR1PP2/1P4P1/5B1P/3Q1RNK b - -,f8e8
4r1k1/3b1pbp/1q1p4/1p1P1p2/1P4pP/3QP1P1/4NPB1/2R3K1 b - -,e8c8
4r1k1/pp3rpp/2q5/2p2PPN/P1P1p1Q1/1P1nP2K/R7/5R2 b - -,d3e5
r3k3/4p3/1n1p4/2pP3p/p6P/3R1p2/PPKB2P1/8 w - -,d3f3
