8/4b1p1/5k1p/3Q4/P7/2q3P1/5PKP/8 b - -,c3c5
r1b2rk1/pnq2pp1/2pb3p/3n4/1PN5/2PN4/P3BPPP/R1BQK2R w KQ -,c1d2
2k3rB/1p1n1R2/p1bqp2p/8/2Q1N1P1/7P/PPPb2B1/2K5 w - -,e4d2
8/p7/1p6/2p1bk1p/2P1p3/1P4PK/PB1r1P2/7R w - -,b2e5
rnbqk1nr/p3ppbp/2pp2p1/1p6/3PP2P/2N1B3/PPPQ1PP1/R3KBNR b KQkq h3,g8f6
8/7R/8/8/3kp3/6Kp/1r3P2/8 b - -,b2b3
6k1/5p2/pp4p1/3pq3/7P/5P2/P1R2KP1/7R b - -,e5d4
b1r3k1/q2npp2/p2pn1pp/P2N4/4PPP1/3Q3P/2P1N1BK/1R6 b - -,c8e8
2r1nrk1/1p1q2b1/3p2p1/2pPpbP1/p1P1N2R/P3B3/1P2BPQ1/2KR4 w - -,e2g4
3q1r1k/1pQ3pp/8/n1p1p3/2P5/P1r1NP2/6PP/R3R2K w - -,c7e5
8/p7/1p1n3p/2pP2p1/P1P3p1/1Pk1NK1P/8/8 w - -,h3g4
8/3k4/6bp/8/6K1/1NP5/p7/8 w - -,c3c4
r3qrk1/1p1b1pbp/n1pp1np1/p2Pp3/2P1P1P1/2N1B2P/PP1NBP2/R2QK2R b KQ -,e8b8
8/2R5/4bpk1/2B2npp/8/1p3P2/1P3KPP/8 b - -,e6d5
r7/1p2kp2/2bppp2/7p/1P2PP2/r1NR4/2P2KPP/4R3 b - -,a3a1
2r2rk1/5p1p/p3p1p1/1pPn4/3B3P/Pn3N2/1P2BPP1/1R4K1 w - -,e2d3
1n1rq1k1/p1r2p1p/Pp2pnp1/1P1p4/3P4/Q1N1PB1P/5PP1/R4RK1 w - -,f3e2
R7/5pk1/6p1/1p6/2n2P1p/1N1r2PP/1PN2b1K/2B5 b - -,h4g3
2r1r1k1/pq1npp1p/1pb3pb/1N1P4/P1P5/1BB5/4QPPP/3RR1K1 b - -,c6b5
2r5/5pk1/5bpp/3Rp3/4P2P/5PP1/r7/3RNK2 w - -,d1d2
5k2/R4p1p/6pn/3Bp3/8/5K1P/7b/8 b - -,h2f4
8/1p4k1/p1p3p1/P1Pq1P2/5QN1/6PK/5P1P/3r4 b - -,d5f5
r2qk2r/bp1nnpp1/p3p1bp/4P1B1/2BN4/5N2/PP3PPP/R2Q1RK1 w kq -,g5e3
6k1/p1n2qp1/1pQ5/5b2/2PP3p/PP2R1bP/8/5RK1 w - -,d4d5
r2q1rk1/pb1pbpp1/1pn1pn1p/2p5/3P3B/2PBPN2/PP1NQPPP/R3K2R w KQ -,d3c2
3r1nkr/1p3qb1/pP1p1p1p/2pPpPp1/2N1P2P/2BP2P1/P5KR/1R1Q4 w - -,c3d2
r1b2rk1/p3ppbp/1p1p1np1/4P3/2q2B2/2P2N2/PPQ2PPP/3R1RK1 w - -,d1d4
rn1qkb1r/pb3ppp/2p1pn2/1p6/3PP3/1P3N2/2QB1PPP/RN2KB1R w KQkq -,d2a5
8/1p1k1p2/r4Pp1/3P4/1b1K3p/1pN4P/4R1P1/8 w - -,d4c4
r1b1k2r/pp1pppbp/1qn2np1/8/3P1B2/4PN1P/PP3PP1/RNQ1KB1R b KQkq -,d7d5
4r2k/3r3p/p2p2p1/1p1R4/8/P5P1/1P3P1P/2R3K1 w - -,c1c6
8/1bb2k2/2p2p2/p1Br2pp/8/1P2N1PP/P1R2PK1/8 b - -,d5d3
6R1/1r6/6k1/5p2/4p3/4P3/5K2/8 b - -,g6f7
2krn1r1/pp3p1p/q1p1p3/1NR2p2/2PP3P/5PP1/2P5/R1Q4K b - -,a6b6
3r4/1p3pkp/2p1p1p1/p7/3rp3/PP4PB/4PP2/R2R2K1 w - -,d1d4
8/1k6/4pK2/1r3b2/2R5/8/R7/8 w - -,f6e7
3r3r/pk2b1pp/1pn1p3/1N2Pp2/5P2/4B2P/PP2K1P1/2RR4 w - -,c1c6
b2Q1r1k/6pp/8/1p1Pp3/8/5nP1/PP3PKP/3R1R2 b - -,f8d8
r1b2rk1/ppb3p1/2n1pq1p/2Pp4/1P3P1P/P1NQ4/2P1N1P1/R3KB1R w KQ -,g2g3
1b3rk1/pp3ppp/2n1p3/2Rr3q/1P1P3N/P4QP1/1B3P1P/5RK1 b - -,h5f3
3r1rk1/3nqpbp/p1pp2p1/4pP2/2PnP3/1P2B1PP/P2QNRB1/4R2K w - -,e1f1
r2qk2r/1b2bp1p/p1p1p1pB/3pP3/6Q1/2N5/PPP2PPP/R3R1K1 w kq -,g4h3
r2qk1nr/p2bbppp/2p1p3/1B1p4/4P3/6P1/PPPN1P1P/R1BQK2R w KQkq -,b5d3
r2qr1k1/1pp2pp1/2np1n1p/p3p3/2P3b1/PPQPPN2/4BPPP/R1B2RK1 w - -,c1b2
8/1p3p2/p3k3/5p1p/2P2K2/8/PP5P/8 b - c3,a6a5
r1r3k1/3n2pp/p2qb1n1/3p1p2/3Pp3/2P1P2P/1P2QRP1/R2BNNK1 w - f6,e2d2
5rk1/1b3pp1/p2R3p/1pp5/4n3/4P3/P3BPPP/4R1K1 w - -,d6b6
3r4/p6p/1p2nkp1/3p4/3P4/P1N3P1/5P1P/4RK2 w - -,e1d1
2rR4/1p2kppp/pqn5/8/8/P1n1P3/1PQ2PPP/4KB1R b K -,c6d8
8/8/4pk2/5pp1/R2P4/5PK1/3r2P1/8 b - -,f5f4
2r5/1b3kp1/p4pp1/1nB1p3/1P2P3/3rNP2/6PP/2R1R1K1 b - -,c8d8
8/5pb1/6k1/8/3pKBP1/5P2/4R3/6r1 b - -,g1f1
8/8/P7/1B4p1/8/4p1n1/3k1pK1/8 b - -,e3e2
2Rq2k1/1p3pbp/3p2p1/pP1Pp3/3nP3/1B1QB3/P4PPP/6K1 b - -,d8c8
1k1r1b1r/pp1qNp1p/3p4/4pp2/5P2/2P1B3/PP4PP/R2Q1RK1 b - -,f8e7
6k1/2r3p1/p1rb4/P2q1p1p/1p1Pp3/1P2P1P1/R1R4P/1Q2B1K1 b - -,c6c2
r6k/4b2p/4np2/1r2p3/7Q/P3n1PK/7P/B1R5 w - -,g3g4
8/1p6/p2k4/4p2R/2P2pP1/4p2r/PP6/4KNn1 b - -,h3h4
3rb1k1/5ppp/1R1Np3/p3P3/5P2/6P1/6KP/8 w - -,b6a6
3r1rk1/1b3p2/p4bp1/1p1qN2p/3p1B2/1PP4Q/1P3PPP/3RR1K1 w - -,d1d4
2rq1r1k/1p3ppp/p2pb3/4n1b1/4PN2/2N5/PPP1B1PP/R2Q1R1K b - -,e6c4
r2rb1k1/ppq2ppp/3p1b2/3N1p2/4P3/8/PPPQ1PPP/1K1RR3 b - -,c7c5
1r3k2/b4Pp1/p1p1R2p/3n4/P6P/2pr2P1/R1B2PK1/4B3 b - -,f8f7
8/1pk3p1/1np2p1p/8/pP1rPP2/P1R1K1P1/2B4P/8 b - -,d4d7
rnbq1rk1/p5bp/1p2p1P1/3pp3/3N1P2/2NPBQ2/PP4P1/R3K2R w KQ -,h1h7
r1b1k2r/ppb2p2/2p1pq1p/6p1/2B3N1/3R2P1/P1P1QPP1/3R2K1 b kq -,f6g7
3k4/ppp2pp1/2p4p/2B1Pb2/1P6/8/PP3PPP/6K1 b - -,h6h5
8/3R2p1/2N3k1/1p3pp1/1Pb5/5P1P/6P1/1r4K1 w - -,g1h2
2bb4/2p4p/pp2k3/5p2/1PP2Pp1/P2N4/1B2KP1P/8 b - -,c8b7
2r5/3qb1rk/1p2p2p/pN1p3n/P1PPp3/1P2Q2P/5PP1/2RR3K w - -,c1c2
rnbqk2r/pp1nbp2/2p1p1p1/3pP2p/3P1PQ1/2N2N2/PPPB2PP/R3KB1R w KQkq h6,g4g3
2r2r2/1p2ppkp/3p2p1/pb2n3/Pq2P3/1PN2P2/2PQR1PP/R6K w - -,c3b5
4r3/1b2q1k1/1b4p1/2p5/4PQ2/1BP4P/5PP1/R5K1 w - -,a1e1
1q4k1/1n3p1p/4p1p1/3p4/8/6P1/1Q3PK1/1R6 b - -,b8d8
r1b2rk1/2q1bppp/p3pn2/P1pp4/3BPP2/2NB2P1/1PP4P/R2Q1RK1 w - -,d4f6
r1br1k2/pp2b1pp/1q2pn2/6N1/8/P7/BP3PPP/R1BQ1RK1 w - -,d1e2
r1b1r1k1/p1q2pbp/1pppn1p1/4p2n/2PPP3/4BNPP/PP1QNPB1/3RR1K1 b - -,c8a6
r4rk1/ppq1bpp1/2n1bn1p/2p1p3/4P3/2P2NP1/PPQN1PBP/R1B1R1K1 w - -,d2f1
r4bk1/2q2p1p/n1p3p1/1p2p3/4P1N1/1Q3N2/5PPP/R5K1 w - -,h2h4
1k5r/1p6/p7/2n5/P2R3r/5B2/1P3P2/3R2K1 b - -,c5a4
r6r/1p1qk1p1/p2b4/3Pp1Pp/4P3/4BP2/1P5K/R2Q1R2 b - -,g7g6
8/8/5p2/7p/2p3k1/2P2q2/3Q4/7K w - -,h1g1
8/1p4qk/p5pp/8/P7/3p2PP/1PbQ2BK/8 w - -,g2e4
2kr3r/1pqb1ppp/p2bpn2/8/3N4/1B3Q1P/PPP2PP1/R1B1R1K1 w - -,c1e3:c1g5
2r2rk1/p2q1p1p/bpNb1p2/3Q4/1P2B3/6P1/P3PP1P/2R2RK1 b - -,c8c6
8/8/5k2/3R4/5P2/1r2PK2/8/8 w - -,f3e4
2k3rr/1n1q3p/2b1p3/pp1pPp2/2pP2P1/B1P1NnQP/2P3RK/1R6 w - -,g3f3
