8/8/8/3r2p1/7p/R6P/4k1K1/8 w - -,a3a2
rnbq1rk1/pp2bppp/4pn2/2pp4/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 w - c6,c1b2:e2e3:b1c3:d2d3:c4d5
2R2b2/1r2pk1p/r2p1pp1/1n1P4/1R1BP3/5NP1/P4PKP/8 b - -,a6a2
4r1k1/pp3np1/2pr4/3p1Q2/1Pb2N1P/2P2P2/P4KP1/R7 b - -,d5d4
2r1r1k1/2q2pp1/pp1ppb1p/3b4/2P1P3/1P1Q4/P1B2PPP/3RR1K1 w - -,e4d5
8/p5k1/2N5/2q3pp/4B3/P3b3/1PP3PP/1K1R4 w - -,d1d5
5rk1/pb1q3p/1p4pP/8/2p2n2/2N3Q1/PP4P1/5R1K w - -,f1f4
r2qn2k/4b2p/2p3p1/1p3Q2/1P1p1P2/3P3P/B1PB3K/R5R1 b - -,a8a2
r1bqk2r/pp2nppp/2n1p3/3pP3/3p4/P1B2N2/1PP2PPP/R2QKB1R w KQkq -,f3d4:c3d4
7R/7r/8/8/1K6/3bk3/8/8 w - -,h8h7
r1b1r1k1/pp2qpbn/2pp1np1/7p/2PPP3/BPN2RPP/P1Q1N1B1/5RK1 b - -,h7g5
r1br2k1/1pq1ppbp/p7/5p1N/6nQ/2P5/PPB3PP/R1B2RK1 b - -,g7e5
8/7p/3n1kp1/1ppP1p2/8/2N1PP1P/5KP1/8 w - -,f3f4
brr2bk1/B1qn1ppp/p3p1n1/N2p4/1PP1PP2/2NB4/R4QPP/1R4K1 w - -,a7b8
1r3rk1/p3ppbp/2np4/7p/2P1P3/1PN1B1P1/P4PK1/2R4R b - -,c6b4
3rkb1r/pp3p2/2p2p1p/2q1n3/Q3P3/2N5/PPP1BPPP/R3K2R w KQk -,a1d1
2rqkbnr/p2p1ppp/1pn1p3/8/2P2Q2/2N2PP1/PP2BP1P/R1B1K2R b KQk -,g8e7
r1b1k1nr/4pp1p/p1p3pb/q1B1P3/4N3/2pP1N1P/P1P1QPP1/R4RK1 w kq -,f3d4
8/4k3/4pp2/3bPp1p/1p3P2/6PP/PR3K2/8 b - -,f6e5
5r1k/4b1p1/p3pr1p/2p5/4QB2/Pq2P3/1PR2PPP/3R2K1 w - -,c2d2
r1bqk2r/pp2pp1p/1np2npQ/8/3P4/6N1/PPP2PPP/2KR1BNR b kq -,d8d5
7k/2pR2Rp/8/1p6/4r3/r5P1/7P/1K6 w - -,g7h7
8/4k3/1p2nNp1/4p1P1/1PP2p1P/5K2/8/8 b - -,e6d4
3k1r2/p2b4/p2b1p2/q1pP3Q/6r1/1P1NB3/P1R2PPP/2R3K1 b - -,f8g8
r3k2r/1bqn1ppp/p2ppn2/1pb5/3NPP2/2PB1N2/PP2Q1PP/R1B2R1K b kq -,e8g8
r1bqk2r/1p1nbpp1/p2p1n2/4p2p/4PP2/1N1BB1P1/PPPNQ2P/2KR3R b kq -,d8c7
br1r2k1/2qn1ppp/pp1pp3/4n3/1PP1P3/PN2Q2P/1N3PP1/2R1RBK1 b - -,h7h6
3rr3/1p3pk1/p2b1pp1/2pP4/P3n2q/1B5P/1PQ1NPP1/2R2RK1 w - -,c2d3
4r1k1/4nqb1/Qp1r4/3p2p1/1P1P1P2/PBN2KP1/7R/7R b - -,e7f5
r3k2r/pp1b1ppp/2n1p3/3pP3/1b1P1BPq/N7/PP2BP1P/R2QK2R w KQkq -,e1f1
r4qk1/1p1b3p/p2bp1p1/2ppn3/7Q/2P5/PPNNB1PP/R1B1K3 w Q -,d2f3
1r4k1/5pbp/r2p2p1/2p5/4PB2/1P3P2/6PP/1R3R1K b - -,g7d4
2r3k1/4pp1p/2r3p1/8/1P3P2/R1P2R1P/6K1/8 b - -,g8g7
r1b2rk1/4ppbp/3p1np1/2qP4/4PPP1/2NB3P/PP1Q4/R3K1NR b KQ -,c8a6
8/1Q1k2pp/2p2p2/4pP2/2P1n3/BP4PP/q4P2/7K b - -,d7d8
8/8/r5k1/4R1pp/2pB1p2/7P/5KP1/8 w - -,e5c5
6k1/p4p1p/6p1/2P2P2/3R4/5QPK/5r1P/4q3 w - -,d4d1
r2qkb1r/pp1b1p2/2p1pp1p/8/3PB3/5N2/PPP1QPPP/2KR3R w kq -,d4d5
1N4k1/p1b2p1p/4p1p1/2P1P3/r7/5PP1/7P/2R4K w - -,b8d7
rqb1k2r/3p1ppp/2n5/p1bNp1B1/2B1P3/6P1/PpP2P1P/1R1QK2R w Kkq -,d1f3
rn1q1rk1/pp3ppp/2p1pn2/4NbB1/2BP4/2P5/P1P2PPP/R2Q1RK1 b - -,b8d7
8/r2b1k2/1p2p3/bP1p1p1p/p2P2pP/P2BPPP1/2R1K3/1N6 w - -,f3f4
r3k2r/pp1n1pp1/2p1p1p1/2bpP3/5PPq/7P/PPP1P1B1/R1BQ1K1R w kq -,e2e3
3r3r/1pk1ppbp/p3b1p1/2P5/5P2/R3BN2/P1P3PP/5RK1 w - -,f1b1
3R4/8/r5k1/7p/7P/5PK1/8/8 b - -,a6b6
5rk1/5p1p/6p1/1Q2pb2/8/2q5/P4PPP/R2R2K1 b - -,f8c8
r3k2r/1p3p1p/3pbp2/2b1p3/p1P5/PqN3P1/1P2QPBP/1R3RK1 w kq -,g2d5
8/8/8/p2N2k1/3P4/2P2K2/P1B5/6r1 b - -,g5h4
rnbq1rk1/pp3pbp/2p3p1/3p4/1P1P4/2NBPN2/P4PPP/R2QK2R b KQ -,d8e7:d8d6
6k1/3bnrpp/pp3q2/2pPpPQ1/2P1P3/2N3R1/P5P1/1R4K1 w - -,g5f6
8/3r1p1k/1R2p1p1/2p1P2p/K1P2P1P/3P2P1/8/8 w - -,b6d6
7r/4k1R1/2R5/p4p2/N1Brn3/1P6/P5Kb/8 b - -,e7f8
4b3/1p6/p2k2pp/P2p1p2/2PP1P2/1PK2NP1/8/8 b - -,e8c6
1n4k1/pb2pp1p/1p4p1/2p5/2P4P/PP2P3/3NBPP1/6K1 b - -,b8d7
r1bq1rk1/pp3pbp/2n1p1p1/8/P3PP2/2N1B3/1PB3PP/R3QRK1 b - -,c6d4
5rk1/1p3ppp/p3b3/8/1P1R1K2/1r1B1P2/6PP/7R b - -,h7h6
r1r3k1/pp1bbnpp/1q2p3/3pBp2/3P4/1P2PPPN/P4RBP/2RQ2K1 w - -,f3f4
3r2k1/pp1q1pbp/2n4r/8/2Npn1P1/BP1N3p/P3PP1K/2RQ1R2 b - -,d7g4
r4rk1/pbpp2pp/2n1pn2/2p2p2/P2P3q/2PBPP2/5RPP/R1BQN1K1 w - -,a4a5
3q2k1/p4p1p/1p4p1/4Qp2/1P2n3/4PB1P/P4PP1/6K1 w - -,f3e4
2r5/3bn1kp/prnq2p1/1pp1p1Q1/2PpP3/1P1P1NP1/P5BP/1RR2NK1 b - -,h7h6
1q2k2r/1b1n1pbp/2pppnp1/1p6/1Q2P3/1NPP1NP1/1P3PBP/2B2RK1 b k -,b7a8
rR6/5ppp/p1kbb3/B2n4/P1BP4/8/5PPP/1R4K1 b - -,d6b8
5rk1/p2r1pb1/4p1p1/4PnBp/1pPNQ2P/1P4P1/q4PK1/3RR3 w - -,d1d2
r4rk1/pp2bppp/2n5/3pPb2/8/2N2N2/PPP4P/2KR1B1R w - -,c3d5
r2qkb1r/pp1npppp/2p2n2/6Nb/2Q5/2N3P1/PP1PPPBP/R1B2RK1 b kq -,h7h6
8/8/5k2/5P2/7R/4P1p1/3r4/5K2 b - -,f6f5
1r6/3n1k1p/1P2p1p1/1Rp5/2p5/2P4P/4BPP1/6K1 w - -,b6b7
8/6p1/2k1p2p/1pp4P/2P1PbP1/2K2N2/8/8 b - -,f4e3
8/3r1pk1/7p/1b1pP2B/p2P4/5R2/6P1/6K1 w - -,f3g3
2b2bk1/R3p2p/3p2p1/1p1P1P2/4N3/3PBn1P/2r2P2/5B1K b - -,g6f5
8/2b2pk1/3r2p1/1PQ2n1p/5P2/2P4P/KP6/8 b - -,d6d7
3rr1k1/ppp1qp1p/6pb/3bN3/3P4/PP1QP3/6PP/R2NR1K1 b - -,d5g2
r3k2r/1p1nbppp/pqp1pnN1/8/2BPP3/1QN2PP1/PP1B3P/2R1K2R b Kkq -,h7g6
2r5/1p3ppp/p1kpn3/8/4PpP1/3B4/PPK4P/3R3R w - -,c2d2
r1b1r1k1/ppp2p1p/6pQ/3q1P2/3Pp3/2P1B3/P1P3PP/R4RK1 b - -,c8f5
1r6/4bp2/2qpb1k1/4p2n/1rp1P1p1/2N3B1/RPP1QPP1/1R3NK1 b - -,e7g5
6k1/1pp2pp1/2n1b2p/8/3P4/1P5P/q2BQPPK/5N2 w - -,e2e3
2r3k1/6pp/4p3/p1NnP3/3P1p2/3R2PP/1r6/R5K1 b - -,d5e3
rnbq1rk1/6pp/pppbpn2/3p1p2/2PP4/2NBPP2/PPQ1N1PP/R1B2RK1 w - -,c1d2
7k/p6p/3q4/3pRrPP/p2pb1N1/3P2K1/P7/2Q1R3 b - -,f5e5
2n1b3/4kpp1/1p2pn1p/pP1p4/3P4/P1NBPP1P/3N1KP1/8 w - -,a3a4
r1bqkb1r/pp2np1p/2npp1p1/2p5/4P3/3P1NP1/PPP1QPBP/RNB1K2R w KQkq -,e1g1
rnbq1r1k/ppp3bp/3p4/3Pp2n/2P1Ppp1/2NB1P2/PP1QNBPP/2KR3R w - -,c4c5
2q5/5p1k/2p2Pp1/1p1pP2p/3P1Q2/2P3PP/r4RK1/8 b - -,a2f2
8/2b1k3/2P1p2p/2K1P1p1/1N6/2B2bP1/7P/8 b - -,e7d8
5k2/1rq1b1p1/3p3p/1p2p2Q/2PBPp1P/1P1P4/6P1/R5K1 w - -,d4f2
