2r1k3/8/2nK4/n6R/P7/8/8/8 b - -,c8d8
r5k1/pp2brp1/1q1p1n2/3p1p2/2P2Pp1/2N2QP1/PP4B1/R1B2R1K w - -,f3f2
8/R5p1/5p2/2p1k1p1/6P1/2Pr3P/6K1/8 b - -,d3c3
6k1/p2r2Pp/b3pB2/2pr4/P3pR2/1P6/6PP/4R1K1 b - -,d5f5
r2q1rk1/2p2pp1/ppb1pb1p/4P3/3P4/2P2NP1/P1Q2PBP/R3R1K1 b - -,f6e7
2r5/3R4/2pP4/1kP5/1p1P4/8/1K6/8 w - -,b2b3
1r6/3k1p1r/4p1p1/2P1P3/5QP1/5PK1/8/8 w - -,f4d4
6k1/1b3ppp/pn2pb2/1p6/1P6/PN2P3/4BPPP/2B3K1 b - -,b6a4
5k2/5p1p/1p4p1/1P4P1/3P1P2/3BP3/1rp2K1P/2Rb4 b - -,f8e7
8/4pk2/prr2pp1/R3p2p/R3P2P/1P2KP2/P5P1/8 w - -,e3d3
5rk1/1pP3bp/pR3np1/P7/8/4Bp2/1PP4P/5K2 b - -,f6d5
4r1k1/7p/3p2p1/2b5/1p3P1P/rN1R1KP1/8/2R5 w - -,c1c4
4r3/1p3pk1/2b4p/p1P3p1/3Rp1P1/8/PP3PBP/7K b - -,g7f6
r1b2rk1/1pp1qpb1/p2p1npp/nB2p3/4P3/2PP1NN1/PP3PPP/R1BQR1K1 w - -,b5a4
r1bqr1k1/pp3pbp/2n2np1/2ppP1B1/8/2PBPN1P/PP1N1PP1/R2Q1RK1 b - -,c6e5
r1bqk2r/2pnnpbp/pp1pp1p1/8/2BPP3/2P2N2/PP2QPPP/R1B1KN1R w KQkq -,f1g3
6k1/2q1ppb1/3p4/1r1P1bp1/2P5/5NB1/3Q1PP1/2R3K1 b - c3,b5c5
3rr1k1/1b4pp/pp3p2/4p3/2P4N/1P1q2Q1/P3R1PP/4R2K w - -,e2e3
rnbqk2r/ppp1ppbp/6p1/3n4/8/2N2N2/PPQPPPPP/R1B1KB1R w KQkq -,e2e4
8/5k2/6p1/4K2p/5P1P/8/6P1/8 b - -,f7g7
r3r3/6p1/p6p/4pk1n/P6R/2P1B3/2P4P/2K3R1 b - -,g7g6
2r4k/5pp1/1p5p/p3p2P/PnB1P3/1P2P1P1/6K1/3R4 b - -,g7g6
8/p2p3p/3P2p1/1P1kp3/1B1b4/8/P3K1PP/8 w - -,e2d3
3r2k1/4R1pp/2p1bp2/8/2P4P/2B5/P4P1P/6K1 b - -,e6c4
8/1p3pp1/1Q3b2/pB1pkP2/Pn2R3/2r4P/6P1/7K b - -,e5e4
2r1rnk1/pb4pp/1p2p3/5pB1/3P1q1P/2PB4/P4PP1/2R1R1K1 w - -,g5f4
3Q1rk1/r4ppp/p3p3/2Np1b2/1PnP4/4P1P1/4BPP1/2R2RK1 b - -,f8d8
4k2r/p4pp1/p1rpp2p/8/2n1PP1b/2N5/PPPBR1P1/2KR4 w k -,c3d5
2r2k2/p2r1ppp/2p1pn2/8/8/P1PB3P/2P2PP1/1R3RK1 w - -,b1b3
2rr2k1/p1q1bppp/1p2pn2/nPp5/3P4/P3PN2/BB2QPPP/R2R2K1 w - -,a1c1
8/2n2p2/p2k2pp/1p2p3/PP2P1P1/2NbKPP1/8/8 w - -,e3d3
8/1p4k1/8/p3n1pP/Pp1p2P1/1P4K1/8/3B4 b - -,g7f6
8/1pB5/2bRkp2/5rpp/7P/3P2P1/4K3/8 b - -,e6e7
4r1k1/2pq2pp/p2p1p2/2nPnN2/2P1r3/2Q2RB1/P1P3PP/5RK1 w - -,g3e5
r1b2rk1/1pqn1pbp/p2p1np1/2pPp3/PPN1P3/2PB1N1P/5PP1/R1BQR1K1 w - -,a4a5
r1k3nr/1p2bpp1/p1p1b2p/4P3/2pP1B2/2N5/PP3PPP/2KR1B1R w - -,d4d5
4r1k1/1p3pp1/p1p3n1/5q1p/PP1P4/4PQ2/5PPP/2R1N1K1 b - -,f5g5
r1r5/pp1nppkp/3p2p1/3P4/4P3/5P2/PP1KB1PP/R6R b - -,f7f5
r5k1/1R5N/p3p1p1/4P3/n7/8/6PP/7K b - -,a8d8
8/3B4/r3K1kp/5pp1/8/4B1PP/5P2/8 w - -,e6e7
rr2n1k1/4q2p/1p1p1bp1/P1pPp2n/4Pp2/1R3P2/2NQ1BPP/1R3B1K w - -,b3b6
r4rk1/pp1qpp1p/1n1p2p1/3P2PP/2P2P2/1PR1B1Q1/P7/4K2R b K -,d7f5
r3k2r/1pp1nppp/1p1p1q2/3P4/4P3/1n1Q4/PP3PPP/R3KB1R w KQkq -,d3b3
3r2k1/1QN2qp1/1P3b1p/5b2/8/2p3BP/5PP1/2R3K1 w - -,b7c6
rnbqk2r/1p2bppp/p3p3/3N4/3N2P1/4B3/PPP1BP1P/R2QK2R b KQkq -,d8d5
8/6kp/B1p5/2Pn2p1/4prN1/P6R/1r3P2/5K2 w - -,a6c8
5r2/1b3pbk/1pp1p1p1/r3N2p/1q1P3P/1B3RQ1/PP3PP1/4R1K1 w - -,e1d1
2rq1rk1/pb2bppp/1pn1pn2/6B1/3P4/P1NQ1N2/BP3PPP/3R1RK1 b - -,h7h6
7r/1k2np2/4pN2/1b1pP3/1PnP1NPP/6K1/8/R4B2 b - -,e7c6
8/5pkp/3p1p1b/p2P1P1Q/PrBq2r1/1P2p1P1/2R4P/5R1K w - -,h5h3
3q1bk1/8/2p4p/1p2p3/p2NPnP1/2P2PK1/1PQ4R/6r1 w - -,g3f2
r2qkb1r/pp1n1ppp/2p1pn2/2Pp1bB1/3P4/4PN2/PP1N1PPP/R1Q1KB1R w KQkq -,b2b4
3r2k1/pp1q1pp1/5rbp/1Np5/P1P1p1P1/4Pn1P/2R2PB1/2R2QK1 w - -,g1h1
3r3k/8/p4bp1/q4p2/1PP1pB1P/3r3P/4QPB1/1R4K1 b - -,a5a4
r1b2rk1/5ppp/p2R1bq1/1p3p2/P1B4P/1Q2PNP1/1P3PK1/2R5 w - b6,c4d5
rn1qk2r/pp3ppp/2p1pn2/3p4/1b4b1/1P1P1NP1/PBP1PPBP/RN1QK2R w KQkq -,b1d2
r2k3r/p2bbppp/2p1p3/6B1/4P1n1/2N2N2/PPP3PP/2KR3R w - -,d1d2
r3r1k1/pp3pbp/3Pp1p1/2p3B1/1nP1P3/q4B1P/P2Q1PP1/2R2RK1 b - -,f7f6
r4rk1/p5pp/1p2q3/2p5/3n3b/3PNP2/PPP1B3/R1BK1R2 b - -,h4g5
8/6kp/p1pb4/1p2rp2/P3pK2/2P2p2/1P3P2/R4R2 w - f6,a4b5
1R6/5k1p/3p1pp1/3Pp2n/4PBPQ/7P/5PK1/1Bq5 b - -,h5f4
4qrk1/8/6r1/p2Pp1pp/1bNBP3/1P3PP1/1Q6/2R2RK1 b - -,e5d4
1r3rk1/p1q3b1/2p1p2p/3bPp2/5BpP/1PQ5/P4PPN/R3R1K1 b - -,c7e7
8/8/1R3k2/2r5/P7/2P2K2/7P/8 b - -,f6f7
2b1k2r/1r2bppp/Q1pp4/4n3/1qP1P3/P1N2N2/1P1R1PPP/2K2B1R b k -,b4c5
3rk2r/pp2qpp1/2p4p/4nQ2/3pP3/2N5/PP3PPP/2RR2K1 w k -,c3e2
8/p5pk/1pp1rqp1/3n3r/1B1Pp2P/P3P1Q1/2R2PP1/2R3K1 b - -,h5h4
r2q1rk1/ppp2ppp/1nnp1b2/8/2PP2b1/1PNBB3/P2QNPPP/R3K2R b KQ -,f8e8
r1bqk2r/p4ppp/np2pn2/3p4/5B2/P1N1PQ2/1PP2PPP/R3KB1R b KQkq -,e8g8
8/1p3ppp/p2kb3/n7/4PN2/1P5P/2P2KP1/3B4 w - -,f2e3
8/1b3pkp/4pbp1/2q5/p7/P2Q2P1/3N1PBP/6K1 b - -,c5c1
2rq1rk1/4p1bp/pn4p1/1pPpP3/3B1p2/PP5P/4QPP1/1NRR2K1 b - -,b6d7
r1r2k2/1p1nbppp/1pn1p3/1N1p4/1P4b1/P2PBNP1/4PPBP/R1R2K2 b - -,f8e8
5q1k/6pp/2Q5/ppbB4/8/1P2P1P1/P4P1P/6K1 b - -,b5b4
r3k3/6pp/5p2/pBB1NbP1/P7/7P/5P1K/8 b - -,e8d8
r2q1rk1/pp1nbppp/2p1b3/4p3/1P2N3/P2P1BP1/1B2PP1P/R2Q1RK1 w - -,d1c2
3R2k1/1p3rr1/p4pp1/2Q4p/P5qP/1P6/5PP1/4R1K1 b - -,g8h7
2N5/7k/3p2p1/3P3p/8/3p3P/1b4P1/6K1 w - -,g1f2
8/8/PK3kp1/1R5p/7P/5Pr1/8/8 b - -,g3f3
3R4/p3kp2/1p2r1pp/8/2n1P3/P4KP1/7P/3R4 b - -,c4a3
r6r/ppp5/3p1k2/3PbbR1/2Pp1p1p/3P3P/PP1Q1P2/2K4R w - -,h1g1
b1r3k1/3n1pbp/1q4p1/2pp3n/2P2B2/QN3NP1/1P3PBP/5RK1 w - -,f4c1
r1bq1rk1/pp3ppp/2Nbpn2/3p4/5B2/2PBP3/PP1N1PPP/R2QK2R b KQ -,b7c6
