8/4B3/6p1/3p1n1p/3P1P2/2PkP3/5K2/8 w - -,e7b4
r2r2k1/p1q1bppp/2bppn2/1p6/3BP3/PBN2P2/1PPQ2PP/3R1RK1 w - -,f1e1
2k5/pp3q2/2p3p1/5r1p/1P1p4/P2P2QP/2P3P1/4R1K1 w - -,g3d6
r4k1r/pppb1ppp/4p3/3P4/2N5/2R5/B3qBPP/Q5K1 w - -,f2c5
6k1/3R3p/3p4/5P2/4K3/8/1b6/8 w - -,e4d5
5rk1/r3bp1p/1q2pnp1/2p1B3/2B1P3/R7/1P2QPPP/3R2K1 w - -,a3f3
r1b2rk1/pp1nqppp/1np5/4p3/3P4/1BN1PN2/PP3PPP/2RQ1RK1 w - -,d1c2
8/5pk1/4p3/1P6/2B1n3/1r3p1P/2R4K/8 b - -,b3b4
r4rk1/pq1n1pbp/1p3np1/2p2P2/3Pp2N/2P3PP/P1N1P3/R1B1QRK1 b - -,c5d4
4nrk1/6q1/n2p3p/p1pPb1p1/PrP1N3/5pPP/2B1QP1B/1R3R1K w - -,e2d3
4r3/1p2bkpp/p2p1n2/4p3/P2pPP2/1P5P/2r1N1PB/R3R1K1 w - -,f4e5
r1r4k/3n1p1p/3pBb1B/4p3/qp2P3/1N1Q4/1P5P/1K3RR1 w - -,e6c4
1r1q1rk1/p4pp1/3bbn1p/2pp4/N6B/1PPB4/P4PPP/2RQR1K1 b - -,f8e8
r4r2/p4b1k/Q2p4/4bqB1/2P1p1N1/1P4PP/P3BP2/3R2RK b - -,f5g5
r1bqk2r/ppp1npbp/2np2p1/4p3/2PP4/2N1PN1P/PP3PP1/R1BQKB1R w KQkq -,d4d5
8/R7/r3k1p1/5p2/3B1P2/4PK2/r7/8 b - -,e6d5
8/2N2k2/7R/4ppp1/P7/6P1/1b1r1PKP/8 w - -,c7b5
r3qrk1/3b1pbp/3p1np1/p1nPp1B1/1p2P1P1/2N2P2/PP1QBN1P/2R2RK1 w - -,c3d1
4r1k1/5p1p/6p1/p2Pqn2/1p2rN1P/3QPKP1/PP2R3/4R3 b - -,h7h6
8/8/8/6p1/6k1/5p1r/1R6/6K1 b - -,h3h8
r7/5p1k/2pR2pp/6q1/p1P1Pn2/5PP1/P6Q/3R1bK1 w - -,g1f1
r1bqnrk1/pp1n2bp/2pp2p1/2P1pp2/1P1P4/P3PN1P/3NBPPB/R2Q1RK1 b - -,e5e4
1r1b2k1/5p2/RnBp1npp/1P1Pp3/4P3/5P2/N4BPP/6K1 b - -,g6g5
8/p1k3b1/P1n3r1/1BPRpp1p/4p2P/6P1/3B1P2/5K2 b - -,g6e6
r4rk1/p1q3p1/1p2ppp1/3bP1B1/2pR4/2P5/P1P1QPPP/4R1K1 w - -,g5f4
2r2rk1/pp2bp1p/1q2p1p1/2npP3/3NnP2/1PP2N2/PB2Q1PP/R4RK1 w - -,a1c1
1qr2bk1/1b1n1p1p/1n1p2p1/3Pp3/1Bp1P2N/2P5/2QN1PPP/4RBK1 w - -,e1a1
4rk2/2b2ppp/p7/1p1p4/3PbP2/2P1N1P1/PP1B1K1P/4R3 b - -,e8e6
8/3n1k2/6p1/1R5p/Pp6/1b2P2P/6P1/6K1 b - -,b3a4
r1bq1rk1/4ppbp/3p2p1/2p1P3/1p3P2/P3QN1P/1P2N1P1/2KR3R b - -,b4a3
r1b2rk1/pp3pbp/6p1/q2Np3/2Pp1Bn1/1Q4P1/PP2PPBP/R4RK1 w - e6,f4g5
6k1/1P4pp/8/8/4p3/4B3/1q4PP/5BK1 b - -,b2b7
5rk1/1bq2ppp/p2r1n2/1P2p3/3nP2B/2N5/BPP2QPP/4RR1K b - -,a6b5
rn1qkb1r/pp3ppp/2p1pn2/3p4/2P5/1P3BP1/P2PPP1P/RNBQ1RK1 b kq -,b8d7
1q4k1/p3bpp1/5n1p/2r1p3/PpN3b1/1Q2PNP1/1P2BP1P/3R2K1 b - -,g4e6
r1bqk2r/pp3ppp/2n5/2bp4/1P2n3/P4NP1/4PPBP/RNBQ1RK1 b kq b3,c5e7:c5b6
rnbqk2r/pp2ppbp/3p1np1/2p5/2P2P2/1P2P3/PB1PB1PP/RN1QK1NR b KQkq c3,b8c6
4k3/5ppp/7r/P2p4/1R1P1P2/1P3K2/5P2/8 w - -,b4a4
r4rk1/ppqnbppp/2p1p3/1PPp1b2/Q2Pn3/2N1PN1P/P3BPP1/R1B1K2R w KQ -,c3e4
2qnrb2/1p3pk1/6pp/2pNpb2/2P5/1Q1PP1P1/2N2PBP/1R4K1 w - -,c2a3
2r3k1/1pNR2pp/p7/2b2P2/P5r1/7b/1PP2R1K/8 w - -,h2h3
1k1r1r2/p3q3/n2p1b1p/P1p2Q2/RpP2N2/5NP1/1P3P1P/1R4K1 w - -,f5c2
r7/p1p2k2/1p1p1q2/1B1P1p2/4n1pr/P1P1P3/1Q4PP/3R1RK1 b - -,f7e7
r3rnk1/p1q1b1p1/2p4p/1pP5/8/4PNP1/PNQ2PP1/2RR2K1 b - -,e7f6
r3kb1r/ppBb3p/2n5/3pp1p1/8/1PP2N2/1P2BPPP/R3K2R b KQkq -,f8g7
4nk2/8/2R2P1p/2P5/p6P/2r2B2/5PK1/8 b - -,c3c4
r1bqr1k1/ppp2pbp/5n2/4pPN1/8/2NP4/PP4PP/R1BQ1R1K b - -,e5e4
8/5N2/8/6p1/3kb2p/PBn3P1/5K1P/8 b - -,h4g3
6k1/pp1b3p/6p1/3rp3/8/3p1PK1/PP1R4/4R3 b - -,d7f5
8/5pk1/2Qp1r2/6pp/p1P5/P4B2/1P1q4/4NK2 b - -,g5g4
2b3k1/1pp1n2p/1p2P3/6pN/1P6/n1Br1rPP/5PB1/2R1R1K1 w - -,g2f3
5rk1/2p3pp/3pp3/1pPn4/pP1P2b1/P2R1Pq1/1Q1BP3/2R2K2 w - -,e2e4
r2qkb1r/1b1n1ppp/pn1pp3/1p4P1/3NP3/P1N4P/1PP1QPB1/R1B1K2R w KQkq -,f2f4
1r6/p2bkp1p/2p1p3/2Ppb1P1/Nr6/1P3BP1/P6P/2RR2K1 w - -,d1e1
r4rk1/ppp1ppbp/2n3p1/1q6/6b1/3PBNP1/PPQ1PPBP/R4RK1 b - -,a8c8
8/1p4p1/p1bb1p2/7p/3B1P2/6Pk/PP2N2P/6K1 b - -,c6f3
1k2r1r1/pbnq2pp/1ppbp3/4P3/3PN3/1B3Q2/PP4PP/2RR2K1 w - -,e4d6
r1b2N1k/4q1b1/2p3B1/p7/Pn6/4pQ2/1PP2PPP/3R1RK1 b - -,e3e2
5rk1/p6p/1ppq2p1/3nRp2/2BP3P/P4Q2/2P3P1/6K1 b - h3,g8g7
r5k1/2R2p1p/p4p2/1ppp1b2/5B2/8/PPP2PPP/6K1 b - -,a8e8
4n3/2k3pp/2P2p2/2R1pP2/r2pP1P1/6RP/7K/8 w - -,g3b3
8/5PR1/8/3K3p/7k/8/4r3/8 b - -,e2f2
2r1k2r/pp2p1bp/3ppnp1/q3n3/3BPPP1/2N5/PPPQB2P/2KR3R b k -,e5c6
8/2b5/8/2B1k2p/1p2P1p1/1P1K2P1/2P5/8 b - -,e5e6
2r2rk1/pb1q1nb1/1pn1pp1p/3p2p1/3P4/1PP1BNPP/P4P2/1NQRRBK1 b - -,f7d6
r1bqk2r/3nppbp/p2p1np1/2p5/P2PP3/2PBBN2/3QNPPP/R3K2R b KQkq -,c8b7
8/8/R1P2k2/6p1/2r5/5P1P/6P1/6K1 w - -,g1f2
R7/pr2kp1p/4pp2/Np1n4/3P4/P5P1/1P2KPP1/8 b - -,b7c7
rrq1n2N/2nb2k1/p2p4/P1pPp2B/2p1P3/1PN1BQ2/3K1P2/R7 b - -,d7f5
8/6p1/2kp1p1p/Pp1Rr2P/1P2P1P1/4K3/8/8 w - -,e3f4
rnbqkb1r/5ppp/p2ppP2/8/4P3/7P/PBP1NP2/R2QKB1R b KQkq -,g7f6
r3r1k1/pp1n1p1p/2pq1bp1/3p4/3P4/3BPNP1/PP1Q1PP1/2R1R1K1 b - -,f6g7
r2q1rk1/pp2pbbp/2pn1p2/6p1/1N1P4/3Q2PP/PP1nPPB1/R1B1R1K1 w - -,c1d2
2rq1rk1/Q4pbp/1p1N2p1/2pbP3/5P2/5BP1/1P3B1P/R4RK1 b - -,d5f3
r4k2/1p3p2/3N2p1/p2P1q2/4N1n1/PP2Pn2/1B3QRr/R4K2 b - -,g4f2
5qk1/5pp1/pN2p3/Pp5p/3P4/2Qn1PP1/1P3PK1/8 b - -,d3b4
5r2/ppr3k1/2pb2p1/q2b1pp1/N2PpP1P/1P2P3/P1Q1B1K1/3R1R2 w - -,h4g5
r3r1k1/p1pn1p2/1p2nPp1/3pB2p/3P2PQ/P1q2N2/2P4P/R4R1K b - g3,h5g4
r1r5/pp2b1k1/1qn1n1pR/3pP1p1/3p4/PN3NB1/KP1Q1PP1/2R5 w - -,h6h1
8/1p1k1p1p/1np3p1/8/p2P1B2/Pb3P2/1PB3PP/4K3 w - -,c2d3
1rq2rk1/1pp4p/3p2p1/p3Pb2/P7/2P1b1P1/1P4BP/R2QR1K1 w - -,e1e3
6k1/1b3p1p/2qn2p1/8/3Q1P2/p1N1K1P1/6BP/8 b - -,d6f5
8/p1p5/2r3k1/4p3/1P2pn2/8/P6R/R4KB1 w - -,g1a7
