8/2k4p/8/1pK5/2p5/1r5P/R5P1/8 b - -,c7b7
2rr2k1/4npp1/2qp1n1p/1p2p3/1P2P3/P2QB1PP/3N1P2/R4BK1 w - -,d3b5
1b6/1P6/7p/p5pP/4k1K1/6P1/P7/8 b - -,a5a4
3rr1k1/bp3qp1/2p1p3/p3P1p1/4p1P1/PQ2P2P/1B2KP2/3R1R2 b - -,f7f3
1r4k1/4ppbp/1q4p1/8/2PpP3/1p1P1BP1/1Q3P1P/R5K1 w - -,f3d1
r4rk1/1b1nqppp/p3p3/2p5/3P1P2/P1P2NP1/4BPKP/R2Q3R b - -,c5d4
r4rk1/3nppbp/qn1p2p1/1p1P4/1PpNP2P/4B3/2B2PP1/1R1Q1R1K w - -,h4h5
2kr3r/pppb3p/2nb1p2/3p2p1/P2P1n2/1PPB1N1P/3N1PP1/R1B1R1K1 w - -,d3f1
r2qr1k1/1p1n1ppp/2pb1n2/p2pp3/1P2P1b1/P1PP1NP1/1B1N1PBP/R2Q1RK1 b - e3,d8c7
8/3Q2k1/1p2pbp1/1P3p2/1pB1qP2/1P4K1/7P/8 b - -,g7h6
2b2rk1/2p1n1p1/1pPp3p/3P4/4Pp2/2P1K1P1/2N5/2B1R3 w - -,g3f4
6k1/pp2qp1p/1n2b1p1/2p1Q3/4P3/2N5/PP2BPPP/6K1 b - -,e7f8
6k1/3r4/1p1N1pQb/3R4/p1P3p1/P3B1Pp/1P3P1K/4q3 b - -,d7g7
r2q1rk1/1b1nbppp/pp1ppn2/8/P2P1B2/2PB1N1P/1P1N1PP1/R2QR1K1 b - a3,d8c7
7r/pp1b1k2/2n2p2/3p2pp/2pP2P1/B1P2P1P/P1PK4/4R1N1 w - -,a3d6
r3r3/1pp2ppk/p1qp1nnp/4pN2/P3P3/1QPPN2P/1P3PP1/3RR1K1 b - -,c6d7
r3k2r/pp2p2p/2nnQ1pB/3p4/8/2q2P2/P1P3PP/1K1R1B1R w kq -,d1d3
6k1/3n1p1p/6p1/3PB3/1N2P3/2r3P1/2p3KP/2R5 b - -,d7e5
4n3/2p3pk/4N2q/3PQp2/2pB3r/2P2Pp1/4K1P1/6R1 b - -,h6g6
2r1k2r/1bq1ppbp/p5p1/1p4P1/2nNP2R/4B1P1/PPP4Q/2KR1B2 w k -,e3f4
8/Q6p/1p6/1k6/1r6/8/8/5K2 w - -,a7h7
r4rk1/1p1bnq2/6p1/2bp1pPB/p4P2/2P1B1K1/PP2Q1N1/R3R3 b - -,c5e3
r4rk1/1p2pp1p/p1np2p1/6Qq/2P3b1/1P3NP1/P3PPBP/2R2RK1 w - -,g5h5
4r3/1b3p1k/pq4pp/1pn1p3/2p1P1nP/P1P2NN1/1PQ2PP1/4RBK1 w - -,f3h2
2r2rk1/ppq3p1/7p/8/b2Nn3/2bBB2P/P1R2PP1/2RQ2K1 w - -,d4b3
8/p1r2pk1/1p2p1p1/nq1p3p/RN1P3P/1PP1P1P1/2Q2PK1/8 b - -,a5b3
4r1k1/1p1q1pp1/pbp4p/3n4/1PQP4/P4PP1/5BBP/3R1K2 w - -,d1e1
R7/2p1qp1k/3p1n1r/3P1P2/4p3/2P1P1QP/1P1n2K1/3B4 b - -,d2f3
R7/2r5/4ppk1/2np1n2/5P2/2P4R/5NK1/8 b - -,c7g7
7r/1pn3p1/1p1kp3/3p3P/3P1Pp1/PKP2B2/R7/8 w - -,f3g4
rnbqk2r/pp2bppp/2p1pn2/3p4/2PP4/1Q3NP1/PP2PPBP/RNB1K2R b KQkq -,e8g8
r3r3/5pk1/1p2pnpp/p1qn4/P1N5/1P3NP1/2PQ1P1P/R3R1K1 w - -,d2d4
r3r1k1/1np2pp1/p3q2p/1p2p3/4P3/1PP1QN2/P4PPP/R4RK1 w - -,a1c1
r1bqk1nr/pp2ppbp/2p3p1/2p5/4P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,g8f6:c8g4:e7e5
3r1b1k/1p1b2p1/6rp/pNpPRp2/P1B4q/1P1Q3P/5PP1/4R1K1 w - -,d3f3
r3n1k1/2qr3p/pp3pp1/2pPp3/2PnP2Q/P5R1/3B1PPP/1R3BK1 w - -,f2f4
5rk1/1b2pp1p/p2q4/3P2Pp/1p1Q1N1P/1Pr2P2/2P5/2KRR3 b - -,f8c8
3r2k1/1p1r1pp1/pq2bn1p/1P1p4/PQ1R4/4NBP1/4PPKP/2R5 w - -,b5a6
rnb2rk1/p4pbp/1qpp1pp1/8/2BPP3/2N2N2/PPP2PPP/1R1QK2R b K -,c8g4
3br1k1/r2q1p1p/1p1p2p1/2nPp1PP/p3P3/2N1BP1Q/PP1K4/6RR b - -,d8e7
3rrbk1/pbq2p1p/1pp1p3/2P2p2/1P1P1n2/P5P1/2Q1NPBP/3R1RK1 w - -,e2f4
2rqk2r/pp1nbppp/4p3/3p4/1n1P2P1/2N1P2Q/PP1B1P1P/RB3RK1 b k -,d8b6
8/2R4p/5k2/8/4P3/6P1/2pr3P/5K2 w - -,e4e5
r1bqkb1r/5p1p/p1pppnp1/8/2P1PP2/2N1B3/PP4PP/R2QKB1R w KQkq -,e4e5
r5k1/2p3p1/ppn1pr2/3q1p2/3P1P2/2P4Q/P3R1PP/2B2RK1 w - -,f1e1
8/p1p2r2/1nkp3p/2p4N/2P1R1PP/6K1/P7/8 b - -,b6d7
8/r5pp/4k3/2R5/P1Pp4/7P/P3KPP1/8 b - -,a7a4
8/8/8/1r6/6p1/1p1k4/1K6/4R3 w - -,e1e8
8/8/6p1/4kp1q/5R1P/4P3/5PK1/8 w - -,g2g3
r3rk2/5ppp/2b5/p1pp4/P4P2/1PnB1N2/2P2KPP/4RR2 b - -,e8b8
4kb1r/ppp2ppp/8/8/2PrPP2/P1N5/1P2KP1P/R6R w k -,b2b3
7k/5qR1/7p/5p2/N4p2/1p3P2/3Q3K/8 b - -,h8g7
r4rk1/pbp1q1pp/1p1bp3/5p2/2PPp3/1P2P3/PB2BPPP/R2Q1RK1 w - f6,g2g3
rn2k1n1/ppp4p/4p1p1/4P3/8/2Q2NRq/P4P1P/R3K3 b Qq -,h3f5
1q1r2k1/5pp1/pp6/5n2/PP3P2/2R3BP/6QK/8 w - -,g2c2
8/5Bp1/1kP4p/1P1p4/1b6/6P1/5P1P/6K1 w - -,f7d5
r2qr1k1/pb1nppbp/1p1p1np1/2p5/3P4/2PBPN1P/PP1NQPPB/R4RK1 b - -,e7e5
6k1/8/1R2Pbp1/ppB1r2p/1P6/5K2/1P6/8 w - h6,e6e7
rnbqkb1r/pp3pp1/3p1n1p/4p3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1c4
1k6/p4p2/4pn1p/1p6/1Pr2P2/4KBP1/7P/2R5 w - -,c1c4
rnbq1rk1/ppp1npbp/6p1/4p3/PPPp4/3P1NP1/4PPBP/RNBQ1RK1 b - a3,a7a5
7k/1p1b2p1/pB6/P5rp/2p5/2P5/1P5P/4R2K w - -,h2h4
r2qk2r/pp2bp2/2bppn1p/6P1/3QP1P1/2N1B3/PPP1B2P/R3K1R1 b Qkq -,h6g5
5k2/rB1K1p2/P3p3/4R3/6p1/6P1/7P/6b1 w - -,e5h5
r1br2k1/1pq2pp1/p6p/2pnP2P/7R/2P2NQ1/PP3PP1/R3KB2 w Q -,f3d2
2rq1rk1/pb2p1bp/1pnp2p1/2n2P2/2P5/1PN1BP2/P1NQB1PP/2R2RK1 b - -,g6f5
n1r2k2/1p3ppp/3p1n2/3Pp3/rP6/1B3P2/2P1N1PP/3R2K1 w - -,b3a4
8/1R2p3/p2b1k2/8/2pnBP2/4K3/1P6/8 b - -,d4e6
rnbq1rk1/pp3ppp/5n2/2pp4/3P4/P1P1PP2/6PP/R1BQKBNR w KQ -,f1d3
4rbk1/p2r1pp1/1pq1p2p/3p1P2/2PP4/1P5P/PBQ1R1P1/4R2K b - -,d7c7
2r1q1k1/pp2br2/4Nnpp/2pp4/3P4/2N1P3/PP3PPP/2RQ1RK1 w - -,e6f4
rnb1k1nr/pp2ppbp/1qp3p1/3pP3/P2P1P2/2N5/1PP3PP/R1BQKBNR b KQkq a3,a7a5
r5k1/p1Pq1p2/1p4p1/4b2p/8/B5P1/P1Q2P1P/4R1K1 b - -,d7c7
2r3k1/5pbp/3p2p1/1Q1P4/5B2/5N1P/1Pq2nPK/R7 b - -,c2f5
3B2k1/5ppp/B1b1p3/8/1N2P3/5P2/r5P1/7K b - -,a2a1
2r2rk1/5pp1/1q1p1b1p/p4P2/2bpP2P/6P1/1P1R1QB1/1KN1R3 w - -,g2f1
8/5rkp/R7/5p2/P3p3/2R3P1/4rP1P/6K1 b - -,e2a2
rnbqk2r/ppp1ppb1/3p1npp/8/3P1B2/2N2N1P/PPPQPPP1/R3KB1R b KQkq -,a7a6
r4rk1/pp2q1b1/2pp4/3Pp2p/2P1Bn1P/1R6/PPQ3PR/1K2B3 w - -,g2g3
r2qk2r/ppp1bpp1/n3pn1p/3pNb2/3P4/2P1N1P1/PP2PPBP/R1BQ1RK1 b kq -,f5h7
r1bq1bk1/5r1p/pp1p1nn1/1N1Pp1p1/1N2Pp2/5P2/PP2B1PP/2RQBRK1 w - -,b5c3
2r1kb1r/pp1b1p2/3ppp1p/q7/1n2PP2/P1NBN3/1PPQ2PP/R3K2R b KQk -,b4d3
r3k2r/pppb1p1p/4q1p1/4b3/1Q6/B1P5/P3PPPP/3RKB1R w Kkq -,e2e3
r5k1/ppq1rpp1/1nb1p2p/3n3N/3P4/1BN5/PP1Q1PPP/3R1RK1 w - -,b3d5
