6k1/8/3p2p1/8/4p2P/P1K1pn2/2P3N1/8 b - -,e3e2
r1bqk1nr/2pnppbp/p2p2p1/8/Pp1PPP2/2NB1N2/1PP3PP/R1BQK2R w KQkq -,c3e2
7k/2q1bp1p/4p2P/5pRB/2pP1P2/2P1Q1K1/1r5r/5R2 b - -,b2g2
r2qr1k1/1b2bp1p/1p2nnp1/p2p4/3P4/P1NNBPP1/1PQ3BP/R3R2K w - -,a1c1
rr2k3/2p4p/1pnbp1pP/4p1B1/1p2PP2/8/PPP1N1P1/2KR3R w - -,c1b1
2r5/r4p2/pk4pp/R1p1P3/2K2PP1/R7/P6P/8 w - -,a3a4:h2h3
r1bqkb1r/pp1n1p1p/5np1/3p4/3Pp3/1PN3P1/P2NPPBP/R1BQK2R w KQkq -,e1g1
8/p4k2/5Rp1/3N3p/1P5P/8/r3p3/4K3 b - -,f7g7
3r1rk1/pp3pbp/2n1p1n1/qN3p2/P7/2P1B1P1/1P2QPBP/R2R2K1 w - -,b2b4
5k2/2b2p2/2p3q1/1rPpPp2/3P1B1p/R6P/6PK/Q7 w - -,a3a8
1r4kr/5p2/p2BpPRp/3p4/5P1Q/1b1P1K1R/1q5P/8 b - -,f7g6
3rr1k1/1p3pp1/2n1qb1p/2P5/1P3PP1/3R1Q2/4NB1P/1R3K2 b - -,d8d3
8/8/7p/p1r1k3/1p1p1N2/3B2PP/PKP2n2/8 b - -,f2d1
2r2rk1/1p3ppp/p3bn2/q2p4/5B2/1nP1PP2/P2QB1PP/2R2RK1 w - -,a2b3
3q1rk1/rb1n2bp/3p2p1/p1p2P2/2PpP3/3P3P/P2BNPB1/1R1Q1RK1 b - -,g6f5
8/p7/4Q3/6pk/3Bp3/2P3K1/Pr6/8 b - -,b2b7
1k6/8/1p3p2/6p1/8/4K1RP/1r4P1/8 w - -,e3d4
r1b1k2r/1pq1bpp1/p2ppn1p/n7/3NP1P1/1BN1B3/PPP1QP1P/2KR3R w kq -,h2h4
r4r1k/1p2b1pp/p1nq4/5p1b/2BBn3/1N3N1P/PP3PP1/2RQR1K1 w - -,c4e2
b7/p4kpp/3p1p2/3p4/1NrP4/1R3P2/P1P3PP/6K1 w - -,c2c3
5n1r/1bknq1b1/2pp2p1/Qp2p1Pp/3PP2P/3BB3/1PP1N1N1/2K2R2 b - -,c7c8
rnb2rk1/pp2qppp/2pbpn2/3p4/2PP4/4PNB1/PP1N1PPP/R2QKB1R w KQ -,d1b3
rnbq1rk1/ppp2ppp/1b6/3p4/1PBNN3/P7/2P2PPP/R1BQ1RK1 w - -,c1g5
r1rb4/1n3k2/1p4pp/pP1Pp3/NpP1PpP1/1P3P1P/R3N1K1/3R4 b - -,b7d6
rn2k2r/1ppbqppp/pn2p3/3pP3/P2P1P2/2N2N2/1PPQ2PP/R3KB1R b KQkq a3,c7c5
2krr3/ppp2pp1/2nb4/3p2q1/3P1N2/P1NQ1PP1/1PP3K1/R4R2 w - -,c3e2
6k1/3n1p1p/4p1p1/1p6/4PP2/3p2P1/P2r3P/2R2BK1 b - -,d7f6
3r1q2/p6k/1npp1bpp/5b2/2P2Q2/5N2/PP3PPP/R3R1K1 w - -,g2g4
2k4r/2qnppb1/2p3p1/1pPp4/p2P2b1/2NNP3/PPQ3B1/R1B2K2 w - -,c2f2
2rq1rk1/1p1nbpp1/2p1pnp1/p7/2pP4/P1N1P1P1/1PQBBP1P/R2R2K1 w - -,e2c4
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2PP1N2/PP2QPPP/RNB1K2R b KQkq -,e8g8
rnbqk2r/pp2npbp/2p1p1p1/3pP3/3P1P2/2NB1N2/PPP3PP/R1BQK2R b KQkq -,b8d7
r1b3k1/1pp1ppbp/1nP3p1/1p6/4P3/5P2/PP1B2PP/1K3BNR w - -,c6b7
r4rk1/pppqb1pp/1nn1bp2/4p3/1P6/P1NP1NP1/4PPBP/1RBQ1RK1 w - -,f1e1:d1c2
r3nrk1/1pqbbppp/p2pp3/4P3/P2Q1P2/2N1BR2/1PP1B1PP/R6K b - -,d7c6
3r1r2/ppq1b1k1/3pQ3/2pNn3/4P3/P6P/1PP2PP1/3RR1K1 b - -,c7d7
r3r1k1/pp3nb1/6qp/2pb1B2/5P1B/5N1P/PPQ3P1/3RR1K1 b - -,g6c6
2r1r3/1p3pkp/p2pqnP1/4p3/PR5Q/2P2B2/1P4PP/4R2K w - -,f3g4
3rrb2/pk1n1p1p/1pp1ppQ1/8/3P4/2P2N2/PP1N1PPP/1K1RR3 b - -,h7g6
r1bqk2r/pp2ppbp/2np2p1/8/4PPn1/1NN1B3/PPP3PP/R2QKB1R w KQkq -,e3g1
rnbr2k1/ppp2pp1/4pq1p/b2P4/3P4/P1N5/1PPQNPPP/R3KB1R w KQ -,d2f4
8/7P/5K2/3kN3/1B3n2/8/8/8 b - -,d5d4
r2q1rk1/2p3p1/2Pp1n1p/p1nPp3/Pp2P3/5NN1/1P1Q2PP/R4RK1 w - -,d2e3
r2q1rk1/pp2bpp1/2n1bn1p/3p2B1/3N4/2N3PP/PP1QPPB1/R4RK1 w - -,g5e3
r2r2k1/pp3p2/2p1bbpp/2q1p3/2P1P3/1P3NPP/P1Q2PB1/2R2RK1 b - -,a7a5
r3r1k1/pp5p/1q2pbp1/3p4/5P2/1PPQ4/P3N1PP/4RR1K w - -,e2d4
4kb2/4qb2/1p6/pP3Q2/8/3B4/1B4PP/5K2 b - -,e7e6
2r1r1k1/q4pbp/1p3np1/8/P7/1Q3BBP/5PP1/1R1R2K1 w - -,b3b6
r3k1r1/pbqpbp2/1pn1pn1p/2p1N3/2PP4/1P1BPp2/PB1NQ1PP/2R2RK1 w q -,d2f3
2r2nk1/p1r2pp1/bp2p2p/3p1n2/1qPP4/1P1Q1NP1/P2N1P1P/2R1RBK1 w - -,a2a3
1k1r4/p2b4/1q1p1Q2/1p5P/3PP3/8/PP4P1/6K1 b - -,d6d5
3bn2r/q4pk1/2Rp2p1/3Pp3/n1P3N1/1r3BP1/3Q1P2/B3R1K1 w - -,g1g2
6r1/kR3p1p/1NpQ4/p3P1q1/6n1/8/PP3Bp1/2R3K1 b - -,a7a6
r1bbr1k1/pp3ppp/2nB4/4p3/2P1Nn2/3B4/PP1N1PPP/R3K2R w KQ -,d3f1
Q3n1k1/5pb1/2P4p/4pB2/4P2P/6P1/1q1r1PK1/8 w - -,a8e8
2r4r/8/8/8/1P1K4/4Q3/P5k1/8 w - -,e3g5
r1b1k2r/ppqnppbp/2pp1np1/8/P1BPP3/2N2N1P/1PP2PP1/R1BQ1RK1 b kq -,e8g8
r3k2r/1pqn1pp1/p2bpn2/2p3N1/2PP2bp/1PN1P1P1/PB4BP/R3QRK1 w kq -,c3e4
2rr2k1/3q1p1p/2n1p1p1/ppP1P3/1P1pBP2/PQB3P1/7P/3R2K1 w - -,c3e1
2kr1bnr/1ppb1ppp/p7/2p5/4PB2/8/PPPNNPPP/R3K2R b KQ -,d7c6
8/1p6/1p3k2/4p2p/1P6/P2Q1K2/6r1/8 b - -,g2g4
5k2/p1rrqp2/1p1bp1p1/6Rp/3P3P/2R1QBP1/PP3PK1/8 w - -,f3c6
6k1/5p2/1ppr4/p1q3pp/PB6/1R2PPP1/1P2Q1KP/8 b - -,a5b4
r2r2k1/p3ppbp/b1p3p1/8/4B3/4B3/PPP2PPP/R4RK1 w - -,f1d1
r3r1k1/3q1pbn/n5pp/pp1P4/2p4B/P1N2Q1P/1PB2PP1/R2R2K1 b - -,a6c5
r1b1k1r1/pp1p1p1p/1b2pp2/8/1P2P1q1/3Q2N1/P2PBP1P/2R1K2R b Kq -,g4f4
2r3k1/2qn1pp1/4p2p/p2pP3/1n1N3P/1P3N2/2PQ1PP1/R5K1 b - -,d7e5
2R5/pP3ppk/7p/8/8/5NB1/PP3PK1/1q2r3 w - -,b7b8q
rn3rk1/pp2b1pp/2p5/4p3/2P1B1b1/6P1/PP1RNP1P/R1B3K1 b - -,b8a6
r3kb1r/p1q2ppp/1Pb1p3/3pP3/1P1Q4/2P2N2/P4PPP/RN2K2R b KQkq -,a7b6
5r1k/4Rp2/p2p1Pp1/2p1r2p/P1P3nP/4N3/2P5/5RK1 w - -,e3g4
3r3k/5p1p/4Bp2/4r3/4NR2/6P1/1bP4P/1K6 b - -,e5b5
2r1k2r/1bq1bpp1/pp1ppn1p/2n5/2PNPPP1/P1N1BB2/1P4QP/1K1R3R b k -,g7g6
r4rk1/1p1bqppp/p4n2/3pb3/8/1PBBPP2/P3N1PP/2RQ1RK1 w - -,d1d2
rnb1k2r/pp3ppp/4pn2/q1p5/PbBPP3/2N2N2/1P1B1PPP/R2QK2R b KQkq -,c5d4
r1bqk2r/pp1n1ppp/4pb2/2p3B1/3P3P/5N2/PPPQ1PP1/R3KB1R b KQkq -,a7a6
4r3/1b1nk2p/pnp2pp1/1p2p3/1P2P3/PBP2NNP/5PP1/3R2K1 w - -,f3e1
5r2/5pk1/6p1/3B4/1PP5/7p/P4n2/1K4R1 b - b3,h3h2
r2q1rk1/3b1pbp/1pnQ2p1/P3p3/2P1P3/2N2N2/4BPPP/R4RK1 b - -,b6a5
2r2rk1/pp2ppbp/2npbnp1/2q5/4PB2/2P2N1P/PP1NBPP1/R1Q2RK1 b - -,d6d5
r1b1kb1r/ppq2ppp/2n1pn2/2pp4/3P4/PP1BPN2/1BP2PPP/RN1QK2R b KQkq -,a7a6
8/1PK5/q4k2/3Q4/8/8/8/8 b - -,a6a7
3r2k1/1ppq2pp/p2p3b/P1PPp3/1P2Rr2/3Q1P2/R4BPP/6K1 w - -,e4f4
r4rk1/2pq1pb1/p1n1b1pp/1p2p3/3pP3/2PP1N2/PPB1nPPP/R1BQR1K1 w - -,d1e2
