8/8/2N1k1p1/3n2P1/P3p2P/6K1/8/8 b - -,e6d6
7n/6p1/p3rk1p/2R1p3/1P2P1KP/2B5/8/8 b - b3,h8f7
1Q6/1r1q2bk/3Pp1pp/1p6/2p2B1P/6P1/6K1/5R2 w - -,b8a8
6k1/R4p2/8/2N4p/2Pn2p1/2r3P1/5P2/5K2 w - -,c5e4
8/3k4/5b2/3KNP1p/7P/8/8/8 b - -,d7e7
rnbqkb1r/pp2pp1p/3p1np1/2p5/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq c6,f1b5
r2q1rk1/pb1n1pb1/1p2p1p1/2pp3p/3P1B1P/2PBPNQ1/PP3PP1/R3K2R w KQ h6,g3h3
r5k1/5pB1/3p2np/1B4p1/1P4P1/P3p2P/4K3/2R5 b - -,g6f4
1r5r/2R2Pkp/5b2/1B3p2/P1p2P2/1nP1R3/1PK3PP/8 w - -,e3g3
r4r2/6kp/p1Qp1np1/4q3/4P3/3B1R2/P1P3PP/5R1K w - -,f3f6
5rk1/R4pp1/7p/3q4/1P2r3/2Q2RPP/5PK1/8 w - -,c3b3
8/1B6/P7/8/2R5/1k1P3P/r5PK/8 b - -,a2a5
r1bqkb1r/ppp2ppp/2np1n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq d3,c8g4
r4rk1/1q2bppp/p1bppn2/8/1p1BPP2/P1NB2Q1/1PP3PP/4RR1K w - -,c3d1:a3b4
4n3/1k6/pp2n3/3pB2p/PP1P1p1P/3B1P2/1K6/8 b - -,e8g7
5k2/2Q2p2/6p1/p4p1p/Pb2P2P/6P1/3r4/5K2 w - -,e4f5
rnbqk2r/pp2bppp/4pn2/8/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,e8g8
3r1rk1/pp2qpp1/2n2n1p/3p1B2/3P4/2N1PRP1/PP1Q3P/5RK1 b - -,a7a6
8/8/3b2p1/1K2kp1p/1P5P/4PB2/5P2/8 w - -,f3c6
q3r2k/6p1/6Pp/p3Q3/1P6/P6P/3R3K/8 w - -,e5d6
r1bR3r/4kpbp/2p1p1p1/1p4P1/p3N2P/2B1nP2/PPB5/2K4R w - -,d8h8
r1bq1rk1/1p2bppp/p2ppn2/2n5/P2NP3/1BN1B3/1PP2PPP/R2Q1RK1 w - -,f2f3
r2r2k1/ppqnppbp/2p2np1/3pNb2/3P1P2/1PQ3P1/PB1NP1BP/2R2RK1 w - -,h2h3
3k4/R7/2K5/p1P5/5P2/8/3r4/8 b - -,d2f2
R7/P5k1/8/4K2p/r6P/6P1/8/8 b - -,a4a1
1r4k1/p2R1ppp/3Npbb1/1B6/P7/2r1P1P1/5P1P/2R3K1 w - -,c1c3
r3r1k1/1p3bbp/2pB1pp1/q1n1P3/p3RP2/2N3PP/PPQ3BK/3R4 w - -,e4e1
8/8/Pk3p2/1P5K/4n2p/3B2bP/8/8 b - -,e4d6
5k2/2R4K/3p3P/8/8/6r1/8/8 b - -,g3g1
r1bqkbnr/1p3ppp/p1p5/4p3/4P3/3B4/PPPN1PPP/R1BQK2R w KQkq -,d2c4
1r4k1/5pbp/p2q1np1/3Pr3/Ppp5/4BB1P/1PQ3P1/R3R1K1 w - -,c2c4
r3Bnk1/1p2b1qn/p2pp3/P1pP2p1/R4P1p/2N1B3/1PQ3PP/4R1K1 b - -,a8e8
3r2k1/1p6/n2Pq1pp/1R2pp2/3p4/3P2P1/3NPPKP/2Q5 b - -,d8d6
8/1p3p1p/p2kp1p1/8/3K1P2/1P4PP/8/8 w - -,g3g4
R4rk1/1b2bppp/1nqp1n2/1p2p3/4P3/1PP2N1P/2B2PP1/2BQRNK1 b - -,f8a8
1r4k1/2qbb2p/2n1p1p1/1p1p4/1P1P2P1/1RNNBr2/5PKP/1Q1R4 b - -,b8f8
rn1qkb1r/pb2pp1p/3p1np1/1pp5/P3P3/3P1NP1/1PP2PBP/RNBQ1RK1 b kq a3,b5b4
8/3b4/3B1kp1/2pB3p/2Pb1P2/8/P4P2/6K1 w - h6,d6c7
r1q2rk1/pb3pbp/1p2p1p1/n1p3BP/3PP3/2PB4/P2QNPP1/2R2RK1 b - -,b7a6
2b3k1/5p2/2p1pqp1/1pP5/p2r4/7P/P4PP1/2QBR1K1 w - -,d1f3
5r1k/2r2pbp/1q2p1p1/2NnP1P1/RP1p1PN1/3Pn2P/3B2R1/3Q2K1 w - -,d1f3
2kr4/pp2ppBp/q5p1/2p5/2P2PP1/5Q2/PP4P1/2K4R b - -,a6a2
8/5p1k/3P1R1P/6p1/1pb5/3r4/2K5/8 b - -,b4b3
1r5k/bP4p1/5nB1/4N3/1P6/P5P1/7P/5R1K w - -,f1c1
5kr1/2q5/1p1p1p2/pP3P2/P1Ppp3/3P1QP1/8/6KR w - -,d3e4
5b2/7k/4pP2/3K4/3B2R1/8/3r4/8 w - -,d5e6
r1r1n1k1/pp1bppbp/n2p2p1/q2P4/3BP3/P1N2N2/1P2BPPP/R2Q1RK1 w - -,e4e5
2b2kr1/4q1bQ/p2p2RB/1p2prP1/3p4/1P1P4/1PP4P/5R1K w - -,h6g7
rn1q1rk1/pb2bppp/1p2pn2/2ppN3/4P3/2NP2P1/PPP1QPBP/R1B1K2R w KQ -,e1g1
rnb2rk1/ppp1q1pp/3ppn2/5p2/2PP4/P1BBPN2/1P3PPP/R2QK2R b KQ -,f6e4
r6r/p2nkppp/3bpn2/Pp3b2/2pP4/4PN2/NPBB1PPP/R1R3K1 w - -,d2b4
r7/p2n1kp1/2p3q1/2pPp1N1/8/1P2BPb1/P3P2r/R1RQ2K1 b - -,f7g8
2rr4/pp3pkp/bnn3p1/3Np3/4P3/qP2QNPP/P1R2PB1/3R2K1 w - -,h3h4
r3r1k1/p2q1pp1/3b3p/3pnN2/2P5/2P4P/P1QB1PP1/R4RK1 b - -,d5c4
1rkn1R2/3q4/7p/3p3Q/p1pPp1N1/2P5/P7/4B2K b - -,b8b1
7r/4kp2/4p3/1b1pPn1P/3P1N2/p1P5/2P2P1R/1KN5 b - -,b5c4
6k1/3n2p1/6qp/BP1Bpp2/3p4/6PP/P2nPP2/2R3K1 b - -,g8h7
r1b3k1/1p2bpp1/pBn1p2p/4q2P/2B5/1N3PP1/PPP2Q2/1K1R4 w - -,g3g4
1r3rk1/2q3bp/p2pp1p1/2p5/2bnPP1N/2N3PP/PR3RK1/2Q1B3 b - -,c4d3
8/1k3p2/4p3/p5Pp/2K2P1P/P7/8/8 b - -,b7c6
r2qk2r/ppn1bpp1/2p1pnp1/3p4/2PP4/4N1P1/PP2PPBP/R1BQ1RK1 w kq -,d1b3
1r6/1r2p1kp/2npp1p1/p7/N3P3/1PP2P1P/2K3P1/1R1R4 w - -,b1b2
r3r3/pp2qpkp/2p2np1/8/2PR4/4PB1P/PQ3PP1/5RK1 b - -,a8d8
r1b2rk1/1p1pqppp/4pn2/p1P5/1nQ5/5NP1/PP1NPPBP/1R3RK1 b - -,d7d5
r1bqk2r/1p3ppp/p1n1p3/2bn4/2P5/5N2/PP3PPP/RNBQRBK1 b kq c3,d5f6
r1bq2k1/p3b1pp/2pp4/2p1nR2/8/1P5P/P1PPN1PN/R1BQ2K1 b - -,c8f5
rnbq1rk1/ppp3pp/4pb2/3p1p2/2PPn3/2N2NP1/PPQ1PPBP/R1B2RK1 w - d6,c1f4
1n1q1rk1/5pbp/2p1p1p1/1pQ5/3P1B2/2P2N2/r4PPP/1R2R1K1 w - -,f4b8
rn1k3r/pp4bp/2p1bnp1/4pp2/2P5/6PN/PP2PPBP/RNB2RK1 w - -,b2b3
r1b2rk1/4b1pp/p1pppn2/6B1/4P3/qRN5/P1PQB1PP/5RK1 b - -,a3c5
r1bq1rk1/pp3ppp/4pb2/2n5/2P5/5N2/PPB2PPP/R1BQ1RK1 b - -,b7b6
r1b2r1k/pp1n1pp1/5q2/8/3pB3/5N2/PPQ2PPP/R4RK1 b - -,f8d8
r1b1k2r/pp2ppbp/2n3p1/2pq4/3P4/5NP1/PP2PPBP/R1BQK2R w KQkq -,d4c5
1k1rrq2/ppbn1pp1/2p1p2p/7P/2PP4/1PBR1N2/P3QPP1/1K1R4 w - -,g2g3
1k1r1r2/pp1bnp2/2n1pBp1/3pP1NP/q1pP2B1/P1P5/2P2P2/R2QK2R b KQ -,g6h5
8/8/6p1/4B3/5r1P/4k3/1K6/8 w - -,e5f4
7k/p3b2p/1p2npp1/2p5/P3B3/1P1K2P1/1B3P1P/8 b - -,h8g7
r2qnrk1/ppp1b1pp/n2p4/3Ppb2/1PP5/P1N1BP2/3Q2PP/R3KBNR w KQ -,g1e2
Q7/4pk1q/3p1p2/6B1/6P1/1Nb5/P1P5/1K6 w - -,a8d5
1r4k1/1p2Rpp1/2p2n2/pq3P1p/7P/2P2BP1/1P1Q2K1/8 w - h6,b2b4
rn2k1nr/ppp1qppp/8/3p4/1bPP2b1/2N5/PP2BPPP/R1BQK1NR w KQkq -,c1e3
2k4r/pp1r1ppp/4bn2/2p5/5b2/1P3N1P/P1P1RBP1/R2B2K1 b - -,h8d8
