8/1p6/2p1p3/P1PpP2k/3P4/6K1/P7/8 w - -,g3h3
r2q1rk1/pb4bp/3p4/1p1Pp1p1/3nNnB1/P1N3B1/1P3PPP/R2Q1R1K w - -,a1c1
3r4/7P/1kp5/p3pBp1/1n2P2K/6N1/3r3P/7R w - -,h4g5
r3r1k1/pp1qbppp/1n3n2/3p2B1/3N2b1/2NQ2P1/PPP2PBP/R3R1K1 w - -,d3b5
r1bq1rk1/1ppnbppp/p1p5/4p3/2N1P3/3P1N2/PPP2PPP/R1BQ1RK1 b - -,f7f6
8/8/4k3/2R3b1/4K1Pp/7r/8/8 w - -,c5g5
5rk1/p5bp/1p2b1p1/nP2P3/3pN3/P4P2/8/R1BR2K1 b - -,a5b3
r1bqk2r/pp2npbp/2np2p1/8/3pP3/N4NP1/PP3PBP/R1BQ1RK1 w kq -,c1f4
8/7p/5p2/2pkpp2/5P2/2pPK1P1/r6P/2R5 w - -,c1c3
2r1qr1k/p2nbppB/7p/2pR4/5B2/4P2P/PPQ2PP1/5RK1 w - -,h7f5
r4rk1/1p2Qppp/3pb3/8/2P1P2P/1Pq2P2/4B1P1/3R1K1R b - -,c3b3
r1r3k1/1q1nppbp/3p2p1/3P4/b2pPB2/PP4P1/3Q1P1P/1R1R1BK1 w - -,b3a4
8/1k2rp1r/1p2pR1p/pR1pP2P/P4PP1/3PK3/8/8 b - -,e7c7
rnb2rk1/1pqp1ppp/p3pn2/8/1bPNP3/2NB4/PP1B1PPP/R2QK2R w KQ -,e1g1
5k2/p2n4/1p5P/1Pp5/2B2K2/1PP2p2/8/8 b - -,f3f2
r4rk1/1b2qppn/1pp1p2p/4P3/PpQ2B1P/6P1/1P3PB1/R2R2K1 w - -,d1d6
r1b1k1nr/1pp1qpbp/p1np2p1/4P3/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,c6e5
3r1rk1/p3q2p/2b3p1/2ppP3/2p1pP2/2P1Q3/PP1R2PP/3R1NK1 w - -,f1g3
r1b1kb1r/1p1nqp1p/p1n1p3/3pP3/3N1p2/2N1BB2/PPPQ2PP/2KR3R w kq -,e3f4
r7/1pk5/3p4/3PnPB1/3p3P/1R4K1/4r3/6R1 b - -,d4d3
8/5k2/5b2/R6P/P4p2/3K4/r2B1P2/8 w - -,a5a7
1R6/8/2pp4/p7/Pk6/1P2r3/2K5/8 b - -,b4a3
2r2qk1/p2Q2p1/1p5p/3p3P/3P1P2/6P1/7K/4R3 w - -,e1e7
r7/6pp/kp6/8/2Q3n1/2N3P1/1q3P1P/2RK4 b - -,a6b7
r3k2r/pbqpbp2/1pn1pn2/7p/2PPN1p1/P2B1NPP/1P2QP2/R1B2RK1 w kq -,e4f6
2br4/3p1p1p/p1nNpk2/3n1p2/2B2P2/P5P1/1P1R1K1P/3R4 b - -,d5b6
1rbq1rk1/p4pb1/2npp1p1/2p1n2p/1pP1P2P/3PBNP1/PP2QPBN/R3R1K1 b - -,e5g4
8/1p2nR1p/1P1qr2k/6pN/4p3/7P/4Q1P1/6K1 b - -,e7d5
r2q1rk1/pp2bppp/3p1n2/2p1n1N1/2b1P3/2N5/PPP1BPPP/R1BQR1K1 w - -,f2f4
r4rk1/pp1q2bp/2np2p1/2pnp1B1/1PP3bN/P2P2P1/5PBP/R2Q1RK1 w - -,g2d5
r1bq1rk1/pppnbpp1/4p2p/2Pp4/3Pn2B/2N1PN2/PP3PPP/R2QKB1R w KQ -,h4e7
r2q1rk1/pp1b1pbp/2n1p1p1/3p4/3P4/2N1P1PP/PP3PB1/R1BQ1RK1 w - -,b2b3:c3e2
2r2rk1/5qbp/1Qn3p1/3p4/4p3/1NP3BP/1P3PP1/R3R1K1 b - -,g7e5
2r3k1/5p1p/p2b2p1/1p6/4QP2/8/PPP4P/2K5 w - -,c1b1
1r4kr/2q1bpn1/2pp2np/p3pNp1/2QPP3/2p2PP1/PP1B3P/3RRNK1 w - -,d2c3
r3nrk1/1pqbbppp/p2pp3/P3P3/4NP2/4B3/1PP1B1PP/R2Q1R1K b - -,a8c8
1q3rk1/6bp/5pp1/n3pP2/1p1pP1P1/7P/1P1Q2B1/4BR1K b - -,a5c4
3rr1k1/1pp2pp1/p6p/4n3/4BB2/1bP4P/1P3PP1/R3R1K1 b - -,e5d3
rn1qk2r/pbp1bppp/1p6/3p4/3P4/P4N2/1PQ1PPPP/R1B1KB1R w KQkq -,c1f4
r1b1Bbk1/p1r4p/6p1/4pp2/2P5/1P4P1/PB2PP1P/R4RK1 b - -,c8b7
4r1k1/2B1q1pp/p1p5/2p2b2/P1Npp3/1P1P2P1/2P1Q2P/4R1K1 b - -,e7c7
2rqnrk1/pp2p1bp/2np2p1/2p2b2/5P2/2NPBNPP/PPPQ2B1/R4RK1 w - -,d3d4
r6k/1p3rpp/2p1qp2/1p5b/4P2P/1PBPQ1R1/P4RP1/6K1 w - -,f2f5:e3c5
1r6/5Rp1/2k1p1Pp/4P2P/2p3K1/P1P5/8/8 w - -,f7g7
2r1r1k1/p4pbp/6p1/1pP5/3Pp3/PQ2P2q/1N1B4/4RRK1 b - -,h3g3
2b4r/1pq2pk1/rn1p2pn/p1pPp2p/P1P1P2P/2PBBPP1/2QKN3/R5R1 b - -,c8d7
8/8/8/4k1p1/4n1Pp/5K1P/8/5B2 w - -,f1a6
5b2/6kp/p3B1p1/1p1P4/8/1P6/P5KP/8 b - -,g7f6
8/1N3pk1/1q2n1p1/2pQ3p/4P2P/2P3P1/5PK1/8 b - -,b6b2
3k4/1b1r1p2/2p1p1pp/1pP1P3/1P1PB1PP/2K5/8/R7 b - -,d8c7
r1bqk1nr/pp3pbp/2n3p1/1Bppp3/4PP2/N1PP4/PP2Q1PP/R1B1K1NR b KQkq -,g8e7
k2rr3/pq4p1/2p1p2p/3n3P/6Q1/6P1/PP1BNP2/2KR4 w - -,e2c3
2R5/2p2rpk/p3p2p/2Pb1r2/2p2p2/2B2P1P/P5P1/4R1K1 b - -,f7d7
r1bq1rk1/pp2ppbp/2p2np1/2p5/4P3/2NP1N1P/PPP2PP1/R1BQK2R w KQ -,c1e3:e1g1:c1f4
8/5kpp/p2PN3/bp2PP2/2r1p3/2p5/2Q2KPP/8 b - -,h7h6
r3r1k1/3bbppp/pq1p1n2/1pnP4/2pNPB2/2P2QNP/PPB3P1/R3R2K b - -,b5b4
8/3k4/2p5/1pR3p1/3P2P1/p6r/PPK5/8 w - -,b2a3
3k4/6Q1/1p1q1Pp1/1P2n3/K7/1B6/8/8 w - -,g7g8
2r5/2P5/1n1Bp1kp/r1R1Ppp1/p2R4/5KPP/8/8 b - -,a5c5
3r1r2/1p6/p1p3k1/2P1p2p/2BnP1p1/4KPP1/PP4R1/5R2 w - -,f3f4
6k1/1b3ppp/p2p1n2/1p6/3Pp3/BP2P3/P3BPPP/2q3K1 w - -,a3c1
8/2r1kp2/4p3/1B4p1/1P4P1/4n1K1/4R3/3R4 b - -,e3d1
8/7p/2R2pk1/1r6/5BKP/8/8/8 b - -,b5a5
r3k2r/1b1p1ppp/3b1q2/8/1p6/4PN2/PP3PPP/R2QKB1R w KQkq -,f1c4
2r2rk1/pp2p1bp/2n2pp1/q4b2/3P4/2N1BN1P/PPP1QPP1/R4RK1 w - -,a2a3
2r2k2/b4p2/4p1p1/P5Pp/3p1P1P/3B1K2/2P5/R7 w - -,f3e4
r4rk1/p2bppbp/nq1n2p1/1ppP4/4P3/PPN2PP1/1B1QN1BP/R4R1K b - -,e7e5
r2qbrk1/1p4np/3b1ppQ/3Pp3/p1p1P1PP/P1N2N2/1P2BP2/2KR3R w - -,h6e3
2kr3r/q2p1pp1/p1bbp3/4P2p/Pp3Q2/3BP3/1PP3PP/R4RK1 w - -,e5d6
8/nb6/3kpp2/4p2p/1P2P1pP/3BP1P1/N4K2/8 w - -,a2c3
1r2r1k1/5pb1/pq1p3p/1bpPn1p1/4P3/4N1PP/1PQB1PB1/RR4K1 w - -,a1a3
8/1r6/p7/5k2/4p3/5pPP/P1R2P2/6K1 b - -,b7b1
8/3B4/8/P3p3/1P2P1p1/2P5/7k/2K2b2 w - -,d7g4
r1b2rk1/2q2ppp/p1p1pn2/1pB5/4P3/2P5/PP2BPPP/R2Q1RK1 b - -,f8d8
3rr1k1/pb4pp/1pp1pq2/2P2p1Q/3P4/1B6/PP3PPP/2RR2K1 b - -,g7g6
r2qr1k1/1b1n1pbp/3p2p1/1p1Pp3/BPp1P3/5NNP/1B3PP1/R2QR1K1 b - -,b5a4
8/R7/8/5kpp/3rp3/6P1/5PK1/8 b - -,e4e3
1rb1k2r/2q1bppp/pn1ppn2/1p4B1/3NP1PP/P1N2P2/1PPQ4/1K1R1B1R b k g3,b6c4
3rr1k1/p2p1ppp/1pn2q2/2pQ4/1PP5/P3PN2/5PPP/1R1R2K1 b - b3,c5b4
6k1/7p/pp1R4/2r1nNP1/8/6K1/PP6/8 b - -,e5f7
r1bQ1r1k/ppp3bp/2n3p1/4pp2/2P5/1PB2NP1/P3PPBP/2R1K2R b K -,f8d8
r1b2rk1/pppp2pp/5n2/6N1/2P5/1PN2RP1/P3P1KP/5R2 b - -,b7b6
rn2kbnr/pp3pp1/1qp1p2p/4Pb2/2pP4/5N2/PP1NBPPP/R1BQ1RK1 b kq -,f5d3
5r1k/3bbppn/1q1p4/p3p2P/1p2P3/1N3P2/PPPQ4/1K4RR b - -,a5a4
rnbqkb1r/pp2nppp/2p1p3/3p4/3PP3/3Q1P2/PPP3PP/RNB1KBNR w KQkq -,b1d2
r4rk1/5p1p/3pb1p1/PQ6/1R6/2qB4/2P3PP/5R1K b - -,f8c8
r1b1k2r/pp3ppp/1qn1p3/3pP3/3n4/1P3N2/P3BPPP/RN1Q1RK1 w kq -,b1c3
