6k1/5p2/1R4p1/2p4p/r1P5/7P/5PPK/8 w - -,h2g3
1rr2k2/2p2qp1/2Qp1b1p/4pP2/6P1/P1P1B3/1PP4P/1K1R3R w - -,d1d5
4rrk1/2p1q1pp/1p1pbn2/p1n5/3Q4/5NP1/PP1B1PBP/R3R1K1 b - -,e7d7
8/8/7R/4p3/3k4/6P1/r4P2/5K2 b - -,a2a7
1r6/4k3/3pp2p/pr2b1pP/4P3/2PR1P2/1PK2P2/6R1 w - -,g1b1
8/rR6/4pp1k/2Pp1bpp/q2P4/5NQP/5PPK/8 w - -,c5c6
4r3/4rpk1/3p2p1/p2Pb2P/3p3q/PP1Q1B1P/2R2PK1/6R1 b - -,g6h5
r7/1brn2k1/p5p1/Pp1p3p/4p3/2P1P1P1/1PB2PPN/R2R2K1 b - -,a8c8
3n4/p1q1pk1p/2p2pp1/2p5/2P1Q1PP/1PN1P3/P4PK1/8 b - -,c7d6
r1b1qrk1/1pp2p1n/n2p2pb/p2Pp2p/2P1P2B/2N2P2/PP1NB1PP/1R1Q1RK1 w - -,h4f2
7r/2b5/1p1p1k2/pP1B1p2/2P1p3/P3K1R1/8/8 b - -,f6e5
r2qr1k1/pb2bp1p/1p2p1pB/n3N2n/3P4/2NB2Q1/PP3PPP/R2R2K1 w - -,g3e3
6k1/3q2pp/1Q3p2/1p6/1P1p4/6NP/5PPK/4r3 b - -,d4d3
r2r2k1/p5bp/np3pp1/2pP4/2P2Bb1/qB3N2/P1Q2PPP/2R2RK1 b - -,a6b4
r2q1rk1/1bnn2bp/pppp2p1/5pP1/P2P1P2/2N1B1NP/1PP3B1/R2Q1RK1 w - -,d1d3
7k/4R3/1r4p1/1p2Np2/p6r/P1B2K2/1PP5/8 b - -,h8g8
8/4k3/R7/5n2/8/3Kp3/8/8 b - -,e7f7
4qrk1/pQRr1pbp/6p1/3Npb2/8/6P1/PP3PBP/5RK1 b - -,d7c7
8/3k3p/6pB/p7/P2bbp1P/1B6/2P1K3/8 b - -,f4f3
6k1/p2b1pp1/4p2p/qp2P3/3P2P1/Q1nB1N2/PK3P1P/8 b - -,c3d1
5R2/8/3p2k1/p5p1/P3n1Pp/1P3N1P/2P4K/3r4 w - -,f8e8
2q5/1p6/k3p3/p1QpP3/P2P4/1P6/2n1NK2/8 b - -,c8c5
n1B3k1/5pp1/P2p3p/B1bP4/P1P4P/6P1/5PK1/8 b - -,c5a7
r1b2r2/2q3bk/2p3pp/p3p3/PpNnPp2/1B3P2/1PP2NPP/3RQRK1 b - -,c8e6
1q6/pr4k1/5p2/2p3p1/2PpP3/P2P3r/3QKR2/2R5 w - -,f2g2
2b2r2/r4pk1/p3p1Pp/3pp2Q/8/3Rq3/PPP1B1PP/1K5R b - -,f7g6
r7/pp2pkbp/4n1p1/3Q4/5p2/4BP2/P4NK1/8 b - -,f4e3
8/3r2pk/1pqPbB1p/p1p4P/P4Q2/2P2PP1/1P1R3K/8 b - -,g7f6
2rr2k1/1b1n1ppp/pq2pn2/1pb5/4PB2/P1NQ1NP1/1P3PBP/R4RK1 w - -,d3e2
1k4r1/ppp2p2/2nn2p1/2q4p/5Q2/P1BBR3/1PP2PPP/1K6 b - -,a7a6
2r3k1/2rn1ppp/p3p3/2p5/1P1N4/P3P3/2R1KPPP/2R5 w - -,c2c4
1k6/ppr2p2/3Nb3/3pP3/3P1Q2/2P3rP/q4PP1/4R1K1 w - -,f4g3
6k1/5p2/1p4pp/1Pbq4/P1Np3P/3Q2P1/5P2/3K4 w - -,a4a5
r1r5/5pbk/N5pp/q2Pp3/Pp1nP3/4B2P/1P1Q1PP1/4RBK1 b - -,a8a6
3qkb1r/1p1bpppp/p1rp1n2/6B1/4P3/2N2P2/PPPQ2PP/2KR1B1R b k -,d8a5
r1b2rk1/ppq1ppbp/3p1np1/P7/4P3/2PB4/3PNPPP/R1BQ1RK1 w - -,h2h3
r1bq1rk1/pp3ppp/2nppn2/2p5/2PP4/P1PBP3/4NPPP/R1BQ1RK1 b - -,e6e5
3r1n2/5ppk/2R1pn1p/pB6/P1N2P2/1P4P1/7P/4R1K1 w - -,c4a5
r3k2r/3p1p1p/p1nPp1p1/1q6/NpP1bP2/1P2B3/P3Q1PP/R3R1K1 b kq c3,b5h5
6k1/7p/1p1p1Q2/3qp1P1/1P4K1/P4P2/8/8 w - -,f6d8
k2r3r/5pp1/p2pp3/N6p/4bPn1/8/2P1B1PP/1R3RBK w - -,e2a6
8/2p1rk1p/pp6/2R1n1p1/PP3p2/3P4/2P2BPP/5K2 w - -,c5d5
8/2R5/8/3bP3/3k2P1/1Pp3K1/r6P/8 b - -,c3c2
rn2r1k1/p1pq1ppp/bp3n2/3p4/3P4/P1P1PP2/4N1PP/RBBQK2R w KQ -,e1g1
r1bq1rk1/pp4pp/2nbpn2/3p4/3P1B2/3B1N2/PP2NPPP/R2QK2R w KQ -,e1g1
r2q1rk1/1p1nbppp/4p3/p2pP3/P1p2Pb1/2PBP3/1P1N2PP/R1B1QRK1 w - -,d3c2
2r2bk1/p2r1p1p/4p1p1/q1p1P3/n3PPPP/2N5/P1Q2BB1/2R3K1 w - -,c2a4
2b1r1kb/r4p1p/pn1p1npB/q1pP4/Pp2P3/4NP2/1P1QBNPP/R4RK1 w - -,f2d3
5r2/1p2k1p1/3bp2p/3b3P/1P1p2P1/P2B3R/2Q5/2B1qNK1 b - -,d5f3
4r1k1/p4pp1/Pqp4p/1p1p1P2/3PnQ2/3B2PP/1P3P2/R5K1 w - -,d3e4
6k1/2qn1ppp/8/p2Pp3/Qp1b2P1/1P5P/2PB1PB1/6K1 b - -,g8f8
5k2/1p2rp2/6pp/1R6/3P2P1/7P/5KP1/8 b - -,f8e8
r2qkb1r/pp1n1ppp/2p1p3/3n4/2B3b1/2NP1N2/PPPBQPPP/R3K2R b KQkq -,f8e7
6k1/p4p2/1p2p1pb/3nPP2/4N1P1/P4BBK/1P1r4/8 b - -,d2b2
r4rk1/bppq1pp1/p2p2np/3np3/1PP3b1/P2PPNP1/1B1Q1PBP/2R2RK1 w - -,c4d5
r2qk2r/1p2bppp/8/2npP3/p4PP1/1P1b3P/PB1N2B1/R2Q1RK1 w kq -,f1e1
8/1p1K1B2/p1p5/2k1p3/4Pb2/2P5/P7/8 w - -,d7c7
3rr1k1/1bp1qp2/1p1p2pp/p5n1/P3PPn1/BPP3P1/2QN2BP/3RR1K1 b - -,g5h7
r1r2k2/1p1b1ppp/n2p1n2/1p1Pp3/8/P1N2P2/BPP1N1PP/R1R3K1 w - -,b2b4
4k3/4b1pp/3p4/pq1npP2/2p5/B1P4P/P1Q2PP1/4N1K1 w - -,e1f3
rr3bk1/5ppp/4p3/3qN3/1p1Bn3/6PP/PQR1PPK1/2R5 w - -,f2f3
r5k1/5pbp/3p2p1/8/1RP5/2npPNP1/5P1P/5RK1 w - -,g1g2
rn2k2r/pp3p2/2b1pq1p/3pP1p1/3P3P/3B4/P1PK1PPN/R6R w kq -,e5f6
1r2r1k1/p4pbp/b1n1p1p1/q2pPPB1/2pP2P1/2Q4P/PP2N1B1/1K1R3R w - -,c3a5
r7/3Pk2P/p4p2/2N1r3/4R3/6P1/5PK1/8 w - -,e4d4
r5r1/3pk2p/p1nbp3/5p2/8/3NB3/P1P2PPP/1R1R2K1 w - -,c2c4
1br1r1k1/pp3ppp/2N4q/3p4/1P2n1b1/PQ2PNP1/1B2BP1P/2RR2K1 b - -,b7c6
r1b1k2r/1p3p1p/3p1p2/2b1p3/p1P5/PqN3P1/1P3PBP/1R1Q1RK1 w kq -,d1e2
8/7p/2k3p1/2Bn1p2/p2P4/P7/4KP2/8 b - -,d5c7
r4rk1/p1qp2pp/1p2pb2/8/2nP1P2/2PN1R2/P2BQ1PP/R5K1 w - -,a1f1
r1b2rk1/pp3ppp/8/3pN3/1b1R4/6P1/PP2PP1P/R1B3K1 b - -,b4d6
rr3k2/5p1p/2p5/4pN1P/2PpP3/1p4R1/P4PP1/6K1 w - -,a2b3
8/5p1k/p3p1p1/7p/PP3P2/1q4P1/3Q1K1P/8 w - -,a4a5
r2q1rk1/ppp1ppbp/2np2p1/5b2/2PPn3/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,c1e3:c3d5
7R/8/8/5p2/4pkpP/8/3r1PKP/8 w - -,h8e8
8/3r1b2/2k1pp2/1p3P2/p3B2p/1PP1K2P/P2R4/8 b - -,c6c7
2kr2Q1/pb5p/1p1P3q/2p1p3/P3pr2/B1P5/2P3PP/1K1n1R2 w - -,d6d7
1k1rr3/1pp3p1/2q2n1p/1Nb1pp2/P7/3PB2P/2P1QPP1/1R2R1K1 b - -,f6d5
r1b1k2r/2q1b1pp/p2ppn2/np6/NQ1NP3/4B3/P1P1B1PP/1R3RK1 w kq b6,d4b5
2r4k/p4pp1/4p2p/3pP2P/1q1P4/b3BQP1/Pn3PK1/1R3B2 b - -,b4e7
2r2rk1/3q1p1p/1p1p2pb/p1nPp3/P3P3/BPR4P/2B1QPP1/4R1K1 w - -,h3h4
8/8/8/r5pk/P6p/7P/R4PK1/8 w - -,f2f3
2R5/6pk/7p/P3Pp2/8/6QP/P1pq3K/8 w - -,g3g2
8/p1k2rp1/1pp2p2/4pP2/3qPnN1/5B2/Pr5P/5QRK b - -,f7d7
