8/2B4p/2b5/6b1/4k1KN/8/8/8 b - -,g5f6
3r2k1/ppp2pbp/6p1/4n3/8/2N3P1/PPP2qBP/R1Q4K w - -,c3e4
r1bqk2r/4ppbp/p1Np2p1/2n3B1/Pp2P1n1/3B2N1/1PP2PPP/R2Q1RK1 b kq -,d8d7
r2qkb1r/pp3pp1/2n1p2p/2Pn3P/4N3/2BQ1N2/PPP2PP1/R3K2R b KQkq -,d5c3
2r4k/3q2p1/7p/1P1B1p2/2NbPQ1P/6P1/5PK1/8 w - -,b5b6
5r1k/5q1r/4p1Rp/1p1pPp2/pPnP1P2/P5QP/8/5NRK w - b6,g3h4
3rr1k1/1p3qp1/7p/pR3p2/3p4/P1P2P2/1P2Q1PP/5RK1 w - -,b5e5
8/4kpp1/p3p3/1pn1P1Pr/2p2K2/2P4P/PP1r2P1/1R1BR3 b - -,h5h4
8/p4k1R/3np1p1/5p2/3BP3/3K1P2/r5P1/8 b - -,f7e8
2rrn3/p1n1kp1p/1p1pp1p1/8/2P1PP2/2N5/PP1RBKPP/3R4 w - -,g2g4
r4nk1/pRRb3p/3p4/P1pPp3/2P1P2q/2Q3rn/2BN2P1/3N1K2 w - -,d2f3
r2q1rk1/1p4bp/2p1b3/p1P1Pp1n/Pn6/2NBB3/1P1QN1PP/3R1RK1 b - -,d8d3
5k2/p2b1ppp/1p1p4/8/8/n1P2BP1/5P1P/4R1K1 w - -,f3e2
6k1/4r1p1/1p2ppQ1/3p1n2/1q1P1P1P/1P3NP1/r2N1PK1/2R5 b - -,a2a8
2k5/pp5R/3r1b2/P7/1P6/1KPn4/4N3/8 b - -,d6e6
rn1q1rk1/pb2bppp/1p1ppn2/8/2PQ4/1PN2NP1/PB2PPBP/R4RK1 b - -,a7a6
2r1k2r/1p2bppp/3pp3/pq4P1/P3PP1P/2B5/1PP5/2KR3R w k -,a4b5
r2q1rk1/pp1n1pbp/2ppp1p1/8/2PPb3/1PB1PNP1/P3QPBP/R4RK1 w - -,f1c1
6k1/5pp1/3B3p/bq6/8/pBn1P2P/2Q2PP1/6K1 b - -,a5b4
1r2r1k1/pb1nqppp/1ppbp3/8/2PP4/1P3NP1/PBQ2PBP/R3R1K1 b - -,d6a3
7r/3n1pp1/1k1qp1n1/1p1p2Pp/pPrP1P1P/P1N1Q3/2PKN3/5R1R b - -,g6e7
4R3/3k4/8/6p1/2r3P1/5K1P/8/8 w - -,e8e5
2r3k1/1p1qbpp1/pB2p1p1/Pn1pP3/2r4P/2PN1QP1/1P3P2/R4RK1 w - -,f1d1
r4rk1/p1qn1pbp/1p4p1/2pP2B1/8/2P2N2/P3QPPP/3R1RK1 w - -,d5d6
r1b2rk1/pp3pp1/2n1p2p/q7/1bBP4/5NN1/PP3PPP/2RQ1RK1 w - -,d1e2
8/1p6/1p1k1n2/4pBp1/PPP1P1P1/3K2P1/8/8 b - -,f6e8
rr4k1/4pp1p/3p2p1/2pP4/2P5/q1N4P/P1QB1PP1/R5K1 w - -,c3b5
8/1q1b2k1/2pQ4/2P1p1p1/1KB1P2p/P4P1P/6P1/8 w - -,b4c3
r2qk2r/1p1n1pbp/p1n1p1p1/3pP3/3P4/2NB1Q1P/PP3PP1/R1B2RK1 w kq -,c3e2
1rb1k3/1p2qpb1/p2p1n2/2pPn1pr/P3P2p/2N1BP1P/1P2B1P1/R2QKN1R w KQ -,g2g4
r3r1k1/pp3q1p/2p1bppQ/8/2P4P/2P2B2/P4PP1/3RR1K1 w - -,e1e4
4N3/pp4bk/3Rb2p/4ppp1/7P/5P2/PPP5/1K6 b - -,e6f7
r2qkb1r/pp3pp1/1np1p2p/3n1b2/3PN3/1B3N2/PPP1QPPP/R1B1K2R w KQkq -,e1g1
r3kb1r/1p2n1pp/p2qpp2/3p4/Q2B4/3B4/PP3PPP/2R1R1K1 b kq -,d6d7
8/8/8/8/P3kp2/2P1r1p1/1P1R2K1/8 b - -,e4f5
2rq1rk1/pp1nppbp/3p1np1/3P4/2P5/2N1B3/PP1NbPPP/R2Q1RK1 w - -,d1e2
8/1B6/8/P1b2k2/5pp1/7p/7K/8 b - -,f5g5
1r3r2/n2b1pkp/4pqp1/p2p4/3P4/P1N3PP/1P1Q1PB1/1R1R2K1 w - -,b2b4
2kr4/B4p1p/2p1bn2/6p1/8/5PKP/P3r1P1/2R4R b - -,d8d2
r2q1rk1/pbpnbppp/1p1ppn2/8/3P1B2/3BPN1P/PPPN1PP1/R2Q1RK1 w - -,c2c3
2r1qrk1/5ppp/p3pn2/B1bbN3/8/3Q2P1/1P2PPBP/R4RK1 b - -,d5g2
2r4k/1p2qpp1/7p/1Q6/P2Rp3/4P2P/5PP1/6K1 w - -,b5f5
4r2r/pkPp2pp/2p5/R7/5Bq1/bPNQ4/P4PbP/1K1R4 b - -,g4f4
4r3/1b3pk1/p2p2pp/3P4/2P2P2/2NK3P/6P1/R7 b - -,b7c8
r2qr1k1/pp1n1ppp/b1p2n2/2b5/4PP1N/1PN2RPP/P5BK/R1BQ4 w - -,e4e5
rn1q1rk1/pbp1bpp1/1p2pn1p/3p4/2PP1B2/2N1PN2/PPQ2PPP/3RKB1R b K -,b8d7
3q1n2/r3pp1k/1p2b1pp/1P1pP3/1B3P2/2QBP2P/2R3P1/6K1 b - -,d8a8
r3k3/ppp5/2n1NbPq/1B1p1p2/3P4/5N2/PPP2PP1/3KR3 w q -,e6c7
8/4k3/R1b5/4Bp1p/2r2P1K/7P/P7/8 b - -,c6e8
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,a7a6
8/1p3p1k/1bp5/p2r1N1p/P2PR2P/5P2/1P3KP1/8 w - -,g2g4
r6k/R2bppb1/3pq1p1/1P2n2p/4P3/4BP2/P2QB1PP/3R2K1 b - -,a8a7
5k2/4pp2/3p1q2/2pP3p/2K2P1P/4Q3/nr6/2R1R3 b - -,b2b4
7r/p1k3pp/1p1rpp2/8/1P1n3P/3N4/P1P2PP1/1R3RK1 b - -,c7d7
4b1k1/q4ppp/p7/Bp1pP3/1P1P3P/2Q3P1/5P2/6K1 b - -,a7b7
1k5r/1p3p2/pnnrp1p1/3p2Pp/3b3P/BPN4R/P1PP1P2/1K1BR3 b - -,d6d7
1r1q1rk1/3nbpp1/p2p1n1p/4pP2/1p4P1/2N1B2P/PPP2PB1/R2Q1RK1 w - -,c3d5
8/4k1N1/1p1p4/3P1p1p/2r1pP1P/6P1/5KB1/8 b - -,c4c2
2n1nbk1/3q1r1p/p1Np2p1/1p1Pp1P1/1P2P1P1/P5K1/2R1NB2/2Q5 b - -,c8e7
rnbqk1nr/1pp2pbp/p2pp1p1/8/3PP3/5N1P/PPP1BPP1/RNBQK2R w KQkq -,e1g1
1Q1n2k1/4qrp1/2p4p/3p1P2/3Pp1PP/1B1b4/PP6/K1R5 b - -,e7h4
8/3B4/6b1/2k5/2p2p2/2p2Pp1/1PNK1bP1/8 w - -,b2c3
r2qkb1r/pp1n1ppp/2p2n2/3pp3/8/3P1BPP/PPPNPP2/R1BQK2R w KQkq e6,e1g1:c2c4
r4n2/p2qNkbp/1p4p1/3p1rP1/3P1B2/4Q3/PPP1bP2/R3K2R w KQ -,e7f5
2r4b/pR3p2/3p2pk/3r4/7P/8/PPP5/2K4R b - -,d5c5
2r1k1r1/2q2p2/1p1pP3/pP2b3/P1P1Q2p/7P/4N1P1/3R1RK1 b - -,f7e6
1r1q4/pb4k1/8/4p2B/1np1Pr1P/5PpR/PPP3P1/1RQ1K3 w - -,a2a3
3n4/2p1rq2/3p3k/p2Pbp1p/3p1NrP/1P3QPB/P1R2P2/2R2K2 w - -,f4d3
2r3k1/4p2p/3p1p2/q2P1bpP/3Q2P1/1BP2P2/2P1K3/4R3 b - -,f5d7
r4rk1/1pq2bbp/p2p1np1/2nP1p2/PR3P2/2N1P1P1/2NBQ1BP/1R4K1 b - -,f6e4
6k1/1p3rbp/pBnRrpp1/3Npb2/7P/8/PP1N1PP1/5RK1 w - -,d2c4
3b4/2kP4/1r2R2p/5BpP/6P1/5K2/8/8 w - -,e6b6
8/k4Bp1/p7/7p/NP5P/6P1/1P1K4/6r1 b - -,g1g2
3r1r2/pp4k1/2pn1bpp/3nN1q1/3P4/8/PPB1QPPB/3RR1K1 w - -,e5g6
rn3rk1/1bqnppbp/p1pp2p1/1p6/3PPB2/P1N1QN1P/1PP1BPP1/R4RK1 b - -,c6c5
8/3N1p1k/p1r1p1pn/2p4p/1qP2P2/1P5P/P2Q2P1/3R3K w - -,d2b2
3b2k1/3n3p/3p2p1/3Pp3/1RN1P3/3n2P1/P4K1P/2B5 w - -,f2e2
r5k1/pprb1n2/4p1B1/8/2pP4/4B3/PP3PPP/2R2RK1 w - -,e3f4
rn1q1r2/p5kp/1p6/2pp2p1/3bP3/1Q2P1P1/PP4BP/R1B1NK2 w - -,f1g1
3r1r2/1p3pp1/p1p1bnkp/8/N2RP1P1/4P2P/PPP3B1/R5K1 b - -,d8e8
8/R4p2/4pkp1/8/6P1/1r3PK1/8/8 w - -,g3f4
b3rrk1/p5pp/1p2p3/7q/1PP2n1N/6P1/P4P1P/R1RQ1BK1 b - -,h5h6
8/p7/2B2k2/1p3p2/1N1P1Kr1/2P5/PP6/8 w - -,f4f3
b7/8/7p/3k1K2/4N3/6P1/7P/8 b - -,d5d4
