5k2/5p2/2P2p1p/8/2R3P1/2K4P/8/3r4 b - -,d1d8
N4k2/1p3pb1/2bn2pp/p7/2P2B2/1P3P2/P3r1PP/2R2R1K b - -,d6f5
1R6/7k/2q2Kbp/4Q3/5P2/8/8/8 w - -,f6e7
8/4r3/3R4/5pkp/pR6/P3PKP1/1P5r/8 w - -,b4b8
k2r1r2/pp2R3/8/3p4/2p5/6P1/2nB1P2/3R2K1 w - -,d2f4
3qr1k1/1pp1ppbp/2n1b1p1/r7/p1N5/2P1P1P1/P3QPBP/R1BR2K1 b - -,d8a8
r1bq1rk1/pp3p1p/2p3p1/3nb3/8/P1N1P3/1PQ1BPPP/R1BR2K1 b - -,d8c7
r2q1rk1/pp2bpp1/2npbn1p/2pN4/2B1PB2/3P1N2/PPP3PP/R2Q1RK1 b - -,e6d5
r2qnrk1/pp3pp1/1npb2p1/3p4/3PP3/2N2PP1/PP4BP/R1BQ1RK1 w - -,e4e5
rn1qkb1r/pp2pp1p/5p2/2pp1b2/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq c6,f1d3
1k1r3r/pp2n1p1/2pq4/3p1p2/1P1P2n1/P2QP1p1/4NPBP/2R2RK1 w - -,h2g3
r1bq1rk1/pp1nppbp/5np1/2p3N1/3P4/2PB1N2/PP3PPP/R1BQR1K1 b - -,b7b6
r3r1k1/2p1qpp1/1b2b2p/2P1P3/p1PpNpP1/P2Q3P/4P3/R1BR2K1 b - -,b6c5
rnbqkb1r/ppp1pppp/8/8/8/2n3P1/PP1PPP1P/R1BQKBNR w KQkq -,b2c3
r3q2k/p2r3p/2pp1pn1/1pb1pN2/4P1Q1/3B2P1/PPP2P1P/R4R1K w - -,h2h4
1rq1k2r/4p1b1/p1npb2p/1p2n2P/4Q1p1/1NP1N1B1/PP2BPP1/3RK2R b Kk -,e8g8
1r1r2k1/p1b2ppp/1pBpp3/8/2P5/P5P1/1P1R1PK1/3R4 b - -,g8f8
7k/pp2rp1p/2p5/3q4/3Ppp2/1PP4R/P3QPrP/4R1K1 w - -,g1h1
2rqkb1r/1p3ppp/p1bppn2/6B1/4P3/2N2P2/PPPQ2PP/2KR1B1R w k -,c1b1
r1b2rk1/pp4bp/2pp3q/5p2/1PP2p2/P2P2NB/R5PP/3Q1RK1 w - -,g3h5
rn1q1rk1/1p2bppp/2p1pn2/p2p4/2P1P3/3P1bP1/PPQN1PBP/R1B2RK1 w - -,d2f3
1R6/8/3KBk2/8/8/8/8/r7 w - -,b8f8
4k1r1/8/2nqp1pQ/1R3pN1/1n3P2/4P3/5P1P/5BK1 w - -,b5b7
8/6R1/8/8/5r2/8/4K2p/7k b - -,f4a4
8/8/1p3bp1/1Pp2k1p/2P2p1P/p2R1K2/P4P2/8 w - -,d3d6
3r2k1/pp3ppp/3r4/3P1Q2/q7/6P1/P2R1P1P/3R2K1 w - -,f5e5
8/6b1/1p4k1/1N5n/7K/6pN/8/8 w - -,h4g4
5k2/6R1/2r3p1/8/6K1/7P/6P1/8 w - -,g7a7
4r3/2p4k/1p1b1Pr1/p2P2B1/6BP/P3pP2/1P1Q2K1/8 w - -,g5e3
2r1r1k1/1b3pbp/pq1p2p1/1ppPn2n/P3P3/BP3N1P/2QN1PP1/2R1RBK1 w - -,f3e5
8/3kpp2/8/1p1pPb2/3P1p1r/5P2/P2B1R1P/7K b - -,d7e6
8/4k3/p4p2/1p1np2p/4P2P/PPP2P2/2K5/8 w - -,e4d5
3q4/1p5k/6p1/1r6/8/2p1P1PP/5P2/Q1R3K1 b - -,b5c5
8/8/6k1/1R3pp1/8/4PK2/4r3/8 b - -,e2d2
2rr2k1/1b3pp1/1q3B1p/p7/4P2Q/1PN2pP1/P6P/2R2RK1 w - -,f1f2
r5k1/5pp1/p2q2p1/1p2r3/1PpP4/2Q3P1/1P3P1P/4R1K1 w - -,d4e5
2n3k1/5ppp/4p3/6QN/3q4/4P1P1/5PKP/8 b - -,h7h6
3q2k1/3rb1pp/p1p2p2/2p1p3/2P1P3/1PB1Q1Pb/P3BP1P/5RK1 w - -,f1e1
6k1/r2qnp2/1p4pp/3pP3/P1r5/1Q4P1/1Pb2PBP/R3RNK1 w - -,b3b6
2kr3r/1b4p1/p3pp1p/q1np4/5Q2/2N5/PPP1BPPP/2KR3R w - -,a2a3
rnbqk2r/pppp1ppp/4pn2/8/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,f1d3:e4e5
rn1qkbnr/3bpppp/p1p5/1p1pP3/3P2P1/2N1B3/PPP2P1P/R2QKBNR w KQkq b6,f1e2
r5k1/7p/p1R2pn1/1pB5/1P6/P3P3/4KP1P/8 b - -,g8f7
1k6/1p1r3p/r1p1ppp1/b7/PR1PP3/1R2BP1P/4KP2/8 w - -,b4c4
1Q4k1/1p1r1pp1/2p4p/p3p3/P1q1n3/2b2N1P/2P2PP1/1R4K1 b - -,g8h7
4r3/1kp4p/p2qppp1/Qp1r4/3P4/1PP1RP1P/P5P1/4R1K1 w - -,b3b4
r1b2rk1/1pp3p1/p3p3/3pN1Qp/1q3P1P/3BK3/P1P3P1/3R3R b - -,c7c5
rn3rk1/1pp2pbp/3p1np1/p2Pp3/2P1PP1q/2N1B3/PP1QBPKP/2R2R2 b - -,b8d7
8/6pk/5p2/3P3p/3N2P1/P2R1P1b/r6P/6K1 w - -,d5d6
2rqr1k1/1b1nbppp/pp1ppn2/8/2PNPP2/1PN5/PBB3PP/R3QR1K b - -,d8c7
r2q1rk1/4bppp/b1n1p3/p2pP3/nppP1BNP/5NP1/PPP2PB1/1R1QR1K1 b - -,c4c3
8/1p5p/3p2p1/1P2kp2/4p2P/1n2P1P1/4BP2/2R1K3 b - -,b3c1
r4rk1/1bqnbppp/p2p4/1p2p1PQ/3BPP2/2N5/PPP3BP/R4R1K w - -,f4e5
rn2kbnr/1bq2ppp/pp1pp3/8/3NP3/6P1/PPP1QPBP/RNB2RK1 w kq -,f2f4
6k1/1q1n1pb1/1pp1p1pp/2PpP3/rP1P1N1P/r4NP1/5PK1/1RRQ4 b - -,b7a8
rn1q1rk1/p1p1bppp/bp2pn2/3p4/2PP4/1PN2NP1/P2BPPBP/R2QK2R w KQ -,c4d5
8/1p3k2/3p1n2/4pP2/4P3/3B2KP/8/8 b - -,b7b5
8/1rr1kppp/3p4/p2Pp3/np2P2P/5PPB/PP2K3/R1R5 w - -,b2b3
2r1rbk1/1b1n1q1p/1p1n1p2/p2p2p1/P2p4/3QBPP1/1PNNP1BP/R3R1K1 w - -,e3d4
3r2k1/7p/2pq2p1/8/P7/2Q5/5PP1/4R1K1 b - -,d6d2
rnbqkb1r/pp2pp1p/3p1np1/2p5/2PPP3/3B4/PP2NPPP/RNBQK2R b KQkq -,c5d4
rnb2rk1/pp4pp/1q2pb2/2pp1p2/3P4/1QP1P1P1/PP2NPBP/RN3RK1 b - -,b6d6
1r6/1P6/2k5/1R3p1p/2K2P2/5P1P/8/8 w - -,b5f5
6k1/1N6/1bP1n1p1/5p2/P7/5P1p/8/5K2 b - a3,e6f4
3r4/1br1kpnp/p3p1p1/1p2P3/2p2PP1/2P1KB2/PP1N3P/3R2R1 w - -,f3b7
3rnk2/2p2b2/1p3p1p/5P2/2P5/1P6/2BB4/2K4R b - -,h6h5
8/5k2/3R4/8/3P4/8/3r2PK/8 w - -,h2g3
1k1r3r/pp2qpp1/1np1b2p/3p4/N2Pn3/3BPN1P/PPQ2PP1/1KR4R w - -,d3e4
rn1q1rk1/pb3pbp/1pp1p1p1/7n/2PP1B2/2N2NPP/PP3PB1/R2QR1K1 w - -,f4e5
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/2PPP3/2N2N1P/PP3PP1/R2QKB1R w KQ e6,d4d5
r5k1/pp3pp1/2p5/3p2q1/PPnB3r/4PP2/5QP1/4RKR1 b - -,h4h6
6kb/p3qp1p/bnp3p1/2p5/5N2/2N1P2P/PP3PP1/2BQ2K1 w - -,d1c2
r1bq1rk1/pp3ppp/2n5/2bp4/8/P1n2NP1/1PQ1PPBP/R1B2RK1 w - -,c2c3
rn3k2/p5pp/3p1q2/4N3/1pP5/6P1/1P4KP/2RQ4 w - -,d1d5
2q2rk1/1pp2npp/1n6/rbR1p3/p7/P3P1P1/1B1N1PBP/R3Q1K1 b - -,b6d7
r1bq4/pp2bkp1/3p1nnp/2p5/4P3/2NPB3/PPP3PP/R2Q1RK1 w - -,d1h5
4rr1k/2q1b2p/p2pQ1p1/3R2P1/Pp2Pp1P/3B4/P1P5/2KR4 w - -,e6g4
8/7B/7r/4k1p1/8/5K2/6P1/8 w - -,h7d3
1r6/2Q2pk1/4pn2/3p4/Nq1P4/1P2PPp1/4K1P1/1R6 b - -,b4b5
2r1rbk1/2qn1pp1/p3pnp1/1p6/2P5/PP3NN1/1BQ2PPP/2R1R1K1 w - -,f3d2
r4rk1/ppqn1p2/2pb1nb1/3p2pp/2PPp3/1P2P2P/P1QNNPP1/R1B1KB1R b KQ -,h5h4
r1b1k2r/pppn1pp1/4p2p/6N1/3P4/8/PPP2PPP/R3KB1R w KQkq -,g5f3
8/4k3/5R2/6P1/4BP1n/8/1r6/5K2 b - -,b2b4
8/5kp1/7p/2Q2P2/p4PPK/1q5P/8/8 w - -,g4g5
2B5/5pkp/2P3p1/8/1r1p4/8/4K1PP/8 w - -,c8a6
8/8/5kp1/8/5Rp1/p3P1K1/r4P2/8 b - -,f6e5
