8/6pk/p7/2pr4/P7/1PR5/5K1P/3bN3 b - -,d5d2
5rr1/1ppnk3/p2bpn2/4p1P1/4P3/4Bp2/PPPNKN2/R6R w - -,d2f3
r1b2rk1/1pq2pbp/2p3p1/p3p1Bn/PnB1P3/2N2N1P/1PPQ1PP1/R3R1K1 b - -,h5f4
rr4k1/5pp1/3ppn2/7p/1NpP4/2P3P1/1P3P1P/R3R1K1 w - h6,g1g2
r1bq1rk1/1ppnb1pp/p3p3/2Pp1p1n/3P1B2/2NBPN1P/PPQ2PP1/R3K2R b KQ -,h5f4
R7/8/3r2p1/5p2/3k1P2/5K2/8/8 b - -,d4c4:d6c6
8/6pk/6p1/7p/7P/5KP1/q3Q3/8 b - -,a2e2
8/6k1/4p3/8/3pKP2/3P4/2n5/8 w - -,e4e5
5r2/1p1k1p2/p2p2n1/2pPp3/2P1P3/2N3P1/PP6/2K4R b - -,f8g8
5k2/1p4pp/p1nb4/3N4/1PbP4/P5P1/3B2BP/6K1 b - -,c6d4
2b5/5p1p/1p3np1/1Pkp4/3N4/4PPP1/3K2BP/8 w - -,d2c3
r3r3/5kpQ/3q3p/p2pp3/6N1/2P5/PP3PPP/4R1K1 w - -,e1e3
2rqk2r/3n1p2/Q1p1p3/2P5/3P2bp/3BPP2/P3N1P1/1R3RK1 b k -,g4f5
3r1rk1/p1q1b1pp/bpp1p3/4P3/4PB2/2Q3P1/PPP3BP/2KR3R b - -,c6c5
8/4qp1k/6p1/2p5/4P1Qp/1P1K4/8/8 b - -,h7g7
6R1/8/5k2/pN6/P1p5/3nn3/3r2P1/1K6 w - -,b5a3
2rq1rk1/4bp1p/p1p1pp1Q/1p1b4/n2PN3/1R3NP1/P1P2PBP/4R1K1 b - -,d5b3
5rk1/6pp/3n1p2/1q6/ppRPp3/4P3/PP1NQK1P/8 w - -,c4c5
1r6/4b2p/p1rpk1p1/1p1Rpp2/4P3/1P1R1P2/P1P1K1PP/4N3 b - -,b8c8
3r3k/pp2q1p1/2n4p/1QP2p2/4p3/4P1P1/P4PKP/5B2 w - -,f1c4
2rqk2r/1b1n1pbp/pn1pp1p1/1p4P1/4PP2/P1N1N2P/1PP1Q1B1/R1B1K2R w KQk -,c1d2
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/5NP1/PPPN1PBP/R1BQ1RK1 b - e3,d8c7
r3k2r/pp1nq3/2p3p1/3p1p1p/3Pp3/P3P1P1/1PPNQPP1/R4RK1 w kq f6,c2c4
8/1pp5/1p2k2p/6pP/P7/1PP1KP2/2b2N2/8 w - -,f2g4
r2q1rk1/pp3pbp/2n2np1/3p1b2/3N4/1P4P1/PB2PPBP/RN1Q1RK1 b - -,f5e4
r3kb1r/p1n1qp1p/1pppbnp1/8/2PQPN2/2N1BPP1/PP2B2P/3RK2R b Kkq -,a8d8
2r2rk1/1b1nbpp1/pqp1pn1p/8/Pp1PNB2/3BPN2/1PQ2PPP/2RR2K1 b - -,f6e4
r2qk2r/3nbpp1/b2p4/p2Pp2p/Pp6/2P3PP/1P2NPB1/R1BQR1K1 b kq -,h5h4
r1bqkb1r/5p2/pnn1p1p1/1p1pPPNp/2pP3P/2P5/PPB1N1P1/R1BQ1RK1 b kq -,e6f5
5r2/q2n1pk1/2p5/1pb1p1Np/p3P1n1/P7/BPP1QPK1/R1B2R2 b - -,d7f6
2rr4/pp4kp/2n1bpp1/3pp3/8/1qP3P1/4PPBP/R2RQNK1 w - -,d1b1
2r3k1/4rpp1/p4n1p/q7/P1p1P1N1/1bN5/4QPPP/2R1R1K1 b - -,f6g4
5k2/6pp/5n2/p1Pr4/8/1P4P1/P3RP1P/6K1 w - -,e2c2
8/5k2/4p1pp/R7/1P3P2/p5K1/1r4PP/8 b - -,a3a2
1r6/3b4/p2p1kp1/1ppP3p/2P2P2/PP1B1KP1/8/1R6 b - -,g6g5
2rq1r2/p5kp/b3pnp1/2ppNp2/PP2n2P/2P1QNP1/4PPB1/R4RK1 w - -,a1c1
2r4r/1ppk2p1/3pn3/1P1N1n1p/2R1RP2/3N2P1/1P3K1P/8 b - -,h8f8
r4rk1/pb1qppbp/1pn3p1/2p3B1/3PP3/Q1PB1N2/P4PPP/3R1RK1 b - -,c5d4
r4rk1/ppp1bppp/3q4/3P4/4B1b1/1Q3n2/PP3PPP/R1B1R1K1 w - -,e4f3
r3k2r/1pbq1p1n/2p2np1/2Pp4/1P1P2PQ/P3P2B/7P/RNB2RK1 b kq -,g6g5
r1bq1rk1/p4pb1/n1pp2pp/4p3/2P1P3/4BN1P/PP1QNPP1/R4RK1 b - -,c8e6
2r1r1k1/5pp1/pq5p/1p5b/2pN1P2/P1Q1P3/1P3RPP/4R1K1 w - -,h2h3
r1bq1rk1/pp3pb1/n1pp1npp/4p3/2PPP3/2NBBN1P/PP3PP1/R2Q1RK1 b - -,e5d4
r1b2rk1/1pq1ppbp/p2p2p1/3Pn3/8/1N2B3/PPPQ1PPP/R3RBK1 b - -,b7b5
1B6/8/6bp/1p4p1/Pb4P1/1P1k1KNP/8/8 b - a3,b5a4
3q1nk1/4br2/1p2p1b1/1P1pPp1p/3P1P2/3BQ2N/3B2P1/2R3K1 w - -,d3e2
r1bqrbk1/1p3p2/p1np1npp/2p1p3/4P3/PBPPNN1P/1P3PP1/R1BQR1K1 w - -,e3d5
r3k3/1p2bpp1/p3pqp1/2P5/1PB4r/5nB1/P2Q1PPP/R4RK1 w q -,g2f3
rnbqk2r/ppp1bppp/3p1n2/4p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R b KQkq -,e8g8
r1r3k1/pp2bppp/2q1pn2/8/3B4/2N2QP1/PP2PPKP/R2R4 w - -,a1c1
5r2/kpR3pp/p3b3/4p1N1/1nP5/6KP/1P3P2/8 w - -,g5e6
r1b2rk1/1pp4p/p2p1npb/3Ppp2/1PP1P3/1NN2PP1/P3K1BP/R6R w - -,h1f1
8/4bN1p/8/1p5R/4Pkp1/3P4/3r1PKP/8 b - -,d2d3
r4r2/pp3pkp/2n1p1p1/2qn4/5P2/1P3NP1/P4PBP/R2Q1RK1 w - -,d1e2
6k1/5pp1/4p2p/1r2P3/2N5/RP1n1K1P/5P2/8 w - -,f3e3
4nk2/1Q2bp1p/p3b1p1/1p6/P2B1r2/2P2BN1/1q4PP/5R1K w - -,d4e3
1qr5/p4pk1/2pRp3/P3P1p1/6R1/4Q1P1/5PK1/1r6 w - -,e3g5
8/4Qp1k/6p1/3q3p/5P1K/6PP/8/8 w - -,e7g5
6k1/1pQ2np1/p1p2r1p/2q5/5P2/2PR1BP1/P1P4P/6K1 w - -,g1g2
r3r1k1/pp4pp/4b3/q2p1p2/4n3/PQ1N2P1/1P2PPBP/2R2RK1 w - -,b3b7
2K5/7p/2pk1p2/1p1p1p1b/1P1P4/2P2PR1/5P2/8 w - -,g3h3
8/8/8/8/5n2/2k1pP2/4K3/8 w - -,e2e3
2r3k1/1p3pbp/6p1/3pp2n/qP6/P4PP1/3N1B1P/2R1R1K1 w - -,c1c8
1rq1k2r/5ppp/3bp3/8/3Q4/2P2P2/P3KP1P/R1B4R b - -,c8a6
r6k/2p1rbbp/p4ppn/np6/5PP1/2NB1N1P/PPP5/4RKB1 w - -,e1e7
8/3r2p1/1k3p2/1p3r2/7R/7P/2R3PK/8 b - -,f5c5
8/5pk1/4p3/R3P1p1/3r4/5PKP/8/8 b - -,g7g6
8/3RKpk1/r1NR2p1/4Pr2/8/8/8/8 w - -,d7c7
2q3k1/pp5p/4bbp1/3p4/1P2pB1P/6P1/P2QPPB1/6K1 b - h3,f6c3
8/5pp1/p7/4p2k/P7/1P1r4/1R3PPP/5K2 b - -,a6a5
4Q3/6pk/7p/1p6/7P/6P1/6NK/1q6 w - -,e8e1
r5k1/1p2q1p1/1bpp1n1p/2P1n3/1P2PN2/2Q3PP/1B4BK/5R2 b - -,b6c7
r4rk1/1p1nppbp/1pbp1np1/2p5/3P1B2/P1P1PN1P/1P1NBPP1/R4RK1 w - -,f4g5:c3c4
2R5/3n2p1/4k3/r7/4P3/4K1B1/2P4P/8 b - -,a5a6
r2rb1k1/5p1p/2p1n3/1pp1b1pn/4P3/pP2BPPP/P2RN1BK/3R1N2 w - -,d2d8
rn1q1rk1/pp2ppbp/3p1np1/3P1b2/2PN4/2N1B3/PP2BPPP/R2Q1RK1 b - -,f5c8
r1b4r/2pnq1k1/np1p2p1/pN1Pp3/PP2PpP1/2P2N1P/5R2/R3QBK1 b - -,d7f6
r2k1b1r/pbNnpq1p/6p1/3p1p2/Ppp5/5QN1/1P3PPP/R1B1R1K1 w - -,c7e6
r6r/1pBn1pk1/1p2b1p1/1N1p3p/Pb1P4/1P5P/4BPP1/2RR2K1 b - -,b4e7
5rk1/1p2nppp/2b5/3p2n1/2pP4/N1P2BP1/5PNP/4RK2 w - -,e1e7
7k/2p1qp1p/7Q/RPpPpbr1/8/8/4BPPP/6K1 b - -,g5g8
3R4/p4rk1/1p4p1/7p/1P6/r5B1/7P/4R1K1 w - -,g3e5
r2q1rk1/pp1n1pp1/2p1pnp1/8/PbBP4/2N1P3/1P2QPPP/R1BR2K1 b - -,d8e7:d8c7:d8a5
8/1p1n1kbp/p2np1p1/3p1p2/N2P4/4P1PP/PP2KPB1/4B3 w - -,e2d3
3r1k2/1p1rqpp1/2b2n1p/p2p4/3R4/PQNNP2P/1P3PP1/3R2K1 w - -,b3b6
