6k1/8/6p1/5p2/1np2PP1/5K1P/1B6/8 w - -,b2e5
2k3r1/pp6/8/3Pp2p/4p3/4K3/PP3RPP/8 b - -,h5h4
8/4q2k/7p/2N2p2/1Q3p2/1p3P2/7K/8 w - -,b4b3
5rk1/p1p2ppp/1p4q1/2bP4/4rP2/2PQ2P1/P1KB3P/1R2R3 b - -,f7f5
8/6kp/R7/1p1r4/1P2p3/P4pN1/3b1P1P/3K4 b - -,e4e3
2N5/8/3k3p/1p4p1/p2P4/7P/5KP1/8 b - -,d6d7
1rb2rk1/1p2np2/p2pp1pQ/8/1P2P3/2q2NPP/P4PB1/R2R2K1 b - -,d6d5
r2qrnk1/pp2bppp/2p1bn2/3p2B1/3P4/2NBPP2/PPQ1N1PP/3R1RK1 b - -,a8c8:d8a5
2rq1rk1/1p2bppp/p3p1b1/P1npPn2/3N1B2/2P2N1P/1P2BPP1/R2Q1RK1 b - -,f5d4
r1b1qrk1/p1p3pp/2pp1n2/2b1p1B1/4P3/2N2N1P/PPP2PP1/R2Q1RK1 w - -,d1e2
5rk1/p4pbn/1p4p1/3b2P1/2P5/1P2qB2/PB4Q1/3R3K w - -,f3d5
3q4/7k/6p1/2K4p/3Q3P/6P1/5P2/8 b - -,d8a5
r1b2rk1/bpp2ppp/p1np1q2/4p3/4Pn2/1BPPNN1P/PP3PP1/R1BQ1RK1 w - -,e3d5
8/3B1n2/1k6/1P4p1/1K4P1/8/8/8 b - -,f7e5
8/1pp2Qq1/p2p2nk/3P2p1/6N1/6PP/P5K1/8 b - -,h6h7
2rr2k1/1bqp1ppp/pp2pn2/2b1n3/2P1P3/2NBB2P/PPN1QPP1/2R1R1K1 w - -,e3g5
q2r2k1/2r1bpp1/1p2p2p/pPp5/P1P2B2/5PP1/1Q2P2P/2RR2K1 b - -,c7d7
3k4/1Pb5/R1B5/p7/Pr6/1P6/2K5/8 w - -,c6b5
r3qrk1/ppp3pp/2np4/4p2n/2P2P2/P1BP3B/1P1QPP1P/R3K2R w KQ -,f4e5
6k1/5p2/1r2p1pb/pN1pP1q1/P1p4p/2P3PP/1P2RP2/4Q1K1 w - -,g1h2
8/6rk/4R1pb/7p/2P1Q3/3P1Np1/q4PKP/8 w - -,h2g3
b4r2/q3bp1k/2p2npp/1p2p3/nP2P2P/2P2QB1/B1NN1PP1/R5K1 b - -,a7d7
4rr2/1p5k/8/p6R/6pP/P3P1K1/1PP5/R3Nb2 b - -,h7g6
2r3k1/3bqp1p/6p1/pp1p4/3P1Q1P/2PB4/2R2PP1/6K1 b - -,b5b4
8/2R5/6p1/4kp1p/4p3/r2b3P/PK4P1/R7 b - -,a3a6
b2r2k1/p4ppp/5b2/2p2q2/P1N5/1Pp2NP1/R3P1BP/2Q1K3 b - -,a8e4
1r2q3/1r5k/3Pb1R1/1pP1p2P/pP2P1P1/R2Bb2K/8/5Q2 b - -,b7f7
5rk1/p1p3pp/4p3/4P3/P4PP1/2PnB3/1P5P/R4RK1 w - -,e3a7
r2kr3/3n2p1/1pQ2n2/3p4/3P3p/qp4P1/P1RN1PBP/1K5R w - -,d2b3
1nr2rk1/4bppp/pp1np3/3p4/3P4/N3P1P1/PP1B1P1P/2RR1BK1 w - -,f2f3
2r2rk1/pq3p1p/4p1p1/1p2P3/3pNP2/3P2P1/PPnQ3P/R4R1K w - -,a1c1
8/8/6p1/2R2pkp/8/2P5/r5PK/8 w - f6,c5c6
r2q1rk1/pp3pp1/4p2P/2n3p1/8/3p4/PPPBQ1P1/1K1R3R w - -,c2d3
r3r1k1/p4p2/1pn2qp1/3p4/3P2Q1/P3PPP1/1B6/4RRK1 b - -,f6f5
2rq1rk1/1b2bppp/ppn5/3B4/5B2/P1R2N2/1P3PPP/3Q1RK1 b - -,e7f6
r4rk1/pppq1ppp/2np1b2/3n1b2/3P4/2P2NB1/PP1NBPPP/R2QR1K1 w - -,f3h4
8/2p5/B6p/8/Pk4b1/4K1P1/8/8 b - -,c7c5
r3kb2/pq1n1p2/4pp1r/P2p3p/1p1P1N2/1N1P4/1P3PPP/R2QR1K1 b q -,f8d6
4n1k1/2p3p1/1b1p4/Np1P1q2/1P6/2B2P2/4Q2P/7K b - -,f5b1
8/5r1k/6b1/3BQ3/2pP3q/8/4Rb2/5K2 b - -,f2e3
r1b2rk1/1p1pbpp1/p1n4p/q1p1P3/4Q3/P1N1BN2/1PP2PPP/2KR3R w - -,c3d5
2b1r1k1/p2qppbp/1p4p1/3N2B1/3n3P/6P1/PP1QPPB1/2R3K1 b - -,d7g4
7k/pp4b1/2p5/6p1/P2PBn2/1P5P/5r2/BR5K b - -,f4h3
1r6/2pk4/3b2p1/4p3/8/1r4P1/R1RBPPK1/8 w - -,d2c3
3nr1k1/3r2b1/p2B1ppp/3pP3/PP6/5N1P/5PP1/2RR2K1 w - -,d1d5
2r2bk1/1br4p/p1pqn1p1/p2p1p2/1P1P4/1Q1NPNPB/2R2P1P/2R3K1 w - -,b4a5
rn2kbnr/ppq2ppp/4p3/8/2NP4/1Q6/PP3PPP/R1B1K1NR w KQkq -,g1f3
6k1/8/4PK2/8/5P2/8/7R/5r2 b - -,f1f4
8/3k4/3p2p1/1p3rPp/4RP2/2P5/2PK2P1/8 b - -,f5d5
1Q3bk1/5ppp/2p3r1/3q4/P7/4r2P/5BP1/RN3RK1 w - -,b8h2
8/pp3r1k/2r4p/4Bnp1/8/1P3P2/P3R1PP/4R1K1 b - -,a7a6
1r3rk1/pb2ppbp/1q1p1np1/2p5/4P3/1PN3P1/PBP2PBP/R1Q2RK1 b - e3,c5c4
6R1/8/8/8/8/4K3/6kp/8 b - -,g2f1
3nkbr1/5p2/1nb1pP2/q3P2p/2pP2p1/2P1N3/2BBQ1PP/5R1K w - -,f1b1
r2q1rk1/2pn2pp/1pQpp3/p4p2/2PP4/P1B1P1P1/1P3P1P/2R2RK1 w - -,e3e4
3r4/K4p2/1N1k1p2/PP2pP1p/2r5/3p4/1R4P1/8 b - -,c4c2
1R6/2p2p2/4k3/2Pp4/b2K1p2/8/5P2/8 w - -,b8b4
3qr1k1/1r3pb1/1p1p1npp/pNpPp3/P1P1P2N/1R4P1/1P2QP1P/4R2K b - -,d8e7
3B4/1p4pk/2pN4/7p/P1P5/4b3/bK6/8 b - -,e3f4
4N3/6pp/p1p1kp2/3b4/8/P1R2PK1/1r4PP/8 b - -,g7g5
8/8/R1p2r1k/4N1p1/1pP3P1/8/PP2K1n1/8 b - -,f6f4
rnbq1rk1/1p2ppbp/p2p1np1/8/P2pPP2/2N2N2/1PP1B1PP/R1BQ1RK1 w - -,f3d4
1R6/3r4/5p2/4pkp1/8/5PK1/6P1/8 w - -,b8b4
rnbqk2r/pp2pp1p/3p2p1/2pP2B1/2PbP1n1/2N5/PP3PPP/R2QKBNR w KQkq -,g5h4
3r3k/8/p4p2/6pP/4p3/P4q2/1P3Q2/K4R2 w - -,f2e1
8/5k1r/8/q2p2pp/1p6/1P2P3/6QP/2R3K1 w - -,g2g3
5r2/2p1b1qk/2Pp4/rRnQp1pp/p1P1Pp2/P4P1P/5BPN/6K1 w - -,b5a5
8/5pp1/6k1/4K1np/7P/R4PP1/8/8 b - h3,f7f6
2k2r1r/1ppb3p/p2b1n2/2p2pB1/8/2N2PN1/PPP3PP/R3R1K1 w - -,a1d1
b1r1r1k1/b4pp1/p3qn1p/2pp4/8/P1N1PBBP/1PQ2PP1/2R1R1K1 w - -,c3e2
2b1krr1/1p2b1n1/p1p4p/1PPp1ppn/3PpP2/2B1N1PB/1PN1P2P/R4R1K b - -,c6b5
r1bq1r1k/ppp3np/3p2n1/3P4/1PP1Bp2/6P1/P2QNPNP/2R2R1K b - -,f4f3
2r2rk1/5p1p/3p2pb/2PP3q/1P3p2/5P2/5B1P/1QRR3K w - -,b1d3
8/5p2/1B2p1k1/6bp/1R6/5P2/2r1r1P1/6RK w - -,h1h2
r1r3k1/pbq3pp/3p1p2/3p4/1N1P4/2P2P2/P1PQ2PP/R3R1K1 w - -,a1b1
2rq2rk/1pn2p1p/p2p2nP/P1pPpNR1/N1P1P3/1P3P2/3Q4/2K3R1 b - -,c7a8
r3kb1r/ppq2ppb/2p1nn1p/4p3/2P1P2N/1P4P1/P1Q1NPBP/R1B2RK1 b kq -,f8c5
r3k2r/p3bppp/1qn2n2/2p5/3p4/1N1P4/PP1N1PPP/R1BQ1RK1 b kq -,e8g8
2b2k2/1p3p2/1r3p1p/3p4/p2P3N/P7/2PK1PPP/4R3 b - -,c8d7
r2r2k1/pppqppbp/1nn1b1p1/2Q1P3/3P4/2N1BN1P/PP2BPP1/3RK2R w K -,f3g5
8/4K3/8/1R6/1p4p1/5kP1/8/8 b - -,f3g3
