3K2k1/R6p/5P2/6P1/8/8/4r3/8 b - -,e2d2
3r1k2/pp1rb1p1/2n1Qp2/2p1p2p/4q1n1/1PP1BNP1/P4PBP/R4RK1 b - -,d7d6
3rr1k1/pp2qpp1/2pbbn2/5p1p/3P4/2NNP1P1/PPQ2PBP/1RR3K1 w - h6,b2b4
3rq3/p4kb1/bp2p1p1/2p1Pp2/4pB2/2P1Q1P1/PP2PP2/R3K2B w Q -,f2f3
rn3rk1/ppqbppbp/5np1/3P4/3P4/1BN5/PP2NPPP/R1BQK2R b KQ -,b7b5
r1br2k1/1ppqp2p/pnn3p1/3N4/3bP3/4BP2/PP1Q2P1/2KR1BNR b - -,b6d5
r3r1k1/pp2q2p/2p2np1/6R1/2NPp3/2N1P2b/PPQ2P2/1K4R1 b - -,g8h8
r1bqkb1r/pppnpp2/7p/3p2p1/3P4/2N1PNP1/PPP2PP1/R2QKB1R b KQkq -,g5g4
2r1r3/1p3pBk/p2pq1p1/3N1p1p/P1P1PPn1/1P4P1/3Q3P/4RRK1 b - -,h7g7
r1b2k2/pp5p/1np1pqrp/7Q/4Pp1P/1BN5/PPP2P2/R5RK w - -,e4e5
r2qkb1r/5ppp/p1p1bn2/2pp2B1/3P4/2N1PN2/PP3PPP/R2QK2R w KQkq -,e1g1
6r1/4p3/PN3k2/b4p2/8/4P2K/6p1/6R1 w - -,b6d5
4rrk1/pppqn1bp/1n1p1pp1/4p3/P2PP3/1PN1B1Pb/2PQNP1P/3RR1KB b - -,h7h5
2r2r2/3q2k1/2npbp2/p1p1pn1p/1pP1B1pP/1P1PP1P1/PQ2NPK1/2RR2N1 b - -,c8c7
8/3k4/p1p1b2p/5pP1/2pP4/5P2/PP1N2P1/2K5 b - -,h6g5
1rq2nk1/p3bppp/2p1p3/1rPpP3/3B1P2/3NQ2P/PPP3P1/1KR4R w - -,c2c4
6k1/p1r1nppp/1p1qp3/n2p4/3P1P2/PPr1N1P1/5P1P/RR1Q1BK1 w - -,b3b4
2r3k1/1brnq1pp/1p2p3/pP1p1p2/P2Pn3/1Q1BPN2/4NPPP/R1R3K1 w - -,c1c7
rn1qr1k1/pbp1bppp/1p3n2/3p4/3P1B2/2N2NP1/PP2PPBP/R2QR1K1 b - -,f6h5
6k1/4pp1p/3p2p1/2n5/2PbP1P1/r3N3/P1Q2PBq/1R3K2 b - -,e7e6
6Q1/3rk3/p2b4/2p5/2P4P/1P2P3/6P1/6K1 b - h3,d6e5
r1b1r1k1/1p3p1p/1qpp1Np1/p7/2Pb4/BP4PP/P4P2/1R1QR1K1 b - -,d4f6
r2qk2r/1ppb1ppp/p1nbpn2/8/2QP4/4PNP1/PP3PBP/RNB2RK1 b kq -,e8g8
r3qr1k/pp2n1bp/2npQ1p1/2p1pp2/1P2P3/P1PP2P1/5PBP/RNB2RK1 b - -,a8d8
2kr3r/ppp3bp/6p1/4np2/5B2/2P1P3/P1K1BPPP/R6R w - f6,a1d1
r1q2rk1/ppp1p2p/3p2p1/3P1p2/2P5/2b2NP1/PP2P1KP/R1B2Q2 w - -,b2c3
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/3P4/1N2BN2/PPP1BPPP/R2QK2R b KQkq -,f5h7
8/5k1p/1n1R4/3PppB1/1r6/7P/5PPK/8 w - -,d6f6
2r2rk1/1p1npp1p/1pnpb1p1/6P1/3NPP1P/2N5/PPP1B3/R3K2R w KQ -,e1c1
r1q2r1k/3n1Pp1/p3p1Q1/1p6/8/1RP2B1P/5P2/1R4K1 b - -,a8a7
8/1p1k2p1/p1p1p2p/P5bP/1PPP1RP1/8/4K3/6B1 b - -,g5f4
r1r3k1/3b1ppp/4pn2/p1b1Q3/n7/2N1BP2/Pq2N1PP/1BRR2K1 w - -,e3c5
2r1bk1r/4p2p/1n4p1/8/3b4/1PN5/PB3PPP/R4RK1 w - -,f1c1
3r4/P4ppk/4p2p/q2nP3/2QB4/6P1/5P1P/2R3K1 b - -,a5d2
8/1r6/5n2/np1kp2p/p4p1R/P1PB1P2/1P1BKP2/8 b - -,a5c4
3q1rk1/3b2n1/4p3/p2pR1Pp/1p1P4/P1NB2P1/1P1Q1P2/6K1 w - -,a3b4
r2q1rk1/1p2bpp1/pn1pbn1p/4p3/4P3/1BNQB3/PPPN1PPP/3R1RK1 b - -,a8c8
3qkr2/1n1b2Qp/p3P1p1/3p1p2/Np1P4/8/1P3PPP/2R3K1 b - -,b7d6
4r3/3R1pkp/Q5p1/1p1P1nP1/3qp3/6P1/P4PBK/8 b - -,h7h6
4r1k1/3n3p/2QP1n2/4pp2/8/R3NNPP/5PK1/3q4 b - -,d1b1
8/8/R1k5/p1P5/2K5/2P5/8/r7 b - -,c6c7
2k5/p1p3pB/1p3p1n/8/2P5/1R4bP/PB1r4/6K1 b - -,g3d6
8/8/3p2p1/n1p1p3/2P1P2k/7P/1N4K1/8 b - -,a5b3
r1q2r2/1bp2pbk/1p4pp/p2Pp3/PnQ5/2N1BN1P/1PPR1PP1/3R2K1 w - -,c4h4
rnbqkb1r/pp1ppp1p/8/2pP1p2/8/8/PPP1PPPP/RN1QKBNR w KQkq -,c2c4
8/pp1k1r2/2bP3r/1N4R1/P7/8/2P2P2/2KR4 b - -,a7a6
8/5pk1/2r1p1p1/1p2P2p/1p1p1P2/1P1P4/P2R1QPK/2q5 w - -,f2e2
r1b1k2r/pppp1ppp/2n2nq1/1Nb5/4P3/2P1BQ2/PP3PPP/RN2KB1R b KQkq -,c5e3
2rr2k1/1p2qppb/pP2p2p/R7/2NP4/1Q3PP1/4PK1P/3R4 w - -,d4d5
8/p1P4p/3K4/5pk1/8/P2R4/2r5/8 w - -,d3d5
4b1k1/R5pp/5p2/8/8/6P1/5K1P/8 b - -,h7h5
r1b1k1nr/1p1p1ppp/p1n2q2/4p3/4P3/8/PPPQ1PPP/RNB1KB1R b KQkq -,f6g6:g8e7
4r3/6k1/p5pp/1p6/4pP1q/1P5P/P2Q2P1/3R3K w - -,d2c3
3qr1k1/3nppbp/2Bp2p1/p2N4/Q1P1P1b1/P5P1/1R1B1P1P/4R1K1 b - -,g7b2
rn1q1rk1/pp2ppb1/4bnpp/3p4/3P1B1P/2N1PN2/PP2BPP1/R2QK2R w KQ -,f3e5
8/1p4pk/3Qpp1p/q6P/p1P1N1P1/PnK2P2/1P6/8 w - -,c3d3
2r2rk1/5ppp/p1p2n2/q2p1b2/N2Q4/1P4P1/P3PPBP/2R2RK1 b - -,f8e8
r3br1k/6p1/5p1p/8/3Rp2B/2R1P3/6PP/6K1 b - -,a8a1
3qkb1r/1p1n1pp1/p1r1p1p1/3p2P1/3P3P/2NQ4/PPP2P2/R1B1K2R w KQk -,e1f1
3r4/5kpp/2B5/4pp2/1r6/4B1P1/P1R2PKP/8 w - -,a2a4
1r4k1/p1r2pbp/4p1p1/p1q1P3/R1P1Q3/5NP1/5P1P/2R3K1 w - -,c1c2
r2qr1k1/pp2bppp/2p2n2/2n1p2b/P3P2N/6PP/1PPN1PB1/R1B1QRK1 w - -,h4f5
k2r4/p1R1Q3/1p1p1bpp/1P1P4/5P2/6P1/3NK1P1/q7 w - -,e7f7
4rBk1/pbqnrp1p/1ppp1np1/8/P2NP3/2N4P/BPPQ1PP1/3RR1K1 b - -,e8f8
r7/pR2bkpp/4p3/B1pr1p2/2R5/4P1P1/P4P1P/6K1 w - -,a5c3
6r1/2k5/p4p2/1p2p2p/P1n2p1P/5P2/4K1P1/2R1N3 w - -,c1c3
1r4k1/pB2np1p/q4bp1/4p3/4P3/2P2N1P/PP3PP1/4R1K1 w - -,b7a6
r1bqr1k1/ppp2pb1/3p2pp/2N3n1/2P1P3/2N2B1P/PP3PP1/R1BQR1K1 b - -,d6c5
5rk1/pp3ppp/1n2p3/4P1q1/2r5/P1B3P1/1P2QP1P/R3R1K1 w - -,c3a5
r2qk2r/p3bppp/2p1b3/3np3/8/6P1/PPPNBP1P/R1BQR1K1 w kq -,e2g4
5R2/8/p1r5/1p2k1p1/1P4p1/P2K3P/8/8 w - -,h3g4
8/5pk1/2p1q1p1/p1Pp3p/Q2P1P1P/6K1/8/8 w - -,a4a5
2r3k1/5p1p/p4n2/6p1/Npp1P3/5PP1/PP2K2P/7R b - -,g5g4
4rrk1/1ppq2bp/2Bpb1p1/p3pp2/2P5/PP1PP1P1/1BQ2P1P/1N2RRK1 b - -,d7c6
2brrq1k/2pn2bp/p2p2p1/2PPp2n/1P2Pp2/3N1P1P/3QNBP1/1BRR2K1 w - -,d3b2
4kb1r/rpq1nppp/p1n1p3/2PpPb2/Q7/N1P1BN2/PP2BPPP/R3K2R w KQk -,e1g1
r2q1rk1/pp4pp/2pp4/4p1b1/2PnP1B1/2NQ4/PP3PPP/R3K2R b KQ -,d8b6
4r1k1/7p/1pb5/2p3P1/P1PbNPK1/1P5P/2B2N2/8 b - -,d4f2
8/8/1pppN3/p2Pk3/2b5/P3PK2/8/8 w - -,e6d4
8/3k4/1R6/1p1N4/1p1K4/8/8/4r3 b - -,b4b3
2r3k1/pp1qp1bp/5r2/3p1p2/2nPpB2/1QN3P1/PPR1PP1P/3R2K1 w - -,a2a3
r4rk1/pp1qnpbp/2n1b1pB/3p4/3N4/5NP1/PP1QPPBP/R4RK1 b - -,a8d8
8/2n4k/2B3pp/p4p1P/P3p3/4P1P1/5PK1/8 w - -,g3g4
2rr2k1/1p3p2/p1q1p1n1/4bp1p/2P5/PN4PP/1PQN1P2/R3R1K1 w - -,e1e3
8/2R3B1/r3k2p/8/4NP2/pb5P/5K2/8 b - -,a6a8
2rk4/pp2p3/3p4/1R1b4/6Pb/2P1QP2/qP1K4/1B1R4 b - -,a2c4
6k1/2b2pp1/1pq2P1p/pb1p4/3P2P1/1RPN1Q1P/P1n5/K1B5 w - -,a1b1
3r1r2/Q1p2pkp/6n1/8/2b1B3/1N1q4/P5PP/2R1R2K b - -,d3d6
2rr2k1/1q2bpp1/p3bn1p/np1P4/2p2P2/P1N3PP/1P2NBBK/2RQ1R2 b - -,e6d5
