8/8/6k1/2B2b2/p1pK1R2/P7/8/2r5 w - -,c5b4
3r2k1/2Q2ppp/2p5/p3Pp2/2P1n3/P5P1/6KP/3r1B2 w - -,f1e2
2kr4/ppN2p2/2p3p1/2R5/3P2p1/7P/PP3PP1/6K1 b - -,c8c7
3r2k1/1b2q1pp/pQp5/3R1p2/3pp3/1N2P3/PP3PPP/2R3K1 b - -,c6d5
2r1k2r/ppqnbp1p/1n1pb1p1/4p1P1/4P2P/1NN1BQ2/PPP2P2/1K1R1B1R b k -,b6c4
8/k1p2p2/1q5p/p2bN2P/P5P1/1P1Q4/1KP5/8 b - -,b6d6
8/1p3k2/p2KR1pp/P2P4/1P3P2/7P/8/3r4 w - -,e6e7
3rn1k1/1b3ppp/p2p4/2P1p3/4P3/R1N3P1/2r2P1P/3R1BK1 b - -,g8f8
8/pb5p/3pk1p1/pP6/2PKP2P/4NrP1/R7/8 b - -,f3g3
6k1/5p2/1pb1p1p1/7p/1P5P/P3P3/3r1PP1/2R3K1 w - -,c1c6
r2qk2r/1b1n1ppp/p3p3/3n4/PQ1N4/4BP2/1PP3PP/R3KB1R w KQkq -,b4a3
r3k1nr/1bqnbp1p/pp1pp1p1/8/P3P3/1NNBB3/1PP1QPPP/3R1RK1 b kq -,g8f6
3R1bk1/p4p1p/2r3p1/1r6/4PP1P/8/P4PK1/3R4 w - -,d8a8
1rq1r1k1/2pb1ppp/3p2n1/1p1P3B/1P2P3/6QP/P5PK/1RB2R2 w - -,g3f3
rnbqkb1r/pp3p1p/3p1pp1/2p5/2P5/1PN2N2/P2PPPPP/R2QKB1R b KQkq -,f6f5
r1bqkb1r/pp3ppp/2n1pn2/3P4/8/1N1B4/PPP2PPP/RNBQK2R b KQkq -,f6d5:e6d5
3rkb1r/ppq2ppp/2p1pnn1/8/3pPP2/3P3P/PPPNBQP1/R1B2RK1 w k -,g2g4
6n1/pq2r1kp/3R1pp1/8/Q3P1P1/1P3P1P/P5K1/8 w - -,a4d4
2r2rk1/1q2pp1p/3p2p1/1p1n4/nP6/PN2P3/4NPPP/Q1RR2K1 b - -,d5b6
8/3k2pp/n2p4/2pp4/6P1/4P1B1/P4PK1/8 b - -,c5c4
r2qrbk1/1b3p1p/1p1p2p1/pPpPp1P1/P1N1Pn1P/5N2/K1PB1P2/1R2Q1R1 w - -,d2c3
r4rk1/ppq2nbp/b4pp1/2p1pP2/4P1P1/2P1NB1P/PP1R4/R1B1Q1K1 w - -,e3d5
rn1q1rk1/p1p2p1p/1p1ppbp1/4P3/2PP4/2B3P1/PP1N1PKP/R2Q1R2 b - -,d6e5
rn2kbnr/pp3pp1/1q2b3/2ppPpN1/2PP3P/8/PP4B1/RNBQK2R b KQq -,g8e7
1rb2rk1/p1q2p1p/4p1p1/3p4/3Q4/2N2P2/PPP3PP/2KR3R w - -,d4f6
8/pp1b3p/2p2k2/2Pp2p1/3N1P2/6P1/PP3K1P/8 b - -,g5f4
6r1/2k2p1p/1np1bp2/r3p3/1p2P2N/1P1Bb1P1/P1R1N2P/1K5R w - -,h1c1
2R5/8/p7/2k1p3/8/5P2/3p1KPP/r7 b - -,c5b6
r2qn1r1/1bp1bp1k/1p1p1n1p/3PpNp1/1PP1P3/3B1N1P/2QB1PP1/R3R1K1 b - -,e8g7
6k1/2pr4/1pn2bn1/p3p1p1/P1N1PpP1/BPP2N2/4KP2/2R5 b - -,g8f7
1r1r2k1/1p1n1ppp/pNn1b3/4p3/4P3/P1P1BP2/4B1PP/2KR3R b - -,d7b6
7R/8/8/8/4p3/5r1p/4kP2/6K1 w - -,h8h4
k3r2r/pp3p2/2pb2p1/q2p1p2/N2Pn3/3RP1PP/PPQ2PB1/1K5R w - -,a4c3
r1b2rk1/pp2ppbp/2n3p1/q7/3P4/1QN1nN2/PP2BPPP/R4RK1 w - -,f2e3
r1br2k1/1p4pp/1np1p3/p3Np2/PqpP4/4P1P1/1PQ2P1P/R2R1BK1 b - -,a8a6
4r1k1/p4ppp/1p4b1/8/1P3R2/P5P1/7P/5RK1 w - -,f1c1
8/4q1kp/3p2p1/2pP4/2n1N3/7P/P1B2R2/2KR4 w - -,e4d2
2r4k/5pq1/1p2P1p1/1P2b2p/Q1r4P/4B1P1/3R1P1K/3R4 w - -,a4c4
5rk1/1p4p1/p1n4p/3q4/1P2n3/P3Q1BP/6PK/4R3 b - -,e4g3
r1bq1rk1/pp2ppbp/n2p1np1/3P4/2P5/2N1BN2/PP2BPPP/R2Q1RK1 w - -,f3d4
rnbqkbnr/1p3ppp/p3p3/2pp4/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq d6,g2g3:e4e5:d2d3
2kr1b1r/p1pqnppp/1pn1p3/3pP3/3P2Q1/3P1N2/PP1BNPPP/R4RK1 w - -,f1c1
r2qrbk1/1bnn3p/1p2p1p1/p2pP3/3P4/P1N1B1P1/1P1QNPB1/R3K2R b KQ -,b6b5
1rbqnrk1/3np1bp/pp1p4/2pP1p2/P4P2/2NBN3/1PP3PP/R1BQR1K1 b - -,g7d4
r6k/N3Nnb1/3p1n2/3Pp2p/4P3/4Q3/PP2R2P/1q2B1K1 b - -,f6g4
2r5/1b3p1p/p4kp1/3p4/8/1P3B2/P1PK2PP/4R3 w - -,e1e3
6k1/1p5p/3p2p1/1PpPp3/1n2p3/rN2K3/1R3PPP/3B4 b - -,b4d5
2qrr1k1/pp1bbppp/2pp1nn1/4p3/N1PPP3/1P3NPP/PBQ2PBK/3R1R2 b - -,b7b5
6k1/4n3/q2pb1p1/2p5/2PpPP2/3Q1B1p/7P/5NK1 w - -,f1d2
rnb1k2r/pp2bppp/1qp1pn2/8/2BP4/2N2N2/PPPBQPPP/R4RK1 b kq -,e8g8
2rq1rk1/pb3pbp/1pn1n1p1/4P3/3p4/P1NB1NB1/1PQ2PPP/R2R2K1 w - -,d3c4
r1b1r1k1/2q1bp1p/pn1p1npB/1ppPp3/4P3/2P2QNP/PPB2PPN/R3R1K1 b - -,g8h8
2rr2k1/1n1bqpp1/1Q1Rp2p/4P3/2P5/1p3N2/1P4PP/1B2R1K1 b - -,b7d6
2r3k1/p3q2p/1p2pbp1/2p5/4bB2/2P4P/PP3PP1/3QR1K1 w - -,e1e4
8/8/2p1kp2/1pP3B1/1P2K1P1/8/8/8 b - -,f6g5
8/1R2kp1p/3pp3/7p/r1r1PP2/5K2/1P1R2PP/8 b - -,e7f6
r7/1p1bqpkp/p2p2p1/4n3/1PP1P3/8/PQ2B1PP/3R1R1K w - -,c4c5
8/4r1k1/p4qP1/2R4p/P1p5/2P4P/3Q2P1/7K b - -,g7g6
4rk2/5p1R/2b5/8/2P5/7P/1B3pP1/6K1 w - -,g1f2
r1b1r1k1/pp1nq1pp/2p5/4pp2/2PPn3/4QNP1/P1N1PPBP/R4RK1 w - -,f1d1
8/3qnrk1/pr1pRp1p/2pp2p1/8/2P3B1/PP1Q1PPP/4R1K1 w - -,b2b3
r7/1p4kp/r2p1p1p/2n5/p2RP2P/P4BP1/5PK1/3R4 b - -,a8d8
r2rn1k1/pbn3p1/1Pp1pp2/6p1/2BP4/P4N1P/1KP2PPB/3RR3 b - -,a7b6
r1bqkbnr/pp3ppp/2n5/2Pp4/8/2PB4/PP3PPP/RNBQK1NR b KQkq -,f8c5
r5k1/1p1r1p1p/5ppb/p2B4/PQ1N4/7P/1P3PP1/3R1RK1 b - -,a5b4
5rk1/p6p/1q2b3/1P4p1/3pp3/2r3P1/3R2BP/Q3R2K w - -,e1e4
6k1/6p1/2p2p2/B1p1bP2/P1Pp3P/1r6/5K2/R7 w - -,a1a2
8/8/8/1N1K4/2r2k2/8/8/8 b - -,c4c1
r2q1rk1/pp3pbp/4b1p1/4n3/1P1p4/P2B2NP/2PP1RP1/R1BQ2K1 w - -,d3e4
rn1qr1k1/pp3ppp/2p2n2/3pN3/1b1P4/2NQP3/PP1B1PPP/R4RK1 b - -,b8d7
4r3/1p3pkp/2pR1np1/p1r5/2q5/1P2P1P1/P2Q1PBP/3R2K1 b - -,c4c3
8/5p2/4ppk1/8/2K2P2/4R1pP/8/r7 w - -,e3g3
rnbq1rk1/pp1p1pbp/6p1/2p2p2/3P4/2P1P1P1/PP2NPBP/RN1QK2R b KQ -,d7d6
b2q1rk1/4ppbp/6pn/1pn1P3/8/2P2NNP/1PB3P1/2BQ1RK1 b - -,d8d1
8/2k5/pp6/3B2p1/PPK2bP1/2P5/8/8 w - -,d5f3:d5e4:d5f7:a4a5
3r1k2/5p2/R3p1p1/4Pn2/2p4p/7P/PP2R1PK/8 w - -,e2e4
2b5/R4p2/2p1k3/Pr5P/6P1/4B1K1/5P2/8 b - -,b5c5
r2r2k1/1p2qp2/p1n1bn1p/2bp2p1/8/P1N1PNB1/1PQ1BPPP/R4RK1 b - -,f6h5
r1bqkb1r/pp3pp1/4p1np/3P4/2P1Q3/2B5/PP3PPP/R3KBNR b KQkq -,d8e7
7r/4nkpp/2pqpb2/3r4/3p1P2/N2Q4/PP4PP/R1B1R1K1 w - -,a3c4
r3kb1r/pp3ppp/2p1b3/5qP1/3Q1BnP/2N5/PPP1NP2/3R1K1R b kq -,f8c5
3r1r2/pp3p1k/1q2pbpP/2pn2p1/2P1Q1N1/1P6/P2B1P2/1K1R3R b - -,f6h8
1r2r1k1/pp3ppp/5n2/2q5/3Q2b1/2P3P1/P3NPBP/R3R1K1 b - -,b8c8
5rk1/1RR2p2/6p1/8/7P/1P3P2/P5K1/8 b - -,g6g5
