8/6p1/5p1p/5P1P/5K2/3k4/8/8 w - -,f4f3
3r2k1/pp3ppp/2n1p3/2br4/P7/2B1PN2/1P3PPP/1R2R1K1 b - -,c5e7
r5nr/1b1p2kp/p2Bpp2/1p5Q/4q3/2P1R3/P1P2PPP/3R2K1 w - -,e3e4
rn2kb1r/pb1p2pp/4p3/qppP1p2/4n1PB/2PQ1N2/PP2PP1P/RN2KB1R w KQkq -,d5e6
1r6/3kb3/2b1p3/3p1p2/2pP1P2/2N1P3/RP3K2/3B4 w - -,f2f3
8/2R5/8/1r3k2/8/5PK1/5P2/8 b - -,b5b1
r2qr1k1/p4ppp/np1p1b2/2pP4/4P3/5NP1/PP3PKP/R1BQR3 w - -,a1b1
3r1rk1/p3b1pp/1pq5/B1pp1p2/8/P2P3Q/1PP1NPPP/4RRK1 b - -,b6a5
r2qkb1r/pp1nnppp/2p1p1b1/3pP3/3P3N/8/PPPNBPPP/R1BQ1RK1 b kq -,c6c5:e7f5
r1bq1r2/1pp2pkp/3p2p1/pPN5/2P1n3/4P1P1/P4PBP/RN1Q1RK1 b - -,e4c5
8/4k1pp/4p3/pp3p2/b2N4/4PPP1/5K1P/8 w - -,f2e1
8/p5k1/1p6/7p/P1p4P/2PnBKP1/2r5/R7 b - -,g7g6
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/5NP1/PPQNPPBP/R1B1K2R b KQkq -,e8g8
r1b2r1k/ppq1b1p1/4pp2/3n4/3pB3/P7/1PQN1PPP/R1B1R1K1 w - -,c2d1
8/1p2Q1qk/p3p2p/P1BpPp2/8/1b2K1P1/8/8 b - -,g7e7
2k1r3/1p1n1p1p/p1p3p1/8/2Pr4/q4B1Q/P4PPP/1R3RK1 b - -,a3e7
r2b3r/5pk1/2R1b2p/1pB1p1p1/1P2P1P1/2N2P2/1K4P1/7R w - -,c3d5
3r1k2/p6p/1p3pp1/2n1p3/7P/PbR1PN2/1P2BPP1/5K2 w - -,f1e1
8/1b2kp2/p2b2pp/1p1pn3/3n4/1PB1PPP1/P1N1K2P/5B2 w - -,c2d4
r1b2rk1/p1q3bp/1pnn1p2/2p1pPp1/P1NpP3/1P1P1NP1/2P3BP/R1BQ1RK1 w - -,f3d2
r3rnk1/1bq2p2/ppnppPp1/6Pp/P3P2Q/1Nb1BB1R/1PP4P/R5K1 b - -,c3f6
r5rk/pp3qbp/4pp2/3p1n2/3PpBR1/2P3NP/PP3PP1/R2Q2K1 b - -,f5e7
r2qn1k1/pp3rbp/3pb1p1/1NP1p1p1/1P2P1P1/P3B2P/2Q2P2/3RKBR1 b - -,g7f8
r5rk/4p2p/p3pn2/1pp1N2q/P2n4/2N3Q1/1PP2RPP/5RK1 w - -,g3e3
r1bq1rk1/p1pnbppp/1p2pn2/3p2B1/2PP4/3BPN2/PP1N1PPP/R2Q1RK1 b - c3,c7c5
5r1k/bppr2pp/p1n3p1/2P1p3/4N3/P3P1P1/1B1PqP1P/1QR2RK1 b - -,h7h6
1n6/3r4/p4k2/1p2b1pp/1P2B3/R1P1B2P/4K1P1/8 w - -,e4f3
8/p4R2/6k1/4b1p1/8/P4RpP/r4NK1/4r3 w - -,f7f8
r2qk2r/bp3ppp/p1npbn2/4p3/2P1P3/1NNBB3/PP2QPPP/R4RK1 w kq -,e3a7
r3k2r/1pb2ppp/1np1p3/8/p1PP4/P4N2/1P1B1PPP/2R1R1K1 b kq -,e8g8
8/3R4/5pp1/3Ppk1p/7P/3r2P1/5K2/8 b - -,e5e4
5rk1/8/8/1R1p1r2/p1pP2N1/P1P3Pp/1P2RP2/2b3K1 b - -,f5g5
1kbr3r/4bp1p/pqnppp2/1p3P2/4P3/2N2NPB/PPPQ3P/1K1R3R w - -,f5e6
rn5r/p3kp1p/1pp1p3/5p2/2PP1P2/5B2/P1P2P1P/2KR3R b - -,a7a6
1Q6/5pk1/p3q1r1/2p5/3nBB2/1b4P1/7P/5R1K b - -,e6e4
q3r1k1/2pb2pp/p1p1pp2/P1Q5/3PP3/2N3P1/5PKP/1R6 b - e3,e6e5
r1bqk2r/1p1pbppp/p1n1pn2/2p5/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w kq -,f2f4
2kr3r/ppq1ppbp/2p4p/5b2/2P5/1QNP4/PP2BPPP/3R1RK1 w - -,c3e4
r2qk2r/pb1p1ppp/np1Qp3/8/1PP5/P4N2/4PPPP/R3KB1R b KQkq -,d8c7
r1b1r1k1/6Bp/2pp1np1/p7/4P1P1/2NB1q2/PP1Q4/2K3RR b - -,g8g7
3n4/8/2b2Nkp/pp1pP3/2pP2K1/B1P4P/2P5/8 b - -,c6b7
r2q1rk1/pb2ppbp/1pn3p1/8/2BP4/B3PN1P/P4PP1/R2Q1RK1 w - -,d1e2
2r3k1/5p1p/1p2p1p1/rP1qPnPP/1RpPp3/p1P1P2R/P7/1Q2B1K1 b - -,c8a8
r2qk1nr/1p1nppbp/p2p2p1/2pP4/2P1P3/2N2Q1P/PP1B1PP1/R3KB1R b KQkq -,g8f6
7k/2B3p1/2N2p1p/P2B4/n7/2bb2P1/5P1P/6K1 w - -,c6b8
2rq1rk1/3n1pp1/2p3p1/p7/2PPpb2/6Q1/PP2BPPP/R2R2K1 w - -,g3f4
6k1/8/8/p2p4/1ppBn1bP/3nP3/PP4PK/5R2 w - a6,a2a3
r5k1/pp5p/5r2/2bp2p1/B2p2b1/3PP3/PPP1R1PP/R1B3K1 w - -,e2e1
2r3k1/1pq1np2/p1bppbp1/P1r5/4PP2/2NQ1BP1/1PPB2K1/R6R w - -,b2b4
3R4/6pk/7p/2r1NP2/p1P5/Pn2P2P/KP6/8 w - -,d8e8
8/2p2pk1/3p4/2bq3p/6B1/1r4PP/3BRP1K/2R5 w - -,d2c3
r1q2rk1/p1pnb1pp/1p1pN3/3P1p2/2P1b3/2B3P1/PP1QPP1P/3R1RK1 b - -,f5f4
2r5/1p1rqp1k/p5p1/B6p/P2pP3/1Pb2PN1/n1Q3PP/1R1R3K b - -,d4d3
5r2/1p4kp/1p6/3p1p2/1b1P4/7B/PP3P1P/2R3K1 b - -,b4d6
8/8/2k2n1B/1p2p2p/1K2P1p1/P5P1/2B4P/5b2 b - -,f6d7
k1r5/1b1q1p2/p3p1pp/3pP3/n1rP2Q1/1RB3NP/1P3PP1/1R4K1 b - -,b7c6
1r4k1/4qp2/3p2p1/Rpp1p1p1/1n2P1P1/1PNP1QP1/1P3PK1/8 b - -,g8g7
6k1/3r2b1/8/8/1K1p1rpP/1N1R4/PP6/6R1 b - -,g7f8
8/6B1/6p1/3k2K1/4b1P1/3r4/4RP2/8 b - -,d3f3
2kr1b1r/1pq2ppp/3p4/1PB1p3/Q7/5N2/P4PPP/R4RK1 b - -,d6c5
2r2rk1/p4p1p/3q2p1/2pPb3/8/5Q1P/PP3PP1/R1B2RK1 w - -,f1d1
6k1/p2R4/r7/5p1p/8/1P5P/P5P1/7K w - -,a2a4
8/1R4N1/5pkp/p7/P4n2/1P3P1P/1r4PK/8 w - -,h2g3
rnbq1rk1/p4pbp/2pp1np1/1p1Pp3/2P1P3/2NB1N1P/PP3PP1/R1BQK2R w KQ b6,c1e3
1r1q1rk1/p2b1n1p/np1p2p1/2pPpp2/1PP1P3/PQNN1P2/3bBBPP/RR4K1 w - -,e4f5
r2q1rk1/1bp2ppp/1p2pb2/8/p2P1P2/PnP1B1N1/1PQ1B1PP/3R1RK1 b - -,g7g6
r5k1/pp2q2p/2p3p1/3p1p2/7P/2P1nP2/PP2Q1P1/4R1K1 w - -,e2e3
3k4/p7/1p3p1p/5rp1/P3RP2/1P1K2P1/7P/8 b - f3,d8d7
1r4k1/1p3p1p/2p3p1/p1Pp4/3P4/qP3P2/P2Q2PP/4R1K1 w - -,d2f4
8/7p/1R4pk/5r2/1p3q2/pP2Q3/P1P5/1KN5 w - -,e3f4
r1bq1rk1/pp2bppp/2n2n2/3pN3/3P4/1pN3P1/P3PPBP/R1BQ1RK1 w - -,a2b3:e5c6
r5r1/p2qbp1k/np1ppp1p/8/2QPP3/3N4/PP1N1PPP/2R2RK1 b - -,d7b7
1rbq1rk1/ppN1b1pp/2n2p2/2p1p3/P1N5/3PB1P1/1P2PPBP/R2Q1RK1 b - -,d8c7
1n3rk1/2bq1pp1/p5p1/1pPp4/3P4/2P3P1/2QB1P1P/R3N1K1 b - -,f8e8
r5k1/2pbrpp1/1p1p3p/pP1Pn2P/P2N1Rn1/8/2PBB1P1/5RK1 w - -,e2d1
5rk1/1p2Bpbp/p4np1/8/P3P3/2r4P/5PP1/R2qRBK1 w - -,a1d1
r2k3r/1bbn1ppp/p3pn2/P7/1p6/1NN1P3/1P2BPPP/R1B2RK1 w - -,c3a2:c3a4
r1bq1rk1/pp3pp1/1np2b1p/8/3P4/1BN2N2/PP3PPP/2RQ1RK1 w - -,d1d3
1B6/8/p7/P4k2/6p1/2n3K1/8/8 b - -,c3e2
r3r1k1/1pqb1pbp/2pp1np1/p1n5/2PNP3/2N1B1PP/PPQ2PB1/3RR1K1 w - -,b2b3
r1b2rk1/1p2bppp/2n5/3B4/pp1P4/P3P1P1/3N1P1P/R1B2RK1 w - -,c1b2
2R5/8/8/8/3K4/8/1p6/3k4 b - -,b2b1q
2r2rk1/1p1b3p/1q2p3/1P1pPp2/p2QnP2/P2B3P/4N1PK/R4R2 b - -,b6d4
5rk1/2r3pp/bp1b1n2/p2pNp2/3pn3/PP1N1PP1/1B2P1BP/2R2RK1 w - -,c1c7
r1bqk1nr/pp3pbp/2np2p1/2p1p1B1/2P1P3/2NP1N1P/PP2BPP1/R2QK2R b KQkq -,f7f6
r7/8/5k2/8/5PRP/5K2/8/8 w - -,g4g3
