8/8/8/B1p1pk1p/8/1P1PbP1K/8/8 w - -,h3g3
rn3rk1/p2p1ppp/b7/2pQ4/1bp1P2q/2N2P2/PP2B1PP/R1B1K2R w KQ -,e1f1
6k1/p5p1/2p5/2pp2bp/2PP2b1/1P6/P3rPP1/2B2R1K w - -,c1g5
2n5/4k1p1/p2b3p/1p6/4N3/1P2B2P/P3rPP1/3R2K1 b - -,d6b4
r2qk2r/3nbppp/p5b1/2p2BB1/Q1pP4/8/PP4PP/RN3RK1 w kq -,b1c3
1r3rk1/1p2bppp/pN1q1n2/8/2bP4/1Q2PN2/PP3PPP/2R2RK1 w - -,b6c4
4k3/1R6/5P1K/5r2/8/1pB5/2b5/8 b - -,f5f3
8/R7/P7/5pk1/6p1/r7/6K1/8 w - -,a7g7
2kq4/ppb2pp1/2p1p2p/4P2P/2P3Q1/P1B5/1P3PP1/1K6 w - -,b1c2
r4rk1/1p3pp1/p1nqpnp1/3p4/3P1N2/2N1PP2/PP4PP/2RQ1RK1 w - -,f4d3
3rr1k1/pp3ppp/2p2n2/q3p3/P2nP3/1PN1QP1B/2PR1KPP/3R4 b - -,g7g6
r2qk2r/p1p3pp/1pp1p3/4Pp2/1b1P4/2N2P2/PPPQ1P1P/R3K2R w KQkq -,a2a3
2rq1rk1/pp2ppbp/3pb1p1/n2n4/2P1P3/N3BP2/PP2B1PP/R2QK2R w KQ -,c4d5
r2q1rk1/1b3pp1/1p2p2p/1B1pN3/Nn1PnB2/bP6/P3QPPP/R2R2K1 b - -,b7a6
5k2/p5p1/1p1N4/2r1PP2/P1b2P2/R4K2/8/8 b - -,f8e7
6k1/1p1b3p/1p2p3/2npP1p1/r2N1rP1/4KB2/PP2P2P/R1R5 w - -,d4b3
2r2rk1/4q1pp/bbp1pp2/8/p1PpP3/1P4P1/P1Q2PBP/R3NRK1 b - -,b6a5
r2qk2r/p1p1nppp/2b1pn2/1p2N1B1/2pPP3/P1b5/1PQ2PPP/2KR1B1R w kq -,g5f6
q1r3k1/4b1p1/3p3p/3Ppp2/P1Q1R3/7P/1rPB1PPN/2R3K1 w - -,c4d3
1k1r1b1r/1ppq3p/p1n1bp2/1B1P4/P3p2N/4B3/1PP1Q1PP/R4RK1 b - -,d7d5
r1bq1rk1/pp4bp/3p2p1/2pNpp2/3nPP2/1P1P2P1/PBP3BP/R2Q1RK1 w - -,g1h1
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQ -,g1f3:g1h3:h2h3:e2e4
2r3k1/1q5p/p5p1/1b1P1p2/3Qp3/P5PP/5P1K/4RB2 w - -,f1b5
5r1k/bp2r1pp/p7/3qBP2/5PB1/1P1R2Q1/P6P/5K2 b - -,d5h1
2r1r1k1/3Rb3/2n1P2p/1p3p2/8/P2N2P1/5BKP/2R5 b - -,g8f8
r3k1r1/1bqpbp2/ppn1pp2/8/NPP1P2p/P3QNP1/4BP1P/R2R2K1 b q -,h4g3
1r2r1k1/3q1pbp/3p2p1/1p1N4/2b1P3/6PP/P2Q1PBK/2RR4 b - -,d7a7
7r/7p/2k3p1/4Rb2/8/R7/2P3PP/7K w - -,h2h3
2b5/4kp2/8/nB1R1P1p/P4K2/4N2P/8/2r5 w - -,b5e2
br4rk/5p2/pp1pp2p/4b3/PPP1PN1q/5R2/3Q2PP/1BR3K1 w - -,c1f1
5r1k/1b4q1/p1r3Bp/1p1pP1pP/1P1P3P/P3Q3/4N3/6RK b - -,c6g6
8/5k1p/8/2R5/1p6/1rPK4/8/8 w - -,d3c2
rq4k1/5pbp/p1r1p1p1/2Bp4/1P1Pn3/6P1/P4PNP/R2QR1K1 w - -,a1b1
r3k2r/1p2qpp1/1npbpn1p/p3N2P/P2P4/6N1/1PPBQPP1/2KR3R w kq -,e5c4
3r2k1/pp3ppp/6b1/8/1r3P2/6P1/1P4BP/2R3K1 w - -,c1a1
5k2/2R5/p4r2/1p3ppP/6n1/6NK/P1P3P1/8 b - -,g4f2
1r3r1k/3b2pp/1q1p4/pP2pPb1/R1B5/2N5/1P3PPP/3Q1RK1 b - -,d7f5
6k1/2rBbpp1/8/p3r3/P1P1p3/4P1P1/5P1P/2RR2K1 b - -,g8f8
r3k2r/1bqn1ppp/p1p1pn2/1p2N1B1/PbpP1P2/2N1P3/1P2B1PP/R2Q1RK1 w kq -,e5d7
6k1/p2R1rp1/2B1p2p/5p2/2PP2n1/6P1/1r3P1P/R5K1 w - -,a1a7
r3r1k1/2q2pp1/1p6/2p5/6bp/P1Q2NP1/1P2PP1P/R3R1K1 b - -,h4h3
r1bq1rk1/1p3ppp/p1n1p3/3p3n/3P4/2N1P1B1/PP3PPP/R2QKB1R b KQ -,g7g6
6rk/5qr1/2p1pp2/1pPP2bp/p2P4/P1B2Q1P/1P3PRK/6R1 b - -,e6d5
2r2rk1/p7/3p1p1n/2p1q1pP/2p1P3/5P2/PPP1NQ1N/1K5R b - -,c8b8
r5k1/pp1q1r1p/6p1/P2Pbp2/2Ppp3/1Q1P4/5PPP/1RB2RK1 w - -,c4c5
rq3r1k/pb4bp/1pp1Qnp1/6N1/3P4/2B1P3/PP3PPP/R2R2K1 w - -,d4d5
r1bq1rk1/p3ppbp/1pnp1np1/8/2P1PP2/2N5/PPN1B1PP/R1BQ1RK1 b - f3,c8b7
q4r1k/6p1/7p/2pQp3/2P5/1R4P1/5PKP/8 b - -,f8f2
8/3b2kp/8/1p1Bp1p1/p2bP3/1P6/4KPPP/3N4 w - -,b3a4
r1q5/6pk/2N1p2p/1Q3p2/3Pn3/2P2R1P/3r1PP1/4R1K1 b - -,a8a2
r5k1/pp3pbp/4b1p1/4p3/8/BPP5/P1r2PPP/R2R1K2 w - -,c3c4
3b4/1pq2pk1/p2p2p1/P2Pp2p/1P2P3/3QN3/5PPP/6K1 w - -,d3c4
r1q1rbnk/pp3Q2/2pp3p/4p2P/3PP1P1/1PP5/1P3P2/R1B1R1K1 b - -,c8g4
1kbr3r/8/p1p1p1p1/4P2p/1q5P/3PQ1P1/1n3RB1/1R4K1 b - -,b8c7
2kr3r/1p2bp2/p3p3/3p3P/q5P1/2N5/PP3P2/1K1R3R w - -,c3a4
8/4k3/4p3/6p1/8/5QPB/1q6/5K2 b - -,b2a1
rqr3k1/4ppbp/pn1p2p1/1p6/1P2P3/4BP2/RPP3PP/3RQBK1 w - -,c2c3
2rq1rk1/p2nbppb/1pp1pn1p/P2p4/2PP4/1QN2NPP/1P2PPB1/R1BR2K1 w - -,a5b6
r1bqkb1r/pp3ppp/2n1pn2/3p4/3P1B2/2N1P3/PP3PPP/R2QKBNR w KQkq -,f1d3:g1f3
2r2qk1/5p2/p4b2/1rPQ1N1p/5Pp1/4B1P1/7P/2R4K w - -,f5d6
2k3r1/2pR3Q/pp4B1/3Pp3/5q2/8/PPP3PK/8 w - -,h2h3
rn1qkb1r/pp3ppp/2pp1n2/4pb2/2PPP3/2N3P1/PP3PBP/R1BQK1NR b KQkq e3,e5d4:f5g4
8/1R4bk/1pr5/5P1K/8/8/8/8 b - -,h7g8
1Q6/8/4k3/4pp1P/2p2R2/P5P1/2qr1PK1/8 w - -,b8g8
r3k2r/pp2bpp1/nqp1pnp1/3p4/2PP2P1/1QN1P2P/PP3PB1/R1B1K2R w KQkq -,c1d2:e3e4
8/2k5/2P1b3/N3r3/8/p7/8/K1R5 w - -,a5b7
brr3k1/4qp1p/pB1p2p1/4bP2/1P6/P7/5QPP/1B1R1RK1 w - -,b6d4
r1b3k1/pp1p1R2/3NpNpp/8/2B1n3/4P3/P5PP/6K1 b - -,e4f6
3r4/pb3kpp/8/4rP2/2pN4/2K1P3/PP5P/3RR3 b - -,b7e4
r1bq1rk1/pp2bppp/2nppn2/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b - -,a7a6:d6d5
5bk1/ppp2p1p/1r4p1/n2pP1B1/3P3P/2P1N1R1/PQ3PPK/8 b - -,b6b2
5k2/5n1p/4R1p1/3P1p2/5P1P/5BP1/3r4/6K1 w - -,g1f1
r2q1rk1/1b2pp1p/p1n1n1p1/1p1pP3/5P2/2N1P3/PPQB2PP/R2R1BK1 b - f3,d5d4
1r1b1rk1/1q1n1pnp/ppbp2p1/3Np3/1PP1P3/P2NB3/Q4PPP/2RR1BK1 b - -,f7f5
7r/2p2ppp/8/1Pk4r/2P5/4Q1Pq/P3PP1P/3R2K1 b - -,c5b4
6r1/1p3k2/p1b1R3/3n1P2/4N3/P2r4/1P6/1K3R2 b - -,d5e3
4r2k/2q5/4pPp1/3p2Np/2r3n1/P6Q/P1p5/4RR1K w - -,f6f7
3r4/1n1P1kbp/6p1/3R1p2/PP2p3/2P3P1/2Q4P/4R1K1 w - -,a4a5
8/5pk1/2pq2b1/3p3p/p2P4/PrP2PP1/4BK1P/R1Q5 b - -,d6b8
2rb4/1R3pk1/2p3p1/p1Pp1q1p/3P3P/P1Q1B1P1/5P2/6K1 w - -,c3e1
4b3/1p6/2p1Pk2/2Pn2p1/3P2p1/8/3K4/4R3 b - -,e8g6
r1bq1rk1/1p3ppp/3p4/2p5/2BnPN2/3P4/PPPQ2PP/R3K2R b KQ -,d8h4
r2q4/1p1bkpp1/p1p1pnpr/3pN3/P1PP1P2/1P2P3/2QN2PP/R4RK1 w - -,c2c3
1rb1r1k1/2qn1pbp/p2p1np1/1ppP1PB1/P1P5/2NB2NP/1P1Q2P1/R4RK1 w - b6,a4b5
2r5/1pr1pknp/p4p2/2P2P1p/1P1N2P1/P3P3/4K3/2R4R b - -,c8g8
