8/8/5k2/6Np/5K1b/8/8/8 w - -,g5e4
8/6p1/1pn1kp1p/p2b3P/B3pK2/P1B1P3/1P3PP1/8 b - -,c6e5
8/4kp2/2rp4/2pR3p/P1P2p2/1P3P2/2K3PP/8 b - -,c6c8
8/8/1k6/1P3RKp/5P1P/6r1/8/8 w - -,g5h5
2b1r1k1/2q2pp1/r1pb1n1p/ppB5/4P3/P4NP1/1PQ2PBP/2R1R1K1 b - -,d6c5
r1bk1b1r/p1p2p1p/2pp1q2/8/4Pp1P/2N5/PPPP2P1/R1BQK2R w KQ -,d1f3
rnb1kbnr/pp3ppp/2p5/4p3/2P1P3/2N5/PP3PPP/R1BK1BNR w kq -,c1e3
2r3bk/7p/Q7/8/1p3q2/3p4/PP4BP/3R3K b - -,c8d8
2r1k2r/1b1pbpp1/1q2pn2/p6p/1p1pPPP1/3P1B1P/PPPBQN2/2R2RK1 b k -,h5g4
4r3/1kp4R/p1n5/1pQ2P2/4q1p1/1P2B3/PKP2P2/8 b - -,b7b8
2r5/1p3pk1/p1bR3p/P7/2PK3P/3B4/8/8 w - -,c4c5
rnbq1rk1/pp4pp/2pb1n2/3p1p2/2PP4/2N1PN1P/PP3P2/R1BQKB1R w KQ -,c4d5
r5k1/1p2q2p/2p2pp1/3r1P2/3Pp1P1/pP1nP1B1/P3Q2P/5RRK w - -,h2h4
4r1k1/p1R3pp/1p3r2/2p5/8/Pp3bP1/1P3P2/2K1Rn2 w - -,e1e8
1r2r1k1/1p3pb1/4N1p1/p4p1p/2P4P/4P1P1/P2q1PB1/3R1RK1 w - -,d1d2
1r3rk1/p6p/4pp2/n2p1p2/1bpP1P2/1PR1PNP1/P2NR2P/7K w - -,c3c2
8/8/5p2/P3nk2/7p/1P2Q1r1/8/7K w - -,e3f2
1rbq1rk1/1pn2pbp/p2p1np1/2pP4/P3PP2/2NB1N1P/1P4P1/R1BQR1K1 w - -,a4a5
r4qk1/r1p3pp/1pP1p3/1P1p1p2/2nP4/1QB1P3/R3RPPP/6K1 w - -,f2f3
8/1q3pkp/4p1p1/1pQn4/3P4/5N1P/1P3PP1/6K1 w - -,b2b4
r1b2rk1/2qpbppp/p3p3/1p2n1Pn/3NPP2/2N1B3/PPPQ3P/1K1R1B1R b - -,e5g4
6k1/1p4b1/1p4R1/1N4np/2P1pr2/1P6/P3B1K1/8 b - -,g5f3
r2qnrk1/pp1nbppp/2p1p3/8/4P2N/5bPP/PPPN1P1K/R1B1QR2 w - -,d2f3
kr1r4/pn6/4p2p/p3Pp2/b1pq2pP/B3N1P1/2P1KP1R/R1Q4B b - -,d4e5
r4rk1/7p/pnbp1qp1/1p6/4Pp2/PP6/2BQNPPP/3RR1K1 b - -,a8d8
r2qk2r/pp1nppbp/2pp1np1/3P4/2P5/2N1BPP1/PP1Q1P1P/R3KB1R b KQkq -,e8g8
4r3/p1rq1pk1/1p2p1p1/3bR3/2pP1P2/2P5/PPB1Q1P1/4R1K1 w - -,f4f5
R3b1k1/6pp/3N4/1p6/6P1/2P4P/4r3/7K b - -,g8f8
r3r3/pp1n1p1k/1qp1p2P/6Q1/2PP4/8/PP3P2/1K1RR3 b - -,e8g8
5r2/p1p1n3/1p1p2k1/3P1Rp1/2PKB1P1/8/PP6/8 b - -,e7g8
1r2r1k1/q4ppp/p2p1b2/3B4/1P2p1P1/2R2N1P/Q4P1B/R5K1 w - -,c3a3
r4rk1/pn1b2bp/1p1p2qn/2pPpp2/1PP2P2/PQ4PP/1B1NN1B1/R3R1K1 w - -,d2f1
5qr1/2p3pk/3p1R1p/p1p2P2/4P1RQ/1PP4P/P7/7K b - -,g7f6
8/p2b1k2/2pPpn2/1pP2p2/1P3P2/P1B5/2B1R1K1/7r b - -,h1h4
2r1nrk1/1p4pp/1qppb3/1P2p3/2P5/3RN1P1/1Q2PPBP/5RK1 w - -,d3b3
r1b1k2r/1p1nbppp/4p3/2Pq4/1p6/2P2N2/PB1N1PPP/R2QK2R w KQkq -,c3b4
8/2n5/p4k2/P1Np4/1P1K4/2P5/8/8 w - -,c5a6
r2r4/1pp1n1bk/2n2p2/p6q/2PpP1p1/6P1/PB3PBN/1RQR2K1 w - -,b2a3
8/8/pp6/1bN2k1p/1P6/6K1/1P6/8 w - -,c5b7
8/1b6/pp3k1p/4R3/5PP1/6K1/P5P1/8 w - -,e5e8
1nr3rk/1q3ppp/4pn2/QP1p4/p2N1b2/5P2/P3B1PP/1RR3BK w - -,c1c8
r4rk1/q2bppb1/p2p1np1/1p4B1/2nNP3/2N2B2/PPP3PP/2QR1RK1 w - -,g1h1
rnq2rk1/1b2pp1p/p2p1npN/1p5P/4P3/2N2P2/PPPQ2P1/R3KB1R b KQ -,g8g7
1r4k1/1B1b1pp1/4p3/4P2p/rRp2P2/8/6PP/2R3K1 w - -,b4a4
8/kp6/p1b2N2/3pp3/2pP4/P1P2R1P/1Pr5/7K w - -,h1g1
5rk1/1p5p/p1p1nnrb/2Pp1pp1/1P1Pp3/2B1P1PP/1PN2PBK/R6R b - -,h6g7
8/1pprkp2/p5p1/P1RPK3/7P/1P6/5P2/8 b - -,f7f6
r4rk1/1p1bq1np/n1Pp2p1/4pp2/1PP1P2N/6P1/3NBP1P/1R1QR1K1 b - -,b7c6
r1b1k2r/pp1n1ppp/2p3n1/3p2B1/1b1P4/2NB2q1/PPP1NPPP/2KR3R w kq -,e2g3
r2b1rk1/2p3pp/2np2q1/1p2p2n/1P2N1bP/P2PPNP1/3BQ1B1/2KR1R2 w - -,d2e1
3rr1k1/pp3pp1/2p4p/3p2q1/3PP1b1/P2Q2N1/1P4PP/R3R1K1 b - -,d5e4
8/3k4/2p2K2/4P3/8/8/3R4/6r1 b - -,d7e8
8/2p2kp1/1n2pp1p/1P1pP2P/3P2P1/3BKP2/8/8 b - -,f7e7
8/p3k1r1/2Pq1p2/3B1Q2/7P/7K/P4P2/8 w - -,h4h5
8/1pk4p/2r3p1/2n1p3/4P1PP/P1R2PK1/8/8 w - -,c3e3
4r3/3R2Pk/5B2/4p2p/3pK3/5P2/8/8 w - -,f6e5
rnbq1rk1/p3ppbp/2p3p1/1p2P3/3P4/2PB1N2/P1P3PP/R1BQ1RK1 w - -,a2a4
2r2r1k/1p4pp/p2p3q/3N1bb1/P1BQp3/2P5/1P3PPP/R3R1K1 w - -,d5e3
2N5/3n1pkp/2b1p1p1/pp6/3bPP2/BP4P1/6BP/4K3 w - -,a3d6
5k2/pn2bppp/1p2p3/8/1P6/P3PN2/1B3PPP/6K1 w - -,g1f1
4k3/8/4K3/5P2/5B2/2b5/8/8 b - -,c3d4
3r1rk1/1p1qbppp/p1n5/4n3/P1pPBB2/2N4b/1P2N1P1/R2Q1RK1 b - -,d7g4
r1r3k1/pp1qppb1/2np1npp/8/2P1P3/1PN5/P1NB1PPP/R2Q1RK1 b - -,e7e6
6r1/1p5k/p3p2p/1b1p3P/3P2P1/P3B3/2P4R/4K3 w - -,h2g2
r1r3k1/1q1n1ppp/p2ppb2/1p6/2PN4/1P4P1/PB2PP1P/1QRR2K1 w - -,c4b5
8/6kp/3pQ1p1/2p5/2P2qnb/PrN5/1P4PP/1R3B1K w - -,g2g3
3k4/1R1b4/r1Rp2pp/rNpP1p2/P1P1pbP1/7P/5PK1/3B4 w - -,c6c7
2r2k1r/1p1qbpp1/4p2p/1n1pP3/pP1P2N1/P2Q3P/3B1PP1/2R1R1K1 b - -,c8c1
8/6kp/3K2p1/5rP1/4RP2/7P/8/8 b - -,h7h5
2r3k1/1p4p1/p3qpQp/8/2n1P3/P1B4P/1P3PPK/3R4 w - -,f2f4
8/5p1p/1P1k2p1/2p2p2/1K6/7P/5PP1/8 w - -,b4b5
r4k2/ppp3pp/2n5/8/2BbN3/8/PPP2rPP/2KR3R b - -,f2f4
8/1p6/p5Bk/Pb1Pp3/8/6PP/2P4K/8 w - -,g6e4
r1bq1rk1/pp1n1ppp/5n2/3p2B1/3PpN2/2P3P1/P3PPBP/R2Q1RK1 b - -,h7h6
5k2/5p2/5Pp1/6Pp/1r3P2/1P3R2/5K2/8 w - -,f2e2
3b4/1p3pk1/p1r1p2p/3p4/P2P2P1/1KP1R1P1/2P1B1P1/8 w - -,c3c4
8/2prnkp1/1p3p1p/3q3P/Q7/P1B5/5PP1/4R1K1 b - -,b6b5
8/8/6p1/8/3KN2p/8/6k1/8 w - -,d4e3
r2qk2r/1bpnbppp/4p3/pp6/3Pp3/2P3P1/PP1N1PBP/R1BQR1K1 b kq -,d7f6
3Q4/p4pkp/6p1/Pr2q3/8/6P1/3R2KP/8 w - -,a5a6
4r3/6k1/pp2p1p1/8/2P5/4R3/PP1rR2P/7K b - -,d2e2
r6r/2q1k1pp/p7/2n1pQ2/6P1/4P3/P1P3KP/1R5R b - -,c7c6
8/1B1bBk2/3p2p1/7p/2K1P2P/6b1/6P1/8 w - -,e7g5
3q2k1/5p2/pp4p1/3p4/7P/4KP2/PP4P1/2R4R b - -,d8e8
3n1r1k/3qb1p1/3p3p/1p1Bpp2/1P5P/3PP1P1/2QB1P1K/1R6 b - -,d8e6
