8/2k5/2p5/3p3P/4r1P1/3Q1K2/4B3/q7 b - -,a1f6
rnbqk2r/pp3pp1/2pb1n1p/3pp3/4P3/1B1P1N2/PPPN1PPP/R1BQK2R w KQkq -,c2c3
7k/2p1Np1p/1p4p1/3P4/2p1P1PB/2b2B2/3r1PKP/r6R b - -,a1h1
7k/3RR3/8/3K4/8/1P5P/8/q7 b - -,a1a5
2rr2k1/pb3ppp/1q6/2Pp4/8/6P1/P2QPPBP/2RR2K1 b - -,c8c5
1r2r1k1/2pb1qp1/p2p3p/1P1P1p2/4pN1P/2N1PnP1/PP3P2/1KRR3Q b - -,d7b5
4r2k/8/4r2p/1P1QP2q/p1P3p1/6P1/1P2R1K1/7R b - -,h5g6
r2qrbk1/1b3ppp/p2p1n2/1pp5/P3P3/1QP2N2/1P1N1PPP/R1B1R1K1 w - -,a4b5
r3r1k1/p4pb1/1qp3p1/2B1pnPp/4N2P/2P2P2/PP6/1K1RQ2R b - -,b6b5
r6r/pp1b1k1q/2nBpp2/3p4/2pP4/P1P4N/4Q1PP/R1R3K1 w - -,c1f1
4qbk1/p4p2/1p4p1/5p1p/5Q1P/PBP2PP1/1P6/1K1Rr3 w - -,d1e1
3r1k2/ppp1r1b1/b3p1B1/3P3Q/6NP/5qP1/5P2/3RR1K1 w - -,h5g5
1r3k2/5pp1/p1p2n1p/8/PPR5/4NP1P/5P2/6K1 b - -,f6d5
r2r2k1/pbq1bppp/1pn1p3/4P3/1nB1Q3/P4N2/1P3PPP/R1B1RNK1 w - -,c1g5
8/pbbnkppp/1p2p3/4P3/2BP4/3R1P1P/P4KP1/4B3 w - -,e1b4
4r3/b2k2p1/p1pP1p2/4Pq1r/1P2QBP1/P1N5/2K5/4R3 b - -,f5g4
2r1rbk1/p4ppp/bqnp1n2/4p3/P1pPP3/B1P2NNP/B1Q2PP1/3RR1K1 w - -,d4d5
r1b2k2/2p1r1b1/ppp1nNp1/7p/4N3/2P1BP2/PP4PP/3RR1K1 b - -,c8b7
8/7r/3pP3/2pk1p1p/8/1P3KPP/P1R5/8 w - -,c2e2
8/5p1p/6p1/5k2/2R5/2P5/r5PK/8 b - -,h7h5
2rrb1k1/pp4p1/1q2p1np/3pPp2/1P3P2/P1PBN1QR/6PP/R6K w - -,a1c1
r4rk1/pb2q1bp/1pn5/2p2p2/N1PpP3/PP3N2/4BPPP/1R1Q1RK1 b - -,f5e4
r2qkb1r/pp1bpp1p/5np1/n2p4/2PP4/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,d5c4
2r2bk1/pn1q2p1/Q3p2p/3pPp2/1p1P1N1P/1Pr1B1P1/PR3PK1/7R b - -,b7d8
r1b2rk1/q2nbppp/pp2pn2/3p4/1P1P1B2/2NBPN2/P1Q2PPP/1RR3K1 w - -,f3e5
r6r/4kb2/pqnn1p1p/bpp1pPp1/2PpP1PP/1P1P1BN1/P2B2K1/2RQN2R b - -,c6b4
8/3Q4/2Pk4/5p1p/4p3/6P1/6K1/4q3 b - -,d6c5
8/5p2/8/8/8/5k2/8/6K1 b - -,f7f5
1r2r2k/5Qpp/pB1b4/1q1N2P1/2p2P1K/3b4/4n1BP/R3R3 b - -,e8f8
2r2k2/4b3/4ppBq/pp1b3P/8/P1P5/NP6/1K3RQ1 w - -,g1a7
8/1p5R/p3kBp1/3p2P1/P2P4/2KPr1n1/1P6/8 b - -,g3e4
rn1qkb1r/pp3ppp/2p1p3/3n1b2/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,f8e7
rn3rk1/1p2ppbp/1p2bnp1/3p4/3P4/2N1PN2/PP2BPPP/R1B2RK1 w - -,c1d2
r3r3/Rpq3k1/4pp2/1PPp1bpp/1Q1P4/5N1P/P4PP1/4R1K1 b - -,a8a7
8/p1r5/R1pp2P1/3p1k2/1P3N1p/P2B2P1/3K1P2/r7 b - -,f5g4
r1q2rk1/pp3pbp/1np1p1p1/2Nn2B1/3PP3/1Q3N2/PP3PPP/R4RK1 b - -,d5f6
r4rk1/4q1p1/pbp1p2p/1p1nPp2/P6P/2P2QP1/1PB2P2/R1BR2K1 w - -,b2b3
4r2k/1p5p/2p3p1/p1P5/P5P1/8/b3BP1P/1R4K1 w - -,b1b2
r5k1/1p1q2p1/p1p2p2/8/5Q2/1PN4P/1Pb2PP1/4R1K1 w - -,b3b4
r4rk1/3bbppp/pp1ppn2/8/1PqNPP2/P1N1B3/6PP/2RQ1RK1 w - -,c3b1
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1P2/4P3/PPP1B1PP/RNBQK1NR w KQkq -,g1f3
4qrk1/2r1bppp/pNN1pn2/8/1pQ5/6P1/PP2PPbP/2R1K2R w K -,c6e7
1n1rr1k1/ppp2q1p/6pb/1P2p2n/PBP1P1b1/1N4PB/2Q2P1K/R3NR2 b - -,h5f6
2r4k/1b3pbp/1q1ppnp1/p7/PpBPPN1P/1P3PP1/1B1Q2K1/4R3 b - h3,b7a6
rnbq1rk1/pp3ppp/4pn2/2pp4/1bPP4/P1N1P3/1PQB1PPP/R3KBNR b KQ -,b4c3
4nkr1/3R4/p4pr1/1p2p2Q/8/q3B1P1/P4P1P/6K1 w - -,e3h6
6k1/1pR2pb1/p3p3/1r2P3/5p2/1P4P1/P2B4/5K2 w - -,g3f4
4r1k1/R7/7p/8/Pp1N1K2/1P2P2P/5r2/8 w - -,f4g3
rnbqr1k1/pp2bpp1/2p2n1p/3p4/3P1B2/2NBPN1P/PP3PP1/R2QK2R b KQ -,b8d7
r2q1rk1/pbpp2pp/1p2p3/2nP4/2PPB3/P4P2/6PP/R1BQ1RK1 b - -,e6d5
2rr4/pp3k1p/2p1b1p1/2p1np2/2P2N1P/1PK1PP2/P3BP2/3R2R1 b - -,f7f6
r4rk1/2qbb1pp/1n2pp2/2pp1N2/p4P2/1P1P1NQ1/PBP3PP/4RR1K b - -,e6f5
r4rk1/2p2q1p/1n3pp1/1Q6/2p5/1PP2NP1/P3RPP1/R5K1 w - -,a1e1
rn2kb1r/3p1ppp/pq1np3/3P4/1p2N3/1P1Q2P1/2P1NPKP/R1B2R2 b kq -,d6e4
2b2rk1/1p3p1p/rNnpp1p1/p7/1bP1BP2/1P2B1P1/1P2P2P/R2R2K1 w - -,g1f2
rnbqkb1r/pppp2p1/5n1p/4p3/2P1p1P1/2NP4/PP3P1P/R1BQKBNR w KQkq -,g4g5
r1br4/ppk4p/2n1P3/3B3p/2P2Pn1/BP6/P7/2KRR3 b - -,d8e8
8/p3k3/4p3/1pP4p/3p4/3PbnP1/P3R1K1/7R b - -,f3e5
3r4/2r1k3/3pp3/1p3p1p/P2R1P2/1P3KPP/8/3R4 w - -,d4b4
7R/8/r1p4p/p1P1B1R1/4P3/7k/K7/8 b - -,h3h4
rn1qkbnr/pp3ppb/2p1p2p/7P/3P4/3B1NN1/PPP2PP1/R1BQK2R b KQkq -,h7d3
r1q5/p5kp/1pnr1pp1/2p1p3/P1P1PPbP/R2PQ1P1/5RBK/4N3 b - -,c8d7
3r4/5pkQ/ppb5/2b4p/Pn1p2P1/5PqP/1PB5/3R1R1K b - -,g7f8
r1bqk2r/1pp1bpp1/p1n1pn1p/3p4/3P1B2/2PBPN1P/PP1N1PP1/R2QK2R b KQkq -,e8g8
8/1R4pk/p4p2/P6p/3rP2P/6P1/1pr2PK1/1R6 b - -,d4d2:d4e4
r1b2rk1/pp3ppp/2n1p1B1/3pP1B1/q1pP1PQ1/P1P5/2P1N1PP/R4RK1 b - -,f7g6
2b3k1/R4r1p/1p5r/3p1p2/2qN1Pp1/4P1P1/1Q3KP1/8 w - -,a7a8
8/6p1/2B1n2p/3pk3/8/2BK1P2/5b2/8 b - -,d5d4
4qk2/p5p1/7p/2p2p2/2Pp1P2/P2P2P1/3Q1K1P/8 b - -,f8f7
r4rk1/pb3pqp/1pn1pnp1/1B4N1/7Q/2P2N2/PP3PPP/3R1RK1 w - -,b5c6
1r1q1rk1/pp1bppbp/6p1/2p1n3/8/1PN3P1/PB1QPPBP/R2R2K1 w - -,f2f4
1r3k2/p2R1p2/2p1r1pp/Npb1p3/4P3/2P4P/PP3PP1/3R1K2 b - -,c5b6
r1bq1rk1/1p3ppp/n4b2/p2P4/2p1PB2/2Nn2PP/PP1QN1B1/1R3RK1 b - -,a6c5
3b3k/ppp3pp/6q1/8/1P2NPb1/P7/1B3PP1/R3R1K1 b - -,h7h5
r3bk2/2q2p1Q/4ppBp/8/2PR1P2/7P/pr4P1/3R2K1 w - -,h7h8
8/8/8/1pp1kpp1/8/2P1K3/1P3PP1/8 w - f6,g2g3
r2q1rk1/ppp1npbp/3p1np1/3P4/5N2/3PP1P1/PP4BP/R1BQ1RK1 b - -,c7c6
r2r4/1p2kp2/2pp1np1/P3p2p/1PP1P3/4NP1P/3R2P1/3R2K1 w - -,g2g3
r1bqk2r/1p2bppp/p3pn2/4n1B1/8/2N2N2/PPP1B1PP/R2QK2R b KQkq -,e5f3
r1bqkbnr/1p1p1ppp/p3p3/2p5/P1BnP3/2N2N2/1PPP1PPP/R1BQK2R b KQkq a3,g8f6
rnb2rk1/pp2bppp/2p2p2/8/2B5/5N2/PPPP1PPP/R1B1R1K1 b - -,e7d6
6r1/p4p2/1p2pN1p/1k1pPn1P/2nP4/P1P5/4KP2/2B5 w - -,f6g8
8/8/1p2k3/pPp2p1n/P1Pp1Pp1/3P2P1/5KN1/8 b - -,h5f6
rn1qk2r/pb1pbppp/1p2pn2/6B1/2PP4/3B1N2/PP3PPP/RN1Q1RK1 b kq c3,d7d5
q4rk1/5ppp/bQ1ppn2/p7/2Pp4/2P3P1/3NPP1P/2B2RK1 w - -,c3d4
r1bqkb1r/5p1p/p1np1np1/1p2p3/P3P3/2N1NB2/1PP2PPP/R1BQ1RK1 b kq a3,b5b4
2r5/1p2kp2/1Pp1npp1/p3p3/2P5/2N3P1/P1P2P1P/3R2K1 b - -,f6f5
6k1/2R2p2/1r1p2p1/2nP3p/rP1R4/5P2/BK4PP/8 b - -,c5a6
r4rk1/p1qnppbp/2pp1np1/1p6/3PP3/2N1BB1P/PPPQ1PP1/3R1RK1 w - b6,f1e1
