8/1pR2pk1/1P5p/6r1/1R6/8/7K/5r2 b - -,f1f5
1r2nr1k/1p1q2bp/p2P1pp1/4p3/8/1PN1Q1P1/P3PPBP/2RR2K1 w - -,e3b6
8/5pk1/3p1n2/2pPq2p/1r2P1pP/5P2/1P1Q2P1/3NR1K1 b - -,g7g6
2kq3r/pp1b1p2/4p3/nP1pP1p1/3P4/P2BB3/5PP1/R1Q3K1 b - -,c8b8
r2q1rk1/pppnbppp/3p1n2/8/2PQ1P2/2N3P1/PP3PBP/R1B2RK1 b - -,c7c6
2k3r1/pb1n1p2/3p4/1ppPqN2/2P5/P1PBnQ1R/1K1R2P1/8 b - -,e3f5
rn1q1rk1/pp3ppp/2ppbn2/8/2Pp4/1PN1P1P1/P2Q1PBP/R3K1NR w KQ -,d2d4
r3r1k1/p3qp1p/2ppn3/1p3pP1/4PnR1/2N1Q3/PPP2P1P/1K1R4 w - -,e4f5
2r2rk1/np2bpp1/q3p2p/1b1pP3/p2P3P/2BB1NP1/PP1Q1P2/R2R2K1 w - -,d2e3
2b1rr1k/6pp/p2p4/1p1Nn1b1/3BPN2/P6B/1PP5/5Q1K b - -,g5f4
r5k1/5ppp/p2R4/1p4PP/2p5/8/PP2rP2/1K1R4 b - -,g8f8
r1bqkb1r/1pp1ppp1/p1np3p/4P3/2B2B2/2P2N1P/PPP2PP1/R2QK2R b KQkq -,c8f5
7k/1r6/1P3PK1/2R3P1/7P/8/8/8 b - -,b7b8
r2q1r2/p3ppkp/2pp2p1/3nP3/P1pP2b1/2N2N2/1PPQ1PPP/R3R1K1 w - -,f3g5
r2qr2k/6pp/2nb1n2/pppp4/7P/2PP1NPQ/PP1N1P2/R1B1R1K1 b - -,e8e1
r3kb1r/1b1nqp1p/pp1ppp2/7Q/2PNPP2/2N5/PP4PP/R3KB1R b KQkq f3,e8c8
r5k1/pp2rpp1/1qp1b2p/4P3/3pPPn1/3B4/PPQ3PP/3NRRK1 w - -,b2b3
5b1r/2q1kppp/pr2b3/2pBN3/1pP5/1R6/P4PPP/3QR1K1 w - -,d1f3
3r2k1/1b3p2/p4npp/1p6/8/P3B2P/1P2BPP1/3R2K1 b - -,d8d1
r3r3/p2k2p1/1bp2pQp/2q2P2/5R1B/3p4/P5PP/R6K w - -,g6g7
r1bk2nr/pp4pp/2p2p2/2n1p3/2P1P3/2N2N2/PP2BPPP/R3K2R b KQ -,a7a5
r3r1k1/1p1q1ppp/p2p1n2/2p1n3/1bb1PB2/2N2P2/PPB1N1PP/R1QR2K1 w - -,a2a3
2b5/5k2/3pP1p1/2p4p/3r1P1Q/7P/6B1/7K b - -,c8e6
rn1qkb1r/pp3ppp/2p1pnb1/8/2BP1N2/6N1/PPP2PPP/R1BQK2R b KQkq -,f8d6
r4rk1/1q1pb1p1/1p2p2p/pP2Pp2/Rn1P4/1Q2BN2/1P3PPP/2R3K1 w - -,e3d2
r6r/1pp1kp2/3p2qp/2nPpR2/p1P1P3/P3Q2P/1PB2PPK/4R3 b - -,h8h7
3k4/R7/5pnp/2p1p1p1/1pB1P1P1/1Pr1P3/P2K3P/8 w - -,a7f7
2kr3r/ppp1b1pp/2n2p2/2q1p2b/P1B5/2PPQN1P/2P2PP1/R1B1R1K1 w - -,e3e4
r2q1rk1/pppn1ppp/3b2n1/3P2N1/3P1p2/2NQ4/PPP3PP/R1B2RK1 w - -,d3f5
r1bq1rk1/1p3ppp/p1pb1n2/8/3B4/6P1/PP2PPBP/RNQ2RK1 w - -,f1d1
r1bq1rk1/pp2npbp/2pp2p1/4p3/2PnP3/2NPB1P1/PP1QNPBP/R4RK1 b - -,c8g4
r2q1rk1/pbp3pp/1p1bpn2/3pNp2/3PnP2/1P1BPN2/PBP1Q1PP/R4RK1 b - -,c7c5
2kr1b1r/pppq1pp1/2n1p3/3n3p/2QP4/2N3P1/PP2PPBP/R1BR2K1 b - -,h5h4
4nrk1/2r3bp/Bpn1p3/2qpP3/P4PPP/8/1PN3K1/R2Q1R2 b - -,c7f7
4r1k1/Bp3p2/2p5/5b1p/5n2/1P3P1P/P2RB1P1/7K w - -,e2f1
8/2p2p2/2kp1b2/p1p2Bp1/8/PbP1BPP1/1P1K4/8 b - -,d6d5
8/4kp2/4r3/ppr5/6R1/1KPB3P/P1P3P1/8 b - -,e6e1
6k1/1p2rpbp/pQnp2p1/1qp5/8/2P1NN1P/PP3PP1/R5K1 w - -,b6b5
3r2k1/2q1b1pp/p4p2/1p2p3/4Q1P1/P2b3P/1PP5/1KN1R3 w - -,c1d3
8/7r/p1PN2p1/3K4/1P3k2/8/8/8 b - -,g6g5
r1b1k2r/2qpbppp/p3pn2/8/NpP2P2/3BB3/P5PP/R2Q1RK1 w kq -,a1c1
r2r2k1/pp1b1ppp/2pbp2q/2P5/3PB3/1P4P1/PBQ2P1P/R4RK1 b - -,d6e7
1r6/2q2pk1/6pp/rp1B4/3p4/1Q1PP1P1/5P1P/R5K1 w - -,a1a5
1r6/8/pp1k2p1/3P1p1p/1p1n1P1P/P1N3P1/5K2/4R3 w - -,a3b4
8/4kp2/5p2/p2p4/r2P2K1/2R1P1P1/5P2/8 w - -,c3c7
8/8/2kp2R1/1p1b4/1P1K4/2P5/6p1/8 w - -,c3c4
8/p2k4/1p1n3p/3B1pb1/PP3BP1/5K1P/8/8 w - -,g4f5
r2q1rk1/pb3ppp/2pb1n2/8/1p1NP1n1/2N3P1/PPQ1BP1P/R1B2RK1 w - -,d4f5
3q3k/2pB1Q1p/bp3bp1/p3pp2/8/P1P1PPBP/1P4P1/6K1 w - -,b2b3
r1bqk1nr/2pnppbp/p2p2p1/8/Pp1PP3/4BN2/1PPQNPPP/R3KB1R b KQkq -,a8b8
5rk1/5ppp/p2bpn2/1p1p4/3P4/P1N1PB1P/1P4P1/1Rr3K1 w - -,b1c1
2r3k1/p5pp/1pn2p2/8/3rR3/BP1p1nP1/P2N1PKP/3R4 b - -,d4e4
2r2rk1/pq3ppp/1pn1p3/PQpp2Nn/3P4/2P1P3/1P1N1PPP/R4RK1 b - -,b7e7
r4rk1/2nq1pp1/4b2p/p1ppQ3/5N2/P1PB2RP/1P3PP1/R5K1 b - -,c7e8
2r4k/p2qpprp/3p4/1p2nP2/2P5/1P5P/P2Q2B1/3R1R1K b - -,c8g8
4k3/7p/2pPn1p1/1p2P3/1P5K/4B3/7P/8 w - -,h4g4
2r1r3/pp3ppp/2n2k2/3p4/3P1bb1/1P3N2/1P3PPP/1B1RRNK1 w - -,f1e3
r2rk3/4n1Q1/P1n4p/2qp3P/1p1P4/3B2P1/5P2/4R1K1 w - -,d4c5
1r2k2r/2q2pbp/p1ppb1pn/4P3/2N1P3/5NBP/PPQ2PP1/R4RK1 b k -,e6c4
1b2Q1k1/7p/p2q1p2/8/2pP4/4P1P1/1B5P/6K1 b - -,g8g7
4r1k1/4r1b1/3pR1pp/pp1P4/3PpQ2/1P1q2P1/PB5P/2R4K w - -,c1e1
8/8/6p1/5k2/2q5/1pP5/1K5Q/8 w - -,h2f2
r1br2k1/4qp1p/1pp1n1p1/p1b1p3/4P2N/2P1N1P1/PP2QPBP/1R2R1K1 w - -,b1d1
r1bqr1k1/pp2bp1p/2p1nnp1/3p2B1/3P4/2NBPN1P/PPQ2PP1/2R2RK1 w - -,g5h6
r1b1k2r/1pqn1ppp/p3p3/3pPn2/1b3P2/2N1B3/PPPQN1PP/2KR1B1R w kq -,e3g1
2kr1b1r/1p5p/2n2p1n/5bpq/Q1Bp1B2/5N1P/PP3PP1/2R1R1K1 b - -,g5f4
r3r1k1/2qb1pp1/p6p/1p6/3N3b/1PP1BQ2/1P3PPP/R3R1K1 w - -,d4f5
4k3/4Np2/p7/3pQ1P1/4PB1p/8/P4K2/2q5 b - -,c1c2
1B6/7p/3n2p1/3kpp2/7P/3K2P1/5P2/8 w - -,d3e3
5rk1/pp3ppp/q7/b2pPp2/P1bP4/2B1PN2/6PP/1R1QR2K b - -,a5c3
1r6/5nkp/1pbr4/p1pNpPp1/P1P1P2q/1R5P/1Q4B1/5RK1 w - -,f5f6
2R5/1p1bpk1p/1p1p1np1/3P1p2/1P1N4/P3P1P1/5PBP/6K1 b - -,d7c8
r3k2r/ppp2pp1/2p2q1p/8/1b2P1b1/1NN5/PPPQ1PPP/R3K2R b KQkq -,a7a5
3k3Q/2p2r2/1p4p1/p1p5/2P2PNP/1P5K/P7/6q1 b - -,d8e7
r2q1rk1/1p3pbp/3pbnp1/p1p5/PnP5/1QN2NPP/1P2PPB1/R1B2RK1 w - -,f3g5
2rr2k1/pq1nppbp/1p4p1/2pp1n2/3P1PP1/BPPQPN2/P1RN3P/2R3K1 b - g3,f5d6
1r1k4/4bp2/3p1p2/1q1PpP2/p1R1N1P1/7P/K1Q5/8 w - -,g4g5
2r2rk1/pp1bnpp1/3q3p/3PN3/8/1B6/P2Q1PPP/3RR1K1 b - -,d7b5
r3r1k1/1pp2ppp/pbn2nq1/4p3/PP2P3/BBP2N1P/2Q2PP1/R3R1K1 w - -,a1d1
r1bq1rk1/pp2n1bp/2np2p1/2p1pp2/4P3/2PPB1P1/PP1QNPBP/R2N1RK1 b - -,c8e6
1rbq1rk1/1p3pbp/p2p2p1/2pP4/P1B5/2N1P1P1/1PQ2PP1/R3K2R b KQ -,c8f5
r4q2/p1kb3r/1p1p1p2/n1pPpPp1/2P3Pp/R1PB1P1P/P3RB1K/2Q5 b - -,c7d8
8/1p2P3/pkrQ4/3p4/3Pq3/1K6/PP2B3/8 w - -,d6d8
r2b1rk1/3qn1pp/4b3/N2pPp2/PPp2P2/8/3B2PP/2RBQR1K b - b3,d8a5
