3R4/4r3/3k4/5B2/4PK2/r4P2/8/8 b - -,d6c5
qr4k1/p4p1p/Q3p3/1n4p1/6P1/3R1N2/5PKP/8 b - -,a8e4
3r2k1/pR3p1p/4p1p1/q7/P1Pb4/8/3RQPPP/6K1 b - -,a5a4
3r1rk1/P5b1/7p/2qn4/1p1pQ3/7N/1P4PP/R1BR2K1 w - -,e4e6
3q1Q2/6r1/3p2pk/2pNp1b1/1p2P1Pp/1P1P1P2/1P4K1/R7 w - -,f8d8
r4rk1/1p3ppp/3pb3/4p1b1/pqP1Pn2/N1N2P2/PP2QBPP/1R2R1K1 w - -,e2f1
3rk2r/p1b2pp1/2p1pq1p/1pPn4/3P1PP1/P2NB3/KP1Q3P/3R3R w k -,d3b4
2rqk2r/1p2p3/5pp1/p1pP3p/P1P1N3/4P2P/5PPB/QR4K1 w k -,b1b7
5k2/5p2/1b2p2p/3pP1p1/6P1/1N5P/n6B/5K2 w - -,h2g1
r1b1r1k1/1p2bp1p/p1pp1npq/4n3/2P2N1P/1P2PNP1/PBQ2PB1/R3R1K1 b - -,f6g4
4rb2/p2rqpkp/2p2np1/4p3/N3P3/1PP1QBP1/P6P/2R2RK1 w - -,c1c2
B1rr2k1/2p5/1p2pbQp/7P/1p1P2p1/1P4P1/P2q1P2/2R1R1K1 b - -,f6g7
r1bqk1nr/pp1pppbp/2n3p1/1B6/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,c3d4
r3qrk1/pp1nb1pp/2p1b3/3npp2/8/2NP1NP1/PP2PPBP/R1RQB1K1 w - -,e2e4
r3rbk1/4npp1/p2pBq1p/1pp1p3/4P3/2PPNN1P/PP3PP1/R2QR1K1 b - -,f7e6
2r2rk1/pb1qnpbp/1p1pp1p1/1Pp5/2P1P3/P1NP2P1/2Q2PBP/1RB2RK1 w - -,c1f4
5rk1/p1r3pp/3p4/3p4/1P2Bb2/P2K4/1B5P/R6R b - -,d5e4
rn1qk2r/pp1bnpbp/3pp1p1/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
4r1k1/R4p1p/1n4pB/8/P2N2P1/5P2/7b/5K2 w - -,a4a5
6k1/1P3q1p/6p1/2p1b3/8/1Q2R2P/8/3r1BK1 b - -,d1f1
q1rb1nk1/4rppp/pp1p1n2/2pPp3/1PP1P3/P1NBB2P/5PP1/1RRQ2K1 w - -,b1b2
8/8/5k2/5pp1/r7/p2K4/4R2P/8 w - -,e2a2
4B3/p4R2/1n4pk/8/3r4/P3p2P/5PP1/5K2 w - -,f2e3
Q4bk1/5p2/2n1qp2/p6p/8/1P2N1P1/P2N1PKP/8 w - h6,a8a6
8/6k1/pR6/1p2p2P/4B3/5PK1/r5P1/5b2 w - -,h5h6
r2r2k1/1b2qppp/p1p2n2/1p6/P3PP2/2bBB2P/1PQ3P1/R4RK1 w - -,b2c3
2rr2k1/pb1qppbp/1pn3p1/8/2NP1B2/4PB2/P4PPP/2RQ1RK1 w - -,f3g4
8/7p/2R1nk1P/1p2qpp1/1P1p4/5QP1/5PK1/8 b - -,g5g4
8/1B2r3/1p3k1p/1P1N1pp1/8/6P1/2n1PK1P/8 b - -,f6e6
4q1k1/1br2pn1/1p4p1/pP1p2N1/2pPrPP1/2P1P3/5KR1/1QBR4 b - -,c7e7
2r4k/r4p2/pn5p/1p3p2/2p5/1P3R1P/P4PP1/4Q1K1 w - -,e1e5
3n4/p3kp1p/1p2p3/1Nr2p2/5P2/2P3P1/P1P4P/2KR4 w - -,b5a7
r1r2k2/3b1p1p/pp2p1p1/3pP3/3N1P2/2RPKR2/PP4PP/8 b - -,b6b5
2r1bk2/pR1n4/1b1R1pp1/7p/1P6/P4P1P/6P1/7K w - -,d6d1
r2q1rk1/pp2ppbp/1np3p1/4n3/2PP4/4B3/PP1NQPPP/3R1RK1 w - -,d4e5
r1r3k1/3n1p2/p1p2R1p/4p1pq/2Q3RP/3P4/P2BP1B1/6K1 w - -,h4g5
8/3N2kp/p3npp1/1pP2p2/1P3P2/6P1/2P4P/1K6 w - -,b1b2
2k3r1/pp3p2/2n1r3/8/2pP4/P1P2KBp/1R5P/7R w - -,b2e2
3r2k1/5pp1/R3p2p/1N3n2/P2P4/1B3P2/1b4PP/5K2 w - -,a4a5
r2q1b1r/pp1nnkp1/4p1p1/3p2Pp/3P3P/2NBP3/PPQ2P2/R1B1K2R w KQ -,e3e4
2k4r/2p1bppp/p1p4n/4P3/4NP2/4B3/PP2KP1P/2R5 b - -,c8d7
8/8/8/3B4/8/N1K5/8/1k6 b - -,b1c1
r1bq1rk1/p1p1bppp/1npp4/8/2B1PB2/2N5/PPP2PPP/R2QR1K1 w - -,c4d3
rn1q1rk1/p2pbppp/1p6/3NP3/2b5/5N2/PP3PPP/R1BQR1K1 b - -,b8c6
1nrr2k1/qb3pp1/p1pbp2p/P1N5/1B1P4/1P2PBP1/2Q2P1P/R1R3K1 b - -,b7a8
r1b2rk1/p2n1pp1/3p1n1p/qppPp3/2P4B/2P1PP2/P1QN2PP/R3KB1R w KQ b6,e3e4
2bqk2r/r2pnpbp/p3p1p1/1pp5/3nPP2/P1NP1N2/BPP3PP/R1BQ1RK1 b k -,d7d5
8/pp2bk1p/1n3pp1/1P6/P4P1P/2N2NP1/r4PK1/3R4 b - -,a2a3
8/3k2pp/5p2/p1P1pP2/bp2P3/8/P1P2KPP/4N3 w - -,f2e3
r2qk2r/pp1nbppp/2p1pn2/3p4/6b1/1P1P1NP1/P1PNPPBP/R1BQ1RK1 w kq -,c1b2
8/kp5q/2p1Bb2/p2p2p1/P2P1p2/2P2P2/KP6/3Q4 w - -,e6g4
8/8/4R3/2p2n2/2p5/2Pk4/P7/7K w - -,a2a4
8/5kp1/p4p1p/1p6/4pPPP/3bQ1K1/q7/3R4 w - -,g4g5
3Rnk2/2r3b1/p4pp1/1p1Pp1Bp/1P5P/P5PB/2P2P2/6K1 w - -,d5d6
6k1/4b3/p2p2p1/n1p1p3/P3p2p/B1PP4/5P2/1B3NK1 w - -,d3e4
1R6/1P4k1/1r3p2/8/4p1P1/8/2K2P2/8 w - -,c2c3
r2q2k1/p2nb1pp/bpQ1pr2/3p1p1n/3P4/1P2BNP1/P2NPPBP/R4RK1 w - -,f3e5
r1b1r3/ppp3k1/5qpp/2pQ4/8/2N5/PPP2PPP/2KR3R b - -,f6f2
2r1q3/2P3pk/4r3/2Q1p2n/4p2p/B3P2P/5RP1/3R2K1 w - -,c5c4
3r1rk1/1pqb1ppp/p3pn2/2b5/P1BN4/1P3Q2/1BP2PPP/3R1RK1 w - -,h2h3
1r6/pp3kn1/4pp1p/5bp1/3P4/4PN2/Pb2BPPP/R4RK1 w - -,a1d1
3rr1k1/p3qpbp/1pp3p1/n2p4/3P3P/1P1NP1P1/P3RPB1/2R2QK1 b - -,g7d4
2rr2k1/p4ppp/1p1npqn1/8/2PP4/1Q4PP/P4Pb1/2RRNNK1 w - -,e1g2
2r2k2/pp2pp2/4qn1b/2r1NR2/3pP3/6B1/PPP1Q1P1/1KR5 w - -,c1h1
r1bqk2r/bpp2ppp/p2p1nn1/4p3/4P3/1BPP1NNP/PP3PP1/R1BQK2R b KQkq -,e8g8
1r4k1/3qppbp/5np1/npp5/8/N1PP2PP/1P2QPBK/2B2R2 w - -,c1e3
r2R1k2/pp4pp/5p2/8/2n1P3/6P1/PPR2P2/3B2K1 b - -,a8d8
1r1q1rk1/2pn2p1/1b1N3p/3Pp3/5p2/1R2P1P1/2Q2PBP/R3B1K1 b - -,c7d6
5r2/R3ppk1/6p1/1qpPP2p/5Q1P/6P1/5PK1/8 b - -,c5c4
2r5/5pk1/5np1/pp1p4/2r5/PNPR1P2/1P3K1P/3R4 w - -,b3a5
r1bq1rk1/p3pnbp/2pp2p1/2p1Pp2/5P2/2NP1N2/PPP1Q1PP/R1B2RK1 w - -,f1e1
rnb2rk1/p3ppbp/3p1np1/1p6/N2P4/6PP/PP2PPBN/R1B2RK1 b - -,c8h3
6k1/pp4P1/2p1p1Nq/5p2/8/P7/1PP1Q3/1K1r4 w - -,e2d1
5r2/1p1rp2p/pB3k2/4p2P/P1P1P1P1/1P3P2/4K3/2R5 b - -,f6g5
r1b1kb1r/pp1p1ppp/1qn1pn2/8/3p1B2/4PN2/PPP1BPPP/RNQ1K2R w KQkq -,e3d4
rnr3k1/b3qpp1/pBppb2p/P3p3/Q1P5/3P2P1/3NPPBP/1R3RK1 b - -,e6d7
4k3/1p3ppp/p1r2b2/3p4/8/PPN4P/2PR1PP1/6K1 w - -,c3d5
8/p6R/1b2k3/4pp2/P7/3K1P2/8/8 w - -,h7h5
1rb1r1k1/1pq2pbp/p2p1np1/P2Pn3/2p5/2N1P2P/1P1N1PPB/R2QRBK1 b - -,f6d7
1r6/1P4kp/5pp1/P3p3/4q2P/6Q1/6PK/1R6 w - -,b1b3
r2q1rk1/1pp1nppp/p1nbp3/8/Q1pP2b1/2N2NP1/PP2PPBP/R1BR2K1 w - -,a4c4
8/8/4kp2/5pp1/7P/6P1/4K3/8 b - -,e6e5
r2qk2r/pb1pnpb1/1p2p1p1/2p4P/3nPP2/P1NPB3/BPPQ3P/2KR2NR b kq -,h8h5
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/3B3P/PPP2PP1/RNBQK2R w KQkq -,c1e3
5bk1/p7/6qp/4p1p1/P1p1P3/1P2N1P1/2P1KR2/7R w - -,h1d1
