8/7p/8/4k1P1/1rp4P/4K1P1/1PR5/8 b - -,e5d5
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b kq -,e8g8
3rr3/k1p5/1n1p2pp/2p5/2P2P2/1PN3P1/P1K4P/3RR3 b - -,a7b7
8/7p/3k1P2/R7/1rp3P1/8/7K/8 b - -,b4b7
8/p7/8/2pr4/2n2knR/PN6/2K3P1/8 w - -,a3a4
1k1r4/1p1rbp1p/1p6/3Ppp2/8/7P/PP2BPP1/2RR2K1 w - -,e2c4
8/7p/8/8/4Rp1p/3k1P1P/6PK/1r6 b - -,b1b5
4n2r/4k1b1/p2p2p1/P1pPp1P1/1pP1P3/1P2BB2/5KN1/5q2 w - -,f2f1
r2qk2r/pp1bbppp/2p1p3/8/2BP4/2n2Q2/PPP2PPP/R1B2RK1 w kq -,b2c3
8/6k1/p4pp1/8/2B5/1P1K2Pb/P4R1P/4r3 w - -,d3d4
8/2p3k1/3p4/pp1P1bpP/8/2P5/PP3K2/3B4 w - -,f2g3
r1bq1rk1/p3p1bp/2pp2pn/2p1Pp2/5P2/2NP1N2/PPP1Q1PP/R1B2RK1 b - -,h6f7
R7/8/8/5k1p/4p2P/3r2P1/4KP2/8 b - -,d3d5
8/p1Pk1p2/8/r2B3p/6p1/6P1/5P2/4K3 w - -,d5f7
2k5/p2pqp2/1p2pR1p/2p1P1r1/2Pr4/PP3RB1/7Q/7K w - -,h2h6
7R/5k2/3bp1r1/p2p1p2/3B1P2/6p1/1P3QKP/3q4 w - -,h2g3
r1b1kb1r/1pp2ppp/8/pP6/2nB4/P3P3/5PPP/RN2KB1R b KQkq -,c8e6
r1b1kb1r/pp2pp1p/2p3pn/8/2Pq4/2NP3P/PP2BPP1/R1BQK2R b KQkq -,f7f5
r1bq1rk1/p1p1b1pp/2p5/3n1p2/3P4/5RP1/PP2P1BP/RNBQ2K1 w - -,b1c3
rn1qk2r/pp3ppp/2b1p3/8/1b1PB3/3Q1N2/PP3PPP/R1B1K2R w KQkq -,c1d2
8/5pk1/7p/8/3b4/N5pP/P4PK1/8 b - -,d4f2
5nk1/7p/b4pp1/2pP4/2P4P/3N4/2B2KP1/8 w - -,d3c5
r1b2rk1/pp1n1pp1/4pn1p/3pN3/2PP4/qP1B4/P1QN1PPP/2R2RK1 b - -,d5c4
8/4Q1k1/2P1p3/4p3/2r5/P7/3K4/7q b - -,g7h8
4r1k1/4Pp1p/r4n2/1qp5/1p6/5Q2/PP2NPPP/R3K2R w KQ -,e1g1
r1bqkb1r/ppp1nppp/2n5/1Q1pN3/3PP3/2P5/PP3PPP/RNB1KB1R w KQkq -,b1d2
6k1/Q5q1/7p/8/2P5/p5P1/5P1P/6K1 w - -,a7a3
5rk1/1p2ppb1/pB1p1np1/1b6/R3P2p/1PP2PN1/5PK1/7R w - -,a4a2
2r4k/1q1nQ2p/3pb1r1/1P2pp2/7N/2N4P/1P3PP1/2R1R1K1 b - -,c8g8
2q2rk1/1R2pp2/p2p1b1p/5Pp1/2r5/3Q2BP/P1P2PP1/5RK1 w - -,b7b8
2rq1rk1/1b1nppb1/pp1p1npp/8/3P4/2P2NBP/PPQNBPP1/3R1RK1 b - -,b6b5
r4rk1/pp1b2pp/n2b4/3P1p2/1P6/P1NKB1P1/6BP/1R3R2 b - -,b7b6
2r2rk1/p2qb1pp/1p2bp2/2p5/PnNn1B2/2NP2P1/1P2PQBP/2R2RK1 w - -,c1d1
8/7p/6k1/5pn1/8/6KP/1B6/8 b - -,g5e6
r2r2k1/2p2ppp/1b2p3/PB6/1P1PbP2/6PP/1B2Nn1K/2R1R3 b - -,b6a7
6rk/1pR2Qp1/1q2p2p/3bNp2/3PpP2/4P1P1/5PK1/8 w - -,c7d7
1k5r/pp3p2/2qrpn1p/8/P2P1p2/7P/2P1QPP1/RR3NK1 b - -,h8g8
5rk1/5bpp/p2p4/4p3/2Nn4/2K1RP2/PP5q/3Qb2B w - -,e3e1
r2qkb1r/pppn1ppp/4pn2/3p1b2/3P4/2N1PN2/PPP1BPPP/R1BQ1RK1 b kq -,h7h6
5r2/1p1qp1kp/2Pp2p1/1Nn5/Q1P1pP2/6PP/5K2/1R4N1 b - -,b7c6
5r2/p3npkp/q2p2p1/2p5/2PpPNbP/1P4P1/3QBP2/2KR3R b - -,a6a1
r1bq1rk1/1p1nbppp/p2p1n2/2pPp1B1/2P1P3/2N2N2/PP2BPPP/R2QK2R w KQ -,a2a4
5rk1/4p3/4PrpQ/p2PBp1p/P1PR4/7P/6P1/1q5K w - -,h1h2
2k4r/Rb3ppp/1p1Bp3/8/2BN4/2n2PP1/3b1P1P/6K1 b - -,h8d8
r1b2r1k/pp5p/2p1pn2/1PPp1pq1/3P4/2N2B2/P1Q1PP1P/1R3R1K b - -,c8d7
3rrnk1/1bq2p1p/pp1p1npQ/2pPp1N1/2P1P3/2N4P/PP2BPP1/3RR1K1 b - -,g8h8
3B4/8/5pk1/pr4p1/2n1P3/6P1/4K3/R7 b - -,b5b3
2b5/5k2/pp3pp1/7p/1P1B3P/P1n2P2/5KP1/8 w - -,d4c3
2b4r/1k6/1np1p2p/B3P3/p2P4/P2B4/2P4P/2K3R1 w - -,c1d2
r4rk1/2RQ1pp1/7p/3p1p1B/3P3P/6P1/1q2NPK1/q7 w - -,h5f7
1r6/4k3/rp1p3p/1R1Pp1p1/6P1/7P/5PK1/1R6 b - -,e7d7
5rk1/1bq2pp1/r2p1b1p/p3pP2/N3P3/1PP1QN2/5RPP/3R2K1 b - -,f8b8
8/2pk4/4R3/1P3P1K/3r4/7P/8/8 w - -,b5b6
rnb1qrk1/ppp3bp/3p1np1/4Pp2/1PP5/2N1PN2/P3BPPP/R1BQ1RK1 b - -,d6e5
4r1k1/1b4pp/3qp3/3p2Pn/2P2N2/1p2Q2P/r5B1/3R1RK1 w - -,e3b3
b3r1k1/1q3ppp/3p4/8/1pP1P1n1/1P4P1/1b1NQ1BP/R6K w - -,a1a2
8/1pp1p2k/8/4n3/3K4/P7/r7/2B2R2 b - -,e5c6
r1bqk2r/2p1npb1/p2p3p/1p4p1/3nP3/1BP3B1/PP3PPP/RN1Q1RK1 w kq -,c3d4
2rr2k1/p2qpp1p/1p4p1/3N1b2/2Pb4/1R1P2P1/P3PP1P/1QR3KB w - -,b1c2
3r2k1/1p1n1ppp/r3pn2/p6b/P7/bPB1PNP1/3N1PBP/R3R1K1 b - -,a3c5
r4rk1/2p3pp/p1nb4/1p1p1q2/P2P4/2P1BN1P/1P2QPP1/R3K2R b KQ a3,b5a4
r1q1k2r/1b2bp1p/p2ppnpB/4n3/1R1NP3/2N5/1PP1BPPP/3QR1K1 w kq -,d1a1
6k1/pr3p2/3np1p1/3p3p/3P1P2/R3K1PP/P3N3/8 w - -,a3a6
R7/2r3kp/3p1b2/3Bp3/1PP2p2/7b/5P1P/6K1 b - -,e5e4
r2r2k1/pppn1p1p/6p1/3Pn1q1/1P2PR1N/2N3Pb/P3BQ1P/R5K1 b - -,h7h5
r5k1/1p1b1p1p/3N2p1/2PQ4/1P3P2/8/2q3PP/3R2K1 b - -,d7e6
3r4/p1R1kp2/Bp2p2p/5n1p/1P6/P5P1/5PK1/8 b - -,d8d7
2R5/7r/4k3/8/3n2P1/4N3/5PK1/8 w - -,f2f4
r1bq1rk1/1p1n1ppp/p2bpn2/8/2PN4/2N3P1/P2BPPBP/R2Q1RK1 w - -,a1b1
2b2rk1/r5pp/p7/1p1RPp2/2p2P2/P1P3PB/1P5P/4R1K1 b - -,a7e7
r1b2rk1/ppp1qppp/8/3Pp3/2P5/3B4/PP1Q1PPP/2KR3R b - -,b7b5
2b5/4p1N1/1k1p4/pp1P4/2pPBp1b/P1P2P2/1P1K4/8 w - -,g7e6
8/6n1/3K4/k2N4/p7/P7/4B3/8 w - -,d6e5
5r1k/4Np1p/pq1p2p1/8/2P1n1P1/2b5/Pr4BP/R2QK2R w KQ -,e1f1
4r1k1/bppqrp1p/2np1pb1/pN6/2PP1NP1/P6P/1P1Q1PB1/R4RK1 b - -,a7b6
5rk1/pp2pp1p/6pP/2prq1b1/6P1/2P1BQ2/PP3P2/R4RK1 b - -,g5e3
3b4/5pp1/4b2p/1p1kP3/2p3P1/4KP2/2PN3B/8 w - -,d2e4
4k3/R6p/4Npb1/p7/2n1P3/6PP/r5B1/6K1 b - -,c4e3
1r5k/2q3p1/2PpB2p/4n3/1r2pQ2/7P/6P1/2R2R1K b - -,e5d3:b8e8
r3k2r/p6p/1pbRpbp1/2p5/5P2/2P1P3/PB4PP/4KB1R b Kkq -,c6d5
8/pp2k3/2p1N1p1/3p1P2/5KP1/1P6/P1n5/8 w - -,f4e5
r7/p4p1k/1rp1p1pp/2q1n3/8/7N/P1PQ1PPP/R1Rn2K1 w - -,d2d1
8/8/P6r/4R3/2P4p/2K3k1/8/8 w - -,e5a5
rnbqkb1r/pp3ppp/4pn2/8/2BP4/5N2/PP3PPP/RNBQK2R w KQkq -,e1g1
r2k1b1r/ppp1pq1p/2np4/3b4/2PP2PQ/4B2N/PP2BP2/R3K3 w Q -,h3g5
