8/Q7/1p6/2p5/1k6/3q4/KP6/8 b - -,d3b3
r2q1rk1/ppp1bppp/1n6/1B2n2N/8/2PP2QP/PP3PP1/R1B2RK1 b - -,e5g6
4r1k1/p2n2pp/b1p2b2/P1n5/1NP1pp2/2N5/P2BBPPP/1R4K1 b - -,a6b7
1n4k1/2q2ppp/1pP5/1r2p3/1b1r4/5B1P/P3QPP1/R4RK1 w - -,e2b5
2r2k1R/1p6/p3p3/8/5Pp1/P7/1P6/K7 b - -,f8f7
1r1q1rk1/pb2bppp/1n2p3/1Rp1P3/2pP1P2/2P1N1P1/P5BP/2BQ1RK1 b - -,b7g2
r2q2k1/ppp1prb1/2n4p/2Pp4/3P1PPB/1P3N1P/P2Q4/R3K2R b KQ -,d8f8
8/3R1Rp1/8/2r2nkp/2p1B3/2P4P/5PPK/2r5 w - -,g2g3
1r3k2/b4ppp/Pq1p4/R3p3/2P1P3/2Q1NP2/4K1PP/8 w - -,a5a2
rnbqkb1r/5ppp/p2p1n2/1p2pN2/4P3/2N2B2/PPP2PPP/R1BQK2R b KQkq -,b5b4
8/p5p1/1pk1p2p/3pP3/3K2bP/P1PB2P1/1P6/8 w - -,d4e3
r1b1kb1r/ppq1pppp/2n2n2/2pp4/5P2/3PPN2/PPP1B1PP/RNBQK2R w KQkq -,c2c3
4R3/r7/8/k5r1/2P1p3/8/R4P2/5K2 b - -,a5b6
rq3rk1/3bn2p/3p1np1/pp1Ppp2/4P3/2NNQP2/PP2B1PP/1KR4R w - -,c3d1
1r3rk1/pP4b1/Q1p1bn1p/2Pp2pq/P2P4/B1N1Pp2/3N1P1P/1R3RK1 w - -,f1c1
8/8/1KN5/Pp3Rp1/1P3k2/8/5p2/8 b - -,f4f5
r1bqk1nr/ppp3bp/2np2p1/4pp2/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQkq f6,a1b1:e1g1
3R4/4n1kp/r2N1pp1/3p4/8/2PK3P/5PP1/8 w - -,d8d7:d8e8
6k1/R5p1/4pb1p/p2r4/P7/4P1P1/5P1P/1R4K1 w - -,b1b5
1k1r1b1r/pb1p1pp1/1pn1p3/4P3/Q2PBPqp/2N3PP/PP2N1K1/R4R2 b - -,g4h5
r3r1k1/1p3ppp/p7/3b3N/3P1n2/4R1qP/PP3PP1/R4NK1 w - -,f1g3
3q1r2/kpnnbr1p/pRp2pp1/P1Ppp3/3P2P1/3BP1BP/1P1K1P2/Q1N4R b - -,c7e6
rn1q1rk1/pbp1ppbp/1p1p1np1/8/P2P1B2/4PN1P/1PP1BPP1/RN1Q1RK1 b - a3,c7c5
r6r/ppk3pp/2p2n2/5p2/2P2P2/2N2K2/PP4PP/R2R4 b - -,a8d8
3r1rk1/3P1p1p/3Q2p1/p4q2/1p1RR3/1P5P/P1P3PK/8 b - -,f5f2
4r1k1/p1p1n2p/5bp1/1Pp5/3P1P2/N4K2/P5PP/1RB5 b - -,c5d4
8/2r1k1b1/p5p1/nppBp3/4P1Nr/1PPR4/P3KP2/R7 w - -,d3g3
8/5pk1/6p1/P3R2p/r4K1P/5P2/3R4/5b2 w - -,f4g3
rn1qkb1r/ppp2ppp/5p2/3p1b2/3P4/4P1P1/PPP2P1P/RN1QKBNR b KQkq -,c7c6
3rr1k1/1pp4p/4bR1n/7q/p2BP3/P1Q3P1/1P4BP/5RK1 w - -,h2h4
8/6Bp/8/2k2p2/2p5/r4P2/p4P1P/R5K1 b - -,c5b4
r1bqr1k1/p2nbppp/1Pp1pn2/3p2B1/3P4/2N1PN2/PPQ2PPP/2R1KB1R b K -,a7b6
r2q1rk1/1b2npbp/ppn1p1p1/2ppP3/5P2/2NP1NP1/PPP2QBP/R1B2RK1 w - -,f1e1
6k1/1npqrp2/1p1p1R2/p2P2pQ/1PP5/P7/3B3P/7K b - -,e7e5
r2q1rk1/1pp3bp/6p1/2pPp1P1/p1P1n2P/P4P2/1P2B3/R2QK2R w KQ -,f3e4
r2q1rk1/3p1ppp/pp2pn2/1Nn5/1bP1b3/5NP1/PP2PPBP/R1BQ1RK1 w - -,b5d6
2rr2k1/pp1q1pbn/3pp1pp/1N2n3/2P1P3/1PN1BPP1/P3Q2P/2R1R2K b - -,b7b6
3r1rk1/1p2ppb1/p4qp1/2Pp1b1p/PP1PN3/7P/1B2BPP1/R2QR1K1 b - -,d5e4
r3r1k1/2p4p/p4qpB/1p1bNp2/5P2/P5Q1/1Pn3PP/R3R1K1 w - -,a1d1
kr5r/p4p1p/1bp1p3/q2p1p2/1R6/2R3P1/PQ2PPBP/6K1 w - -,c3b3
r1q5/p5p1/3Q2P1/3p3k/2p1pRP1/2P5/P4P2/4K3 b - g3,h5h4
r5k1/5ppp/p1b2q2/1p1P4/2p5/5P2/PPP3PP/1K2QB1R b - -,a8e8
2rr3k/1p3p1p/1pb1p3/6b1/3P1P2/P3P1P1/1PBK3P/R5R1 w - -,f4g5
1r1q1rk1/3nppbp/3p2p1/2pP4/P1b5/2N3P1/1PQ1PPBP/R1B1R1K1 w - -,a1a3
1rb2rk1/1pqnppbp/p2p1np1/2pP4/P1B1P3/2N2N1P/1PP2PP1/R1BQR1K1 b - -,f6e8
4rbk1/1p5p/2n1p1p1/p1Pr4/2N2B2/PP2R1P1/5P2/2R3K1 b - -,f8c5
1rbqk2r/1pp2pb1/p2ppnNp/8/P1PPP3/2N1B1P1/1P2QPB1/R4RK1 b k -,f7g6
r5k1/pp1br2p/6p1/2p2p2/2PP1P1N/4n1PB/PPnQ3P/2R3K1 w - c6,h4f3
8/5p2/1p4pk/p2R4/1r2P2P/5K2/P7/8 b - -,b4b2
8/6p1/R2p1k1p/3Pp3/4P1P1/5P2/p2BK3/r7 b - -,f6e7
r2qk2r/4ppbp/p2p1np1/1pp5/1n3Pb1/1P1PPN2/PBPN2PP/R2BQRK1 b kq -,a8c8
2kr2r1/p3pp2/2pp3p/5P2/8/2P3P1/P1P2P1P/2KR3R w - -,h1e1
r1bq1rk1/1p1nppbp/1np3p1/p7/P2P4/1PN1P1P1/4NPBP/R1BQ1RK1 b - -,d7f6
r2q1rk1/pp3ppp/2pbb3/3p1p2/2PPn3/1P2P1PP/P2NNPB1/R2Q1RK1 w - -,c4c5
3r1rk1/1bq2pbp/p5p1/P1pp4/1P3P2/2NQ1BP1/2P3KP/R4R2 w - -,b4c5
r1b2rk1/1p1n1qpp/2p2n2/8/3Q4/p2N1BP1/P2NPP1P/RR4K1 b - -,f6d5
r3k2r/3n1ppp/p3pq2/2b5/Pp1p4/1P1BPP2/1B3P1P/R2Q1RK1 w kq -,f3f4
6k1/6bp/p2pr1p1/1p1Np3/8/1P4PP/P7/2R3K1 w - b6,c1c8
4r2k/pp3pp1/2p2nbp/2R5/3Pp3/PB2P3/1P3PPP/5NK1 w - -,f1d2
r3kb1r/ppqn1ppp/2p1pnb1/3p4/3P4/2N1P2P/PPP1BPPN/R1BQ1RK1 w kq -,h2g4
3rr1k1/pp2bpp1/3qpnp1/2pP4/2P5/3B3Q/PP2RPPP/2B1R1K1 w - -,d3c2
r1b2rk1/1pqpbppp/p1n1pn2/2P5/N2N4/4BBP1/PP3P1P/R2Q1RK1 w - -,a1c1
3r3k/1p3p1p/5p2/pq1n1P1Q/8/2p3PP/B3RPK1/8 w - -,e2e4
1r5k/7p/4B1pb/4p3/1p2P2P/5KP1/2N2P2/8 w - -,c2a1
r1b1r1k1/pp2q1bp/2p3p1/4p3/2P1BB1P/1Q4P1/PP3P2/R2R2K1 w - -,f4e3
1rbq1rk1/p5bp/1npp1pp1/2p1p3/2P1PP2/1PBP1NQ1/PN3RPP/R5K1 b - -,b8b7
2r1k3/pp1b1p1p/4p1r1/qN1pP3/4n3/P2QB3/1PP2bPP/R2K1B1R w - -,b5d6
r1bqr1k1/1ppn1ppp/p2b4/2p1p3/P1N1P3/3P1N2/1PP2PPP/R1BQ1RK1 w - -,c4d6
4Q2k/1pn1p1rp/p2p1p1R/P1pPbPp1/2N1P3/2P5/1P4PP/2B3K1 b - -,c7e8
8/n5b1/P6p/2pk2p1/2p1p1P1/2PpB1P1/1P1K1P2/7R w - -,e3g5
r3k2r/pp1nqp2/2pbp1p1/8/P1PPQP1p/1P1B4/1B4PP/R4RK1 b kq c3,h8h5
r1b1k2r/1pqp1pp1/p1nbp3/7p/3NP3/2N1P2P/PPP1B1P1/R2Q1R1K b kq -,d6e7
2r3k1/1p2Qpp1/pb2b2p/1q1pP3/3P4/1P3N1P/P1rN1PP1/R4RK1 w - -,e7b7
1r4k1/5pp1/5n1p/p2P4/8/7P/2qNQPP1/3R2K1 w - -,g1f1
r2q1rk1/pp2ppbp/1nnp2p1/5b2/2PP4/1PN1BN2/P4PPP/2RQKB1R w K -,d4d5
2r1r1k1/p4pb1/np1q2pp/4p3/8/1P1P1bPP/P2Q1PB1/B2RR1K1 w - -,g2f3
5k2/1R3p2/8/5R2/b2r1p1p/r4P1P/6P1/5NK1 w - -,f5f7
1r2qnk1/1r1bppbp/pp1p2p1/2pP4/P1P2P2/1PNQP1PP/R6K/1R2BB2 b - -,e8d8
r4rk1/pbp2pp1/1p5p/n3N3/3P4/P1nBB2P/2P2PP1/R4RK1 b - -,b7e4
3r2k1/3q1p2/4p1p1/2p4p/PbN4P/4P1P1/1Q3P2/R5K1 w - -,a4a5
3r1bk1/p3qp1p/1prNp1p1/3nP3/3P4/P4N2/1P3QPP/3RR1K1 w - -,d1c1
8/8/8/5kP1/2R5/4b1P1/r7/7K w - -,g5g6
1r2r1k1/5p1p/3p2nb/pp1P4/4pP1q/P1P5/1PNQB2P/5RRK w - -,g1g4
rnbqkbnr/pp3ppp/4p3/3pN3/8/8/PPPP1PPP/RNBQKB1R w KQkq -,d2d4
4r1k1/1bq2pbp/1ppp2p1/2n5/2P1PP2/4N1PP/rPQR1BBK/4R3 w - -,c2b1
7r/pp3kp1/2p1R3/5pP1/2q5/5B2/PP2R2r/5KQ1 b - -,c4c1
